Date,Open_DD,High_DD,Low_DD,Close_DD,Volume_DD,AdjClose_DD
2015-06-05,69.689997,69.790001,69.03,69.07,4877500,63.963331
2015-06-08,69.000002,69.619999,68.849996,69.410005,3568400,64.278197
2015-06-09,69.519995,69.959995,69.179998,69.209996,4301200,64.092977
2015-06-10,69.199994,70.110001,69.19,69.689997,3069100,64.537489
2015-06-11,69.659999,70.22,69.659999,69.759995,2663900,64.602311
2015-06-12,69.449997,69.830001,68.79,69.120002,2888400,64.009636
2015-06-15,68.859998,69.169996,68.299997,69.049996,3850000,63.944806
2015-06-16,69.000002,69.459999,68.800002,69.35,2876900,64.22263
2015-06-17,69.409997,69.809997,69.049996,69.489997,3594300,64.352275
2015-06-18,69.489997,70.550002,69.339998,70.150002,3903600,64.963483
2015-06-19,69.969997,70.169998,69.659999,69.839995,5323800,64.676397
2015-06-22,69.939999,70.199996,69.630001,69.990001,3201200,64.815312
2015-06-23,69.679995,70.079995,68.489995,68.499997,7114800,63.435471
2015-06-24,68.200001,68.329995,66.139998,66.199998,10266600,61.305522
2015-06-25,66.549997,66.759999,66.119998,66.15,5660900,61.25922
2015-06-26,66.379999,66.689997,65.559997,65.599998,10638500,60.749882
2015-06-29,64.759996,65.549999,63.549997,63.639999,8092900,58.934795
2015-06-30,64.26,64.669998,63.629997,63.949997,7601800,59.221874
2015-07-01,61.630001,61.93,61.290001,61.43,5796500,59.903266
2015-07-02,61.09,61.209999,59.810001,59.990002,12006300,58.499056
2015-07-06,59.57,60.240002,59.07,60.0,8139700,58.508806
2015-07-07,59.82,60.040001,58.919998,59.099998,8859700,57.631173
2015-07-08,58.790001,58.799999,58.060001,58.16,5544900,56.714536
2015-07-09,59.099998,59.150002,57.869999,57.900002,6661900,56.460999
2015-07-10,58.380001,58.66,57.91,58.25,4910100,56.802299
2015-07-13,58.880001,59.830002,58.75,59.509998,6047800,58.030983
2015-07-14,59.41,59.650002,59.02,59.43,3476500,57.952973
2015-07-15,59.759998,59.790001,58.810001,59.0,4419800,57.533659
2015-07-16,59.16,60.0,58.919998,59.77,6469900,58.284523
2015-07-17,59.610001,59.740002,59.23,59.669998,4479400,58.187006
2015-07-20,59.830002,59.849998,59.07,59.57,4215600,58.089493
2015-07-21,59.439999,60.150002,59.060001,59.279999,4372800,57.806699
2015-07-22,59.549999,59.549999,58.73,58.900002,3780000,57.436146
2015-07-23,59.02,59.099998,58.27,58.48,3231800,57.026583
2015-07-24,58.400002,58.639999,56.59,56.939999,5352300,55.524856
2015-07-27,56.830002,57.060001,56.259998,56.73,6172200,55.320076
2015-07-28,53.380001,57.25,52.790001,55.900002,13935600,54.510706
2015-07-29,56.029999,56.439999,55.25,55.459999,6331000,54.081639
2015-07-30,55.369999,55.75,55.16,55.59,3596000,54.208409
2015-07-31,55.950001,56.110001,55.48,55.759998,4804100,54.374182
2015-08-03,55.880001,56.0,54.880001,55.290001,4822900,53.915866
2015-08-04,55.23,55.48,54.470001,54.639999,4851800,53.282019
2015-08-05,55.470001,55.619999,54.290001,54.57,4783100,53.213759
2015-08-06,54.5,54.68,54.169998,54.470001,5452400,53.116246
2015-08-07,54.43,54.57,53.209999,53.43,4901700,52.102092
2015-08-10,53.82,54.459999,53.5,54.389999,5621200,53.038232
2015-08-11,53.950001,54.400002,53.349998,53.389999,5373500,52.063085
2015-08-12,52.75,53.279999,52.360001,53.279999,6037000,52.328263
2015-08-13,53.139999,53.389999,52.830002,53.029999,4279700,52.082728
2015-08-14,53.75,54.200001,53.130001,53.860001,5602500,52.897904
2015-08-17,53.549999,54.509998,53.34,54.27,5133500,53.30058
2015-08-18,53.990002,54.41,53.75,53.900002,4311000,52.93719
2015-08-19,53.509998,53.900002,52.900002,53.150002,4551300,52.200588
2015-08-20,52.759998,52.860001,52.389999,52.41,6139600,51.473804
2015-08-21,52.299999,52.52,51.720001,52.0,8019600,51.071128
2015-08-24,49.369999,51.189999,48.009998,49.98,13955400,49.087211
2015-08-25,50.950001,51.029999,49.009998,49.060001,10880300,48.183647
2015-08-26,50.049999,50.689999,49.290001,50.66,9862400,49.755065
2015-08-27,51.360001,52.119999,50.849998,52.02,6698700,51.090772
2015-08-28,51.540001,52.240002,51.450001,51.84,6019900,50.913987
2015-08-31,51.200001,51.799999,50.66,51.5,4750900,50.58006
2015-09-01,50.16,50.77,49.779999,50.02,6561600,49.126497
2015-09-02,50.77,50.93,50.060001,50.650002,4871300,49.745245
2015-09-03,50.990002,51.580002,50.509998,50.560001,7637700,49.656852
2015-09-04,49.740002,49.939999,48.59,48.599998,8772200,47.731861
2015-09-08,49.459999,49.740002,49.25,49.610001,6302600,48.723821
2015-09-09,50.18,50.349998,48.77,48.84,7158000,47.967575
2015-09-10,48.560001,49.009998,48.279999,48.619999,7204000,47.751504
2015-09-11,48.43,48.549999,48.09,48.439999,6499100,47.574719
2015-09-14,48.59,48.59,47.900002,47.98,6220200,47.122937
2015-09-15,48.029999,48.48,47.880001,48.299999,4336200,47.43722
2015-09-16,48.290001,48.57,48.189999,48.41,4792600,47.545256
2015-09-17,48.369999,48.959999,47.970001,48.080002,5938500,47.221153
2015-09-18,47.580002,48.060001,47.369999,47.529999,9777100,46.680974
2015-09-21,47.610001,48.32,47.529999,48.240002,5398500,47.378295
2015-09-22,48.259998,48.779999,47.759998,48.57,8790500,47.702398
2015-09-23,48.450001,48.77,47.860001,47.91,5328800,47.054188
2015-09-24,47.57,48.259998,47.439999,48.029999,7140400,47.172043
2015-09-25,48.330002,48.849998,48.139999,48.549999,6006700,47.682755
2015-09-28,48.110001,48.509998,47.209999,47.32,6689700,46.474727
2015-09-29,47.16,47.900002,47.110001,47.5,4708200,46.651511
2015-09-30,48.119999,48.639999,47.860001,48.200001,5396600,47.339008
2015-10-01,48.439999,48.5,47.779999,48.349998,4666800,47.486327
2015-10-02,47.73,49.27,47.43,49.259998,4582800,48.380071
2015-10-05,49.66,51.419998,49.529999,51.279999,8440700,50.363988
2015-10-06,54.970001,57.959999,54.779999,55.209999,40356600,54.223788
2015-10-07,55.330002,55.73,54.540001,55.380001,10442500,54.390753
2015-10-08,55.34,56.709999,55.259998,56.130001,7100600,55.127356
2015-10-09,56.41,56.419998,55.720001,56.18,5380200,55.176462
2015-10-12,55.959999,56.139999,55.459999,55.66,4536000,54.66575
2015-10-13,55.150002,55.970001,55.130001,55.759998,4506800,54.763962
2015-10-14,55.900002,56.77,55.540001,56.400002,5584200,55.392533
2015-10-15,56.790001,56.790001,56.080002,56.700001,5464800,55.687173
2015-10-16,56.900002,57.27,56.66,57.27,5845700,56.246991
2015-10-19,56.98,57.299999,56.799999,57.049999,5556000,56.03092
2015-10-20,56.77,57.630001,56.77,57.189999,3471800,56.168418
2015-10-21,57.43,57.669998,57.02,57.279999,4081000,56.256811
2015-10-22,57.950001,59.27,57.939999,59.189999,7040500,58.132693
2015-10-23,59.560001,60.400002,59.200001,60.27,7663600,59.193403
2015-10-26,60.450001,60.509998,60.049999,60.369999,5877500,59.291615
2015-10-27,59.450001,62.290001,59.130001,62.049999,9192100,60.941605
2015-10-28,61.759998,63.41,61.43,63.369999,8791600,62.238026
2015-10-29,63.18,63.810001,62.82,63.34,3848400,62.208563
2015-10-30,63.48,64.169998,63.34,63.400002,5225000,62.267493
2015-11-02,63.509998,64.25,63.220001,63.939999,3840600,62.797844
2015-11-03,64.0,64.860001,63.950001,64.010002,6658800,62.866597
2015-11-04,64.239998,64.629997,63.98,64.269997,3656000,63.121947
2015-11-05,64.239998,65.029999,63.860001,64.809998,6544000,63.652302
2015-11-06,64.279999,66.199997,64.279999,66.110001,6612700,64.929083
2015-11-09,65.82,66.790001,65.739998,66.769997,6397600,65.57729
2015-11-10,66.230003,66.5,65.43,66.339996,6280000,65.5279
2015-11-11,66.400002,67.050003,66.18,67.0,4010600,66.179825
2015-11-12,66.440002,66.839996,65.980003,66.110001,5247600,65.30072
2015-11-13,66.110001,67.339996,65.959999,67.050003,5847400,66.229216
2015-11-16,66.839996,67.529999,66.529999,67.239998,5022900,66.416885
2015-11-17,66.839996,67.540001,66.629997,67.07,6938600,66.248967
2015-11-18,67.0,67.559998,66.989998,67.099998,7619000,66.278599
2015-11-19,67.220001,67.5,66.370003,66.989998,8527800,66.169945
2015-11-20,67.059998,67.400002,66.400002,66.699997,4777900,65.883494
2015-11-23,66.550003,67.0,66.470001,66.519997,4108400,65.705697
2015-11-24,66.160004,67.75,66.010002,67.419998,4212400,66.594681
2015-11-25,67.480003,67.690002,66.910004,67.260002,2810400,66.436644
2015-11-27,67.260002,67.400002,66.849998,67.089996,1030700,66.268719
2015-11-30,67.150002,68.0,67.019997,67.339996,5260100,66.515659
2015-12-01,67.389999,67.690002,66.639999,67.279999,4486400,66.456396
2015-12-02,67.029999,67.559998,66.82,67.269997,4202600,66.446516
2015-12-03,67.07,67.559998,66.089996,66.230003,6654500,65.419254
2015-12-04,66.629997,68.07,66.489998,67.75,6274100,66.920644
2015-12-07,67.25,67.580002,66.18,67.099998,5387500,66.278599
2015-12-08,66.639999,67.379997,66.199997,66.599998,3661500,65.78472
2015-12-09,71.910004,75.720001,71.550003,74.489998,25215500,73.578134
2015-12-10,72.970001,74.57,71.760002,74.550003,14800100,73.637405
2015-12-11,74.550003,74.550003,69.360001,70.440002,19328600,69.577717
2015-12-14,69.459999,69.75,66.660004,67.919998,11735000,67.088561
2015-12-15,68.629997,68.949997,66.400002,66.5,8692200,65.685945
2015-12-16,66.550003,67.0,64.239998,66.230003,7269000,65.419254
2015-12-17,66.489998,67.0,65.220001,65.230003,4874400,64.431495
2015-12-18,65.480003,65.559998,63.32,63.400002,14322600,62.623895
2015-12-21,63.799999,64.239998,62.799999,63.82,4747700,63.038752
2015-12-22,64.029999,65.260002,63.470001,64.629997,4276700,63.838834
2015-12-23,65.0,66.25,64.68,66.029999,3918500,65.221698
2015-12-24,65.959999,66.75,65.25,66.400002,1636000,65.587171
2015-12-28,66.330002,66.470001,65.620003,66.470001,1879300,65.656314
2015-12-29,66.68,67.879997,66.540001,67.57,2471900,66.742847
2015-12-30,67.5,67.720001,67.029999,67.330002,2162800,66.505787
