Date,Open_HAR,High_HAR,Low_HAR,Close_HAR,Volume_HAR,AdjClose_HAR
2015-06-05,120.959999,123.169998,120.959999,122.589996,756900,120.639001
2015-06-08,122.230003,123.260002,120.559998,120.620003,745700,118.70036
2015-06-09,120.980003,120.980003,118.379997,119.959999,636100,118.05086
2015-06-10,120.910004,120.970001,117.029999,117.800003,1206700,115.92524
2015-06-11,118.43,123.099998,118.080002,122.400002,1519100,120.45203
2015-06-12,121.440002,122.419998,120.419998,120.589996,572200,118.670831
2015-06-15,119.949997,120.389999,118.839996,119.480003,564700,117.578503
2015-06-16,119.400002,121.959999,119.400002,121.900002,686200,119.959988
2015-06-17,122.089996,123.980003,121.510002,122.550003,681500,120.599645
2015-06-18,122.510002,125.93,122.510002,125.489998,758600,123.49285
2015-06-19,125.300003,127.699997,124.0,126.050003,2784900,124.043943
2015-06-22,127.370003,128.600006,125.580002,126.150002,970100,124.14235
2015-06-23,126.480003,127.300003,126.0,126.919998,598100,124.900092
2015-06-24,126.32,127.489998,124.510002,124.730003,584100,122.744951
2015-06-25,125.550003,125.550003,124.029999,124.279999,562500,122.302108
2015-06-26,125.050003,126.199997,123.75,126.120003,867400,124.112828
2015-06-29,124.190002,124.860001,118.25,118.459999,884800,116.574732
2015-06-30,120.309998,120.779999,118.059998,118.940002,719900,117.047096
2015-07-01,120.610001,122.0,119.389999,120.480003,657900,118.562588
2015-07-02,120.290001,120.599998,117.870003,119.0,593700,117.106139
2015-07-06,117.57,119.690002,117.330002,118.93,878700,117.037253
2015-07-07,120.0,120.0,116.400002,119.82,1003700,117.913089
2015-07-08,118.169998,118.5,111.769997,112.110001,1329900,110.325793
2015-07-09,113.190002,114.449997,112.730003,112.779999,841200,110.985128
2015-07-10,114.650002,114.82,112.720001,113.889999,703800,112.077463
2015-07-13,115.0,116.239998,114.639999,115.980003,869400,114.134205
2015-07-14,115.68,116.610001,114.790001,114.949997,675700,113.120591
2015-07-15,114.949997,115.0,112.540001,112.940002,699600,111.142585
2015-07-16,112.959999,113.059998,108.120003,108.290001,1472800,106.566587
2015-07-17,108.0,108.239998,105.330002,107.0,1822700,105.297117
2015-07-20,107.800003,107.860001,105.199997,106.040001,1066300,104.352396
2015-07-21,106.589996,109.720001,106.010002,109.25,1261700,107.511308
2015-07-22,109.080002,110.150002,108.199997,108.870003,700700,107.137359
2015-07-23,109.739998,112.529999,109.18,111.199997,1036900,109.430271
2015-07-24,110.690002,111.610001,107.790001,108.5,794600,106.773244
2015-07-27,107.360001,107.989998,103.220001,104.160004,1335800,102.502318
2015-07-28,105.199997,107.82,104.769997,107.519997,860100,105.808838
2015-07-29,107.550003,109.900002,107.529999,109.629997,558000,107.885258
2015-07-30,109.089996,109.589996,108.239998,109.059998,476200,107.32433
2015-07-31,109.75,109.779999,107.540001,107.660004,742800,105.946616
2015-08-03,108.309998,110.360001,106.050003,109.910004,1294900,108.160808
2015-08-04,114.870003,117.580002,110.050003,110.419998,1469200,108.662686
2015-08-05,110.970001,118.199997,110.940002,118.010002,2056800,116.131897
2015-08-06,118.459999,119.190002,109.139999,111.0,2543300,109.233457
2015-08-07,110.790001,116.589996,109.800003,116.089996,1494200,114.242448
2015-08-10,116.349998,118.68,115.650002,118.25,1126600,116.368075
2015-08-11,116.860001,117.059998,111.709999,111.959999,1693100,110.178178
2015-08-12,110.32,111.0,108.529999,110.459999,906200,109.042933
2015-08-13,111.050003,111.050003,107.900002,108.0,772800,106.614493
2015-08-14,108.419998,108.940002,106.879997,107.82,656800,106.436802
2015-08-17,107.010002,108.120003,106.040001,107.940002,558900,106.555265
2015-08-18,108.360001,109.839996,106.529999,107.360001,501000,105.982704
2015-08-19,106.440002,107.150002,103.589996,104.889999,657000,103.54439
2015-08-20,103.32,104.120003,99.769997,99.800003,1318900,98.519692
2015-08-21,97.900002,98.849998,93.980003,94.769997,1951800,93.554214
2015-08-24,87.440002,95.110001,84.410004,91.769997,1622200,90.592701
2015-08-25,94.709999,98.639999,93.190002,93.330002,1473000,92.132693
2015-08-26,95.989998,97.480003,93.410004,97.300003,1052900,96.051764
2015-08-27,98.900002,101.260002,97.849998,99.849998,1027700,98.569046
2015-08-28,99.449997,99.93,98.349998,99.550003,830100,98.272899
2015-08-31,98.559998,100.300003,97.559998,97.739998,683000,96.486114
2015-09-01,95.660004,96.010002,93.300003,94.949997,1576600,93.731906
2015-09-02,96.199997,97.32,94.480003,96.910004,783500,95.666768
2015-09-03,97.199997,98.489998,96.690002,97.690002,1005800,96.43676
2015-09-04,95.669998,97.419998,94.970001,95.940002,668600,94.70921
2015-09-08,98.279999,100.959999,97.620003,100.839996,725900,99.546343
2015-09-09,101.779999,103.050003,97.239998,97.580002,650700,96.328171
2015-09-10,97.68,98.830002,96.580002,97.089996,743900,95.844451
2015-09-11,96.440002,98.150002,96.110001,97.889999,628900,96.634191
2015-09-14,97.669998,98.160004,96.370003,96.919998,465900,95.676634
2015-09-15,97.309998,101.419998,97.029999,100.550003,747300,99.26007
2015-09-16,100.019997,102.849998,99.940002,102.18,613500,100.869157
2015-09-17,102.190002,104.940002,101.089996,102.580002,654400,101.264027
2015-09-18,101.0,102.260002,100.050003,100.809998,936500,99.51673
2015-09-21,100.830002,102.519997,100.050003,100.660004,555400,99.36866
2015-09-22,98.419998,99.019997,96.019997,96.800003,854100,95.558178
2015-09-23,96.900002,97.599998,94.839996,95.230003,591600,94.00832
2015-09-24,94.040001,96.169998,92.0,95.75,1137700,94.521646
2015-09-25,96.790001,97.150002,93.959999,94.57,476900,93.356783
2015-09-28,93.610001,94.230003,91.379997,91.5,732600,90.326168
2015-09-29,91.669998,92.160004,89.760002,91.989998,911100,90.80988
2015-09-30,93.370003,96.230003,93.370003,95.989998,903600,94.758565
2015-10-01,96.529999,99.0,95.830002,98.809998,1102500,97.542387
2015-10-02,97.040001,100.360001,96.400002,100.309998,823500,99.023144
2015-10-05,101.07,104.989998,101.07,104.610001,923400,103.267983
2015-10-06,104.669998,106.150002,103.110001,104.25,609300,102.912601
2015-10-07,103.220001,105.779999,102.139999,105.330002,1016800,103.978748
2015-10-08,104.709999,107.980003,104.540001,107.230003,998600,105.854375
2015-10-09,107.82,107.940002,106.169998,106.93,489800,105.55822
2015-10-12,106.610001,107.0,105.379997,106.510002,516000,105.14361
2015-10-13,106.029999,107.82,105.110001,105.220001,486700,103.870158
2015-10-14,105.309998,106.970001,103.209999,103.489998,626500,102.162349
2015-10-15,103.620003,105.309998,102.019997,105.190002,472900,103.840544
2015-10-16,105.720001,106.709999,103.779999,106.160004,305500,104.798102
2015-10-19,105.940002,106.580002,104.879997,105.0,641100,103.652979
2015-10-20,104.980003,105.440002,102.860001,103.760002,711100,102.428889
2015-10-21,104.540001,104.900002,103.029999,103.309998,496100,101.984658
2015-10-22,104.370003,105.529999,103.330002,104.989998,774300,103.643106
2015-10-23,106.709999,108.580002,105.139999,108.199997,814100,106.811924
2015-10-26,108.300003,108.620003,107.25,107.739998,647200,106.357827
2015-10-27,107.360001,107.360001,105.629997,105.760002,783400,104.403232
2015-10-28,106.019997,107.949997,104.989998,106.669998,1161100,105.301554
2015-10-29,107.739998,112.68,99.220001,108.769997,2692600,107.374612
2015-10-30,109.360001,110.769997,107.489998,109.959999,971900,108.549348
2015-11-02,109.940002,111.610001,109.440002,110.529999,877100,109.112035
2015-11-03,110.230003,111.800003,109.529999,111.029999,639700,109.605621
2015-11-04,111.099998,111.839996,109.160004,110.18,521400,108.766527
2015-11-05,109.650002,110.730003,109.18,110.379997,506600,109.311193
2015-11-06,109.639999,110.900002,109.639999,109.900002,756800,108.835845
2015-11-09,109.57,109.959999,107.269997,107.540001,645400,106.498696
2015-11-10,107.150002,107.589996,102.949997,105.309998,943800,104.290286
2015-11-11,105.949997,106.040001,103.300003,103.489998,544800,102.487909
2015-11-12,102.540001,102.879997,99.07,99.419998,855400,98.457319
2015-11-13,100.389999,101.169998,98.650002,98.849998,706500,97.892839
2015-11-16,98.559998,101.120003,98.330002,101.120003,497000,100.140862
2015-11-17,101.360001,101.790001,99.160004,99.5,566800,98.536546
2015-11-18,100.0,102.190002,99.57,101.639999,637800,100.655824
2015-11-19,101.540001,102.160004,100.25,100.839996,516700,99.863567
