Date,Open_AET,High_AET,Low_AET,Close_AET,Volume_AET,AdjClose_AET
2015-06-05,115.580002,117.160004,115.010002,116.860001,1441400,115.796092
2015-06-08,117.0,117.800003,115.980003,116.0,1350100,114.943921
2015-06-09,116.349998,117.489998,115.940002,117.239998,2060400,116.172629
2015-06-10,117.080002,118.529999,116.980003,117.940002,1590200,116.866261
2015-06-11,118.209999,118.589996,117.730003,117.949997,1674900,116.876165
2015-06-12,117.230003,117.449997,115.760002,115.870003,1746000,114.815107
2015-06-15,115.309998,124.199997,114.75,121.010002,6380900,119.908311
2015-06-16,124.879997,128.649994,123.120003,124.970001,6827900,123.832258
2015-06-17,125.769997,126.839996,123.449997,123.860001,2797600,122.732363
2015-06-18,124.059998,125.389999,124.019997,124.5,2122900,123.366535
2015-06-19,124.370003,124.669998,123.849998,124.07,2070300,122.94045
2015-06-22,127.910004,130.169998,127.599998,128.050003,7391400,126.884219
2015-06-23,128.289993,128.75,126.470001,128.199997,6173300,127.032847
2015-06-24,127.099998,128.639999,125.900002,127.510002,8226400,126.349134
2015-06-25,127.660004,133.050003,126.730003,132.600006,8858700,131.392798
2015-06-26,132.830002,134.399994,130.050003,130.050003,5583300,128.866011
2015-06-29,128.589996,129.479996,127.040001,127.279999,3185600,126.121225
2015-06-30,128.320007,128.710007,127.25,127.459999,2397500,126.299586
2015-07-01,128.949997,129.360001,127.25,128.899994,2452300,127.726471
2015-07-02,129.410004,129.740005,125.449997,125.510002,3168500,124.367342
2015-07-06,117.809998,120.760002,115.559998,117.43,16434100,116.360902
2015-07-07,117.720001,118.199997,112.639999,115.330002,9847000,114.280022
2015-07-08,114.879997,115.93,112.669998,112.669998,5307900,111.644236
2015-07-09,115.730003,116.510002,112.559998,112.669998,5282400,111.644236
2015-07-10,114.019997,114.800003,112.57,114.599998,4734700,113.556665
2015-07-13,115.900002,116.269997,112.370003,114.019997,5353900,112.981943
2015-07-14,113.300003,115.970001,113.209999,115.75,3266700,114.948233
2015-07-15,115.790001,117.010002,114.919998,115.480003,2915600,114.680106
2015-07-16,115.660004,115.959999,112.809998,112.910004,4819400,112.127908
2015-07-17,112.760002,113.480003,111.260002,112.919998,4297700,112.137833
2015-07-20,113.129997,113.139999,111.040001,111.599998,2890400,110.826977
2015-07-21,111.5,112.559998,109.110001,111.550003,3933700,110.777328
2015-07-22,111.5,114.230003,111.019997,113.879997,4433900,113.091183
2015-07-23,114.160004,114.239998,111.57,112.050003,2854000,111.273865
2015-07-24,111.620003,111.949997,109.730003,110.0,3223400,109.238061
2015-07-27,109.269997,110.550003,107.949997,110.230003,3783600,109.466471
2015-07-28,110.809998,112.370003,109.900002,112.309998,3538700,111.532058
2015-07-29,112.519997,112.940002,111.120003,112.599998,2669500,111.82005
2015-07-30,114.360001,114.639999,112.360001,114.150002,2650200,113.359317
2015-07-31,114.629997,114.980003,112.690002,112.970001,2882300,112.18749
2015-08-03,113.550003,114.720001,112.5,113.790001,3020000,113.00181
2015-08-04,115.989998,117.099998,112.239998,115.190002,4244400,114.392114
2015-08-05,116.589996,118.760002,115.440002,118.07,4296500,117.252162
2015-08-06,118.199997,118.589996,115.940002,116.400002,2713500,115.593732
2015-08-07,116.080002,116.809998,115.050003,116.389999,1582400,115.583799
2015-08-10,116.910004,117.489998,116.260002,117.089996,1650400,116.278947
2015-08-11,116.25,119.489998,116.18,118.349998,3428000,117.530222
2015-08-12,117.5,118.0,115.419998,117.300003,2828500,116.487499
2015-08-13,117.620003,118.669998,117.0,118.25,1866500,117.430916
