Date,Open_PCAR,High_PCAR,Low_PCAR,Close_PCAR,Volume_PCAR,AdjClose_PCAR
2015-06-05,63.68,63.900002,63.16,63.529999,1007300,60.603552
2015-06-08,63.48,63.720001,63.349998,63.349998,912200,60.431843
2015-06-09,63.41,64.379997,63.380001,63.759998,1118600,60.822957
2015-06-10,64.0,65.25,64.0,65.040001,1547900,62.043997
2015-06-11,65.089996,65.550003,65.010002,65.470001,1315500,62.45419
2015-06-12,65.169998,65.440002,64.900002,65.010002,1052800,62.01538
2015-06-15,64.559998,64.709999,63.860001,64.300003,940300,61.338086
2015-06-16,64.07,64.309998,63.41,64.050003,1165100,61.099602
2015-06-17,64.239998,64.279999,63.25,63.900002,1324500,60.956511
2015-06-18,63.990002,65.190002,63.990002,64.849998,1545800,61.862747
2015-06-19,64.830002,65.0,64.379997,64.75,2554200,61.767355
2015-06-22,65.089996,65.43,64.870003,65.160004,1298800,62.158472
2015-06-23,65.150002,65.32,64.75,65.059998,1329200,62.063073
2015-06-24,65.040001,65.169998,64.830002,64.900002,1246000,61.910447
2015-06-25,65.050003,65.239998,64.029999,64.330002,1390000,61.366703
2015-06-26,64.589996,65.010002,64.239998,64.82,1754700,61.83413
2015-06-29,64.349998,64.510002,63.360001,63.41,1658200,60.48908
2015-06-30,64.110001,64.440002,63.630001,63.810001,2006400,60.870656
2015-07-01,64.459999,64.5,63.98,64.349998,1455000,61.385779
2015-07-02,64.400002,64.730003,64.209999,64.690002,1961300,61.710121
2015-07-06,64.190002,64.860001,63.779999,64.18,1345000,61.223612
2015-07-07,64.279999,64.470001,63.299999,64.410004,1789200,61.44302
2015-07-08,64.019997,64.239998,62.52,62.93,1824900,60.031192
2015-07-09,63.759998,64.110001,62.900002,62.900002,2158400,60.002575
2015-07-10,63.84,63.84,62.93,63.389999,1485200,60.470001
2015-07-13,63.669998,64.68,63.459999,64.599998,1245700,61.624263
2015-07-14,64.459999,65.040001,64.279999,64.889999,1176000,61.900905
2015-07-15,64.760002,65.139999,64.550003,65.110001,1650800,62.110772
2015-07-16,65.389999,65.790001,65.209999,65.540001,1543500,62.520965
2015-07-17,64.639999,64.639999,64.040001,64.480003,2749700,61.509795
2015-07-20,64.629997,65.059998,64.339996,64.889999,1589400,61.900905
2015-07-21,64.599998,65.510002,64.559998,65.230003,2508100,62.225247
2015-07-22,65.449997,65.660004,65.120003,65.459999,2300400,62.444648
2015-07-23,65.300003,65.75,65.010002,65.290001,2499100,62.282481
2015-07-24,65.330002,65.330002,64.459999,64.900002,3620400,61.910447
2015-07-27,64.769997,65.029999,64.199997,64.650002,3403200,61.671963
2015-07-28,65.639999,66.43,63.759998,64.800003,3385800,61.815054
2015-07-29,64.860001,65.720001,64.860001,65.660004,2929100,62.63544
2015-07-30,64.760002,64.93,63.509998,64.760002,3147700,61.776896
2015-07-31,65.220001,65.260002,64.269997,64.839996,2380400,61.853206
2015-08-03,64.879997,64.970001,63.810001,64.480003,2002900,61.509795
2015-08-04,64.050003,64.330002,62.799999,63.139999,2459100,60.231517
2015-08-05,64.120003,64.639999,63.349998,63.599998,1569200,60.670327
2015-08-06,63.669998,63.73,62.990002,63.299999,1603800,60.384147
2015-08-07,63.869999,63.869999,62.610001,62.950001,1714000,60.050271
2015-08-10,63.689999,64.029999,63.439999,63.82,1947600,60.880194
2015-08-11,63.450001,63.450001,62.369999,62.990002,2358400,60.088429
2015-08-12,62.34,62.93,61.810001,62.77,2201800,60.10758
2015-08-13,62.599998,63.009998,62.189999,62.669998,1054100,60.011819
2015-08-14,62.740002,63.139999,62.630001,62.919998,1055400,60.251215
2015-08-17,62.599998,63.169998,62.060001,63.029999,1179300,60.35655
2015-08-18,63.040001,63.169998,62.580002,62.939999,1373600,60.270367
2015-08-19,62.669998,63.049999,61.810001,62.48,1895400,59.829879
2015-08-20,62.25,62.259998,60.82,60.82,2070300,58.240289
2015-08-21,60.150002,60.52,58.419998,58.439999,3514400,55.961237
2015-08-24,54.75,57.900002,53.450001,56.389999,5426200,53.998189
2015-08-25,57.369999,58.18,55.830002,55.900002,3437100,53.528975
2015-08-26,57.57,58.43,56.330002,58.279999,4136600,55.808024
2015-08-27,59.860001,60.0,58.48,59.580002,3008700,57.052886
2015-08-28,59.02,59.68,58.939999,59.450001,1653100,56.928399
2015-08-31,59.139999,59.459999,58.740002,58.970001,1792900,56.468759
