Date,Open_SPG,High_SPG,Low_SPG,Close_SPG,Volume_SPG,AdjClose_SPG
2015-06-05,177.240005,178.710007,175.429993,176.610001,1487700,170.832537
2015-06-08,176.589996,176.589996,175.330002,175.610001,1607700,169.86525
2015-06-09,175.839996,176.149994,174.210007,174.580002,1503100,168.868946
2015-06-10,175.020004,177.990005,174.720001,176.350006,1373900,170.581048
2015-06-11,177.050003,177.729996,176.199997,177.25,926400,171.4516
2015-06-12,176.869995,178.039993,176.429993,176.869995,1064400,171.084027
2015-06-15,176.369995,176.800003,175.009995,175.800003,1486100,170.049037
2015-06-16,175.929993,178.029999,175.850006,177.259995,1113100,171.461268
2015-06-17,177.320007,179.970001,176.589996,179.570007,1305300,173.695713
2015-06-18,180.0,182.830002,179.600006,181.889999,1039000,175.939811
2015-06-19,181.630005,183.389999,179.470001,179.479996,2610000,173.608646
2015-06-22,179.910004,180.770004,176.419998,176.529999,1562500,170.755153
2015-06-23,176.869995,176.970001,174.5,175.240005,898100,169.507359
2015-06-24,175.539993,176.490005,173.850006,173.899994,1502100,168.211183
2015-06-25,174.039993,174.429993,172.330002,172.360001,1390200,166.721568
2015-06-26,172.669998,174.419998,171.699997,173.910004,2714700,168.220866
2015-06-29,173.710007,175.389999,170.990005,171.0,1223300,165.406057
2015-06-30,172.330002,174.800003,171.330002,173.020004,2167300,167.359981
2015-07-01,171.869995,174.800003,171.869995,174.759995,1638600,169.043051
2015-07-02,176.020004,179.110001,174.419998,174.720001,1046800,169.004366
2015-07-06,173.860001,175.850006,173.860001,175.779999,1242100,170.029687
2015-07-07,176.449997,179.110001,176.300003,178.720001,1520100,172.873513
2015-07-08,177.279999,178.600006,176.899994,178.339996,1201700,172.505939
2015-07-09,179.160004,179.919998,177.470001,178.119995,1364100,172.293135
2015-07-10,179.190002,180.389999,178.309998,178.839996,1044400,172.989583
2015-07-13,180.039993,181.380005,178.279999,179.309998,1022700,173.444209
2015-07-14,179.529999,180.539993,178.380005,179.990005,856600,174.101972
2015-07-15,179.660004,181.630005,178.470001,181.410004,1234600,175.475517
2015-07-16,182.220001,183.899994,181.940002,183.429993,1140600,177.429426
2015-07-17,182.820007,183.380005,182.050003,183.059998,1020500,177.071535
2015-07-20,183.279999,183.449997,181.690002,182.929993,663500,176.945783
2015-07-21,183.029999,183.320007,181.619995,181.759995,889700,175.814059
2015-07-22,181.990005,183.100006,181.660004,182.380005,1142300,176.413787
2015-07-23,182.229996,182.399994,179.350006,181.380005,1143800,175.4465
2015-07-24,183.509995,200.229996,182.070007,184.649994,1299400,178.609517
2015-07-27,184.759995,186.940002,184.570007,185.770004,1591100,179.692889
2015-07-28,186.330002,187.460007,185.399994,186.360001,1133500,180.263584
2015-07-29,186.490005,187.059998,185.270004,186.470001,890900,180.369987
2015-07-30,185.789993,187.0,184.619995,186.139999,646900,180.05078
2015-07-31,188.089996,189.050003,186.639999,187.220001,1467100,181.095452
2015-08-03,187.149994,188.720001,186.779999,188.389999,771700,182.227176
2015-08-04,188.610001,190.470001,187.770004,188.550003,1283700,182.381945
2015-08-05,189.210007,189.800003,188.100006,188.699997,1377300,182.527032
2015-08-06,188.490005,190.289993,186.960007,189.899994,1390500,183.687774
2015-08-07,189.979996,192.210007,188.440002,191.690002,1001600,185.419225
2015-08-10,192.75,193.199997,188.410004,189.160004,1619100,182.971991
2015-08-11,189.160004,192.309998,188.630005,191.550003,1362500,185.283806
2015-08-12,191.169998,192.169998,189.789993,192.020004,1123900,185.738432
2015-08-13,189.070007,192.029999,188.690002,190.75,792400,186.011475
2015-08-14,190.690002,192.830002,189.320007,191.679993,683800,186.918365
2015-08-17,191.820007,193.679993,190.5,193.539993,868400,188.73216
2015-08-18,193.100006,195.169998,192.779999,194.779999,1215900,189.941362
2015-08-19,193.639999,194.350006,192.070007,193.190002,928000,188.390864
2015-08-20,192.389999,193.860001,191.0,192.210007,1337700,187.435213
2015-08-21,192.240005,193.539993,189.949997,189.970001,1993800,185.250853
2015-08-24,183.770004,186.460007,181.399994,182.070007,2744800,177.547107
2015-08-25,191.690002,191.690002,176.880005,177.089996,2181300,172.690807
2015-08-26,180.0,182.490005,177.910004,181.970001,1988100,177.449585
2015-08-27,183.490005,186.919998,181.449997,185.729996,1467900,181.116175
2015-08-28,185.270004,185.389999,182.0,184.320007,1447900,179.741213
2015-08-31,184.169998,186.210007,179.009995,179.320007,3212700,174.865421
2015-09-01,176.639999,177.910004,173.089996,175.009995,1821800,170.662476
2015-09-02,177.199997,178.580002,175.580002,177.130005,1113600,172.729822
2015-09-03,177.779999,179.149994,177.070007,177.919998,1126300,173.50019
2015-09-04,175.910004,176.979996,173.789993,174.919998,1162600,170.574715
2015-09-08,177.179993,178.100006,175.740005,177.539993,1276800,173.129625
2015-09-09,178.869995,179.029999,174.240005,174.600006,960400,170.262672
2015-09-10,174.449997,176.630005,174.119995,175.059998,1011700,170.711236
2015-09-11,174.899994,179.190002,174.139999,179.139999,1213100,174.689885
2015-09-14,179.529999,180.410004,177.869995,178.940002,979200,174.494856
2015-09-15,179.210007,181.770004,177.440002,181.080002,974700,176.581694
2015-09-16,180.899994,184.009995,180.770004,183.419998,952300,178.863562
2015-09-17,183.320007,188.300003,181.970001,184.880005,1289900,180.2873
2015-09-18,182.690002,187.220001,182.229996,184.0,2761000,179.429155
2015-09-21,184.289993,186.139999,184.089996,185.789993,999900,181.174682
2015-09-22,184.419998,185.410004,182.690002,183.240005,1128300,178.68804
2015-09-23,183.0,184.889999,182.300003,183.5,945900,178.941576
2015-09-24,183.220001,184.669998,179.740005,181.229996,1574500,176.727962
2015-09-25,182.830002,184.679993,181.199997,182.789993,1057400,178.249207
2015-09-28,182.169998,182.350006,178.740005,180.160004,1000600,175.68455
2015-09-29,180.539993,183.729996,180.169998,182.429993,1595800,177.898149
2015-09-30,183.630005,184.25,181.75,183.720001,1431900,179.156112
2015-10-01,184.679993,186.169998,183.619995,185.899994,1068000,181.28195
2015-10-02,185.339996,187.610001,183.850006,187.479996,1199900,182.822703
2015-10-05,188.399994,191.949997,188.399994,191.809998,1587900,187.04514
2015-10-06,192.070007,193.899994,190.949997,191.729996,1362200,186.967126
2015-10-07,192.429993,194.320007,191.589996,194.220001,1301700,189.395276
2015-10-08,193.809998,195.399994,192.339996,194.949997,961800,190.107137
2015-10-09,194.759995,195.229996,193.550003,195.080002,876600,190.233913
2015-10-12,194.979996,197.100006,194.089996,196.639999,1058200,191.755158
2015-10-13,196.190002,196.729996,194.039993,194.960007,1303100,190.116899
2015-10-14,195.399994,196.610001,193.610001,194.100006,1118600,189.278262
2015-10-15,195.110001,197.669998,193.979996,197.589996,1030500,192.681555
2015-10-16,197.990005,198.839996,197.339996,198.600006,1215100,193.666475
2015-10-19,198.479996,202.660004,198.429993,202.589996,879900,197.557347
2015-10-20,201.960007,203.100006,201.130005,202.139999,1049600,197.118529
2015-10-21,203.240005,204.720001,202.559998,203.240005,1158300,198.191209
2015-10-22,203.789993,205.779999,203.479996,204.830002,1514300,199.741708
2015-10-23,204.080002,205.160004,201.600006,203.039993,1193000,197.996166
2015-10-26,203.100006,203.720001,201.410004,203.369995,967000,198.31797
2015-10-27,202.789993,206.589996,202.25,206.190002,1010400,201.067924
2015-10-28,206.529999,208.139999,201.979996,205.710007,1369600,200.599852
2015-10-29,205.729996,205.809998,202.630005,204.389999,1094200,199.312636
2015-10-30,204.789993,205.149994,201.460007,201.460007,2021800,196.455428
2015-11-02,201.589996,206.220001,201.229996,205.770004,1353200,200.658359
2015-11-03,205.149994,206.350006,203.149994,203.899994,969300,198.834803
2015-11-04,204.270004,204.949997,203.020004,203.740005,1207900,198.678789
2015-11-05,203.25,204.520004,202.179993,203.0,1171600,197.957166
2015-11-06,200.5,200.759995,193.410004,194.899994,1836200,190.058377
2015-11-09,194.669998,195.029999,189.779999,191.509995,1805700,186.75259
