Date,Open_FRT,High_FRT,Low_FRT,Close_FRT,Volume_FRT,AdjClose_FRT
2015-06-05,129.820007,131.229996,129.130005,130.389999,350500,127.052379
2015-06-08,130.759995,131.570007,129.509995,130.929993,242700,127.57855
2015-06-09,130.759995,131.470001,129.279999,129.419998,292600,126.107207
2015-06-10,129.440002,131.380005,128.809998,130.270004,265000,126.935455
2015-06-11,130.710007,131.940002,130.630005,131.399994,849600,128.03652
2015-06-12,131.350006,131.889999,130.610001,131.479996,267100,128.114474
2015-06-15,131.130005,131.699997,130.490005,131.300003,341000,127.939089
2015-06-16,131.149994,132.800003,130.880005,132.679993,415500,129.283754
2015-06-17,133.059998,134.389999,131.789993,134.059998,452900,130.628435
2015-06-18,133.660004,135.860001,133.190002,135.259995,370600,132.658613
2015-06-19,134.789993,135.0,132.210007,133.779999,577700,131.207081
2015-06-22,133.850006,134.630005,132.669998,132.740005,560800,130.18709
2015-06-23,132.5,133.800003,131.289993,131.610001,317900,129.078818
2015-06-24,131.809998,133.139999,130.75,130.850006,269900,128.33344
2015-06-25,130.679993,132.509995,129.169998,129.399994,267900,126.911315
2015-06-26,129.5,131.0,128.059998,130.5,637400,127.990165
2015-06-29,130.289993,131.580002,127.690002,127.839996,255500,125.38132
2015-06-30,128.5,129.449997,127.480003,128.089996,425500,125.626512
2015-07-01,128.479996,130.479996,127.739998,130.449997,365200,127.941124
2015-07-02,132.039993,133.220001,130.669998,130.990005,253100,128.470747
2015-07-06,130.330002,132.759995,129.339996,132.589996,401400,130.039966
2015-07-07,132.990005,134.820007,132.539993,134.289993,340600,131.707267
2015-07-08,133.639999,134.690002,132.960007,134.470001,274600,131.883813
2015-07-09,134.940002,135.259995,132.990005,133.369995,241000,130.804963
2015-07-10,134.059998,135.619995,133.520004,134.059998,374700,131.481695
2015-07-13,135.080002,136.050003,133.720001,134.529999,172500,131.942657
2015-07-14,134.740005,135.429993,133.970001,134.25,278400,131.668043
2015-07-15,133.919998,135.580002,132.979996,134.600006,482200,132.011318
