Date,Open_ES,High_ES,Low_ES,Close_ES,Volume_ES,AdjClose_ES
2015-06-05,46.84,47.0,46.349998,46.689999,1560100,45.138367
2015-06-08,46.619999,46.689999,46.310001,46.330002,1054500,44.790334
2015-06-09,46.279999,46.599998,46.049999,46.330002,873800,44.790334
2015-06-10,46.490002,46.790001,46.150002,46.18,1282200,44.645317
2015-06-11,46.529999,46.860001,46.369999,46.66,989100,45.109365
2015-06-12,46.459999,46.540001,46.099998,46.099998,593000,44.567974
2015-06-15,46.009998,46.209999,45.790001,46.02,830200,44.490635
2015-06-16,45.950001,46.709999,45.73,46.68,1431900,45.128701
2015-06-17,46.57,47.0,46.310001,46.950001,1111600,45.389729
2015-06-18,46.93,47.709999,46.84,47.290001,1518200,45.71843
2015-06-19,47.27,47.509998,46.740002,46.740002,1819900,45.186709
2015-06-22,46.549999,46.950001,46.48,46.560001,1230600,45.01269
2015-06-23,46.439999,46.549999,45.779999,45.849998,1153400,44.326282
2015-06-24,45.889999,46.130001,45.560001,45.57,835600,44.055589
2015-06-25,45.689999,45.860001,45.439999,45.509998,1654900,43.997581
2015-06-26,45.439999,46.150002,45.200001,45.990002,2279500,44.461633
2015-06-29,46.150002,46.509998,45.470001,45.5,1444900,43.987915
2015-06-30,45.68,45.779999,45.310001,45.41,1995300,43.900906
2015-07-01,45.529999,45.73,45.34,45.57,1798900,44.055589
2015-07-02,45.970001,46.560001,45.790001,46.509998,1839700,44.964349
2015-07-06,44.880001,46.549999,44.639999,46.310001,7597500,44.770998
2015-07-07,46.549999,47.75,46.529999,47.380001,3802800,45.805439
2015-07-08,47.279999,47.77,46.889999,47.130001,3002700,45.563747
2015-07-09,47.25,47.349998,46.240002,46.73,2986100,45.177039
2015-07-10,46.740002,47.369999,46.540001,46.889999,1830700,45.331721
2015-07-13,47.150002,47.389999,46.810001,47.040001,1331700,45.476738
2015-07-14,47.040001,47.349998,46.889999,47.299999,1322000,45.728096
2015-07-15,47.299999,47.860001,47.07,47.720001,1946800,46.13414
2015-07-16,47.68,48.400002,47.580002,48.299999,1080400,46.694863
2015-07-17,48.299999,48.490002,47.849998,47.919998,1246800,46.327491
2015-07-20,47.849998,47.889999,47.209999,47.580002,1259900,45.998793
2015-07-21,47.580002,47.68,46.93,47.52,1683300,45.940786
2015-07-22,47.639999,48.439999,47.360001,47.830002,3469100,46.240485
2015-07-23,47.82,47.82,46.959999,47.349998,2689100,45.776434
2015-07-24,47.290001,47.560001,47.040001,47.209999,2538800,45.641087
2015-07-27,47.27,48.110001,47.27,47.869999,1207300,46.279153
2015-07-28,47.869999,48.18,47.639999,48.119999,1310500,46.520845
2015-07-29,48.099998,48.34,47.810001,48.290001,1170600,46.685197
2015-07-30,48.130001,48.869999,48.029999,48.77,1360800,47.149245
2015-07-31,49.57,49.990002,49.07,49.720001,1996100,48.067675
2015-08-03,49.77,50.220001,49.580002,49.849998,1810000,48.193352
2015-08-04,49.830002,49.830002,49.02,49.099998,1004300,47.468276
2015-08-05,49.290001,49.549999,49.080002,49.240002,836600,47.603627
2015-08-06,49.279999,49.619999,48.98,49.529999,1556200,47.883987
2015-08-07,49.259998,49.970001,49.029999,49.799999,2142900,48.145014
2015-08-10,49.970001,50.18,49.799999,50.02,1834800,48.357704
2015-08-11,50.07,50.68,49.860001,50.41,1189100,48.734743
2015-08-12,50.419998,51.150002,50.099998,50.91,1289200,49.218127
2015-08-13,50.610001,51.029999,50.200001,50.790001,1413800,49.102116
2015-08-14,50.84,51.220001,50.540001,51.18,885600,49.479154
2015-08-17,51.23,51.740002,51.119999,51.610001,1257000,49.894865
2015-08-18,51.389999,51.639999,51.169998,51.470001,1803300,49.759518
2015-08-19,51.32,51.790001,51.02,51.68,1534400,49.962538
2015-08-20,51.439999,52.150002,51.299999,51.619999,1366900,49.904531
2015-08-21,51.5,51.75,51.009998,51.040001,1713700,49.343807
2015-08-24,49.330002,50.610001,48.68,48.919998,3000900,47.294258
2015-08-25,49.240002,49.720001,47.209999,47.25,2158200,45.679758
2015-08-26,47.599998,48.189999,47.060001,48.080002,1617400,46.482177
2015-08-27,48.369999,48.619999,47.869999,48.59,1263400,46.975227
2015-08-28,48.5,48.77,47.540001,48.290001,1550300,46.685197
2015-08-31,48.119999,48.290001,46.889999,47.240002,2731700,45.670092
2015-09-01,46.720001,46.75,45.830002,46.07,2329300,44.538972
2015-09-02,46.540001,46.619999,45.880001,46.150002,2330800,44.616316
2015-09-03,46.360001,46.610001,46.169998,46.459999,2073400,44.916011
2015-09-04,46.029999,46.18,45.630001,45.740002,1494700,44.219941
2015-09-08,46.139999,46.57,46.07,46.48,1710000,44.935347
2015-09-09,46.509998,46.619999,45.779999,45.869999,1724700,44.345618
2015-09-10,45.299999,45.91,45.299999,45.5,1707500,44.39245
2015-09-11,45.349998,46.09,45.139999,46.09,2064000,44.968088
2015-09-14,46.080002,46.470001,45.970001,46.25,1129300,45.124194
2015-09-15,46.349998,46.82,46.07,46.700001,1764600,45.56324
2015-09-16,46.650002,46.93,46.459999,46.709999,1929500,45.572995
2015-09-17,46.810001,48.330002,46.57,47.66,2985700,46.499871
2015-09-18,47.43,48.080002,47.09,47.220001,3593800,46.070583
2015-09-21,47.369999,47.66,47.150002,47.509998,1441900,46.353521
2015-09-22,47.330002,47.68,47.09,47.470001,1634100,46.314498
2015-09-23,47.48,47.880001,47.279999,47.720001,1617100,46.558412
2015-09-24,47.59,48.240002,47.459999,48.169998,2281700,46.997456
2015-09-25,48.330002,49.369999,47.939999,48.889999,1733000,47.699931
2015-09-28,48.830002,49.200001,48.669998,49.09,2001500,47.895063
2015-09-29,49.209999,49.77,49.110001,49.299999,2501800,48.09995
2015-09-30,49.259998,50.66,49.110001,50.619999,2556300,49.387819
2015-10-01,50.709999,50.709999,49.259998,49.919998,1934800,48.704857
2015-10-02,50.200001,50.630001,49.84,50.509998,1228900,49.280496
2015-10-05,50.68,51.189999,50.299999,51.099998,1473200,49.856134
2015-10-06,50.990002,51.110001,50.360001,50.639999,1545300,49.407333
2015-10-07,50.759998,50.84,50.290001,50.419998,1487500,49.192687
2015-10-08,50.32,51.110001,50.169998,51.07,1034000,49.826866
2015-10-09,51.0,51.02,50.48,50.630001,1007900,49.397578
2015-10-12,50.73,51.43,50.709999,51.18,949400,49.934189
2015-10-13,50.990002,51.450001,50.84,50.950001,1327700,49.709788
2015-10-14,51.130001,51.599998,51.029999,51.25,1346300,50.002485
2015-10-15,51.34,51.93,51.040001,51.830002,1258900,50.568368
2015-10-16,51.98,52.529999,51.939999,52.240002,1289800,50.968388
2015-10-19,52.060001,52.220001,51.549999,51.98,1342400,50.714715
2015-10-20,51.82,52.27,51.560001,52.200001,1343400,50.929361
2015-10-21,52.27,52.709999,51.93,52.060001,1167400,50.792769
2015-10-22,52.16,52.849998,52.029999,52.700001,1080000,51.41719
2015-10-23,52.610001,52.68,51.639999,51.720001,1017400,50.461045
2015-10-26,51.779999,52.09,51.360001,52.049999,903000,50.783011
2015-10-27,52.040001,52.25,51.639999,51.93,783700,50.665933
2015-10-28,51.93,52.16,50.43,50.970001,1283500,49.729302
2015-10-29,50.610001,50.860001,49.830002,50.759998,1265500,49.524411
2015-10-30,50.77,51.169998,50.599998,50.939999,1392900,49.700029
2015-11-02,50.970001,51.259998,50.490002,50.959999,1281900,49.719543
2015-11-03,50.099998,51.540001,50.099998,51.450001,1557900,50.197617
2015-11-04,51.34,51.98,51.209999,51.59,1113700,50.334209
2015-11-05,51.509998,51.82,51.360001,51.5,1086500,50.246399
2015-11-06,50.75,51.060001,48.84,49.02,1801700,47.826767
2015-11-09,48.82,49.43,48.66,49.349998,1304700,48.148733
2015-11-10,49.48,50.450001,49.18,50.369999,1435600,49.143904
2015-11-11,50.509998,51.139999,50.389999,51.07,1183800,49.826866
2015-11-12,50.66,51.380001,50.16,50.23,1552700,49.007313
2015-11-13,50.34,50.73,49.689999,49.799999,949300,48.58778
2015-11-16,49.849998,51.02,49.84,50.970001,1383800,49.729302
2015-11-17,50.830002,51.220001,49.48,49.650002,1805800,48.441433
2015-11-18,49.790001,50.68,49.400002,50.599998,1603900,49.368305
2015-11-19,50.77,51.290001,50.490002,51.040001,1610900,49.797597
