Date,Open_PRGO,High_PRGO,Low_PRGO,Close_PRGO,Volume_PRGO,AdjClose_PRGO
2015-06-05,192.539993,192.869995,190.899994,191.259995,969000,190.455589
2015-06-08,191.449997,191.759995,188.179993,188.929993,1104000,188.135387
2015-06-09,188.869995,190.479996,188.009995,188.169998,1197200,187.378588
2015-06-10,187.580002,188.779999,186.830002,188.0,990800,187.209305
2015-06-11,187.210007,189.339996,186.399994,186.910004,1026500,186.123893
2015-06-12,185.809998,186.800003,184.119995,184.570007,1235500,183.793739
2015-06-15,183.350006,186.339996,182.910004,183.300003,1121400,182.529076
2015-06-16,187.119995,192.050003,186.440002,191.25,2242900,190.445636
2015-06-17,190.389999,190.800003,188.039993,188.330002,859800,187.537919
2015-06-18,188.5,189.869995,188.240005,188.279999,756400,187.488126
2015-06-19,188.089996,190.0,184.240005,185.0,3409400,184.221923
2015-06-22,186.520004,186.759995,184.320007,184.869995,739200,184.092465
2015-06-23,186.009995,190.669998,185.789993,189.389999,1138400,188.593459
2015-06-24,189.639999,190.169998,188.059998,189.160004,946200,188.36443
2015-06-25,190.460007,191.75,187.600006,189.210007,693500,188.414223
2015-06-26,190.009995,190.679993,187.199997,190.550003,757100,189.748583
2015-06-29,187.529999,188.289993,183.880005,184.139999,1025000,183.365539
2015-06-30,186.259995,187.470001,183.960007,184.830002,927600,184.05264
2015-07-01,185.740005,188.789993,184.289993,185.059998,1031300,184.281668
2015-07-02,185.179993,186.850006,183.130005,183.679993,830900,182.907467
2015-07-06,183.990005,188.559998,182.320007,185.660004,2001300,184.879151
2015-07-07,185.320007,185.860001,181.210007,182.940002,1549800,182.170589
2015-07-08,181.789993,182.910004,178.889999,180.320007,879600,179.561613
2015-07-09,182.350006,182.539993,179.490005,180.009995,805600,179.252904
2015-07-10,181.610001,182.110001,179.0,180.860001,999200,180.099335
2015-07-13,182.699997,185.0,182.080002,184.020004,923600,183.246049
2015-07-14,183.300003,187.399994,182.690002,186.190002,1026700,185.40692
2015-07-15,186.199997,187.169998,183.880005,186.679993,914400,185.89485
2015-07-16,187.5,187.5,185.190002,186.809998,966800,186.024308
2015-07-17,186.649994,187.399994,184.270004,185.860001,920100,185.078306
2015-07-20,185.949997,187.850006,184.279999,187.639999,452700,186.850819
2015-07-21,187.380005,188.490005,185.190002,187.070007,450300,186.283224
2015-07-22,186.949997,190.309998,185.929993,189.050003,796600,188.254892
2015-07-23,191.610001,192.470001,187.259995,189.710007,870500,188.91212
2015-07-24,187.440002,190.460007,185.380005,186.5,871400,185.715614
2015-07-27,192.0,196.899994,191.710007,193.600006,5945000,192.785759
2015-07-28,192.779999,193.5,187.839996,192.070007,2574200,191.262195
2015-07-29,190.889999,194.5,190.460007,192.830002,1464700,192.018993
2015-07-30,191.600006,193.210007,191.289993,191.429993,638500,190.624872
2015-07-31,192.740005,193.789993,191.0,192.199997,586400,191.391638
2015-08-03,192.199997,194.5,191.130005,192.5,667800,191.690379
2015-08-04,191.690002,192.490005,187.759995,190.639999,1181400,189.838201
2015-08-05,192.149994,192.460007,188.509995,189.649994,1147100,188.85236
2015-08-06,189.940002,189.940002,180.399994,188.240005,2267900,187.448301
2015-08-07,188.050003,190.289993,186.009995,190.210007,1024200,189.410017
2015-08-10,191.309998,194.039993,190.669998,193.990005,768500,193.174118
2015-08-11,192.690002,193.039993,190.179993,192.800003,1264800,191.98912
2015-08-12,191.960007,192.070007,186.059998,186.059998,1534700,185.277462
2015-08-13,187.929993,193.270004,187.520004,192.5,1854100,191.690379
2015-08-14,190.399994,196.600006,188.949997,196.0,2929700,195.175659
2015-08-17,195.0,197.830002,194.710007,197.059998,1641700,196.231198
2015-08-18,196.470001,198.419998,194.960007,195.539993,795300,194.717587
2015-08-19,194.309998,196.610001,194.309998,195.440002,964800,194.618016
2015-08-20,194.850006,196.210007,192.610001,192.660004,800000,191.84971
2015-08-21,191.059998,192.0,184.389999,186.889999,2816900,186.103973
2015-08-24,172.679993,183.0,170.690002,178.5,2301700,177.749261
2015-08-25,182.729996,184.0,177.270004,178.0,1820800,177.251364
2015-08-26,180.610001,183.839996,176.740005,183.759995,1098200,183.11572
2015-08-27,184.139999,188.339996,183.429993,188.190002,1131200,187.530196
2015-08-28,190.089996,190.160004,183.910004,185.419998,1070200,184.769904
2015-08-31,183.850006,186.240005,182.210007,182.970001,634800,182.328497
2015-09-01,181.169998,182.350006,178.179993,179.460007,787100,178.830808
2015-09-02,180.789993,181.589996,177.149994,181.589996,760200,180.95333
2015-09-03,181.179993,182.199997,177.039993,177.949997,610500,177.326093
2015-09-04,176.589996,180.270004,176.110001,178.800003,576600,178.173119
2015-09-08,178.580002,183.139999,178.460007,180.649994,689700,180.016623
2015-09-09,181.259995,182.509995,176.660004,177.070007,710600,176.449188
2015-09-10,176.770004,179.610001,175.779999,178.169998,947800,177.545323
2015-09-11,177.119995,179.809998,176.5,179.669998,655600,179.040064
2015-09-14,179.839996,181.940002,176.5,181.259995,568100,180.624485
2015-09-15,182.0,184.770004,180.369995,183.460007,725500,182.816784
2015-09-16,182.919998,183.639999,178.770004,182.389999,946800,181.750528
2015-09-17,180.5,183.570007,180.380005,181.080002,1180000,180.445124
2015-09-18,179.770004,180.919998,178.240005,178.570007,1365600,177.943929
