Date,Open_SWK,High_SWK,Low_SWK,Close_SWK,Volume_SWK,AdjClose_SWK
2015-06-05,102.860001,103.629997,102.849998,103.5,896700,101.325257
2015-06-08,103.510002,104.139999,103.339996,103.639999,1115200,101.462315
2015-06-09,103.660004,104.260002,103.379997,103.970001,861800,101.785383
2015-06-10,104.300003,106.519997,104.230003,106.389999,1540300,104.154532
2015-06-11,106.779999,107.239998,106.300003,106.790001,1478400,104.546129
2015-06-12,106.589996,106.699997,106.0,106.279999,853800,104.046843
2015-06-15,105.300003,105.790001,105.07,105.690002,904500,103.469243
2015-06-16,105.639999,105.959999,105.269997,105.779999,1131500,103.557349
2015-06-17,106.269997,106.349998,104.870003,105.599998,1133200,103.38113
2015-06-18,104.790001,106.830002,104.790001,106.559998,785500,104.320958
2015-06-19,106.709999,107.190002,106.379997,106.860001,1299000,104.614657
2015-06-22,107.480003,107.690002,106.959999,107.290001,686700,105.035623
2015-06-23,107.279999,107.559998,107.139999,107.330002,659000,105.074783
2015-06-24,107.349998,107.419998,106.040001,106.360001,1034600,104.125163
2015-06-25,106.379997,106.730003,105.57,105.699997,778100,103.479028
2015-06-26,105.879997,106.440002,105.660004,106.389999,784400,104.154532
2015-06-29,105.529999,106.07,104.900002,104.989998,834800,102.783947
2015-06-30,105.68,106.589996,104.830002,105.239998,1069000,103.028694
2015-07-01,106.699997,108.629997,106.699997,107.5,2290700,105.241209
2015-07-02,107.75,107.849998,107.089996,107.709999,1111000,105.446796
2015-07-06,106.75,108.129997,106.32,107.379997,737200,105.123728
2015-07-07,107.660004,107.839996,106.07,107.650002,958200,105.388059
2015-07-08,107.239998,107.239998,105.739998,106.190002,1000200,103.958737
2015-07-09,107.709999,107.93,105.800003,105.82,961700,103.596509
2015-07-10,107.169998,107.169998,106.18,106.660004,829400,104.418863
2015-07-13,107.599998,107.690002,107.139999,107.580002,780200,105.31953
2015-07-14,107.610001,107.970001,107.470001,107.589996,863300,105.329314
2015-07-15,107.589996,107.720001,106.910004,107.18,657700,104.927933
2015-07-16,107.889999,108.029999,107.139999,107.209999,906900,104.957302
2015-07-17,107.099998,107.470001,106.660004,107.349998,624200,105.094359
2015-07-20,107.489998,108.279999,107.160004,107.900002,1033200,105.632806
2015-07-21,107.610001,107.760002,106.260002,106.790001,1102600,104.546129
2015-07-22,106.68,107.129997,106.18,106.690002,911400,104.448231
2015-07-23,106.349998,107.129997,106.099998,106.349998,755300,104.115371
2015-07-24,106.220001,106.360001,104.699997,105.139999,959400,102.930797
2015-07-27,104.459999,104.900002,104.160004,104.68,1016800,102.480463
2015-07-28,104.980003,106.779999,104.809998,106.169998,1375900,103.939153
