Date,Open_DVA,High_DVA,Low_DVA,Close_DVA,Volume_DVA,AdjClose_DVA
2015-06-05,82.379997,82.75,81.849998,82.540001,638100,82.540001
2015-06-08,82.309998,82.699997,81.809998,81.870003,1068400,81.870003
2015-06-09,82.0,82.470001,81.43,81.489998,797100,81.489998
2015-06-10,81.75,82.019997,81.440002,81.68,977000,81.68
2015-06-11,82.019997,82.379997,81.739998,82.190002,699300,82.190002
2015-06-12,81.739998,82.139999,81.309998,81.400002,489600,81.400002
2015-06-15,81.040001,81.510002,80.779999,81.279999,736200,81.279999
2015-06-16,81.209999,82.0,81.209999,81.510002,821000,81.510002
2015-06-17,81.699997,81.699997,80.730003,81.07,975800,81.07
2015-06-18,81.449997,81.760002,80.900002,81.449997,887100,81.449997
2015-06-19,81.440002,82.370003,81.019997,82.190002,2881700,82.190002
2015-06-22,83.330002,83.330002,82.040001,82.129997,1264800,82.129997
2015-06-23,82.110001,82.309998,81.489998,81.57,842600,81.57
2015-06-24,81.550003,81.550003,80.190002,80.190002,987100,80.190002
2015-06-25,80.57,81.349998,79.75,80.910004,1555700,80.910004
2015-06-26,80.980003,81.379997,80.860001,81.080002,1581600,81.080002
2015-06-29,80.209999,81.209999,79.559998,79.610001,1216300,79.610001
2015-06-30,79.970001,80.150002,79.309998,79.470001,1737500,79.470001
2015-07-01,79.959999,80.400002,79.199997,79.32,1735800,79.32
2015-07-02,79.540001,79.769997,78.940002,78.940002,1258500,78.940002
2015-07-06,78.529999,80.110001,78.529999,79.550003,2077200,79.550003
2015-07-07,79.940002,80.040001,78.849998,79.660004,1200000,79.660004
2015-07-08,79.160004,79.5,78.669998,78.809998,903700,78.809998
2015-07-09,79.75,79.75,78.790001,78.82,897800,78.82
2015-07-10,79.5,79.519997,79.120003,79.300003,955300,79.300003
2015-07-13,79.709999,79.860001,78.910004,79.5,985900,79.5
2015-07-14,79.709999,80.220001,79.440002,80.07,1177100,80.07
2015-07-15,80.260002,80.400002,79.620003,79.669998,981900,79.669998
2015-07-16,79.989998,80.410004,79.599998,79.839996,584900,79.839996
2015-07-17,79.839996,80.019997,79.510002,79.970001,1263500,79.970001
2015-07-20,79.970001,80.279999,79.760002,79.879997,878000,79.879997
2015-07-21,80.0,80.260002,79.07,79.620003,1129500,79.620003
2015-07-22,79.660004,80.25,79.629997,80.059998,1034500,80.059998
2015-07-23,80.290001,80.989998,79.910004,80.129997,602700,80.129997
2015-07-24,79.910004,79.959999,79.129997,79.389999,533300,79.389999
2015-07-27,79.199997,79.209999,78.209999,78.43,812500,78.43
2015-07-28,78.599998,79.040001,77.779999,79.019997,579600,79.019997
2015-07-29,79.160004,79.410004,78.669998,79.07,514400,79.07
2015-07-30,79.050003,79.360001,78.269997,78.629997,755800,78.629997
2015-07-31,78.629997,79.610001,78.400002,79.029999,671600,79.029999
2015-08-03,79.07,79.75,78.940002,79.709999,725900,79.709999
2015-08-04,79.919998,80.660004,79.690002,80.199997,942500,80.199997
2015-08-05,79.989998,80.989998,79.610001,80.489998,1803500,80.489998
2015-08-06,80.489998,81.290001,80.489998,81.139999,1514000,81.139999
2015-08-07,80.989998,81.349998,80.309998,81.019997,1107100,81.019997
2015-08-10,81.330002,81.889999,80.93,81.050003,949900,81.050003
2015-08-11,80.720001,81.099998,80.5,80.769997,1010500,80.769997
2015-08-12,80.230003,80.32,79.169998,79.949997,836200,79.949997
2015-08-13,79.809998,80.349998,79.449997,79.650002,786400,79.650002
2015-08-14,79.709999,80.32,79.470001,80.279999,533000,80.279999
2015-08-17,79.949997,80.300003,79.610001,80.279999,874300,80.279999
2015-08-18,80.25,80.629997,79.949997,80.0,722500,80.0
2015-08-19,79.940002,80.339996,79.349998,80.080002,1160700,80.080002
2015-08-20,79.510002,79.699997,78.519997,78.529999,1522400,78.529999
2015-08-21,78.040001,78.129997,75.889999,75.989998,1301000,75.989998
2015-08-24,76.0,76.57,71.650002,74.080002,1989700,74.080002
2015-08-25,75.269997,76.010002,74.169998,74.330002,2151100,74.330002
2015-08-26,75.18,76.300003,74.110001,76.120003,1581500,76.120003
2015-08-27,76.559998,77.129997,75.550003,76.650002,1266900,76.650002
2015-08-28,76.459999,76.800003,75.870003,76.290001,1188100,76.290001
2015-08-31,76.209999,77.07,75.459999,75.639999,1223000,75.639999
2015-09-01,74.080002,75.099998,73.699997,74.050003,1309300,74.050003
2015-09-02,74.540001,75.120003,73.949997,75.120003,990700,75.120003
2015-09-03,75.279999,75.82,74.830002,75.440002,1614700,75.440002
2015-09-04,74.459999,75.18,74.260002,74.550003,955600,74.550003
2015-09-08,75.480003,75.599998,74.959999,75.459999,1397200,75.459999
2015-09-09,75.959999,76.199997,74.599998,74.739998,1023900,74.739998
2015-09-10,74.559998,74.980003,74.019997,74.639999,1018300,74.639999
2015-09-11,74.379997,75.0,73.940002,75.0,1323300,75.0
2015-09-14,75.230003,75.470001,74.610001,74.769997,1200800,74.769997
2015-09-15,74.910004,75.440002,74.599998,75.150002,1103700,75.150002
2015-09-16,75.190002,76.099998,75.0,75.82,1910400,75.82
2015-09-17,75.760002,76.410004,75.550003,75.769997,1342700,75.769997
2015-09-18,75.18,75.790001,74.809998,74.989998,1480900,74.989998
2015-09-21,75.220001,76.25,75.07,76.019997,1589200,76.019997
2015-09-22,75.339996,75.849998,75.110001,75.360001,1445100,75.360001
2015-09-23,75.239998,76.190002,75.089996,75.519997,845200,75.519997
2015-09-24,74.959999,75.160004,73.940002,74.349998,995700,74.349998
2015-09-25,74.580002,74.870003,71.800003,72.260002,1239100,72.260002
2015-09-28,71.980003,72.0,70.120003,70.93,1965000,70.93
2015-09-29,70.889999,71.529999,70.269997,71.18,1458600,71.18
2015-09-30,71.629997,72.790001,70.400002,72.330002,1185400,72.330002
2015-10-01,72.330002,72.739998,71.480003,72.050003,1583700,72.050003
2015-10-02,71.660004,73.389999,70.940002,72.900002,858500,72.900002
2015-10-05,73.349998,73.889999,72.669998,73.360001,1066900,73.360001
2015-10-06,73.330002,73.480003,71.68,72.150002,1184800,72.150002
2015-10-07,72.449997,73.190002,71.860001,73.190002,1061500,73.190002
2015-10-08,73.349998,73.360001,72.220001,73.099998,659100,73.099998
2015-10-09,73.190002,73.739998,72.709999,73.160004,814100,73.160004
2015-10-12,72.949997,73.760002,72.870003,73.639999,595800,73.639999
2015-10-13,73.449997,74.220001,73.18,73.349998,939000,73.349998
2015-10-14,73.57,73.980003,73.019997,73.239998,634300,73.239998
2015-10-15,73.309998,75.370003,73.129997,75.230003,1072900,75.230003
2015-10-16,75.599998,76.559998,75.309998,76.5,1115900,76.5
2015-10-19,76.32,76.75,75.82,76.330002,590100,76.330002
2015-10-20,76.330002,76.660004,75.809998,76.190002,493500,76.190002
2015-10-21,76.559998,76.68,75.010002,76.459999,758200,76.459999
2015-10-22,76.589996,76.739998,74.089996,74.980003,1453200,74.980003
2015-10-23,75.400002,76.480003,75.230003,75.940002,838800,75.940002
2015-10-26,75.849998,76.529999,75.470001,76.400002,1172400,76.400002
2015-10-27,76.290001,77.230003,76.260002,76.949997,555800,76.949997
2015-10-28,76.889999,77.470001,75.220001,77.440002,1052800,77.440002
2015-10-29,77.440002,77.910004,76.860001,77.75,611700,77.75
2015-10-30,77.75,78.25,77.43,77.510002,765400,77.510002
2015-11-02,77.860001,78.220001,77.519997,78.160004,825000,78.160004
2015-11-03,77.849998,78.510002,77.5,77.599998,1093100,77.599998
2015-11-04,73.239998,78.940002,73.239998,77.449997,1427300,77.449997
2015-11-05,77.489998,77.910004,76.959999,77.75,1472000,77.75
2015-11-06,77.599998,77.769997,77.190002,77.269997,1128100,77.269997
2015-11-09,76.980003,77.239998,75.370003,75.589996,1819700,75.589996
2015-11-10,75.660004,76.309998,75.660004,76.110001,1158400,76.110001
2015-11-11,76.389999,76.559998,74.860001,74.970001,882300,74.970001
2015-11-12,74.690002,74.709999,73.190002,73.239998,1224000,73.239998
2015-11-13,73.059998,73.610001,72.519997,72.580002,1222500,72.580002
2015-11-16,72.489998,73.540001,72.279999,73.510002,1194900,73.510002
2015-11-17,73.5,73.809998,72.779999,73.150002,1427800,73.150002
2015-11-18,73.410004,74.089996,73.199997,73.989998,1526600,73.989998
2015-11-19,73.739998,73.760002,72.580002,73.209999,1280900,73.209999
2015-11-20,73.209999,73.650002,72.959999,73.529999,999900,73.529999
2015-11-23,73.57,73.980003,73.18,73.410004,1299200,73.410004
2015-11-24,72.809998,73.709999,72.639999,73.5,1181700,73.5
2015-11-25,73.559998,73.910004,73.220001,73.75,1118700,73.75
2015-11-27,73.889999,74.400002,73.510002,74.32,1224100,74.32
2015-11-30,74.610001,74.919998,72.970001,73.040001,1909100,73.040001
2015-12-01,73.410004,73.93,73.169998,73.519997,1669000,73.519997
2015-12-02,73.43,73.889999,72.650002,72.769997,944300,72.769997
2015-12-03,72.75,73.07,71.330002,71.669998,1013600,71.669998
2015-12-04,71.989998,72.709999,71.68,72.220001,2646800,72.220001
2015-12-07,72.199997,72.279999,71.389999,71.550003,1693900,71.550003
2015-12-08,71.440002,71.580002,70.919998,71.370003,1783200,71.370003
2015-12-09,71.019997,71.940002,70.660004,70.860001,1099600,70.860001
2015-12-10,70.809998,71.290001,70.580002,71.0,867500,71.0
2015-12-11,70.300003,70.620003,69.519997,69.709999,1018100,69.709999
2015-12-14,69.790001,70.110001,67.339996,68.07,1804500,68.07
2015-12-15,68.550003,68.900002,67.919998,68.019997,1979700,68.019997
2015-12-16,68.169998,68.610001,67.639999,68.129997,2815000,68.129997
2015-12-17,68.050003,68.82,68.0,68.120003,4993500,68.120003
2015-12-18,67.949997,68.129997,67.790001,67.790001,5832400,67.790001
2015-12-21,67.970001,69.550003,67.849998,69.0,2844300,69.0
2015-12-22,69.370003,69.870003,68.779999,69.57,1883500,69.57
2015-12-23,69.809998,70.470001,69.57,70.300003,1416400,70.300003
2015-12-24,70.139999,70.510002,70.019997,70.139999,318300,70.139999
2015-12-28,70.050003,70.269997,69.870003,70.220001,735900,70.220001
2015-12-29,70.43,70.879997,70.220001,70.610001,513700,70.610001
2015-12-30,70.510002,70.75,69.959999,70.019997,1237100,70.019997
2015-12-31,69.82,70.279999,69.68,69.709999,1024300,69.709999
2016-01-04,68.809998,68.889999,68.290001,68.669998,1817300,68.669998
2016-01-05,68.720001,69.540001,68.720001,69.120003,1239300,69.120003
2016-01-06,68.220001,69.190002,67.93,68.160004,2702600,68.160004
2016-01-07,67.360001,68.099998,67.300003,67.620003,1913400,67.620003
2016-01-08,67.75,68.589996,67.599998,67.669998,1950100,67.669998
2016-01-11,67.720001,68.300003,66.669998,67.230003,2125300,67.230003
2016-01-12,67.489998,68.419998,66.620003,67.449997,1151100,67.449997
2016-01-13,67.400002,67.730003,65.949997,66.129997,1535000,66.129997
2016-01-14,66.150002,67.830002,65.790001,67.449997,1769500,67.449997
2016-01-15,66.290001,66.870003,65.690002,66.470001,1548300,66.470001
2016-01-19,66.809998,67.110001,64.910004,65.709999,1336700,65.709999
2016-01-20,64.980003,65.889999,63.380001,65.410004,1171500,65.410004
2016-01-21,65.480003,65.970001,64.709999,65.199997,974500,65.199997
2016-01-22,65.790001,67.050003,65.660004,66.889999,1010500,66.889999
2016-01-25,66.720001,67.169998,65.879997,65.949997,740200,65.949997
2016-01-26,66.239998,66.629997,65.720001,66.519997,528000,66.519997
2016-01-27,66.68,66.980003,65.18,65.720001,997500,65.720001
2016-01-28,66.110001,66.510002,64.32,64.449997,1216400,64.449997
2016-01-29,64.82,67.120003,64.559998,67.120003,2112100,67.120003
2016-02-01,66.730003,67.5,66.449997,67.410004,883400,67.410004
2016-02-02,66.949997,67.129997,65.900002,66.260002,1025800,66.260002
2016-02-03,66.480003,66.529999,64.540001,65.440002,1534300,65.440002
2016-02-04,65.050003,65.830002,64.779999,65.449997,1113500,65.449997
2016-02-05,65.129997,65.339996,63.650002,63.900002,906700,63.900002
2016-02-08,63.279999,63.310001,61.889999,62.240002,2263900,62.240002
