Date,Open_NDAQ,High_NDAQ,Low_NDAQ,Close_NDAQ,Volume_NDAQ,AdjClose_NDAQ
2015-06-05,51.310001,51.610001,50.43,50.529999,1457100,49.624082
2015-06-08,50.580002,50.580002,49.509998,50.029999,1541900,49.133046
2015-06-09,50.150002,50.360001,49.689999,50.139999,962600,49.241074
2015-06-10,50.169998,50.959999,50.169998,50.759998,1000300,50.099758
2015-06-11,50.959999,51.279999,50.860001,51.09,583000,50.425467
2015-06-12,51.040001,51.16,50.669998,50.740002,544800,50.080021
2015-06-15,50.439999,50.560001,49.93,50.34,587900,49.685223
2015-06-16,50.299999,50.700001,50.189999,50.59,621100,49.931971
2015-06-17,50.599998,51.360001,50.509998,51.049999,980700,50.385987
2015-06-18,51.369999,51.59,51.139999,51.279999,804500,50.612994
2015-06-19,50.889999,51.169998,50.220001,50.389999,1241300,49.734571
2015-06-22,50.630001,51.0,50.450001,50.619999,544200,49.961579
2015-06-23,50.779999,50.860001,50.470001,50.540001,486800,49.882622
2015-06-24,50.48,50.630001,49.73,49.740002,750800,49.093028
2015-06-25,49.880001,50.34,49.799999,49.959999,762000,49.310164
2015-06-26,50.02,50.169998,49.650002,49.700001,746200,49.053548
2015-06-29,49.310001,49.509998,48.529999,48.549999,780900,47.918504
2015-06-30,48.869999,49.209999,48.630001,48.810001,821900,48.175125
2015-07-01,48.799999,49.080002,48.299999,48.709999,1171900,48.076423
2015-07-02,49.080002,49.200001,48.689999,49.130001,1121600,48.490962
2015-07-06,49.080002,49.200001,48.439999,48.759998,1195200,48.125772
2015-07-07,48.689999,48.889999,47.810001,48.84,1317200,48.204733
2015-07-08,48.57,48.619999,47.860001,47.860001,1763300,47.237481
2015-07-09,48.639999,49.849998,48.5,49.220001,1444400,48.579792
2015-07-10,50.169998,50.639999,49.540001,50.48,1013700,49.823401
2015-07-13,50.970001,51.18,50.669998,50.68,778100,50.0208
2015-07-14,50.669998,51.290001,50.52,51.16,529700,50.494556
2015-07-15,51.060001,51.400002,50.810001,51.23,630600,50.563646
2015-07-16,51.560001,51.869999,51.400002,51.869999,681800,51.19532
2015-07-17,51.720001,51.900002,51.470001,51.84,520200,51.165712
2015-07-20,51.790001,52.009998,51.630001,51.75,470500,51.076882
2015-07-21,51.75,51.810001,51.080002,51.209999,738800,50.543905
2015-07-22,50.970001,51.779999,50.970001,51.73,912200,51.057142
2015-07-23,50.889999,52.220001,50.860001,51.529999,731700,50.859743
2015-07-24,51.650002,52.419998,51.619999,51.889999,663800,51.215061
2015-07-27,51.759998,51.900002,51.080002,51.169998,940800,50.504425
2015-07-28,51.310001,51.669998,50.459999,50.639999,1387500,49.98132
2015-07-29,50.580002,51.23,48.77,50.990002,762200,50.326769
2015-07-30,50.889999,51.189999,50.73,50.990002,1112800,50.326769
2015-07-31,51.580002,51.630001,50.790001,51.029999,1054500,50.366246
2015-08-03,50.689999,51.029999,50.689999,50.990002,923300,50.326769
2015-08-04,51.099998,51.599998,50.93,51.380001,2275100,50.711696
2015-08-05,51.580002,52.549999,51.450001,52.470001,1328700,51.787518
2015-08-06,52.720001,53.5,52.349998,52.779999,1508700,52.093484
2015-08-07,52.529999,53.0,52.459999,52.93,1011300,52.241534
2015-08-10,53.34,53.950001,53.09,53.549999,892500,52.853469
2015-08-11,53.32,53.509998,52.939999,53.310001,836200,52.616593
2015-08-12,52.759998,53.16,52.009998,53.040001,821700,52.350104
2015-08-13,53.080002,53.98,52.939999,53.630001,813600,52.93243
2015-08-14,53.630001,54.349998,53.450001,54.259998,845800,53.554233
2015-08-17,54.049999,54.400002,53.549999,54.169998,942500,53.465403
2015-08-18,54.279999,54.68,54.060001,54.310001,875600,53.603586
2015-08-19,54.060001,54.259998,53.580002,54.029999,1413500,53.327225
2015-08-20,53.459999,53.720001,53.060001,53.060001,1251300,52.369844
2015-08-21,52.650002,53.049999,51.369999,51.549999,4102000,50.879483
2015-08-24,49.080002,51.470001,47.950001,49.639999,2449800,48.994327
2015-08-25,50.880001,51.110001,48.84,48.84,3335600,48.204733
2015-08-26,50.130001,50.490002,48.200001,49.689999,5780000,49.043676
2015-08-27,50.240002,51.310001,50.240002,51.299999,1794600,50.632735
2015-08-28,51.110001,51.540001,51.009998,51.490002,1276000,50.820266
2015-08-31,51.130001,51.549999,51.009998,51.189999,1404400,50.524165
2015-09-01,50.09,50.639999,49.82,50.02,1604500,49.369385
2015-09-02,50.630001,50.84,50.080002,50.779999,954800,50.119498
2015-09-03,50.990002,51.75,50.869999,51.150002,766800,50.484688
2015-09-04,50.689999,50.860001,50.040001,50.299999,769400,49.645742
2015-09-08,51.060001,51.98,50.959999,51.959999,821400,51.28415
2015-09-09,52.41,52.48,50.810001,50.950001,1006400,50.53041
