Date,Open_OI,High_OI,Low_OI,Close_OI,Volume_OI,AdjClose_OI
2015-06-05,24.0,24.43,23.93,24.32,1177200,24.32
2015-06-08,24.33,24.379999,24.17,24.23,1371800,24.23
2015-06-09,24.309999,24.42,24.120001,24.34,1212200,24.34
2015-06-10,24.42,24.65,24.26,24.540001,1441700,24.540001
2015-06-11,24.639999,24.76,24.51,24.66,795300,24.66
2015-06-12,24.610001,24.610001,24.26,24.309999,1324300,24.309999
2015-06-15,24.25,24.26,23.83,23.9,2190700,23.9
2015-06-16,23.85,23.889999,23.74,23.809999,1695700,23.809999
2015-06-17,23.9,23.99,23.700001,23.940001,1397900,23.940001
2015-06-18,24.049999,24.26,23.93,24.09,1122600,24.09
2015-06-19,23.950001,24.18,23.91,24.120001,2853400,24.120001
2015-06-22,24.27,24.32,24.059999,24.139999,1376100,24.139999
2015-06-23,24.120001,24.309999,24.059999,24.23,783300,24.23
2015-06-24,24.16,24.25,23.84,23.9,1132700,23.9
2015-06-25,23.879999,23.950001,23.700001,23.719999,1341600,23.719999
2015-06-26,23.700001,23.73,23.48,23.67,3357500,23.67
2015-06-29,23.5,23.5,23.01,23.059999,1873100,23.059999
2015-06-30,23.23,23.309999,22.870001,22.940001,2550300,22.940001
2015-07-01,23.110001,23.18,22.73,22.93,1743100,22.93
2015-07-02,22.959999,23.110001,22.709999,22.91,1272900,22.91
2015-07-06,22.690001,22.799999,22.35,22.530001,1498100,22.530001
2015-07-07,22.459999,22.629999,21.99,22.629999,1273100,22.629999
2015-07-08,22.26,22.65,21.75,21.75,2079700,21.75
2015-07-09,22.08,22.139999,21.889999,22.049999,1947700,22.049999
2015-07-10,22.25,22.34,22.059999,22.1,954700,22.1
2015-07-13,22.200001,22.280001,22.02,22.219999,1253600,22.219999
2015-07-14,22.09,22.27,21.969999,22.190001,718700,22.190001
2015-07-15,22.15,22.209999,21.9,22.049999,1315300,22.049999
2015-07-16,22.139999,22.34,22.139999,22.27,997100,22.27
2015-07-17,22.23,22.23,21.879999,21.98,1098600,21.98
2015-07-20,21.93,21.959999,21.690001,21.719999,1064100,21.719999
2015-07-21,21.68,21.790001,21.549999,21.620001,1947300,21.620001
2015-07-22,21.530001,21.610001,21.41,21.49,1782600,21.49
2015-07-23,21.610001,21.610001,21.190001,21.5,3122200,21.5
2015-07-24,21.43,21.559999,20.809999,20.84,3481600,20.84
2015-07-27,20.700001,20.780001,20.34,20.59,2925200,20.59
2015-07-28,20.780001,21.02,20.52,20.959999,1708800,20.959999
2015-07-29,20.99,21.459999,20.969999,21.41,2523200,21.41
2015-07-30,21.450001,21.57,20.85,21.49,2992900,21.49
2015-07-31,21.559999,21.66,21.110001,21.35,2116200,21.35
2015-08-03,21.27,21.379999,20.75,20.82,1559200,20.82
2015-08-04,20.799999,21.040001,20.77,20.860001,1215400,20.860001
2015-08-05,21.030001,21.42,20.860001,21.129999,2031100,21.129999
2015-08-06,21.120001,21.280001,20.940001,21.16,1263400,21.16
2015-08-07,21.1,21.219999,20.780001,20.9,1291800,20.9
2015-08-10,21.040001,21.940001,21.030001,21.82,1850600,21.82
2015-08-11,21.559999,21.77,21.389999,21.639999,1290100,21.639999
2015-08-12,21.48,21.92,21.309999,21.860001,1562600,21.860001
2015-08-13,21.77,21.870001,21.450001,21.5,983200,21.5
2015-08-14,21.48,22.120001,21.360001,22.1,1416700,22.1
2015-08-17,22.110001,22.290001,21.59,22.219999,1763700,22.219999
2015-08-18,22.200001,22.24,21.969999,22.08,940600,22.08
2015-08-19,21.93,21.959999,21.450001,21.719999,985100,21.719999
2015-08-20,21.58,21.67,21.059999,21.09,1109200,21.09
