Date,Open_EQIX,High_EQIX,Low_EQIX,Close_EQIX,Volume_EQIX,AdjClose_EQIX
2015-06-05,263.040009,265.0,261.890015,263.049988,656200,247.229891
2015-06-08,263.609985,264.809998,261.369995,261.450012,401400,245.72614
2015-06-09,260.850006,262.820007,257.0,257.809998,514400,242.30504
2015-06-10,258.459991,262.179993,257.630005,260.369995,482300,244.711076
2015-06-11,261.01001,262.51001,260.679993,260.929993,313500,245.237395
2015-06-12,259.920013,261.809998,259.070007,260.720001,458100,245.040033
2015-06-15,258.100006,260.649994,255.759995,255.860001,555800,240.472317
2015-06-16,252.800003,257.790009,252.619995,255.699997,817300,240.321937
2015-06-17,257.950012,258.220001,255.690002,257.119995,794900,241.656535
2015-06-18,257.730011,261.859985,256.089996,261.350006,1183600,245.632148
2015-06-19,261.339996,263.190002,260.040009,262.790009,2106400,246.985548
2015-06-22,264.070007,264.980011,259.660004,260.040009,448200,244.400935
2015-06-23,259.899994,261.029999,258.549988,259.26001,525500,243.667847
2015-06-24,259.01001,260.089996,254.910004,256.109985,451600,240.707268
2015-06-25,255.899994,257.480011,255.259995,256.589996,517200,241.15841
2015-06-26,256.529999,258.890015,254.809998,258.869995,775000,243.301288
2015-06-29,256.660004,257.0,249.990005,250.330002,800900,235.274898
2015-06-30,251.589996,255.169998,249.960007,254.0,699600,238.724179
2015-07-01,255.539993,256.149994,253.139999,255.639999,466300,240.265547
2015-07-02,256.140015,257.209991,253.809998,255.339996,349500,239.983587
2015-07-06,253.139999,256.209991,251.449997,255.509995,543600,240.143361
2015-07-07,255.509995,258.820007,253.0,257.5,817500,242.013686
2015-07-08,257.0,259.619995,256.170013,256.350006,520500,240.932853
2015-07-09,258.640015,260.200012,255.949997,256.679993,518200,241.242994
2015-07-10,260.040009,261.660004,257.829987,258.779999,544900,243.216704
2015-07-13,260.179993,262.519989,258.850006,259.940002,435300,244.306944
2015-07-14,260.100006,262.470001,259.390015,261.070007,361500,245.368989
2015-07-15,261.100006,263.390015,258.75,259.799988,378600,244.17535
2015-07-16,261.459991,263.670013,260.019989,262.119995,484100,246.355829
2015-07-17,261.670013,263.869995,260.049988,263.5,438600,247.652839
2015-07-20,263.940002,270.559998,263.070007,270.23999,678700,253.98748
2015-07-21,270.23999,272.320007,268.640015,268.839996,474200,252.671683
2015-07-22,268.549988,271.589996,267.670013,269.549988,461700,253.338975
2015-07-23,269.320007,273.049988,267.720001,269.390015,538700,253.188623
2015-07-24,268.299988,276.119995,267.380005,276.059998,653400,259.457466
2015-07-27,274.850006,277.540009,271.350006,276.640015,748800,260.0026
2015-07-28,278.940002,281.359985,275.519989,279.200012,993100,262.408637
2015-07-29,278.970001,280.5,276.869995,279.220001,714100,262.427424
2015-07-30,281.399994,288.119995,280.059998,282.579987,821300,265.585336
2015-07-31,283.670013,284.149994,278.679993,278.910004,523800,262.13607
2015-08-03,279.769989,284.269989,277.690002,282.890015,642400,265.876719
2015-08-04,281.98999,284.26001,279.549988,280.040009,419900,263.198115
2015-08-05,281.589996,283.609985,279.429993,280.450012,478100,263.58346
2015-08-06,281.040009,281.049988,274.660004,280.0,520800,263.160512
2015-08-07,279.970001,280.73999,273.019989,280.390015,309600,263.527071
2015-08-10,282.890015,283.440002,278.0,280.089996,996600,263.245096
2015-08-11,278.429993,282.48999,276.970001,279.429993,550600,262.624786
2015-08-12,277.440002,281.579987,275.230011,280.350006,697400,263.489469
2015-08-13,283.970001,284.26001,278.839996,282.230011,539300,265.256408
2015-08-14,285.109985,287.779999,281.890015,284.399994,980100,267.295886
