Date,Open_FLR,High_FLR,Low_FLR,Close_FLR,Volume_FLR,AdjClose_FLR
2015-06-05,55.5,55.889999,55.099998,55.639999,1452200,54.677248
2015-06-08,55.57,55.959999,55.169998,55.189999,789600,54.235033
2015-06-09,55.41,55.84,55.02,55.09,855700,54.136765
2015-06-10,55.610001,55.959999,55.41,55.68,782000,54.716557
2015-06-11,55.73,55.939999,55.34,55.43,880800,54.470882
2015-06-12,55.139999,55.459999,54.889999,55.060001,1032500,54.107286
2015-06-15,54.619999,54.91,54.07,54.66,1166300,53.714205
2015-06-16,54.52,55.389999,54.349998,55.169998,952600,54.215379
2015-06-17,55.380001,55.82,54.91,55.209999,936300,54.254688
2015-06-18,55.549999,56.080002,55.16,55.740002,794900,54.77552
2015-06-19,55.630001,56.25,55.459999,55.59,1697900,54.628114
2015-06-22,56.0,56.349998,55.779999,55.959999,947400,54.99171
2015-06-23,55.93,56.290001,55.759998,56.029999,965600,55.060499
2015-06-24,55.599998,56.290001,55.5,55.580002,914200,54.618288
2015-06-25,55.540001,55.759998,54.66,54.66,896800,53.714205
2015-06-26,54.639999,54.93,54.419998,54.560001,2055100,53.615937
2015-06-29,53.91,54.18,52.889999,52.970001,1280600,52.053449
2015-06-30,53.400002,53.5,52.720001,53.009998,1311900,52.092754
2015-07-01,53.360001,53.419998,52.529999,52.93,1189700,52.01414
2015-07-02,53.060001,53.48,52.77,52.91,865200,51.994486
2015-07-06,52.07,52.75,51.75,51.950001,1092800,51.051098
2015-07-07,51.82,52.59,50.860001,52.529999,1581900,51.62106
2015-07-08,52.0,52.220001,50.400002,50.419998,1968000,49.547569
2015-07-09,51.360001,51.650002,50.490002,50.540001,1290200,49.665496
2015-07-10,51.189999,51.5,50.400002,50.740002,1394700,49.862036
2015-07-13,50.919998,51.639999,50.810001,51.459999,1199300,50.569575
2015-07-14,51.360001,52.080002,51.27,51.91,940900,51.011789
2015-07-15,51.639999,51.639999,50.41,50.619999,1387400,49.74411
2015-07-16,51.080002,51.43,50.43,50.75,1256100,49.871861
2015-07-17,50.669998,50.779999,49.830002,50.27,1691900,49.400167
2015-07-20,50.189999,50.189999,49.52,49.860001,1224800,48.997262
2015-07-21,49.869999,50.41,49.599998,49.799999,1166800,48.938298
2015-07-22,49.560001,49.889999,49.209999,49.540001,1114600,48.682799
2015-07-23,49.75,50.09,48.5,48.68,1735900,47.837679
2015-07-24,48.830002,48.830002,47.790001,48.060001,1877000,47.228408
2015-07-27,47.529999,48.049999,47.09,47.830002,1778300,47.002388
2015-07-28,48.299999,49.16,48.060001,49.110001,2233800,48.260239
2015-07-29,49.18,50.439999,48.98,50.389999,2378600,49.51809
2015-07-30,50.139999,51.009998,49.529999,50.900002,2392400,50.019267
2015-07-31,46.27,48.959999,45.139999,46.75,5022800,45.941074
2015-08-03,46.509998,47.5,45.93,47.09,2537000,46.275191
2015-08-04,47.189999,47.830002,46.369999,46.549999,1939400,45.744534
2015-08-05,47.02,47.560001,46.82,47.220001,2987700,46.402943
2015-08-06,47.110001,48.27,47.029999,48.060001,1882200,47.228408
2015-08-07,47.91,48.279999,47.369999,47.459999,1788200,46.638788
2015-08-10,47.860001,48.900002,47.700001,48.84,1330100,47.99491
2015-08-11,48.139999,48.189999,47.57,48.09,1218200,47.257888
2015-08-12,47.669998,48.950001,47.419998,48.860001,2147900,48.014565
2015-08-13,48.740002,48.880001,47.549999,47.66,1277000,46.835328
2015-08-14,47.599998,48.220001,47.599998,48.029999,1177600,47.198925
2015-08-17,47.73,48.240002,47.330002,48.23,1197500,47.395465
2015-08-18,47.959999,48.200001,47.360001,47.59,1469900,46.76654
2015-08-19,47.209999,47.810001,46.810001,47.549999,1601100,46.727231
2015-08-20,47.060001,47.32,45.779999,45.849998,1710300,45.056645
2015-08-21,45.5,45.919998,44.91,44.970001,1864900,44.191875
2015-08-24,42.029999,45.0,41.880001,43.360001,2678300,42.609733
2015-08-25,44.18,44.759998,42.66,42.689999,2179300,41.951324
2015-08-26,43.540001,43.540001,42.459999,43.32,1709800,42.570424
2015-08-27,43.990002,45.459999,43.84,45.110001,1945500,44.329452
2015-08-28,44.98,45.990002,44.860001,45.650002,1193800,44.860109
2015-08-31,45.130001,45.990002,44.68,45.619999,1200600,45.03781
2015-09-01,44.5,44.93,43.82,44.07,1463900,43.507591
2015-09-02,44.639999,44.73,43.619999,44.349998,1294100,43.784017
2015-09-03,44.439999,45.150002,44.110001,44.549999,1166300,43.981465
2015-09-04,44.0,44.349998,43.490002,43.66,1554900,43.102824
2015-09-08,44.380001,45.240002,44.25,45.080002,1132300,44.504704
2015-09-09,45.43,45.799999,44.389999,44.470001,1226500,43.902488
2015-09-10,44.599998,45.02,44.009998,44.889999,1294800,44.317126
2015-09-11,44.52,45.389999,44.310001,45.240002,1637700,44.662662
2015-09-14,44.959999,45.360001,44.630001,45.119999,1379500,44.54419
