Date,Open_MNK,High_MNK,Low_MNK,Close_MNK,Volume_MNK,AdjClose_MNK
2015-06-05,124.239998,126.800003,124.099998,126.07,930400,126.07
2015-06-08,126.760002,127.970001,124.199997,124.32,879600,124.32
2015-06-09,124.440002,125.290001,121.379997,122.970001,792800,122.970001
2015-06-10,123.330002,125.110001,121.830002,124.410004,722700,124.410004
2015-06-11,124.550003,127.230003,124.459999,126.290001,820000,126.290001
2015-06-12,126.480003,126.68,123.57,124.0,610500,124.0
2015-06-15,122.709999,124.220001,121.480003,121.93,1063300,121.93
2015-06-16,121.68,121.849998,115.629997,119.989998,1863500,119.989998
2015-06-17,119.879997,120.839996,117.43,117.68,1362600,117.68
2015-06-18,117.129997,121.739998,116.050003,121.139999,1514100,121.139999
2015-06-19,121.059998,122.809998,120.980003,122.010002,1836400,122.010002
2015-06-22,122.629997,124.410004,122.18,124.019997,817700,124.019997
2015-06-23,124.360001,126.25,123.599998,124.870003,768800,124.870003
2015-06-24,124.629997,124.919998,120.370003,120.589996,893800,120.589996
2015-06-25,120.669998,121.540001,119.220001,120.279999,851100,120.279999
2015-06-26,120.809998,121.209999,116.669998,116.779999,1993000,116.779999
2015-06-29,114.989998,118.779999,114.040001,115.660004,1510700,115.660004
2015-06-30,117.650002,118.160004,115.699997,117.720001,1177900,117.720001
2015-07-01,119.410004,120.529999,117.830002,120.269997,1589200,120.269997
2015-07-02,120.68,120.690002,118.370003,119.459999,1030100,119.459999
2015-07-06,118.349998,120.459999,118.040001,119.629997,1537400,119.629997
2015-07-07,119.559998,121.260002,118.849998,121.199997,1563700,121.199997
2015-07-08,120.220001,121.419998,119.379997,120.07,1672400,120.07
2015-07-09,121.589996,122.120003,119.75,120.260002,942400,120.260002
2015-07-10,122.25,123.290001,121.5,122.440002,959200,122.440002
2015-07-13,123.120003,123.709999,121.120003,121.57,870400,121.57
2015-07-14,121.809998,124.540001,120.790001,124.040001,794000,124.040001
2015-07-15,124.690002,126.269997,123.540001,124.629997,1283800,124.629997
2015-07-16,125.0,125.360001,124.110001,124.32,674200,124.32
2015-07-17,124.32,125.0,122.360001,123.139999,530500,123.139999
2015-07-20,123.129997,123.949997,122.0,122.940002,601700,122.940002
2015-07-21,122.900002,124.040001,121.760002,123.980003,716300,123.980003
2015-07-22,123.989998,126.650002,123.82,126.510002,764500,126.510002
2015-07-23,127.0,127.0,124.239998,124.989998,573800,124.989998
2015-07-24,124.32,125.949997,122.389999,123.82,732300,123.82
2015-07-27,122.949997,123.269997,120.690002,123.080002,815800,123.080002
2015-07-28,123.169998,123.910004,121.589996,123.870003,739400,123.870003
2015-07-29,124.580002,125.269997,121.849998,122.730003,1630500,122.730003
2015-07-30,122.599998,122.599998,119.559998,121.699997,859000,121.699997
2015-07-31,122.0,124.139999,121.809998,123.959999,924300,123.959999
2015-08-03,124.25,125.349998,122.389999,124.209999,744900,124.209999
2015-08-04,120.769997,122.040001,101.949997,106.730003,6685700,106.730003
2015-08-05,106.739998,106.900002,102.349998,104.510002,4242800,104.510002
2015-08-06,104.190002,104.389999,94.900002,98.489998,6466000,98.489998
2015-08-07,98.5,100.699997,96.150002,100.379997,2790000,100.379997
2015-08-10,100.57,103.849998,96.949997,103.5,2428100,103.5
2015-08-11,102.860001,103.5,100.239998,102.330002,1527400,102.330002
2015-08-12,102.139999,102.260002,98.860001,100.199997,1500800,100.199997
2015-08-13,100.57,101.459999,97.529999,98.029999,1627400,98.029999
2015-08-14,98.0,98.919998,97.660004,98.540001,1119200,98.540001
2015-08-17,97.989998,99.610001,97.510002,98.839996,1365700,98.839996
2015-08-18,98.489998,99.860001,97.0,97.790001,1492600,97.790001
2015-08-19,97.580002,98.0,94.440002,95.489998,1611000,95.489998
2015-08-20,93.489998,94.68,88.730003,89.440002,3807100,89.440002
2015-08-21,88.230003,90.220001,86.510002,88.300003,4011900,88.300003
2015-08-24,83.160004,86.260002,81.830002,81.959999,3907800,81.959999
2015-08-25,84.25,84.739998,78.57,78.660004,3975700,78.660004
2015-08-26,81.370003,86.480003,80.239998,85.82,3978800,85.82
2015-08-27,86.720001,90.639999,86.720001,89.169998,2625200,89.169998
2015-08-28,88.690002,90.199997,87.800003,89.93,1697700,89.93
2015-08-31,89.510002,90.449997,85.650002,86.239998,1565200,86.239998
2015-09-01,84.290001,87.68,83.629997,84.059998,1461300,84.059998
2015-09-02,85.480003,85.720001,82.449997,84.370003,2184500,84.370003
