Date,Open_UTX,High_UTX,Low_UTX,Close_UTX,Volume_UTX,AdjClose_UTX
2015-06-05,116.589996,117.379997,116.18,117.0,2667400,113.883281
2015-06-08,116.540001,117.360001,116.110001,116.18,3237100,113.085125
2015-06-09,116.510002,117.25,116.019997,116.300003,2499500,113.201931
2015-06-10,117.5,118.0,116.910004,117.5,3145800,114.369961
2015-06-11,117.989998,118.400002,117.43,118.32,2707500,115.168117
2015-06-12,117.459999,118.029999,117.019997,117.599998,2345300,114.467296
2015-06-15,115.209999,115.529999,114.400002,114.610001,5972900,111.556948
2015-06-16,114.510002,115.379997,114.32,114.940002,4936200,111.878159
2015-06-17,115.279999,115.480003,113.980003,115.07,3799400,112.004693
2015-06-18,114.290001,116.559998,114.290001,115.900002,3753600,112.812585
2015-06-19,115.599998,116.150002,114.889999,114.889999,4210200,111.829488
2015-06-22,115.400002,115.779999,114.959999,115.279999,2971100,112.209098
2015-06-23,115.169998,115.519997,114.919998,115.230003,3632800,112.160434
2015-06-24,114.699997,114.830002,113.82,113.970001,4271200,110.933997
2015-06-25,114.239998,114.650002,113.300003,113.300003,3786200,110.281847
2015-06-26,113.470001,113.989998,113.050003,113.519997,3667700,110.49598
2015-06-29,112.739998,113.029999,111.449997,111.529999,4160400,108.558993
2015-06-30,112.239998,112.480003,110.620003,110.93,5909800,107.974977
2015-07-01,112.029999,112.169998,110.139999,110.82,4126800,107.867907
2015-07-02,111.330002,111.589996,109.220001,109.559998,5159500,106.64147
2015-07-06,108.360001,109.809998,107.949997,109.360001,4195100,106.4468
2015-07-07,109.540001,110.220001,108.050003,110.089996,4732100,107.15735
2015-07-08,108.760002,109.720001,108.260002,108.669998,3806300,105.775179
2015-07-09,110.0,110.440002,108.919998,108.919998,2555000,106.018519
2015-07-10,110.379997,111.279999,109.510002,110.18,4309600,107.244956
2015-07-13,111.190002,111.980003,110.75,111.580002,3892900,108.607664
2015-07-14,111.5,111.639999,111.019997,111.510002,2987500,108.539529
2015-07-15,111.5,111.830002,110.809998,111.25,2844500,108.286453
2015-07-16,112.32,112.360001,111.040001,111.260002,3063800,108.296188
2015-07-17,111.260002,111.470001,110.599998,110.739998,3465100,107.790036
2015-07-20,110.970001,111.010002,109.510002,110.480003,7487000,107.536968
2015-07-21,104.349998,104.949997,101.779999,102.709999,19540100,99.973946
2015-07-22,102.260002,102.5,100.889999,101.550003,9433700,98.84485
2015-07-23,102.18,102.190002,100.739998,101.139999,5925700,98.445769
2015-07-24,101.0,101.190002,99.260002,99.309998,6588000,96.664516
