Date,Open_FCX,High_FCX,Low_FCX,Close_FCX,Volume_FCX,AdjClose_FCX
2015-06-05,19.360001,19.76,19.26,19.65,10893200,19.385816
2015-06-08,19.9,19.9,19.290001,19.4,11498500,19.139177
2015-06-09,19.6,20.219999,19.530001,20.02,15810300,19.750842
2015-06-10,20.540001,20.780001,20.450001,20.559999,15533900,20.283581
2015-06-11,20.360001,20.4,19.799999,19.93,12578900,19.662052
2015-06-12,19.85,19.870001,19.52,19.809999,9426600,19.543664
2015-06-15,19.43,19.950001,19.42,19.59,17871700,19.326623
2015-06-16,19.559999,19.93,19.309999,19.799999,10145900,19.533798
2015-06-17,19.959999,20.129999,19.540001,20.02,10483000,19.750842
2015-06-18,20.25,20.35,19.719999,20.129999,12248000,19.859362
2015-06-19,19.91,20.030001,19.68,19.77,15734700,19.504203
2015-06-22,19.700001,19.799999,19.389999,19.4,12619500,19.139177
2015-06-23,19.4,20.15,19.379999,20.110001,16277900,19.839632
2015-06-24,20.16,21.17,20.15,20.559999,23128300,20.283581
2015-06-25,20.4,20.66,19.57,19.74,17142500,19.474606
2015-06-26,19.629999,20.059999,19.530001,19.940001,17434900,19.671918
2015-06-29,19.700001,19.959999,19.360001,19.379999,13466300,19.119445
2015-06-30,19.48,19.52,18.51,18.620001,22002800,18.369665
2015-07-01,18.58,18.809999,18.209999,18.4,14112900,18.152621
2015-07-02,18.6,18.84,18.27,18.4,13265700,18.152621
2015-07-06,17.889999,18.120001,17.51,17.84,18450800,17.600151
2015-07-07,17.370001,17.370001,16.0,17.25,44548100,17.018083
2015-07-08,17.15,17.290001,16.35,16.5,20571900,16.278166
2015-07-09,17.17,17.34,16.76,16.780001,17844600,16.554402
2015-07-10,17.299999,17.5,16.67,16.74,14907700,16.514939
2015-07-13,16.59,17.01,16.26,16.92,16280900,16.854621
2015-07-14,16.73,17.209999,16.6,17.110001,14889500,17.043888
2015-07-15,17.110001,17.16,16.27,16.41,17215000,16.346592
2015-07-16,16.65,16.67,16.1,16.299999,12697900,16.237016
2015-07-17,16.17,16.17,15.55,15.88,18847000,15.81864
2015-07-20,15.51,15.67,14.91,15.05,35635000,14.991847
2015-07-21,15.25,16.25,15.2,15.72,27647900,15.659258
2015-07-22,15.51,15.56,14.86,15.06,28339600,15.001809
2015-07-23,15.32,15.39,13.3,13.64,60229700,13.587296
2015-07-24,13.45,13.46,12.17,12.29,56994300,12.242512
2015-07-27,11.95,12.56,11.16,11.37,64856700,11.326066
2015-07-28,11.76,12.69,11.62,12.33,51813300,12.282357
2015-07-29,12.36,12.6,12.18,12.5,32226300,12.4517
2015-07-30,12.3,12.49,11.57,11.84,29185400,11.794251
2015-07-31,12.1,12.15,11.58,11.75,18926700,11.704598
2015-08-03,11.64,11.67,11.12,11.2,22812600,11.156723
2015-08-04,11.52,11.68,10.93,11.04,22773500,10.997342
2015-08-05,11.47,11.87,10.9,10.93,41019200,10.887767
2015-08-06,10.84,11.3,10.72,11.21,28172300,11.166685
2015-08-07,11.07,11.25,10.48,10.53,26792200,10.489312
2015-08-10,10.11,11.69,10.1,11.65,40044700,11.604984
2015-08-11,11.05,11.06,10.0,10.22,47011600,10.18051
2015-08-12,10.05,10.38,9.88,10.25,35659000,10.210394
2015-08-13,10.19,10.28,9.96,10.07,27176600,10.031089
2015-08-14,10.09,10.36,10.01,10.03,19115600,9.991244
2015-08-17,9.92,10.3,9.92,10.24,29758400,10.200433
2015-08-18,9.97,10.05,9.81,9.92,44885100,9.881669
2015-08-19,9.85,9.87,9.59,9.73,41990400,9.692403
2015-08-20,9.99,10.12,9.59,9.71,45135700,9.672481
2015-08-21,9.74,9.8,9.48,9.58,29974400,9.542983
2015-08-24,8.67,9.42,8.16,8.68,35840500,8.646461
2015-08-25,9.25,9.26,8.24,8.24,37157600,8.20816
2015-08-26,8.25,8.29,7.76,7.92,52995000,7.889397
2015-08-27,8.63,10.48,8.56,10.19,107966700,10.150626
2015-08-28,11.33,11.48,10.31,10.5,110214000,10.459428
2015-08-31,10.35,10.83,10.17,10.64,58259700,10.598887
2015-09-01,10.11,10.39,9.65,9.77,42543100,9.732249
2015-09-02,10.05,10.05,9.5,9.9,36488400,9.861746
2015-09-03,10.02,10.35,9.86,10.13,40838100,10.090858
2015-09-04,9.79,9.91,9.51,9.71,30074200,9.672481
2015-09-08,10.21,10.58,10.08,10.4,66046100,10.359814
2015-09-09,10.77,11.18,10.41,10.73,44865100,10.688539
2015-09-10,10.82,11.34,10.78,11.27,54185300,11.226453
2015-09-11,11.31,11.64,11.1,11.4,41622600,11.35595
2015-09-14,11.17,11.54,10.88,11.16,28249300,11.116878
2015-09-15,11.13,11.48,11.11,11.29,28015800,11.246376
2015-09-16,11.45,11.87,11.39,11.84,29949900,11.794251
2015-09-17,11.66,12.59,11.56,12.05,48932900,12.003439
2015-09-18,11.34,11.43,10.54,10.88,79177900,10.83796
2015-09-21,10.77,10.9,10.51,10.53,43161300,10.489312
2015-09-22,9.97,10.78,9.72,10.59,91540300,10.54908
2015-09-23,10.62,10.67,9.96,10.0,34038800,9.96136
2015-09-24,9.7,10.14,9.57,9.99,46986600,9.951399
2015-09-25,10.06,10.08,9.6,9.8,46429900,9.762133
2015-09-28,9.8,9.8,8.62,8.91,49501600,8.875572
2015-09-29,8.97,9.26,8.96,9.11,27293100,9.074799
2015-09-30,9.27,9.78,9.25,9.69,42200500,9.652558
2015-10-01,9.91,10.14,9.51,9.82,31312800,9.782055
2015-10-02,9.71,10.66,9.62,10.62,39607300,10.578964
2015-10-05,10.54,11.29,10.51,11.18,38489400,11.136801
2015-10-06,11.43,11.93,11.3,11.83,53934000,11.784289
2015-10-07,12.23,13.44,12.23,13.01,93597700,12.95973
2015-10-08,12.95,13.62,12.71,13.46,52374300,13.407991
2015-10-09,13.89,14.2,13.17,13.49,51723400,13.437875
2015-10-12,13.54,13.54,12.53,12.94,30719200,12.89
2015-10-13,12.31,13.15,12.12,12.73,30954800,12.73
2015-10-14,12.83,13.09,12.47,13.06,27640200,13.06
2015-10-15,12.92,13.2,12.84,13.0,25938300,13.0
2015-10-16,13.06,13.06,12.25,12.44,28007400,12.44
2015-10-19,12.21,12.4,11.77,12.03,25838700,12.03
2015-10-20,11.93,12.39,11.83,12.24,23307600,12.24
2015-10-21,12.29,12.35,11.87,11.95,24713500,11.95
2015-10-22,11.54,12.8,11.53,12.02,36187300,12.02
2015-10-23,12.19,12.28,11.78,12.13,25782800,12.13
2015-10-26,12.14,12.31,11.98,12.02,13577900,12.02
2015-10-27,11.82,11.99,11.32,11.61,23378700,11.61
2015-10-28,11.42,12.36,11.4,11.78,32522500,11.78
2015-10-29,11.58,12.0,11.53,11.63,19680300,11.63
2015-10-30,11.7,12.05,11.56,11.77,21816300,11.77
2015-11-02,11.79,12.05,11.61,11.82,23081000,11.82
2015-11-03,11.82,12.68,11.81,12.41,35032300,12.41
2015-11-04,12.65,12.75,11.77,12.02,30393800,12.02
2015-11-05,11.77,11.86,11.21,11.48,36803900,11.48
2015-11-06,11.17,11.25,10.61,10.75,35330300,10.75
2015-11-09,10.73,10.88,10.13,10.49,28849300,10.49
2015-11-10,10.37,10.37,9.8,9.83,35554900,9.83
2015-11-11,9.91,9.92,9.02,9.31,40818900,9.31
2015-11-12,8.86,9.18,8.6,8.77,47069000,8.77
2015-11-13,8.97,8.99,8.64,8.68,32314300,8.68
2015-11-16,8.71,8.92,8.61,8.86,30302100,8.86
2015-11-17,8.94,8.97,8.33,8.39,32672500,8.39
2015-11-18,8.53,8.8,8.45,8.77,32434000,8.77
2015-11-19,8.8,8.85,8.4,8.41,27405200,8.41
2015-11-20,8.44,8.58,8.0,8.25,34819700,8.25
2015-11-23,8.2,8.2,7.94,8.0,36508600,8.0
2015-11-24,8.19,8.4,8.01,8.3,48025100,8.3
