Date,Open_D,High_D,Low_D,Close_D,Volume_D,AdjClose_D
2015-06-05,67.290001,67.440002,66.720001,67.139999,3602300,64.604319
2015-06-08,67.080002,67.370003,66.809998,66.93,3405600,64.402251
2015-06-09,66.860001,67.139999,66.720001,66.830002,2792700,64.30603
2015-06-10,67.120003,67.199997,66.75,66.849998,2968300,64.325271
2015-06-11,67.300003,67.449997,66.900002,67.269997,2135500,64.729407
2015-06-12,66.93,67.379997,66.760002,66.800003,3758700,64.277164
2015-06-15,66.769997,67.349998,66.599998,67.099998,2489700,64.565829
2015-06-16,66.959999,67.419998,66.68,67.370003,1697900,64.825636
2015-06-17,67.360001,68.150002,67.25,68.0,2737200,65.43184
2015-06-18,68.019997,68.93,67.860001,68.849998,3381700,66.249737
2015-06-19,68.879997,69.139999,67.980003,68.050003,3985500,65.479955
2015-06-22,68.660004,68.730003,67.889999,68.260002,2494900,65.682023
2015-06-23,68.209999,68.269997,67.269997,67.559998,3510900,65.008456
2015-06-24,67.5,67.849998,67.349998,67.650002,3154000,65.09506
2015-06-25,67.620003,67.830002,67.040001,67.040001,2670000,64.508098
2015-06-26,67.0,67.360001,66.580002,67.269997,1928400,64.729407
2015-06-29,67.199997,68.139999,67.190002,67.290001,2939000,64.748656
2015-06-30,67.489998,67.489998,66.519997,66.870003,3367600,64.34452
2015-07-01,67.190002,67.300003,66.650002,67.07,2747400,64.536963
2015-07-02,67.419998,68.050003,67.410004,67.900002,2274400,65.335619
2015-07-06,67.730003,68.099998,67.25,67.849998,3191500,65.287504
2015-07-07,68.269997,69.639999,68.080002,69.330002,3035700,66.711612
2015-07-08,69.059998,69.650002,68.93,69.43,3279100,66.807834
2015-07-09,69.639999,69.75,68.349998,68.650002,3031600,66.057293
2015-07-10,68.82,69.489998,68.43,68.959999,1849900,66.355583
2015-07-13,69.0,69.43,68.559998,69.089996,2154500,66.480671
2015-07-14,69.019997,69.43,68.900002,69.199997,1746500,66.586517
2015-07-15,69.029999,69.559998,68.809998,69.519997,1607700,66.894431
2015-07-16,69.580002,70.330002,69.440002,70.18,2100200,67.529509
2015-07-17,69.910004,70.190002,69.510002,69.650002,2048800,67.019526
2015-07-20,69.559998,69.629997,68.900002,69.290001,1237800,66.673122
2015-07-21,69.120003,69.32,68.419998,68.769997,2424400,66.172757
2015-07-22,68.699997,69.389999,68.650002,68.730003,2236600,66.134274
2015-07-23,68.529999,68.739998,67.580002,68.230003,2395500,65.653157
2015-07-24,68.209999,68.769997,67.980003,68.589996,2364000,65.999554
2015-07-27,68.599998,69.510002,68.599998,69.139999,2191200,66.528785
2015-07-28,69.080002,70.139999,68.839996,70.129997,2792200,67.481394
2015-07-29,70.040001,70.720001,69.489998,70.650002,2542300,67.981759
2015-07-30,70.440002,71.18,70.080002,71.050003,1569900,68.366654
2015-07-31,71.580002,72.169998,71.5,71.699997,2190500,68.992099
2015-08-03,71.919998,72.230003,71.269997,71.720001,1749300,69.011348
2015-08-04,71.400002,71.580002,69.919998,70.25,3071300,67.596865
2015-08-05,70.260002,71.690002,70.129997,71.160004,2353600,68.4725
2015-08-06,71.300003,71.349998,70.190002,71.330002,2158800,68.636078
2015-08-07,71.209999,72.760002,70.910004,72.339996,1934100,69.607928
2015-08-10,72.410004,72.720001,72.040001,72.349998,1535600,69.617552
2015-08-11,72.220001,73.110001,71.949997,72.68,1902700,69.935091
2015-08-12,72.559998,74.529999,72.440002,74.489998,3378500,71.67673
2015-08-13,74.110001,75.0,73.57,74.93,3018100,72.100115
2015-08-14,74.519997,75.43,74.18,75.370003,1730100,72.5235
2015-08-17,75.5,76.480003,75.230003,76.220001,2882700,73.341396
2015-08-18,76.059998,76.400002,75.809998,76.089996,1795400,73.216301
2015-08-19,75.709999,76.519997,75.540001,76.139999,2020600,73.264416
2015-08-20,75.720001,76.589996,75.400002,75.720001,4340200,72.86028
2015-08-21,75.410004,75.82,74.93,75.400002,6976200,72.552366
2015-08-24,73.75,75.0,72.029999,72.360001,6395900,69.627177
2015-08-25,73.519997,73.730003,70.110001,70.230003,5231300,67.577623
2015-08-26,70.379997,70.800003,68.830002,70.620003,3872900,68.585721
2015-08-27,70.959999,71.300003,70.239998,71.209999,3314300,69.158722
2015-08-28,71.169998,71.330002,70.120003,71.029999,2427200,68.983906
2015-08-31,70.889999,70.889999,69.309998,69.75,3333600,67.740779
2015-09-01,68.879997,69.269997,67.349998,67.800003,2851100,65.846954
2015-09-02,68.470001,68.510002,67.43,68.089996,2655100,66.128594
2015-09-03,68.339996,68.629997,67.800003,68.089996,3032000,66.128594
2015-09-04,67.690002,68.0,66.900002,67.230003,2843000,65.293374
2015-09-08,67.940002,68.760002,67.889999,68.720001,3519000,66.740451
2015-09-09,69.029999,69.309998,67.959999,68.080002,2770900,66.118887
2015-09-10,67.989998,68.269997,67.110001,67.269997,2461700,65.332215
2015-09-11,67.139999,67.769997,66.959999,67.760002,2184900,65.808105
2015-09-14,67.889999,68.370003,67.660004,68.110001,2242000,66.148022
2015-09-15,68.190002,68.330002,67.639999,68.080002,1866500,66.118887
2015-09-16,68.25,68.980003,68.059998,68.75,2114900,66.769585
2015-09-17,68.68,70.279999,68.589996,69.459999,1914300,67.459132
2015-09-18,69.059998,70.160004,68.849998,69.0,3603700,67.012384
2015-09-21,69.169998,69.599998,68.870003,69.32,2209300,67.323166
2015-09-22,69.0,69.459999,68.75,69.080002,2504600,67.090081
2015-09-23,69.040001,69.370003,68.870003,69.220001,1738400,67.226048
2015-09-24,68.849998,69.559998,68.760002,69.419998,2148100,67.420284
2015-09-25,69.480003,70.690002,69.260002,70.059998,2409800,68.041847
2015-09-28,69.940002,70.389999,69.349998,69.43,2864100,67.429998
2015-09-29,69.459999,69.730003,68.970001,69.290001,2524900,67.294031
2015-09-30,69.510002,70.470001,69.379997,70.379997,2741000,68.352629
2015-10-01,70.449997,70.580002,68.900002,69.160004,3175100,67.167778
2015-10-02,69.510002,69.760002,68.459999,69.349998,3864800,67.3523
2015-10-05,69.589996,70.339996,69.239998,70.32,2881900,68.29436
