Date,Open_KMI,High_KMI,Low_KMI,Close_KMI,Volume_KMI,AdjClose_KMI
2015-06-05,40.080002,40.759998,39.77,40.400002,12104300,38.502194
2015-06-08,40.240002,40.689999,40.130001,40.200001,6453300,38.311588
2015-06-09,40.060001,40.400002,40.02,40.240002,7012200,38.34971
2015-06-10,40.490002,40.52,40.16,40.23,8036600,38.340178
2015-06-11,40.169998,40.18,39.75,39.779999,11938200,37.911316
2015-06-12,38.91,39.419998,38.330002,38.919998,27761600,37.091714
2015-06-15,38.389999,39.599998,38.389999,39.360001,15535600,37.511048
2015-06-16,39.459999,39.709999,39.099998,39.490002,11661000,37.634942
2015-06-17,39.68,39.740002,39.23,39.52,12393000,37.663531
2015-06-18,39.639999,40.25,39.439999,40.080002,15194300,38.197226
2015-06-19,39.91,39.959999,39.509998,39.540001,16779700,37.682592
2015-06-22,39.799999,40.279999,39.540001,39.650002,15374600,37.787426
2015-06-23,39.709999,39.810001,39.360001,39.43,10056200,37.577759
2015-06-24,39.419998,39.68,39.25,39.450001,10459500,37.59682
2015-06-25,39.5,39.599998,38.919998,38.98,9188100,37.148897
2015-06-26,38.880001,39.299999,38.560001,38.959999,35917900,37.129836
2015-06-29,38.740002,39.110001,38.330002,38.360001,12289500,36.558023
2015-06-30,38.619999,38.700001,38.349998,38.389999,10812400,36.586613
2015-07-01,38.450001,38.52,37.740002,37.98,10625000,36.195873
2015-07-02,38.43,38.5,37.919998,38.029999,8739000,36.243523
2015-07-06,37.619999,37.900002,37.189999,37.5,9553600,35.738421
2015-07-07,37.540001,37.84,37.099998,37.740002,12956900,35.967149
2015-07-08,37.66,37.880001,37.16,37.299999,10496700,35.547816
2015-07-09,37.540001,37.919998,37.48,37.5,9087100,35.738421
2015-07-10,37.650002,38.169998,37.610001,38.09,8792400,36.300706
2015-07-13,38.279999,38.580002,38.040001,38.189999,10243200,36.396007
2015-07-14,37.869999,38.389999,37.799999,38.02,10260600,36.233994
2015-07-15,37.900002,38.220001,37.48,37.580002,10426800,35.814665
2015-07-16,37.84,38.02,37.240002,37.400002,13587600,35.64312
2015-07-17,37.209999,37.25,36.450001,36.889999,13944500,35.157076
2015-07-20,36.880001,36.889999,36.25,36.299999,12922700,34.594791
2015-07-21,36.240002,36.240002,35.560001,35.84,17693100,34.156401
2015-07-22,35.720001,35.830002,35.25,35.360001,15381000,33.698949
2015-07-23,35.310001,35.5,34.650002,34.950001,16307000,33.308209
2015-07-24,34.970001,35.259998,34.759998,34.849998,13054300,33.212905
2015-07-27,34.650002,35.41,34.119999,35.220001,18827700,33.565526
2015-07-28,35.509998,35.919998,35.130001,35.57,17220800,33.899084
2015-07-29,34.900002,35.279999,34.59,35.240002,19895300,34.053699
2015-07-30,35.27,35.389999,34.889999,35.029999,12778500,33.850766
2015-07-31,34.869999,35.150002,34.57,34.639999,14217900,33.473895
2015-08-03,34.349998,34.380001,33.709999,33.75,19066500,32.613856
2015-08-04,33.889999,34.02,33.450001,33.66,12619300,32.526886
2015-08-05,33.779999,34.09,32.189999,32.240002,25141200,31.15469
2015-08-06,32.009998,32.740002,31.09,32.689999,24389900,31.589538
2015-08-07,32.529999,32.82,32.060001,32.139999,13378200,31.058054
2015-08-10,32.23,32.619999,32.150002,32.5,16658900,31.405936
2015-08-11,32.279999,32.950001,32.060001,32.889999,15593000,31.782807
2015-08-12,32.59,34.060001,32.59,33.849998,20997300,32.710489
2015-08-13,33.810001,33.869999,32.970001,33.139999,11537900,32.024391
2015-08-14,34.259998,34.299999,33.849998,33.959999,17777100,32.816786
2015-08-17,34.009998,34.810001,33.959999,34.360001,15873000,33.203322
2015-08-18,34.43,34.439999,33.709999,33.939999,11530000,32.797459
2015-08-19,33.810001,33.98,33.169998,33.580002,13184400,32.449581
2015-08-20,33.349998,33.490002,32.689999,32.689999,13786200,31.589538
2015-08-21,32.5,32.75,31.790001,31.790001,17683600,30.719838
2015-08-24,29.549999,31.450001,28.5,30.280001,21738000,29.26067
2015-08-25,31.5,31.540001,29.93,29.93,17602200,28.922451
2015-08-26,30.27,30.91,29.860001,30.790001,16906300,29.753501
2015-08-27,31.379999,32.169998,31.1,32.0,18991700,30.922768
2015-08-28,32.0,33.07,32.0,32.630001,16667000,31.531561
2015-08-31,32.439999,32.830002,31.73,32.41,19084600,31.318965
2015-09-01,31.82,32.09,31.07,31.389999,17001500,30.333302
2015-09-02,31.77,31.77,30.75,31.309999,13794300,30.255995
2015-09-03,31.469999,31.790001,30.91,31.08,12123100,30.033738
2015-09-04,30.780001,31.030001,30.6,30.77,12081800,29.734174
2015-09-08,31.040001,31.209999,30.66,31.09,13803600,30.043402
2015-09-09,31.34,31.530001,30.6,30.639999,11298600,29.608549
2015-09-10,30.74,30.93,30.34,30.5,11384800,29.473263
2015-09-11,30.26,30.299999,29.809999,30.1,13886600,29.086729
2015-09-14,29.99,30.17,29.700001,29.860001,9674100,28.854808
2015-09-15,29.860001,30.219999,29.860001,30.190001,10595400,29.173699
2015-09-16,30.379999,30.790001,30.309999,30.690001,14039900,29.656867
2015-09-17,30.75,31.280001,30.559999,30.83,15865700,29.792154
2015-09-18,30.41,30.879999,30.299999,30.379999,30589800,29.357302
2015-09-21,30.51,30.870001,30.34,30.67,9636800,29.63754
2015-09-22,30.309999,30.639999,29.950001,30.110001,9837600,29.096392
2015-09-23,30.18,30.25,29.049999,29.059999,13009800,28.081738
2015-09-24,29.01,29.389999,28.360001,29.34,24926600,28.352313
2015-09-25,29.610001,29.68,29.120001,29.42,13195300,28.42962
2015-09-28,29.17,29.26,27.540001,27.549999,21313200,26.62257
2015-09-29,27.629999,27.809999,25.809999,26.16,31528600,25.279362
2015-09-30,26.969999,27.73,26.450001,27.68,28022300,26.748194
2015-10-01,28.219999,28.42,27.690001,28.129999,17190700,27.183045
2015-10-02,27.889999,29.639999,27.76,29.629999,21982700,28.632549
2015-10-05,30.01,31.09,29.950001,30.950001,20112700,29.908115
2015-10-06,30.99,31.85,30.93,31.780001,16970300,30.710174
2015-10-07,32.040001,32.740002,31.52,32.139999,20770900,31.058054
2015-10-08,32.150002,32.889999,31.790001,32.68,13559600,31.579877
2015-10-09,32.779999,32.869999,32.060001,32.349998,11714200,31.260984
2015-10-12,32.43,32.48,31.809999,32.290001,10832400,31.203006
2015-10-13,32.029999,32.279999,31.450001,31.48,11646800,30.420272
2015-10-14,31.42,31.809999,31.190001,31.73,10165500,30.661856
2015-10-15,31.860001,32.32,31.18,32.23,8701500,31.145025
2015-10-16,32.57,32.790001,31.780001,32.209999,9741500,31.125697
2015-10-19,31.68,32.110001,31.139999,31.719999,11211200,30.652193
2015-10-20,31.5,32.040001,31.32,31.93,9148100,30.855124
2015-10-21,31.940001,32.200001,31.309999,31.42,11902500,30.362293
2015-10-22,31.42,31.42,28.92,29.75,42030300,28.748511
2015-10-23,29.709999,29.75,28.959999,29.23,19729300,28.246015
2015-10-26,28.07,28.540001,27.48,27.559999,41037500,26.632233
2015-10-27,27.299999,27.52,26.959999,27.280001,28020000,26.36166
2015-10-28,27.35,27.799999,27.27,27.74,23600100,26.806174
2015-10-29,27.25,27.549999,27.07,27.200001,15677100,26.776641
2015-10-30,27.34,27.49,26.6,27.35,19809200,26.924306
2015-11-02,26.360001,27.120001,26.280001,26.620001,26276200,26.205669
2015-11-03,26.66,27.780001,26.43,27.51,20129900,27.081816
2015-11-04,27.52,27.639999,26.450001,26.809999,22767500,26.39271
2015-11-05,26.799999,27.0,25.57,25.91,23001100,25.506719
2015-11-06,25.66,26.09,25.200001,26.059999,23294600,25.654384
2015-11-09,26.139999,26.299999,25.4,25.559999,15609700,25.162166
2015-11-10,25.549999,25.76,25.309999,25.450001,13289300,25.05388
2015-11-11,25.41,25.48,24.23,24.4,24793100,24.020221
2015-11-12,24.15,24.15,23.389999,23.459999,26245100,23.094852
2015-11-13,23.450001,23.809999,22.57,23.35,26398700,22.986565
2015-11-16,23.35,24.07,23.309999,24.030001,20676100,23.655981
2015-11-17,24.049999,24.07,23.110001,23.360001,18029900,22.99641
2015-11-18,23.48,24.33,23.469999,24.299999,25328800,23.921778
2015-11-19,24.200001,24.309999,23.459999,23.66,16081000,23.29174
2015-11-20,23.700001,23.91,23.35,23.389999,19739900,23.025942
2015-11-23,23.48,24.09,23.280001,23.67,17791000,23.301584
2015-11-24,23.690001,24.43,23.620001,24.41,24222200,24.030066
