Date,Open_LYB,High_LYB,Low_LYB,Close_LYB,Volume_LYB,AdjClose_LYB
2015-06-05,99.269997,100.620003,98.620003,99.68,3291900,95.947191
2015-06-08,99.779999,100.379997,99.339996,99.480003,2726600,95.754683
2015-06-09,100.300003,102.699997,100.239998,101.830002,3013700,98.016679
2015-06-10,103.0,104.910004,102.669998,104.059998,3442400,100.163166
2015-06-11,104.260002,104.790001,103.809998,104.32,1907800,100.413432
2015-06-12,103.949997,104.580002,103.5,104.279999,2091900,100.374929
2015-06-15,103.059998,104.309998,102.489998,103.870003,1649800,99.980286
2015-06-16,103.389999,104.769997,102.720001,104.669998,1764000,100.750323
2015-06-17,105.220001,105.720001,102.559998,103.639999,4748200,99.758896
2015-06-18,104.510002,105.379997,103.760002,104.82,3366200,100.894708
2015-06-19,104.519997,105.050003,103.93,103.940002,3179800,100.047665
2015-06-22,104.970001,105.480003,104.010002,104.959999,2012100,101.029464
2015-06-23,105.0,105.330002,103.709999,104.449997,3171600,100.538561
2015-06-24,104.650002,105.099998,103.760002,104.809998,2980500,100.88508
2015-06-25,105.169998,106.5,104.889999,106.129997,2883300,102.155649
2015-06-26,105.730003,106.360001,104.32,104.629997,2860200,100.711821
2015-06-29,102.639999,103.620003,101.550003,101.620003,2936800,97.814544
2015-06-30,102.370003,104.949997,102.25,103.519997,3005900,99.643387
2015-07-01,104.150002,104.660004,100.5,101.059998,4304700,97.27551
2015-07-02,101.5,102.029999,101.029999,101.650002,2396000,97.843419
2015-07-06,100.0,101.559998,98.629997,98.75,3860400,95.052017
2015-07-07,98.800003,99.0,94.290001,97.620003,9028200,93.964336
2015-07-08,96.449997,96.839996,94.459999,95.07,3426200,91.509825
2015-07-09,96.82,98.93,96.68,97.309998,3585400,93.66594
2015-07-10,98.519997,99.059998,97.589996,98.379997,2130400,94.69587
2015-07-13,99.129997,99.959999,98.879997,99.449997,2078700,95.7258
2015-07-14,99.339996,101.400002,99.029999,101.120003,3021700,97.333268
2015-07-15,100.980003,101.370003,99.5,100.300003,2225400,96.543976
2015-07-16,100.75,101.489998,99.910004,100.75,1975700,96.977121
2015-07-17,100.43,100.43,96.910004,97.5,3825200,93.848827
2015-07-20,97.050003,97.5,95.32,96.230003,3873500,92.626389
2015-07-21,96.370003,97.559998,95.190002,96.059998,3223800,92.46275
2015-07-22,95.949997,96.279999,95.099998,95.709999,2980000,92.125858
2015-07-23,96.089996,96.110001,93.779999,93.800003,4504800,90.287387
2015-07-24,93.989998,93.989998,88.510002,90.370003,6388500,86.985833
2015-07-27,89.040001,90.699997,88.760002,89.849998,4871200,86.485302
2015-07-28,93.239998,93.360001,88.699997,92.459999,6223800,88.997564
2015-07-29,92.949997,94.989998,91.269997,93.760002,5471600,90.248884
2015-07-30,93.800003,94.199997,92.660004,94.150002,2351400,90.624279
2015-07-31,94.940002,95.75,93.5,93.830002,3303000,90.316263
2015-08-03,93.349998,93.529999,89.059998,90.07,6221200,86.697065
2015-08-04,90.529999,91.93,90.440002,91.559998,3098800,88.131265
2015-08-05,92.449997,93.459999,90.889999,91.639999,3867900,88.208271
