Date,Open_DOV,High_DOV,Low_DOV,Close_DOV,Volume_DOV,AdjClose_DOV
2015-06-05,73.620003,74.220001,73.139999,73.779999,1123500,71.814553
2015-06-08,73.43,73.660004,72.639999,72.760002,1461400,70.821728
2015-06-09,72.919998,73.669998,72.120003,72.410004,2542900,70.481053
2015-06-10,73.150002,73.970001,72.849998,73.360001,1680700,71.405743
2015-06-11,73.540001,73.660004,72.790001,73.379997,956200,71.425207
2015-06-12,73.169998,73.419998,72.879997,73.129997,917800,71.181867
2015-06-15,72.400002,72.650002,71.650002,71.889999,1291500,69.974901
2015-06-16,71.889999,72.010002,71.269997,71.910004,1212000,69.994373
2015-06-17,72.220001,72.949997,72.220001,72.68,1278800,70.743857
2015-06-18,72.779999,73.919998,72.309998,73.43,1626800,71.473878
2015-06-19,73.230003,73.269997,72.459999,72.540001,1248700,70.607587
2015-06-22,72.870003,72.910004,72.279999,72.559998,785400,70.627051
2015-06-23,72.43,72.760002,72.099998,72.559998,585100,70.627051
2015-06-24,72.57,72.790001,71.849998,72.099998,703300,70.179306
2015-06-25,72.239998,72.239998,70.970001,70.970001,709100,69.079411
2015-06-26,71.080002,71.419998,70.730003,71.169998,2973600,69.27408
2015-06-29,70.220001,71.099998,69.989998,70.089996,989400,68.222849
2015-06-30,71.040001,71.410004,70.110001,70.18,1391200,68.310455
2015-07-01,70.839996,70.980003,69.809998,70.029999,1313900,68.16445
2015-07-02,70.480003,70.760002,69.790001,69.989998,1454200,68.125515
2015-07-06,69.169998,70.279999,68.919998,69.449997,1279300,67.599899
2015-07-07,69.459999,69.959999,68.410004,69.769997,1827900,67.911374
2015-07-08,69.18,69.470001,67.75,68.080002,1576000,66.266399
2015-07-09,69.400002,69.400002,67.230003,67.239998,1887600,65.448773
2015-07-10,66.0,66.93,64.690002,65.279999,3077500,63.540986
2015-07-13,65.68,66.309998,65.120003,66.0,2824800,64.241807
2015-07-14,65.839996,66.870003,65.519997,66.510002,1907600,64.738223
2015-07-15,66.330002,66.330002,65.199997,65.809998,1563400,64.056866
2015-07-16,66.260002,66.839996,66.160004,66.32,1754000,64.553282
2015-07-17,66.209999,67.029999,66.089996,66.370003,1494400,64.601953
2015-07-20,66.290001,66.669998,65.970001,66.300003,1341300,64.533819
2015-07-21,64.629997,66.019997,63.939999,64.639999,3356800,62.918036
2015-07-22,64.32,65.160004,64.029999,64.550003,1406100,62.830437
2015-07-23,64.519997,65.190002,64.379997,64.519997,1735900,62.80123
2015-07-24,64.68,64.769997,63.900002,64.099998,1654600,62.39242
2015-07-27,63.599998,64.019997,63.169998,63.950001,2582200,62.246419
2015-07-28,64.32,64.559998,63.540001,64.25,2356000,62.538426
2015-07-29,64.139999,65.57,64.029999,65.379997,1159000,63.638321
2015-07-30,65.339996,65.339996,64.300003,64.620003,1386100,62.898572
2015-07-31,64.860001,65.209999,63.790001,64.07,1855300,62.363221
2015-08-03,63.66,63.790001,62.619999,62.759998,1629600,61.088117
2015-08-04,63.279999,63.990002,62.709999,62.869999,2955000,61.195187
2015-08-05,63.389999,64.809998,63.389999,63.700001,1546500,62.003078
2015-08-06,63.77,64.589996,63.09,64.07,1134200,62.363221
2015-08-07,63.860001,64.940002,63.599998,63.860001,1064200,62.158816
2015-08-10,64.389999,66.279999,64.169998,66.059998,1401200,64.300207
2015-08-11,65.089996,65.209999,64.040001,64.43,961200,62.713631
2015-08-12,64.050003,64.949997,63.5,64.650002,1004800,62.927772
2015-08-13,64.75,64.75,63.93,64.389999,1084100,62.674696
2015-08-14,64.309998,64.879997,63.869999,63.950001,1297600,62.246419
2015-08-17,63.810001,64.739998,63.27,64.400002,1314800,62.684432
2015-08-18,64.290001,64.300003,63.580002,63.970001,914700,62.265886
2015-08-19,63.540001,63.790001,62.360001,62.779999,1067300,61.107585
2015-08-20,62.34,62.75,61.189999,61.189999,1333500,59.559941
2015-08-21,60.810001,61.07,59.759998,59.77,1686800,58.177771
2015-08-24,56.52,60.0,55.5,57.900002,2021900,56.357587
2015-08-25,59.619999,59.91,55.950001,55.990002,2068500,54.498468
2015-08-26,57.049999,58.299999,56.360001,58.240002,2491000,56.68853
2015-08-27,58.869999,60.34,58.509998,59.98,1586600,58.806259
2015-08-28,59.580002,60.799999,59.450001,60.369999,1448100,59.188627
2015-08-31,60.66,62.400002,59.810001,61.950001,2871400,60.73771
2015-09-01,60.34,60.75,58.73,59.02,1897300,57.865046
2015-09-02,59.700001,59.900002,58.509998,59.59,1379500,58.423892
2015-09-03,59.279999,60.279999,59.200001,59.459999,1633900,58.296435
2015-09-04,58.639999,59.02,57.98,58.66,1549600,57.51209
2015-09-08,60.34,61.720001,59.919998,61.509998,2053400,60.306318
2015-09-09,62.119999,62.57,60.450001,60.490002,1632600,59.306281
2015-09-10,60.52,60.91,59.939999,60.330002,1077100,59.149412
2015-09-11,60.540001,60.919998,59.950001,60.560001,1305900,59.374911
2015-09-14,60.349998,60.599998,59.689999,59.98,1137900,58.806259
2015-09-15,60.16,61.439999,60.0,61.32,1196900,60.120037
2015-09-16,61.369999,62.220001,61.330002,62.060001,1311000,60.845558
2015-09-17,61.799999,62.509998,61.349998,61.5,1692200,60.296515
2015-09-18,60.650002,61.380001,60.459999,60.860001,4757000,59.66904
2015-09-21,61.0,61.310001,59.900002,60.009998,1272800,58.835671
2015-09-22,59.139999,59.650002,58.349998,59.07,1435900,57.914067
2015-09-23,59.07,59.290001,57.439999,57.849998,1504700,56.71794
2015-09-24,57.029999,58.25,56.25,57.939999,1613200,56.806179
2015-09-25,58.34,58.669998,57.849998,58.07,1355300,56.933636
2015-09-28,57.48,57.490002,56.299999,56.5,1232600,55.394359
2015-09-29,56.689999,56.98,56.060001,56.5,1742700,55.394359
2015-09-30,57.139999,57.59,56.080002,57.18,2182300,56.061053
2015-10-01,57.310001,57.790001,55.970001,56.509998,1349400,55.404162
2015-10-02,56.0,58.029999,55.68,57.98,1922100,56.845397
2015-10-05,58.459999,60.619999,58.029999,60.259998,1805800,59.080779
2015-10-06,60.290001,61.509998,59.970001,61.220001,1749700,60.021996
2015-10-07,61.830002,63.689999,60.650002,61.93,2270900,60.718101
2015-10-08,61.799999,64.25,61.75,63.84,1728300,62.590724
2015-10-09,64.0,64.199997,61.490002,61.5,2533500,60.296515
2015-10-12,61.669998,61.959999,60.490002,60.880001,1388700,59.688649
2015-10-13,60.48,61.27,60.23,60.330002,1525800,59.149412
2015-10-14,60.110001,60.330002,59.200001,59.349998,1290800,58.188587
2015-10-15,59.439999,59.950001,58.400002,59.799999,1570400,58.629781
2015-10-16,59.779999,59.810001,57.830002,58.610001,1833800,57.46307
2015-10-19,58.16,58.529999,57.490002,57.709999,2238800,56.58068
2015-10-20,58.860001,62.810001,58.130001,61.529999,4677800,60.325927
2015-10-21,61.759998,63.66,61.23,61.880001,3032000,60.66908
2015-10-22,62.310001,65.290001,61.919998,64.0,3589900,62.747593
2015-10-23,64.959999,64.959999,63.599998,64.440002,1681100,63.178985
2015-10-26,64.440002,64.800003,63.5,63.919998,1169500,62.669157
2015-10-27,62.950001,63.130001,62.040001,62.450001,1348800,61.227925
2015-10-28,62.75,64.059998,62.470001,63.810001,1729400,62.561312
2015-10-29,63.41,64.449997,63.400002,64.080002,1404600,62.826029
2015-10-30,64.18,64.790001,63.889999,64.43,1939200,63.169179
2015-11-02,64.349998,65.519997,64.120003,65.239998,1064000,63.963325
2015-11-03,65.480003,66.190002,65.160004,65.389999,1365800,64.110392
2015-11-04,65.709999,66.519997,64.889999,65.0,1285800,63.728024
2015-11-05,64.82,65.309998,63.970001,64.5,1284100,63.237808
2015-11-06,64.18,64.699997,63.32,64.489998,999400,63.228002
2015-11-09,64.339996,64.5,63.110001,63.900002,866200,62.649551
2015-11-10,63.650002,64.389999,63.09,63.990002,1081300,62.73779
2015-11-11,64.129997,64.129997,63.09,63.48,929300,62.237768
2015-11-12,63.779999,64.080002,62.439999,63.900002,3310600,62.649551
2015-11-13,63.849998,65.019997,63.009998,63.099998,1977800,61.865203
2015-11-16,63.060001,64.360001,62.91,64.32,989800,63.061331
2015-11-17,64.360001,64.5,63.459999,63.630001,1002400,62.384834
2015-11-18,63.849998,65.040001,63.369999,64.970001,1031000,63.698612
2015-11-19,64.889999,65.370003,64.440002,65.349998,780400,64.071173
2015-11-20,65.620003,66.169998,65.220001,65.410004,1073800,64.130004
2015-11-23,65.230003,65.809998,64.93,65.25,1119500,63.973132
2015-11-24,65.050003,66.169998,65.010002,65.910004,1749500,64.62022
