Date,Open_WMB,High_WMB,Low_WMB,Close_WMB,Volume_WMB,AdjClose_WMB
2015-06-05,48.310001,49.279999,48.060001,48.77,8302200,44.73843
2015-06-08,48.419998,49.02,48.23,48.439999,7286500,44.435708
2015-06-09,48.869999,48.93,48.139999,48.169998,7051400,44.188027
2015-06-10,48.240002,48.419998,47.580002,47.59,6469700,44.197317
2015-06-11,47.84,48.060001,47.32,47.540001,8190500,44.150882
2015-06-12,47.330002,47.380001,46.849998,46.990002,6704700,43.640092
2015-06-15,46.5,47.73,46.279999,47.549999,6077400,44.160168
2015-06-16,47.580002,48.049999,47.189999,47.93,9386800,44.513078
2015-06-17,48.259998,48.68,47.810001,48.549999,9786900,45.088878
2015-06-18,48.560001,49.209999,48.380001,48.970001,9940500,45.478938
2015-06-19,48.77,49.049999,48.060001,48.34,8163600,44.893849
2015-06-22,48.34,61.380001,48.34,60.860001,101131000,56.521301
2015-06-23,60.169998,60.509998,58.630001,58.939999,34777700,54.738176
2015-06-24,58.48,58.849998,57.099998,57.369999,27072400,53.280101
2015-06-25,57.0,57.689999,55.029999,55.25,32031000,51.311236
2015-06-26,55.279999,57.849998,55.240002,57.119999,26016100,53.047923
2015-06-29,56.549999,56.869999,56.18,56.380001,8502500,52.36068
2015-06-30,56.830002,57.880001,56.830002,57.389999,9778700,53.298676
2015-07-01,57.16,58.290001,57.09,57.509998,8993700,53.41012
2015-07-02,57.790001,57.869999,57.279999,57.599998,5519500,53.493704
2015-07-06,57.18,58.009998,56.639999,57.130001,5696400,53.057213
2015-07-07,57.02,57.080002,55.630001,56.889999,10035600,52.834321
2015-07-08,57.049999,57.369999,55.52,56.009998,5937300,52.017055
2015-07-09,56.900002,57.459999,56.43,56.450001,6973100,52.425689
2015-07-10,56.73,58.040001,56.73,57.889999,5573300,53.763031
2015-07-13,57.91,58.5,57.66,58.23,5110900,54.078792
2015-07-14,58.220001,58.77,57.59,58.029999,8264900,53.89305
2015-07-15,57.509998,58.130001,57.220001,57.490002,4903000,53.391549
2015-07-16,57.630001,58.16,57.400002,57.959999,6215500,53.82804
2015-07-17,58.080002,58.490002,57.450001,57.669998,9044800,53.558713
2015-07-20,57.380001,57.52,55.779999,55.939999,8322600,51.952045
2015-07-21,55.669998,56.0,54.360001,54.700001,10924000,50.800447
2015-07-22,54.290001,54.810001,53.23,53.540001,6150200,49.723143
2015-07-23,53.52,54.0,52.830002,52.939999,5747200,49.165915
2015-07-24,52.93,53.5,52.43,52.639999,5346300,48.887302
2015-07-27,52.299999,52.470001,51.389999,51.889999,8251000,48.19077
2015-07-28,52.029999,53.709999,51.34,53.110001,6248800,49.323797
2015-07-29,52.84,54.139999,52.669998,54.009998,5606200,50.159634
2015-07-30,53.919998,53.919998,52.889999,52.98,3934900,49.203064
2015-07-31,52.950001,53.610001,52.34,52.48,6839000,48.738709
2015-08-03,52.52,52.740002,51.32,51.650002,6339100,47.967881
2015-08-04,51.970001,52.25,50.689999,51.259998,5661900,47.605681
2015-08-05,52.279999,52.650002,48.650002,49.16,12589700,45.655391
2015-08-06,48.720001,49.810001,46.849998,48.529999,9119500,45.070303
2015-08-07,48.349998,49.669998,48.330002,48.799999,5060000,45.321055
2015-08-10,48.93,50.09,48.93,49.889999,4340400,46.333349
2015-08-11,48.950001,50.029999,48.52,49.98,4698800,46.416934
2015-08-12,50.040001,51.200001,49.09,51.110001,5340000,47.466377
2015-08-13,50.98,51.560001,50.540001,51.32,5337000,47.661405
2015-08-14,51.759998,52.619999,51.599998,52.23,6144400,48.506531
2015-08-17,52.669998,55.419998,52.549999,54.900002,12598000,50.986189
2015-08-18,54.240002,55.0,53.650002,53.860001,5548500,50.02033
2015-08-19,53.849998,54.369999,52.360001,53.009998,6665500,49.230924
2015-08-20,52.880001,53.490002,50.650002,50.700001,6294100,47.085606
2015-08-21,50.220001,51.119999,49.650002,49.650002,10073600,46.110461
