Date,Open_BCR,High_BCR,Low_BCR,Close_BCR,Volume_BCR,AdjClose_BCR
2015-06-05,170.350006,170.800003,168.850006,170.589996,297200,169.719873
2015-06-08,170.169998,171.800003,170.169998,170.820007,268400,169.948711
2015-06-09,170.75,170.75,168.190002,168.25,291300,167.391813
2015-06-10,168.860001,171.160004,168.309998,170.669998,279500,169.799467
2015-06-11,171.270004,171.929993,170.699997,171.449997,508500,170.575488
2015-06-12,170.289993,171.389999,169.610001,170.509995,223300,169.64028
2015-06-15,169.119995,169.979996,167.360001,169.270004,239900,168.406614
2015-06-16,169.0,170.479996,168.229996,170.080002,246300,169.21248
2015-06-17,170.639999,170.990005,168.889999,170.0,183400,169.132887
2015-06-18,170.429993,172.850006,170.429993,172.470001,610600,171.590289
2015-06-19,171.990005,172.850006,171.229996,171.850006,467300,170.973456
2015-06-22,172.119995,174.679993,171.960007,173.460007,260800,172.575245
2015-06-23,174.110001,174.300003,172.479996,172.970001,343400,172.087739
2015-06-24,172.929993,173.869995,172.089996,172.089996,302800,171.212222
2015-06-25,172.25,174.160004,171.25,172.860001,382200,171.978299
2015-06-26,173.149994,173.990005,172.470001,173.539993,418000,172.654823
2015-06-29,171.690002,173.779999,170.699997,170.940002,380100,170.068094
2015-06-30,172.300003,172.880005,170.339996,170.699997,456200,169.829313
2015-07-01,171.75,173.009995,171.350006,172.770004,491900,171.888762
2015-07-02,173.479996,173.479996,170.550003,171.300003,339700,170.426259
2015-07-06,169.690002,172.369995,169.399994,171.360001,268300,170.48595
2015-07-07,171.830002,172.789993,169.089996,172.630005,355200,171.749477
2015-07-08,171.619995,172.529999,171.059998,171.860001,380000,170.9834
2015-07-09,173.679993,173.940002,170.970001,171.199997,484100,170.326763
2015-07-10,173.139999,174.75,172.529999,174.539993,410900,173.649723
2015-07-13,175.0,178.389999,175.0,178.199997,650700,177.291058
2015-07-14,178.119995,179.559998,177.050003,179.270004,502200,178.355608
2015-07-15,179.679993,179.740005,178.080002,178.229996,386700,177.320904
2015-07-16,179.089996,179.839996,178.130005,178.649994,231000,177.978423
2015-07-17,178.360001,179.0,177.279999,178.839996,461700,178.167711
2015-07-20,179.399994,179.779999,177.479996,179.5,412500,178.825233
2015-07-21,179.660004,179.809998,177.970001,178.229996,415100,177.560003
2015-07-22,178.190002,179.660004,178.190002,179.399994,416800,178.725603
2015-07-23,179.149994,179.740005,177.800003,179.449997,665100,178.775418
2015-07-24,182.100006,190.149994,182.100006,187.75,1551700,187.04422
2015-07-27,187.75,190.309998,187.5,190.139999,905300,189.425235
2015-07-28,191.380005,201.729996,189.729996,192.949997,797300,192.22467
2015-07-29,193.679993,194.919998,192.860001,194.550003,697600,193.818661
2015-07-30,194.570007,194.669998,191.639999,193.100006,815100,192.374115
2015-07-31,194.289993,196.850006,193.729996,196.649994,919200,195.910758
2015-08-03,196.639999,198.0,195.070007,196.190002,685300,195.452496
2015-08-04,197.619995,198.660004,195.020004,196.289993,971700,195.552111
2015-08-05,197.270004,200.830002,196.960007,200.100006,989200,199.347801
2015-08-06,200.5,202.470001,196.710007,198.970001,678200,198.222044
2015-08-07,199.149994,199.369995,195.889999,198.570007,486400,197.823554
2015-08-10,199.559998,200.729996,198.009995,199.080002,294400,198.331631
2015-08-11,198.740005,199.75,197.690002,198.979996,441700,198.232001
2015-08-12,198.080002,198.360001,195.020004,197.910004,555100,197.166031
2015-08-13,197.839996,200.0,197.240005,199.020004,347200,198.271859
2015-08-14,198.589996,199.979996,198.360001,199.529999,311400,198.779936
2015-08-17,198.460007,200.729996,198.130005,199.850006,399200,199.098741
2015-08-18,199.839996,201.259995,199.350006,200.009995,469100,199.258128
2015-08-19,199.0,201.559998,198.369995,200.529999,577400,199.776177
2015-08-20,199.130005,199.270004,195.199997,195.289993,579000,194.55587
2015-08-21,193.820007,195.25,191.289993,191.5,1059200,190.780124
2015-08-24,183.320007,188.75,180.929993,184.229996,1107500,183.537448
2015-08-25,187.649994,191.309998,184.050003,184.139999,936300,183.44779
2015-08-26,187.570007,189.570007,183.669998,189.440002,735200,188.72787
2015-08-27,192.960007,197.339996,192.080002,196.490005,912600,195.751371
2015-08-28,196.600006,198.080002,195.039993,197.470001,725600,196.727683
2015-08-31,197.210007,197.710007,193.690002,193.789993,572500,193.061508
2015-09-01,194.600006,194.600006,186.330002,187.550003,684800,186.844975
2015-09-02,189.360001,191.869995,187.660004,191.860001,512500,191.138771
2015-09-03,188.570007,192.729996,187.190002,190.389999,853400,189.674296
2015-09-04,188.179993,189.630005,186.710007,187.929993,432800,187.223536
2015-09-08,190.889999,192.770004,189.679993,192.699997,411700,191.97561
2015-09-09,194.350006,195.059998,189.009995,189.259995,470200,188.548539
2015-09-10,190.490005,192.710007,189.330002,191.220001,799000,190.501177
2015-09-11,190.820007,194.419998,189.990005,192.759995,511300,192.035382
2015-09-14,192.589996,193.190002,190.470001,191.399994,367900,190.680493
2015-09-15,192.350006,194.919998,191.149994,193.910004,460000,193.181068
2015-09-16,193.440002,195.229996,192.979996,194.929993,388400,194.197222
2015-09-17,194.800003,199.820007,194.710007,197.240005,756200,196.498552
2015-09-18,195.830002,197.449997,194.740005,194.929993,723800,194.197222
2015-09-21,196.009995,198.559998,194.809998,196.380005,483000,195.641784
2015-09-22,195.039993,196.059998,193.5,195.649994,440100,194.914517
2015-09-23,195.529999,198.149994,195.149994,195.759995,359400,195.024104
2015-09-24,194.169998,195.479996,192.75,195.020004,486800,194.286896
2015-09-25,196.320007,198.229996,191.320007,193.169998,642500,192.443844
2015-09-28,191.630005,191.929993,181.710007,185.350006,1062800,184.653248
2015-09-29,185.580002,187.740005,183.460007,185.399994,543200,184.703048
2015-09-30,188.039993,188.699997,183.690002,186.309998,870300,185.609631
2015-10-01,186.550003,190.389999,185.779999,190.220001,816000,189.504937
2015-10-02,182.669998,193.110001,180.839996,193.089996,545900,192.364143
2015-10-05,193.339996,196.039993,190.910004,191.460007,1071900,190.740281
2015-10-06,187.240005,190.490005,183.130005,187.190002,593800,186.486328
2015-10-07,187.789993,188.509995,185.410004,186.820007,692300,186.117724
2015-10-08,186.559998,187.429993,183.660004,187.020004,526800,186.316969
