Date,Open_EXPD,High_EXPD,Low_EXPD,Close_EXPD,Volume_EXPD,AdjClose_EXPD
2015-06-05,47.5,48.18,47.5,47.950001,1559400,47.209656
2015-06-08,47.849998,47.91,46.779999,46.790001,1534300,46.067567
2015-06-09,46.580002,47.049999,46.57,46.790001,1001000,46.067567
2015-06-10,46.93,47.630001,46.75,47.52,1992200,46.786295
2015-06-11,47.439999,48.310001,47.439999,48.299999,1446100,47.554251
2015-06-12,48.060001,48.380001,47.889999,48.099998,1284600,47.357338
2015-06-15,47.77,47.970001,47.330002,47.959999,923100,47.2195
2015-06-16,47.810001,48.0,47.490002,47.709999,761000,46.97336
2015-06-17,47.549999,47.830002,47.139999,47.810001,1062000,47.071818
2015-06-18,47.959999,48.59,47.73,48.419998,1024900,47.672397
2015-06-19,48.549999,48.549999,47.900002,48.040001,1521300,47.298267
2015-06-22,48.080002,48.540001,48.080002,48.369999,782800,47.62317
2015-06-23,48.470001,48.669998,47.860001,47.919998,963000,47.180117
2015-06-24,47.990002,48.119999,46.860001,47.040001,1157700,46.313707
2015-06-25,47.049999,47.27,46.759998,46.860001,740800,46.136486
2015-06-26,47.040001,47.189999,46.779999,46.970001,865300,46.244788
2015-06-29,46.77,46.880001,45.869999,45.889999,827100,45.181461
2015-06-30,46.200001,46.5,45.869999,46.110001,905900,45.398066
2015-07-01,46.560001,46.560001,46.139999,46.299999,1087700,45.585131
2015-07-02,46.290001,46.549999,45.860001,46.169998,1024500,45.457137
2015-07-06,45.709999,46.009998,45.240002,45.349998,1251100,44.649798
2015-07-07,45.560001,45.720001,44.779999,45.34,1483800,44.639954
2015-07-08,45.040001,45.27,44.209999,44.439999,2341200,43.753848
2015-07-09,44.990002,45.16,44.669998,44.720001,1242800,44.029528
2015-07-10,45.060001,45.32,45.029999,45.169998,730400,44.472577
2015-07-13,45.389999,45.970001,45.23,45.91,1226400,45.201153
2015-07-14,45.860001,45.939999,45.52,45.68,1325500,44.974704
2015-07-15,45.740002,45.880001,45.099998,45.130001,960800,44.433197
2015-07-16,45.189999,45.470001,44.849998,45.07,1024100,44.374122
2015-07-17,45.119999,45.169998,44.75,44.82,860100,44.127982
2015-07-20,44.84,45.060001,44.639999,44.98,849400,44.285512
2015-07-21,44.990002,45.889999,44.990002,45.75,1606500,45.043623
2015-07-22,45.669998,45.990002,45.240002,45.27,915200,44.571035
2015-07-23,45.34,45.450001,44.400002,44.52,853600,43.832615
2015-07-24,44.790001,44.959999,44.119999,44.259998,914800,43.576627
2015-07-27,44.110001,44.439999,43.919998,44.41,998300,43.724313
2015-07-28,44.77,45.549999,44.639999,45.310001,2244500,44.610418
2015-07-29,45.369999,46.860001,45.27,46.669998,3056000,45.949417
2015-07-30,46.389999,46.779999,46.299999,46.68,1108700,45.959264
2015-07-31,46.810001,47.240002,46.57,46.869999,1779100,46.14633
2015-08-03,46.77,47.380001,46.419998,47.080002,2545400,46.35309
2015-08-04,44.580002,48.41,44.580002,47.68,4649000,46.943825
2015-08-05,47.970001,49.189999,47.860001,48.540001,2973200,47.790547
2015-08-06,48.810001,48.860001,47.68,47.950001,1624000,47.209656
2015-08-07,47.93,48.150002,47.540001,48.049999,1361000,47.308111
2015-08-10,48.490002,48.98,48.349998,48.720001,1178300,47.967768
2015-08-11,48.130001,48.77,48.02,48.709999,2004800,47.95792
2015-08-12,48.18,48.59,47.860001,48.5,1407300,47.751164
2015-08-13,48.400002,49.0,48.139999,48.720001,1275400,47.967768
2015-08-14,48.84,49.400002,48.599998,49.279999,1000700,48.519119
2015-08-17,48.889999,49.27,48.490002,49.25,820000,48.489584
2015-08-18,49.259998,49.880001,49.200001,49.66,1532300,48.893253
2015-08-19,49.25,50.0,48.759998,49.790001,2553200,49.021247
2015-08-20,49.759998,50.080002,49.360001,49.5,2613200,48.735724
