Date,Open_KMB,High_KMB,Low_KMB,Close_KMB,Volume_KMB,AdjClose_KMB
2015-06-05,106.589996,106.75,105.519997,105.739998,1403800,103.356419
2015-06-08,105.5,105.75,104.529999,105.480003,1257000,103.102286
2015-06-09,105.400002,106.480003,105.239998,105.849998,1021000,103.46394
2015-06-10,106.389999,107.260002,106.169998,107.110001,1396400,104.69554
2015-06-11,107.139999,107.730003,106.809998,107.400002,1927100,104.979004
2015-06-12,107.010002,107.099998,106.5,106.739998,844100,104.333878
2015-06-15,106.199997,106.550003,105.519997,105.709999,1270900,103.327097
2015-06-16,106.099998,106.910004,105.550003,106.900002,1001400,104.490274
2015-06-17,107.0,107.910004,106.919998,107.660004,1538500,105.233145
2015-06-18,107.970001,109.480003,107.559998,109.199997,1613000,106.738424
2015-06-19,108.790001,109.150002,108.43,108.809998,1696600,106.357216
2015-06-22,108.800003,109.550003,108.709999,108.970001,754800,106.513612
2015-06-23,109.309998,109.419998,108.209999,108.360001,1014300,105.917362
2015-06-24,108.419998,108.690002,108.07,108.279999,1035200,105.839164
2015-06-25,108.370003,108.449997,107.470001,107.510002,1413000,105.086525
2015-06-26,107.629997,108.459999,107.550003,107.900002,1505800,105.467733
2015-06-29,107.419998,107.989998,106.059998,106.120003,1015100,103.727858
2015-06-30,106.949997,107.32,105.769997,105.970001,1243800,103.581238
2015-07-01,106.720001,107.949997,106.040001,107.849998,1239400,105.418857
2015-07-02,108.339996,108.610001,107.349998,107.550003,1159500,105.125624
2015-07-06,107.379997,108.220001,107.25,107.599998,976400,105.174492
2015-07-07,107.589996,109.900002,107.360001,109.769997,1513900,107.295574
2015-07-08,109.110001,109.730003,108.889999,109.029999,1475100,106.572258
2015-07-09,110.07,110.169998,108.669998,108.699997,1680800,106.249695
2015-07-10,109.580002,110.169998,109.169998,109.720001,900600,107.246706
2015-07-13,110.330002,110.949997,109.949997,110.860001,809200,108.361008
2015-07-14,110.980003,111.290001,110.160004,110.949997,1019300,108.448975
2015-07-15,110.809998,111.43,110.389999,111.199997,874500,108.69334
2015-07-16,111.739998,112.480003,111.410004,112.029999,1042300,109.504632
2015-07-17,111.620003,112.470001,111.360001,112.400002,1800400,109.866294
2015-07-20,112.330002,113.0,112.089996,112.940002,1060400,110.394122
2015-07-21,112.849998,112.900002,111.760002,112.489998,2033300,109.954262
2015-07-22,112.510002,113.410004,111.739998,112.199997,2196100,109.670798
2015-07-23,112.540001,112.540001,110.519997,111.629997,1476300,109.113647
2015-07-24,111.730003,112.669998,111.510002,111.839996,1222900,109.318912
2015-07-27,111.720001,112.540001,111.190002,112.360001,1694500,109.827195
2015-07-28,112.559998,113.419998,112.290001,113.290001,1270700,110.736231
2015-07-29,113.089996,113.900002,112.989998,113.5,1309300,110.941497
2015-07-30,112.93,114.769997,112.410004,114.57,1746900,111.987376
2015-07-31,114.830002,115.629997,114.610001,114.970001,2062000,112.378361
2015-08-03,114.75,115.699997,114.379997,115.690002,1220900,113.082132
2015-08-04,115.459999,116.25,115.339996,116.0,1605600,113.385142
2015-08-05,116.5,117.830002,115.910004,117.610001,1432500,114.95885
2015-08-06,117.650002,117.949997,116.580002,116.660004,1368800,114.030268
2015-08-07,116.529999,116.760002,115.959999,116.709999,1354000,114.079136
2015-08-10,117.279999,117.470001,116.709999,116.900002,946700,114.264856
2015-08-11,116.18,116.669998,115.849998,116.639999,1156200,114.010714
2015-08-12,115.75,116.0,114.199997,115.650002,1599400,113.043033
2015-08-13,115.900002,116.309998,115.519997,115.779999,949200,113.1701
2015-08-14,115.720001,116.339996,115.459999,116.160004,994600,113.541539
2015-08-17,115.739998,116.260002,115.25,116.230003,704400,113.60996
2015-08-18,115.230003,116.43,115.230003,116.040001,878100,113.424241
2015-08-19,115.599998,116.110001,114.889999,115.370003,1201000,112.769346
2015-08-20,114.470001,115.160004,113.959999,114.050003,1042800,111.479101
2015-08-21,113.480003,113.709999,111.360001,111.410004,2150900,108.898613
2015-08-24,105.82,108.690002,104.120003,106.379997,3547000,103.981992
2015-08-25,109.080002,109.449997,103.190002,103.349998,2627500,101.020295
