Date,Open_WM,High_WM,Low_WM,Close_WM,Volume_WM,AdjClose_WM
2015-06-05,48.599998,48.669998,48.330002,48.41,2020000,47.034085
2015-06-08,48.369999,48.619999,48.299999,48.459999,1363600,47.082663
2015-06-09,48.459999,48.560001,48.23,48.32,1431800,46.946643
2015-06-10,48.389999,48.759998,48.389999,48.439999,1810700,47.063231
2015-06-11,48.59,48.77,48.310001,48.490002,1906400,47.111813
2015-06-12,48.450001,48.5,48.189999,48.439999,1876400,47.063231
2015-06-15,48.110001,48.110001,47.630001,47.709999,1686800,46.35398
2015-06-16,47.790001,47.900002,47.689999,47.799999,1489300,46.441422
2015-06-17,47.93,48.02,47.57,47.880001,2002100,46.51915
2015-06-18,48.0,48.389999,48.0,48.299999,1504000,46.927211
2015-06-19,48.25,48.25,47.740002,47.759998,2121500,46.402558
2015-06-22,48.07,48.110001,47.57,47.700001,1643700,46.344266
2015-06-23,47.68,47.849998,47.299999,47.34,1629300,45.994497
2015-06-24,47.25,47.400002,47.119999,47.169998,1881700,45.829327
2015-06-25,47.279999,47.290001,46.880001,46.939999,1161100,45.605864
2015-06-26,46.98,47.189999,46.82,47.029999,1268500,45.693307
2015-06-29,46.75,46.900002,46.330002,46.349998,1606800,45.032633
2015-06-30,46.700001,46.799999,46.310001,46.349998,1346000,45.032633
2015-07-01,46.639999,46.68,46.240002,46.509998,1240700,45.188086
2015-07-02,46.57,46.669998,46.220001,46.369999,884600,45.052065
2015-07-06,46.040001,46.540001,45.860001,46.529999,1228500,45.207518
2015-07-07,46.529999,47.110001,46.41,47.02,1986300,45.683592
2015-07-08,46.66,47.259998,46.599998,46.810001,2051700,45.479562
2015-07-09,47.169998,47.34,47.07,47.150002,2254300,45.809899
2015-07-10,47.560001,47.889999,47.310001,47.75,1920300,46.392844
2015-07-13,48.139999,48.169998,47.779999,47.93,2082400,46.567728
2015-07-14,47.860001,48.669998,47.830002,48.599998,2284500,47.218684
2015-07-15,48.630001,48.740002,48.32,48.400002,1573900,47.024371
2015-07-16,48.669998,49.23,48.48,48.939999,2299000,47.54902
