Date,Open_AMAT,High_AMAT,Low_AMAT,Close_AMAT,Volume_AMAT,AdjClose_AMAT
2015-06-05,20.040001,20.23,19.93,20.15,12782500,19.725099
2015-06-08,20.139999,20.24,19.809999,19.870001,15101500,19.451005
2015-06-09,19.82,20.01,19.709999,19.91,12721000,19.49016
2015-06-10,20.0,20.139999,19.959999,20.040001,14241500,19.61742
2015-06-11,20.040001,20.110001,19.74,19.780001,16586500,19.362902
2015-06-12,19.74,19.790001,19.59,19.620001,12228200,19.206276
2015-06-15,19.450001,19.790001,19.34,19.709999,15661300,19.294377
2015-06-16,19.639999,19.85,19.57,19.82,11534800,19.402058
2015-06-17,19.790001,19.9,19.52,19.540001,18479200,19.127963
2015-06-18,19.620001,19.860001,19.58,19.84,16078000,19.421637
2015-06-19,19.83,19.93,19.68,19.719999,16973900,19.304166
2015-06-22,19.790001,19.950001,19.700001,19.860001,13235400,19.441215
2015-06-23,19.84,20.129999,19.83,19.959999,11025300,19.539105
2015-06-24,20.24,20.459999,20.08,20.1,19194700,19.676154
2015-06-25,20.219999,20.280001,20.01,20.059999,10723500,19.636997
2015-06-26,19.959999,20.16,19.629999,19.780001,17069800,19.362902
2015-06-29,19.59,19.59,19.190001,19.209999,20049100,18.80492
2015-06-30,19.280001,19.41,19.059999,19.219999,15942300,18.81471
2015-07-01,19.34,19.66,19.34,19.51,13062000,19.098595
2015-07-02,19.549999,19.639999,19.450001,19.610001,9067000,19.196487
2015-07-06,19.379999,19.719999,19.26,19.27,11559000,18.863656
2015-07-07,19.23,19.299999,18.73,19.17,20994000,18.765765
2015-07-08,19.0,19.040001,18.52,18.549999,18978900,18.158838
2015-07-09,18.74,18.91,18.51,18.52,14214400,18.129472
2015-07-10,18.83,18.99,18.719999,18.77,18375200,18.3742
2015-07-13,18.9,19.629999,18.870001,19.309999,21962000,18.902812
2015-07-14,19.309999,19.42,18.860001,18.889999,27788000,18.491668
2015-07-15,18.9,18.99,18.52,18.57,22511400,18.178416
2015-07-16,18.43,18.48,17.639999,17.870001,32327000,17.493178
2015-07-17,17.9,17.9,17.690001,17.77,13387000,17.395287
2015-07-20,17.75,17.959999,17.690001,17.77,12652800,17.395287
2015-07-21,17.77,18.040001,17.74,17.83,9426700,17.454021
2015-07-22,17.66,17.700001,17.4,17.49,12036100,17.12119
2015-07-23,17.469999,17.860001,17.459999,17.719999,13400500,17.34634
2015-07-24,17.74,17.74,17.209999,17.370001,14637100,17.003722
2015-07-27,17.25,17.49,17.129999,17.379999,18439200,17.013509
2015-07-28,17.389999,17.77,17.209999,17.620001,14067200,17.24845
2015-07-29,17.559999,17.6,17.35,17.549999,11913300,17.179925
2015-07-30,17.6,17.74,17.530001,17.57,12332800,17.199503
2015-07-31,17.52,17.6,17.32,17.360001,16080600,16.993933
2015-08-03,17.459999,17.459999,17.110001,17.16,12754200,16.798149
2015-08-04,17.1,17.219999,16.83,16.83,17050000,16.475108
2015-08-05,16.99,17.23,16.92,17.030001,13308100,16.670891
2015-08-06,17.110001,17.190001,16.799999,16.85,12857200,16.494687
2015-08-07,16.780001,16.99,16.77,16.98,13570800,16.621944
2015-08-10,17.16,17.690001,17.129999,17.6,14581500,17.228871
2015-08-11,17.360001,17.450001,17.139999,17.34,20174000,16.974354
2015-08-12,17.1,17.389999,16.98,17.299999,14675100,16.935196
2015-08-13,17.379999,17.450001,17.0,17.049999,17273900,16.690468
2015-08-14,16.700001,16.780001,16.24,16.639999,42704600,16.289114
2015-08-17,16.540001,17.059999,16.469999,17.030001,14596500,16.670891
2015-08-18,16.959999,16.959999,16.459999,16.530001,15286200,16.277013
2015-08-19,16.440001,16.66,16.24,16.440001,13984600,16.188391
2015-08-20,16.309999,16.370001,15.97,15.98,12890000,15.73543
2015-08-21,15.82,16.040001,15.46,15.48,19420700,15.243082
2015-08-24,14.67,15.67,14.25,15.1,34065200,14.868899
2015-08-25,15.43,15.6,14.84,14.84,26214300,14.612878
2015-08-26,15.2,15.35,14.71,15.24,38654400,15.006755
2015-08-27,15.38,16.0,15.36,15.94,21758900,15.696042
2015-08-28,15.86,16.18,15.84,15.99,11053700,15.745277
2015-08-31,15.96,16.209999,15.85,16.09,16130200,15.843747
2015-09-01,15.68,16.01,15.39,15.49,17930300,15.252929
2015-09-02,15.73,15.79,15.38,15.68,13136800,15.440022
2015-09-03,15.78,16.129999,15.74,15.76,13300400,15.518797
2015-09-04,15.57,15.67,15.28,15.39,15285300,15.15446
2015-09-08,15.68,15.8,15.62,15.73,14935300,15.489256
2015-09-09,15.74,15.91,15.44,15.46,15443800,15.223389
2015-09-10,15.41,15.8,15.26,15.56,15424000,15.321859
2015-09-11,15.54,15.63,15.35,15.5,10501800,15.262776
2015-09-14,15.5,15.71,15.49,15.6,10151500,15.361246
2015-09-15,15.77,15.95,15.68,15.92,13098700,15.676349
2015-09-16,15.98,16.200001,15.83,16.17,12053400,15.922522
