Date,Open_SYK,High_SYK,Low_SYK,Close_SYK,Volume_SYK,AdjClose_SYK
2015-06-05,95.040001,95.379997,94.489998,95.199997,783000,93.798918
2015-06-08,94.959999,95.459999,94.599998,94.620003,610600,93.227459
2015-06-09,94.470001,94.739998,93.949997,94.160004,757100,92.77423
2015-06-10,94.5,96.110001,94.160004,96.010002,1194400,94.597002
2015-06-11,96.120003,96.849998,95.870003,96.540001,798500,95.1192
2015-06-12,96.110001,96.489998,95.529999,95.669998,629200,94.262002
2015-06-15,95.050003,95.169998,93.900002,94.669998,1187600,93.276719
2015-06-16,94.57,95.309998,94.370003,95.160004,719900,93.759513
2015-06-17,95.339996,95.5,94.57,95.099998,686100,93.700391
2015-06-18,95.410004,97.330002,95.370003,97.150002,1081600,95.720223
2015-06-19,97.059998,97.300003,96.709999,96.879997,1135400,95.454193
2015-06-22,97.5,97.900002,97.230003,97.400002,604700,95.966544
2015-06-23,97.300003,97.669998,96.480003,96.620003,957900,95.198025
2015-06-24,96.410004,97.269997,96.129997,96.720001,1393500,95.296552
2015-06-25,96.889999,97.18,96.290001,96.449997,860000,95.030521
2015-06-26,96.480003,97.940002,96.309998,97.339996,1492800,96.251714
2015-06-29,96.660004,97.330002,95.279999,95.360001,1153400,94.293855
2015-06-30,96.300003,96.480003,95.349998,95.57,980800,94.501506
2015-07-01,96.230003,96.43,95.440002,96.07,782800,94.995916
2015-07-02,96.25,96.290001,95.25,95.760002,641300,94.689384
2015-07-06,94.919998,96.050003,94.769997,95.989998,852200,94.916808
2015-07-07,96.379997,96.989998,95.050003,96.900002,1012100,95.816638
2015-07-08,96.449997,96.519997,95.400002,95.419998,907000,94.353181
2015-07-09,96.75,96.870003,95.639999,95.660004,949300,94.590504
2015-07-10,96.699997,96.910004,95.809998,96.370003,1193600,95.292565
2015-07-13,97.0,97.690002,96.910004,97.629997,745500,96.538472
2015-07-14,97.769997,98.5,97.449997,98.260002,783900,97.161433
2015-07-15,98.279999,98.300003,97.440002,97.510002,1064700,96.419819
2015-07-16,98.290001,98.330002,97.400002,98.169998,1110000,97.072436
2015-07-17,97.870003,98.239998,97.459999,98.209999,867300,97.111989
2015-07-20,98.269997,98.660004,98.050003,98.379997,625400,97.280087
2015-07-21,98.459999,99.239998,98.220001,99.059998,1220900,97.952485
2015-07-22,98.889999,99.209999,98.07,98.540001,1348400,97.438302
2015-07-23,98.959999,98.959999,98.010002,98.25,1612100,97.151543
2015-07-24,100.050003,103.989998,99.830002,100.970001,3012400,99.841134
2015-07-27,100.839996,101.190002,99.690002,100.019997,2172900,98.901751
2015-07-28,100.57,101.75,99.980003,101.610001,1113900,100.473978
2015-07-29,102.059998,102.300003,101.370003,101.980003,1222800,100.839844
2015-07-30,101.82,102.019997,101.309998,101.839996,673000,100.701403
2015-07-31,101.919998,102.800003,101.589996,102.269997,1242800,101.126595
2015-08-03,102.309998,102.699997,100.93,101.510002,970900,100.375098
2015-08-04,101.809998,102.419998,101.269997,101.480003,913600,100.345434
2015-08-05,102.239998,103.360001,102.0,103.120003,1440700,101.967098
2015-08-06,102.970001,103.480003,101.029999,101.32,1159400,100.18722
2015-08-07,101.32,101.400002,99.879997,100.940002,1092500,99.811471
2015-08-10,101.720001,102.5,101.529999,102.190002,722500,101.047496
2015-08-11,101.300003,101.949997,100.800003,101.82,1115800,100.681629
2015-08-12,101.879997,103.309998,100.949997,103.129997,1934400,101.976981
2015-08-13,102.900002,103.839996,102.209999,102.970001,1533900,101.818774
2015-08-14,102.82,103.739998,102.660004,103.639999,831300,102.481281
2015-08-17,103.269997,104.239998,102.599998,104.139999,786700,102.975691
2015-08-18,103.93,104.449997,103.730003,104.309998,684900,103.143789
2015-08-19,103.879997,105.339996,102.949997,104.529999,1163600,103.36133
2015-08-20,103.550003,103.919998,102.5,102.519997,1027000,101.3738
2015-08-21,101.610001,101.790001,99.339996,99.370003,1783600,98.259024
2015-08-24,95.139999,96.43,91.809998,95.610001,2560800,94.54106
2015-08-25,98.349998,98.43,95.389999,95.489998,2489400,94.422398
2015-08-26,97.790001,98.839996,95.660004,98.809998,2182700,97.70528
2015-08-27,100.099998,101.300003,99.459999,101.080002,2286700,99.949905
2015-08-28,100.330002,100.800003,99.089996,99.690002,2478300,98.575446
2015-08-31,99.480003,100.349998,98.400002,98.650002,1812000,97.547073
2015-09-01,96.489998,97.129997,94.839996,95.459999,2028700,94.392735
2015-09-02,96.660004,97.029999,95.610001,96.900002,1430700,95.816638
2015-09-03,97.5,97.870003,96.389999,96.68,1661000,95.599096
2015-09-04,95.709999,96.260002,94.519997,95.339996,1444000,94.274074
2015-09-08,96.839996,98.629997,96.839996,98.57,1893100,97.467965
2015-09-09,99.440002,99.519997,97.080002,97.290001,1611900,96.202277
2015-09-10,97.269997,98.889999,96.949997,98.300003,1735700,97.200987
2015-09-11,97.830002,99.760002,97.580002,99.650002,2048900,98.535892
2015-09-14,99.650002,99.949997,98.360001,98.760002,1159000,97.655843
2015-09-15,98.980003,100.120003,98.760002,99.849998,945800,98.733653
2015-09-16,99.669998,100.849998,99.559998,100.599998,1218200,99.475268
2015-09-17,100.589996,102.220001,100.18,100.559998,1683900,99.435714
2015-09-18,99.529999,100.160004,99.050003,99.220001,4146000,98.1107
2015-09-21,100.019997,100.699997,98.809998,99.610001,1229300,98.496339
2015-09-22,98.410004,98.900002,97.720001,98.559998,1295000,97.458075
2015-09-23,98.25,98.879997,97.860001,98.589996,1332100,97.487738
2015-09-24,97.959999,98.400002,97.400002,98.220001,1714200,97.12188
2015-09-25,98.970001,99.449997,96.300003,96.900002,1564500,95.816638
2015-09-28,95.459999,96.010002,91.730003,92.400002,2584800,91.693415
2015-09-29,92.889999,94.160004,92.440002,93.230003,1653300,92.51707
2015-09-30,94.290001,94.849998,92.870003,94.099998,1693200,93.380412
2015-10-01,94.5,94.970001,93.650002,94.910004,1785600,94.184223
2015-10-02,94.120003,96.459999,93.529999,96.459999,1593000,95.722366
2015-10-05,95.889999,97.419998,95.889999,96.889999,1457100,96.149078
2015-10-06,96.629997,96.779999,94.25,94.919998,1477900,94.194141
2015-10-07,95.339996,96.029999,94.5,96.0,1038100,95.265884
2015-10-08,95.82,97.360001,95.449997,97.349998,1301600,96.605559
2015-10-09,97.18,98.459999,96.900002,97.75,1459600,97.002502
2015-10-12,97.510002,98.739998,97.379997,98.510002,792000,97.756692
2015-10-13,98.25,99.050003,97.440002,97.57,876000,96.823878
2015-10-14,97.599998,98.379997,96.68,96.900002,1267200,96.159004
2015-10-15,97.400002,98.760002,96.529999,98.690002,1226000,97.935316
2015-10-16,99.309998,100.059998,98.300003,100.029999,1248800,99.265066
2015-10-19,99.620003,100.510002,99.32,100.459999,927900,99.691778
2015-10-20,100.129997,100.43,98.900002,99.209999,1121400,98.451337
2015-10-21,99.720001,99.970001,98.559998,99.790001,2038700,99.026903
2015-10-22,100.169998,100.190002,98.110001,98.529999,2432000,97.776536
2015-10-23,98.040001,98.360001,94.029999,94.440002,4007200,93.717816
2015-10-26,94.360001,94.760002,93.559998,93.900002,2325000,93.181945
2015-10-27,93.900002,94.779999,92.919998,93.839996,1794300,93.122398
2015-10-28,93.839996,95.849998,93.059998,95.769997,1735100,95.03764
2015-10-29,95.400002,96.690002,95.360001,95.849998,1121100,95.11703
2015-10-30,96.07,96.400002,95.470001,95.620003,1371500,94.888793
2015-11-02,95.830002,96.910004,95.730003,96.709999,1152500,95.970454
2015-11-03,96.629997,97.110001,95.860001,96.800003,987000,96.05977
2015-11-04,96.800003,97.839996,96.669998,97.5,1438900,96.754414
2015-11-05,97.519997,97.779999,96.68,97.589996,1619000,96.843722
2015-11-06,97.190002,97.610001,96.43,97.599998,1286100,96.853648
2015-11-09,97.25,97.589996,96.300003,96.809998,1049100,96.069688
2015-11-10,96.769997,97.709999,96.769997,97.599998,866300,96.853648
2015-11-11,97.790001,98.25,97.370003,97.629997,1052800,96.883417
2015-11-12,96.480003,97.059998,95.580002,95.610001,2023400,94.878867
2015-11-13,95.150002,96.419998,95.150002,95.629997,1372300,94.898711
2015-11-16,95.589996,96.699997,95.190002,96.660004,1037000,95.920841
2015-11-17,96.709999,97.239998,96.339996,96.610001,1585800,95.87122
2015-11-18,96.809998,97.220001,96.449997,97.010002,1595500,96.268163
2015-11-19,96.809998,96.989998,95.360001,95.410004,1515200,94.6804
2015-11-20,95.980003,97.160004,95.57,96.480003,1782200,95.742217
2015-11-23,96.540001,97.160004,95.879997,96.080002,1707300,95.345274
2015-11-24,95.389999,96.690002,95.099998,96.610001,1363100,95.87122
2015-11-25,96.610001,97.639999,96.239998,97.220001,993900,96.476556
