Date,Open_HRL,High_HRL,Low_HRL,Close_HRL,Volume_HRL,AdjClose_HRL
2015-06-05,56.200001,56.41,55.82,56.259998,2346400,27.695862
2015-06-08,56.259998,56.400002,56.009998,56.150002,1242600,27.641712
2015-06-09,56.09,56.41,55.619999,56.220001,1325000,27.676172
2015-06-10,56.330002,57.18,56.330002,56.82,1202800,27.971541
2015-06-11,56.790001,57.040001,56.43,56.52,1002200,27.823857
2015-06-12,56.369999,56.669998,56.060001,56.459999,1360800,27.794319
2015-06-15,56.290001,56.380001,55.880001,56.330002,1724800,27.730323
2015-06-16,56.450001,56.779999,56.130001,56.66,1410400,27.892776
2015-06-17,56.700001,57.130001,56.52,57.040001,954600,28.079844
2015-06-18,57.080002,57.630001,56.93,57.279999,1199600,28.197991
2015-06-19,57.27,57.73,56.939999,57.240002,1245400,28.178301
2015-06-22,57.619999,57.990002,57.529999,57.799999,999200,28.453979
2015-06-23,58.0,58.150002,57.59,58.119999,1220600,28.611509
2015-06-24,58.139999,58.290001,57.880001,58.060001,1087400,28.581973
2015-06-25,58.639999,58.639999,57.759998,57.970001,1164200,28.537668
2015-06-26,58.02,58.02,57.34,57.720001,1586200,28.414597
2015-06-29,57.0,57.0,56.23,56.27,1132000,27.700786
2015-06-30,56.630001,56.990002,56.330002,56.369999,1631400,27.750013
2015-07-01,56.610001,57.049999,56.419998,56.98,1565600,28.050306
2015-07-02,57.150002,57.349998,56.540001,56.849998,1197400,27.986309
2015-07-06,56.310001,56.689999,55.990002,56.220001,1711400,27.676172
2015-07-07,56.380001,57.439999,55.889999,57.349998,1470800,28.232451
2015-07-08,56.970001,57.240002,56.75,56.91,1032200,28.015847
2015-07-09,57.52,57.720001,57.18,57.220001,1760200,28.168455
2015-07-10,57.57,57.57,57.049999,57.310001,1685800,28.212761
2015-07-13,57.799999,58.240002,57.560001,58.209999,1167000,28.655815
2015-07-14,58.299999,58.540001,58.139999,58.349998,1262600,28.724734
2015-07-15,58.209999,58.439999,57.77,57.860001,1073800,28.483516
2015-07-16,57.93,58.349998,57.869999,58.349998,1147800,28.849387
2015-07-17,58.18,58.299999,57.200001,57.619999,1231400,28.488461
2015-07-20,57.580002,57.889999,57.290001,57.860001,1223200,28.607122
2015-07-21,57.830002,58.07,57.419998,57.459999,1453200,28.409353
2015-07-22,57.490002,57.869999,57.34,57.759998,841800,28.557679
2015-07-23,57.650002,58.150002,57.43,57.66,791800,28.508238
2015-07-24,57.549999,57.799999,57.330002,57.560001,1020400,28.458797
2015-07-27,57.32,57.540001,56.889999,57.419998,1107000,28.389576
2015-07-28,57.549999,58.490002,57.330002,58.470001,971000,28.908718
2015-07-29,58.41,58.84,58.240002,58.799999,972800,29.071876
2015-07-30,58.540001,59.459999,58.209999,59.34,1246400,29.338863
2015-07-31,59.59,59.630001,59.049999,59.209999,2027800,29.274588
2015-08-03,58.75,59.43,58.509998,59.43,1521200,29.383361
2015-08-04,59.310001,60.580002,59.25,60.299999,1599200,29.813505
2015-08-05,60.68,61.32,60.330002,60.799999,1795200,30.060715
2015-08-06,61.0,61.0,60.049999,60.279999,1363200,29.803617
2015-08-07,60.279999,60.279999,59.830002,60.23,1170000,29.778896
2015-08-10,60.43,61.169998,60.27,60.860001,1302600,30.090381
2015-08-11,60.439999,60.68,60.02,60.459999,1233400,29.892612
2015-08-12,60.0,60.950001,59.73,60.889999,1916400,30.105213
2015-08-13,60.860001,60.970001,60.349998,60.5,1507800,29.91239
2015-08-14,60.57,61.259998,60.380001,61.209999,1244800,30.263427
2015-08-17,60.970001,61.560001,60.650002,61.34,1259400,30.327702
2015-08-18,61.470001,61.490002,60.380001,60.5,2320000,29.91239
2015-08-19,62.48,62.48,59.900002,61.220001,2788400,30.268372
2015-08-20,61.650002,64.129997,61.5,63.59,4109600,31.440147
2015-08-21,63.360001,63.380001,61.349998,61.380001,3332400,30.34748
2015-08-24,59.5,59.650002,58.360001,59.330002,3520600,29.33392
2015-08-25,60.540001,60.639999,58.73,58.779999,2182000,29.061987
2015-08-26,59.919998,60.52,58.75,60.450001,1812800,29.887669
2015-08-27,60.84,61.509998,60.299999,61.380001,1710000,30.34748
2015-08-28,61.209999,61.560001,60.919998,61.5,1536000,30.406809
2015-08-31,61.43,61.43,60.799999,61.099998,1677600,30.209041
2015-09-01,60.080002,60.540001,59.34,59.650002,1934600,29.492134
2015-09-02,60.41,60.650002,60.009998,60.639999,1771000,29.981608
2015-09-03,60.889999,61.689999,60.650002,61.18,2069000,30.248595
2015-09-04,60.68,60.889999,60.169998,60.669998,1539600,29.99644
2015-09-08,61.41,62.119999,61.07,62.09,2734200,30.698517
2015-09-09,62.459999,62.540001,60.900002,61.060001,2228200,30.189265
2015-09-10,60.93,61.369999,60.580002,61.009998,1793000,30.164543
2015-09-11,61.0,61.75,60.580002,61.720001,1437000,30.515582
2015-09-14,61.669998,61.669998,61.16,61.389999,1158400,30.352423
2015-09-15,61.73,62.029999,60.950001,61.98,1439000,30.644131
2015-09-16,62.400002,62.93,61.990002,62.82,1591400,31.059443
2015-09-17,62.299999,62.82,61.639999,62.169998,2351400,30.73807
2015-09-18,61.639999,61.91,60.959999,61.080002,3393600,30.199154
2015-09-21,61.369999,61.490002,61.029999,61.220001,1956800,30.268372
2015-09-22,60.849998,60.849998,59.869999,60.330002,1910800,29.828339
2015-09-23,60.330002,60.75,60.139999,60.700001,1384400,30.011274
2015-09-24,60.310001,61.279999,60.110001,61.200001,1545000,30.258484
2015-09-25,61.77,62.82,61.43,62.189999,2304000,30.747958
2015-09-28,61.860001,62.16,61.279999,61.450001,1890200,30.382089
2015-09-29,61.580002,61.889999,60.990002,61.779999,2197000,30.545246
2015-09-30,62.189999,63.400002,61.990002,63.310001,3456800,31.30171
2015-10-01,63.52,63.619999,62.400002,63.209999,2377000,31.252267
2015-10-02,62.619999,64.199997,62.400002,64.18,2572200,31.731854
2015-10-05,64.620003,65.480003,64.400002,65.339996,4419200,32.305379
2015-10-06,65.309998,65.32,63.630001,63.779999,2923600,31.534086
2015-10-07,64.010002,64.290001,63.310001,64.010002,2600800,31.647804
2015-10-08,63.939999,65.209999,63.630001,65.129997,1966600,32.201551
2015-10-09,65.129997,65.68,64.769997,65.419998,1601200,32.344934
2015-10-12,65.379997,66.410004,65.339996,66.400002,1852800,32.829466
2015-10-13,66.120003,66.540001,65.769997,65.889999,1962600,32.577311
2015-10-14,65.889999,65.980003,64.410004,64.699997,1741600,31.988951
2015-10-15,64.839996,65.300003,64.099998,64.889999,1740600,32.20734
2015-10-16,65.099998,65.949997,64.839996,65.900002,1588600,32.708642
2015-10-19,65.839996,66.690002,65.5,66.330002,2359400,32.922067
2015-10-20,66.25,66.379997,65.639999,65.940002,1494400,32.728496
2015-10-21,66.010002,66.970001,65.839996,66.610001,1978800,33.061041
2015-10-22,66.860001,68.690002,66.699997,68.489998,1847600,33.994155
2015-10-23,68.849998,68.970001,67.879997,68.330002,1700600,33.914743
2015-10-26,68.169998,68.300003,67.059998,67.620003,2594600,33.562343
2015-10-27,67.07,67.419998,66.190002,66.839996,2821800,33.175197
2015-10-28,67.07,67.790001,66.699997,67.629997,2187000,33.567304
2015-10-29,67.370003,67.889999,66.959999,67.830002,1340800,33.666574
2015-10-30,67.580002,68.150002,67.470001,67.550003,3541800,33.5276
2015-11-02,67.900002,68.089996,66.699997,67.519997,1880400,33.512707
2015-11-03,67.370003,67.809998,66.610001,67.769997,1304200,33.636791
