Date,Open_ALLE,High_ALLE,Low_ALLE,Close_ALLE,Volume_ALLE,AdjClose_ALLE
2015-06-05,61.650002,62.040001,61.110001,61.900002,314300,61.486188
2015-06-08,61.73,62.09,61.389999,61.400002,235000,60.98953
2015-06-09,61.34,61.34,60.73,60.950001,415300,60.542538
2015-06-10,61.02,61.939999,61.02,61.619999,336000,61.208057
2015-06-11,61.82,62.25,61.529999,61.650002,344900,61.237859
2015-06-12,61.529999,61.970001,60.970001,61.099998,276600,60.790139
2015-06-15,60.849998,61.099998,60.330002,60.860001,431300,60.551359
2015-06-16,60.630001,60.98,60.290001,60.610001,320500,60.302627
2015-06-17,60.82,61.240002,60.209999,61.169998,352200,60.859784
2015-06-18,61.27,61.919998,61.119999,61.41,335800,61.098569
2015-06-19,61.369999,62.009998,61.040001,61.669998,647000,61.357249
2015-06-22,62.0,62.459999,61.709999,62.080002,275300,61.765173
2015-06-23,62.02,62.580002,61.77,62.080002,425800,61.765173
2015-06-24,62.279999,62.799999,61.77,62.049999,508700,61.735322
2015-06-25,62.049999,62.630001,61.639999,61.73,229700,61.416946
2015-06-26,61.82,62.040001,61.529999,61.630001,256900,61.317454
2015-06-29,61.509998,61.639999,59.799999,59.900002,525600,59.596228
2015-06-30,60.490002,61.02,60.009998,60.139999,617900,59.835009
2015-07-01,60.73,60.810001,60.080002,60.209999,612300,59.904654
2015-07-02,60.5,60.59,59.639999,59.77,308500,59.466886
2015-07-06,59.48,60.130001,59.09,59.560001,340900,59.257952
2015-07-07,59.73,59.73,58.68,59.650002,876400,59.347496
2015-07-08,59.290001,59.439999,58.43,58.48,477200,58.183427
2015-07-09,59.25,59.650002,59.09,59.189999,593100,58.889826
2015-07-10,59.830002,60.439999,59.650002,60.27,753800,59.964351
2015-07-13,60.75,61.060001,60.389999,60.990002,615200,60.680701
2015-07-14,61.02,61.630001,60.75,61.52,361700,61.208011
2015-07-15,61.380001,61.849998,60.599998,60.889999,453100,60.581205
2015-07-16,61.189999,61.419998,60.970001,61.27,339400,60.959279
2015-07-17,61.09,61.939999,61.09,61.389999,787000,61.07867
2015-07-20,61.41,61.790001,61.150002,61.669998,309300,61.357249
2015-07-21,61.59,61.73,60.669998,60.82,355500,60.511561
2015-07-22,60.759998,61.48,60.68,61.07,376400,60.760293
2015-07-23,61.360001,61.799999,60.939999,61.080002,572900,60.770244
2015-07-24,61.310001,61.860001,61.049999,61.43,728400,61.118468
2015-07-27,61.130001,61.560001,60.610001,61.200001,1057600,60.889635
2015-07-28,61.32,62.849998,61.209999,62.389999,966300,62.073598
2015-07-29,62.560001,63.860001,62.560001,63.75,805300,63.426702
2015-07-30,63.900002,66.050003,61.560001,63.200001,1392300,62.879492
2015-07-31,63.68,63.939999,63.060001,63.220001,646600,62.899391
2015-08-03,63.220001,63.310001,62.380001,62.689999,543400,62.372076
2015-08-04,62.799999,63.060001,62.439999,62.630001,429500,62.312383
2015-08-05,63.310001,63.669998,62.580002,62.880001,551100,62.561115
2015-08-06,62.889999,62.93,61.91,62.290001,428500,61.974107
2015-08-07,62.240002,62.700001,61.849998,62.669998,398200,62.352177
2015-08-10,63.049999,63.529999,62.889999,63.380001,304900,63.058579
2015-08-11,62.880001,63.189999,62.720001,63.16,320100,62.839694
2015-08-12,62.799999,63.080002,61.900002,63.07,392400,62.75015
2015-08-13,62.950001,63.470001,62.580002,63.290001,325200,62.969036
2015-08-14,63.25,63.630001,63.040001,63.599998,157800,63.277461
2015-08-17,63.560001,64.699997,62.98,64.68,445200,64.351986
2015-08-18,64.669998,64.860001,63.240002,64.57,634000,64.242543
2015-08-19,64.050003,64.419998,63.66,64.230003,458800,63.904271
2015-08-20,63.549999,63.650002,62.560001,62.599998,667200,62.282532
2015-08-21,62.150002,62.150002,60.369999,60.380001,469200,60.073793
2015-08-24,56.880001,59.419998,54.34,58.560001,1387800,58.263024
2015-08-25,59.75,59.91,56.880001,56.950001,932100,56.661188
2015-08-26,58.290001,59.09,57.119999,59.02,986000,58.72069
2015-08-27,59.490002,60.779999,59.169998,60.509998,680100,60.203131
2015-08-28,60.48,60.799999,59.740002,60.27,619300,59.964351
2015-08-31,59.959999,60.220001,59.34,59.610001,400300,59.307698
2015-09-01,57.169998,58.779999,57.169998,58.560001,755700,58.263024
2015-09-02,59.220001,59.32,58.34,59.32,346100,59.019168
2015-09-03,59.41,60.450001,58.529999,59.790001,569200,59.486785
2015-09-04,59.049999,59.25,58.27,58.720001,421400,58.422212
2015-09-08,59.689999,60.389999,59.110001,60.360001,301200,60.053894
2015-09-09,60.830002,61.189999,60.080002,60.200001,613500,59.894706
2015-09-10,60.080002,60.77,59.59,60.299999,426200,59.994197
2015-09-11,59.919998,60.669998,59.580002,60.630001,271500,60.322526
2015-09-14,60.439999,60.759998,60.16,60.720001,385100,60.511872
2015-09-15,60.93,61.810001,60.540001,61.639999,397600,61.428717
2015-09-16,61.490002,62.080002,61.080002,61.810001,422600,61.598136
2015-09-17,61.709999,62.82,61.470001,62.040001,550700,61.827347
2015-09-18,61.400002,61.98,61.0,61.119999,761800,60.910499
2015-09-21,61.450001,61.93,61.130001,61.720001,396900,61.508445
2015-09-22,61.07,61.259998,60.139999,60.369999,394300,60.16307
2015-09-23,60.599998,60.669998,60.060001,60.59,474600,60.382317
2015-09-24,60.099998,60.299999,59.450001,60.18,304800,59.973722
2015-09-25,60.529999,60.599998,59.52,59.639999,570300,59.435572
2015-09-28,59.380001,59.380001,56.75,57.259998,695400,57.063729
2015-09-29,57.23,57.41,55.619999,56.07,639400,55.877809
2015-09-30,56.52,57.740002,56.310001,57.66,575300,57.46236
2015-10-01,57.950001,58.59,57.07,58.560001,704800,58.359276
2015-10-02,57.98,58.099998,57.049999,58.080002,692600,57.880922
2015-10-05,58.450001,59.650002,58.41,59.009998,514900,58.807731
2015-10-06,59.150002,59.68,58.360001,58.650002,600700,58.448968
2015-10-07,58.869999,59.689999,58.779999,59.639999,617300,59.435572
2015-10-08,59.389999,59.880001,58.889999,59.740002,518600,59.535232
2015-10-09,59.810001,60.43,59.389999,59.669998,500600,59.465468
2015-10-12,59.689999,59.889999,58.990002,59.139999,421300,58.937286
2015-10-13,58.900002,59.52,58.330002,58.860001,531400,58.658247
2015-10-14,58.810001,59.299999,58.259998,58.830002,630000,58.628351
2015-10-15,59.220001,60.610001,58.73,60.34,745700,60.133174
2015-10-16,60.59,60.950001,60.110001,60.32,697000,60.113242
2015-10-19,60.029999,60.310001,59.439999,59.98,513500,59.774407
2015-10-20,59.939999,62.900002,59.939999,61.990002,924500,61.77752
2015-10-21,62.34,62.490002,61.09,61.27,384300,61.059986
2015-10-22,61.52,64.379997,61.400002,64.0,1248300,63.780628
2015-10-23,64.379997,64.43,63.599998,63.73,1077000,63.511553
2015-10-26,63.77,64.120003,63.150002,64.07,436500,63.850388
2015-10-27,63.810001,64.5,63.740002,64.5,1020500,64.278914
2015-10-28,64.580002,65.339996,63.610001,65.199997,1158000,64.976512
2015-10-29,67.5,67.5,62.639999,64.510002,1801600,64.288882
2015-10-30,64.589996,65.660004,63.959999,65.169998,1029100,64.946616
2015-11-02,65.18,66.839996,64.900002,66.75,936900,66.521202
2015-11-03,66.5,66.5,65.150002,65.330002,877300,65.106071
2015-11-04,64.459999,65.360001,64.459999,64.699997,1181900,64.478226
2015-11-05,63.98,64.5,63.669998,64.160004,1010500,63.940083
2015-11-06,64.080002,64.540001,63.27,64.269997,855900,64.049699
2015-11-09,64.220001,64.239998,63.02,63.68,782700,63.461725
2015-11-10,63.619999,63.790001,62.77,63.330002,839500,63.112927
2015-11-11,63.580002,65.07,63.34,65.010002,747400,64.787168
2015-11-12,64.5,65.099998,64.25,64.68,1038300,64.458298
2015-11-13,64.629997,65.019997,63.66,63.689999,650300,63.471689
2015-11-16,63.990002,64.879997,63.59,64.720001,778000,64.498161
2015-11-17,65.0,65.139999,64.339996,64.589996,846200,64.368602
2015-11-18,65.169998,65.900002,64.669998,65.849998,1059700,65.624285
2015-11-19,65.900002,66.760002,65.43,66.68,1700800,66.451442
2015-11-20,66.82,67.0,66.239998,66.510002,2377900,66.282027
2015-11-23,66.639999,66.830002,65.449997,65.690002,777600,65.464838
2015-11-24,65.470001,65.470001,64.540001,65.18,988900,64.956584
2015-11-25,65.5,66.669998,65.18,66.400002,634300,66.172403
2015-11-27,66.489998,67.279999,66.400002,67.129997,274600,66.899897
2015-11-30,67.269997,67.989998,67.010002,67.209999,1311700,66.979624
2015-12-01,67.339996,68.080002,67.25,68.029999,899000,67.796813
2015-12-02,67.900002,68.080002,67.029999,67.309998,643400,67.07928
2015-12-03,67.400002,67.400002,65.410004,66.099998,578200,65.873429
2015-12-04,66.349998,67.480003,65.879997,67.120003,660700,66.889937
2015-12-07,66.970001,67.150002,66.360001,66.389999,534400,66.162435
2015-12-08,65.639999,66.5,65.419998,65.849998,464800,65.624285
2015-12-09,65.139999,66.370003,64.970001,65.18,577500,64.956584
2015-12-10,65.18,65.919998,64.989998,65.389999,571200,65.165863
2015-12-11,64.739998,65.440002,64.43,64.589996,518200,64.368602
2015-12-14,64.529999,64.970001,63.639999,64.910004,813000,64.787819
2015-12-15,65.209999,65.730003,64.940002,65.43,582000,65.306837
2015-12-16,65.970001,66.660004,65.419998,66.459999,611200,66.334896
2015-12-17,66.480003,66.480003,65.599998,65.620003,586400,65.496481
2015-12-18,65.389999,65.540001,63.959999,64.650002,1609900,64.528306
2015-12-21,65.0,65.489998,64.379997,64.760002,459400,64.6381
2015-12-22,65.07,65.199997,64.419998,65.169998,443500,65.047324
2015-12-23,65.550003,65.940002,65.239998,65.82,313400,65.696102
2015-12-24,65.839996,65.919998,65.440002,65.610001,114200,65.486498
2015-12-28,65.449997,66.389999,65.120003,66.309998,303800,66.185177
2015-12-29,67.040001,67.540001,66.57,66.959999,475300,66.833955
2015-12-30,66.699997,67.089996,66.449997,66.610001,309900,66.484616
2015-12-31,66.260002,66.919998,65.309998,65.919998,310900,65.795912
2016-01-04,64.879997,64.879997,63.389999,64.529999,845000,64.408529
2016-01-05,64.57,65.400002,64.110001,64.459999,525600,64.338661
2016-01-06,63.619999,63.830002,62.389999,62.77,505500,62.651844
2016-01-07,61.630001,62.290001,60.75,60.959999,613600,60.84525
2016-01-08,61.299999,61.709999,59.619999,59.77,675700,59.657491
2016-01-11,60.02,60.450001,58.98,59.490002,562700,59.378019
2016-01-12,59.959999,60.439999,59.330002,60.110001,521100,59.996851
2016-01-13,60.529999,60.689999,58.66,58.810001,513400,58.699299
2016-01-14,59.799999,60.939999,59.040001,60.23,929400,60.116624
2016-01-15,60.419998,60.419998,56.66,58.68,1231500,58.569543
2016-01-19,60.049999,60.209999,57.279999,58.009998,1000000,57.900802
2016-01-20,57.549999,58.040001,55.529999,57.41,1355200,57.301933
2016-01-21,57.439999,57.77,55.759998,57.209999,1152600,57.102308
2016-01-22,58.150002,60.130001,58.130001,59.959999,1086900,59.847132
2016-01-25,59.689999,60.349998,58.830002,59.189999,1114700,59.078581
2016-01-26,59.040001,60.119999,58.779999,59.939999,638000,59.827169
2016-01-27,59.68,60.57,59.369999,59.73,711800,59.617565
2016-01-28,60.060001,60.169998,58.759998,59.220001,668100,59.108527
2016-01-29,59.529999,60.650002,59.169998,60.560001,677700,60.446005
2016-02-01,60.0,60.740002,59.529999,60.450001,982600,60.336211
2016-02-02,59.950001,59.950001,58.310001,58.73,1217300,58.619448
2016-02-03,59.389999,59.490002,57.700001,59.380001,897500,59.268226
2016-02-04,59.32,60.970001,59.220001,59.799999,542800,59.687433
2016-02-05,59.830002,60.349998,56.009998,56.27,1627200,56.164079
2016-02-08,55.380001,55.880001,52.950001,53.77,2161000,53.668785
2016-02-09,53.330002,54.950001,53.189999,54.279999,1425700,54.177824
2016-02-10,54.810001,56.52,54.41,54.849998,1245900,54.74675
2016-02-11,56.189999,58.77,54.450001,56.740002,2540800,56.633196
2016-02-12,58.09,58.869999,57.169998,57.5,1869100,57.391763
2016-02-16,58.380001,58.810001,56.880001,58.5,1177600,58.389881
2016-02-17,58.900002,59.549999,58.43,58.810001,1186300,58.699299
2016-02-18,59.09,59.400002,58.380001,58.59,987300,58.479712
2016-02-19,58.5,58.799999,57.970001,58.759998,2485200,58.64939
2016-02-22,58.759998,61.43,58.759998,61.07,988400,60.955043
2016-02-23,60.799999,62.0,60.529999,61.110001,742900,60.994969
2016-02-24,60.450001,62.77,60.009998,62.630001,1014800,62.512108
2016-02-25,62.720001,63.869999,60.599998,63.799999,912100,63.679904
2016-02-26,64.0,64.5,63.130001,63.880001,748800,63.759755
2016-02-29,63.919998,64.239998,62.939999,63.0,1127900,62.88141
2016-03-01,63.580002,64.910004,63.32,64.830002,1140800,64.707968
2016-03-02,64.589996,64.980003,64.050003,64.639999,674000,64.518323
2016-03-03,64.57,64.980003,64.220001,64.839996,695300,64.717943
2016-03-04,64.830002,65.0,63.84,63.939999,836800,63.81964
2016-03-07,63.59,63.959999,62.98,63.490002,913100,63.37049
2016-03-08,63.080002,63.360001,62.43,62.950001,972300,62.831505
2016-03-09,63.43,63.68,62.869999,63.32,479000,63.200808
2016-03-10,63.549999,64.110001,62.630001,63.099998,579400,62.981221
2016-03-11,63.779999,63.959999,63.349998,63.75,440100,63.629999
2016-03-14,63.23,64.470001,63.23,64.169998,569500,64.169998
2016-03-15,63.66,64.150002,63.41,63.639999,463000,63.639999
2016-03-16,63.34,64.099998,63.029999,63.759998,485300,63.759998
2016-03-17,63.630001,64.519997,63.150002,64.370003,596200,64.370003
2016-03-18,64.68,65.360001,64.489998,64.559998,840500,64.559998
2016-03-21,64.260002,64.739998,63.970001,64.489998,701500,64.489998
2016-03-22,64.160004,64.459999,63.950001,64.220001,536600,64.220001
2016-03-23,64.07,64.07,63.220001,63.360001,453400,63.360001
2016-03-24,63.23,63.380001,62.689999,63.139999,447100,63.139999
2016-03-28,63.330002,63.529999,62.93,63.369999,313000,63.369999
2016-03-29,63.41,63.810001,62.959999,63.639999,589800,63.639999
