Date,Open_PSX,High_PSX,Low_PSX,Close_PSX,Volume_PSX,AdjClose_PSX
2015-06-05,77.239998,78.610001,77.169998,78.050003,1934400,75.871507
2015-06-08,77.110001,77.760002,76.839996,77.18,3344500,75.025787
2015-06-09,77.339996,77.809998,76.730003,76.790001,3383300,74.646673
2015-06-10,77.410004,78.349998,77.18,77.800003,3600200,75.628485
2015-06-11,77.980003,79.290001,77.480003,78.669998,3126400,76.474197
2015-06-12,78.160004,78.339996,76.940002,77.650002,2574600,75.48267
2015-06-15,77.699997,78.089996,77.160004,78.080002,2546600,75.900668
2015-06-16,78.0,78.440002,77.269997,78.389999,2511000,76.202013
2015-06-17,79.150002,79.660004,77.919998,78.839996,2799100,76.63945
2015-06-18,78.910004,80.480003,78.800003,80.029999,2508100,77.796238
2015-06-19,79.580002,80.620003,79.580002,79.669998,3030700,77.446286
2015-06-22,80.019997,80.019997,78.940002,79.599998,3153000,77.37824
2015-06-23,79.800003,80.599998,79.559998,80.309998,2453100,78.068422
2015-06-24,79.699997,80.120003,78.959999,79.190002,3106400,76.979687
2015-06-25,79.190002,79.519997,78.800003,78.889999,2347100,76.688058
2015-06-26,78.800003,79.669998,78.559998,79.620003,8753600,77.397686
2015-06-29,78.75,79.410004,78.459999,78.489998,4888300,76.299221
2015-06-30,79.239998,81.360001,79.18,80.559998,4716800,78.311444
2015-07-01,80.639999,81.860001,80.519997,81.300003,3779600,79.030794
2015-07-02,81.470001,82.18,81.0,81.449997,3388900,79.176602
2015-07-06,80.389999,81.790001,79.75,81.540001,3978700,79.264094
2015-07-07,81.980003,82.629997,79.919998,82.349998,4170700,80.051483
2015-07-08,81.849998,81.860001,78.059998,78.5,4513100,76.308944
2015-07-09,79.599998,80.0,79.190002,79.449997,3839200,77.232425
2015-07-10,79.860001,81.839996,79.660004,81.489998,3236100,79.215486
2015-07-13,82.050003,84.239998,82.050003,83.419998,4148900,81.091617
2015-07-14,82.889999,84.389999,82.889999,83.519997,4884500,81.188825
2015-07-15,82.790001,83.349998,81.419998,81.769997,3737700,79.48767
2015-07-16,82.419998,83.440002,82.019997,83.209999,3017300,80.88748
2015-07-17,83.209999,83.300003,82.099998,83.239998,2502100,80.916641
2015-07-20,83.129997,83.25,82.239998,82.330002,3095200,80.032044
2015-07-21,82.300003,83.0,81.480003,81.980003,2215000,79.691815
2015-07-22,81.839996,82.860001,81.199997,81.830002,3725600,79.546
2015-07-23,82.110001,82.480003,81.220001,81.389999,2110100,79.118279
2015-07-24,81.339996,81.559998,78.300003,79.029999,5377100,76.82415
2015-07-27,78.0,78.040001,75.440002,76.720001,7687900,74.578628
2015-07-28,76.800003,79.07,76.419998,78.650002,4784200,76.454759
2015-07-29,78.550003,80.18,78.440002,80.029999,4380000,77.796238
2015-07-30,79.489998,79.980003,78.379997,79.120003,4040100,76.911641
2015-07-31,78.470001,80.629997,77.910004,79.5,3615800,77.281032
2015-08-03,78.669998,80.220001,78.25,78.68,4085500,76.48392
2015-08-04,79.110001,79.440002,78.089996,78.260002,3601300,76.075645
2015-08-05,79.57,80.449997,78.190002,78.279999,3102700,76.095083
2015-08-06,78.449997,79.860001,77.940002,79.639999,4605300,77.417124
2015-08-07,79.269997,80.610001,78.970001,79.620003,2969400,77.397686
2015-08-10,80.07,82.529999,80.0,82.519997,3876700,80.216736
2015-08-11,81.07,83.809998,80.900002,83.699997,3584100,81.363801
2015-08-12,83.370003,84.849998,82.129997,84.32,5037900,81.966498
2015-08-13,83.199997,84.400002,82.489998,83.080002,4177400,81.301057
2015-08-14,82.699997,83.519997,81.82,82.300003,3277000,80.53776
2015-08-17,81.919998,83.129997,81.660004,83.059998,2586100,81.281481
2015-08-18,82.68,83.57,82.379997,83.25,2516800,81.467415
2015-08-19,82.699997,82.93,80.370003,80.800003,4913600,79.069878
2015-08-20,80.239998,81.779999,79.419998,79.529999,3737800,77.827068
2015-08-21,78.690002,79.080002,75.669998,75.739998,7353200,74.11822
2015-08-24,71.93,73.82,69.790001,71.660004,7050100,70.125589
2015-08-25,73.620003,74.120003,70.400002,70.550003,4731500,69.039356
2015-08-26,72.5,73.370003,70.559998,73.300003,4573100,71.730472
2015-08-27,75.029999,76.540001,73.169998,75.019997,5814300,73.413636
2015-08-28,75.139999,77.260002,75.099998,77.230003,4889900,75.576321
2015-08-31,79.5,80.139999,77.279999,79.07,8614300,77.376919
2015-09-01,78.129997,78.419998,76.809998,77.589996,5302200,75.928606
2015-09-02,79.139999,79.18,76.849998,78.559998,3621900,76.877837
2015-09-03,79.099998,80.059998,77.769997,78.459999,3358300,76.77998
2015-09-04,77.5,78.010002,76.709999,77.199997,4266100,75.546957
2015-09-08,78.209999,79.970001,77.010002,79.879997,6212500,78.169572
2015-09-09,80.059998,82.75,79.959999,80.650002,6346100,78.923089
2015-09-10,81.209999,82.07,80.110001,81.019997,4424900,79.285161
2015-09-11,80.830002,80.980003,79.720001,80.599998,3950700,78.874156
2015-09-14,80.529999,80.529999,78.050003,78.209999,4261200,76.535333
2015-09-15,78.400002,79.639999,77.730003,79.209999,4053900,77.51392
2015-09-16,79.400002,79.589996,78.25,79.190002,4018400,77.494352
2015-09-17,79.480003,80.760002,78.379997,79.309998,4060300,77.611778
2015-09-18,78.089996,79.559998,77.800003,78.589996,12950800,76.907193
2015-09-21,78.809998,80.5,78.480003,79.260002,3399100,77.562853
2015-09-22,78.120003,78.75,77.760002,78.169998,2957200,76.496188
2015-09-23,78.550003,79.529999,77.82,77.849998,2485200,76.183041
2015-09-24,77.610001,78.419998,76.510002,77.650002,3727500,75.987326
2015-09-25,78.18,78.800003,77.260002,77.940002,3193100,76.271117
2015-09-28,77.459999,78.07,73.93,74.110001,4161900,72.523125
2015-09-29,74.809998,75.989998,74.25,74.510002,4335400,72.914562
2015-09-30,76.209999,77.279999,75.449997,76.839996,3901000,75.194665
2015-10-01,77.629997,78.480003,76.519997,77.93,3044000,76.261329
2015-10-02,77.110001,79.480003,76.449997,79.480003,2467100,77.778143
2015-10-05,79.940002,82.290001,79.879997,81.82,3449600,80.068034
2015-10-06,81.709999,83.489998,81.620003,82.580002,5355200,80.811763
2015-10-07,82.93,83.790001,81.260002,83.239998,4013700,81.457627
2015-10-08,82.970001,84.870003,82.370003,84.580002,3179500,82.768938
2015-10-09,84.610001,84.790001,82.510002,83.519997,3104300,81.73163
2015-10-12,83.75,84.0,82.730003,83.870003,1791100,82.074142
2015-10-13,83.0,83.959999,82.010002,82.160004,3322200,80.400758
2015-10-14,82.160004,83.400002,81.669998,82.470001,2172100,80.704118
2015-10-15,83.029999,83.889999,81.860001,83.489998,2289700,81.702274
2015-10-16,84.029999,84.769997,83.440002,84.120003,2679000,82.318789
2015-10-19,83.419998,83.699997,81.480003,81.620003,3054100,79.87232
2015-10-20,81.32,81.830002,80.080002,81.599998,2896000,79.852744
2015-10-21,81.879997,81.900002,80.230003,80.5,2347500,78.776299
2015-10-22,81.330002,82.849998,80.730003,82.610001,3323800,80.84112
2015-10-23,82.610001,84.449997,82.410004,83.349998,2522900,81.565272
2015-10-26,83.309998,83.68,82.410004,83.0,3124300,81.222768
