Date,Open_IFF,High_IFF,Low_IFF,Close_IFF,Volume_IFF,AdjClose_IFF
2015-06-05,112.150002,112.440002,111.010002,111.120003,627600,109.019195
2015-06-08,111.199997,112.260002,110.309998,110.339996,562400,108.253935
2015-06-09,110.339996,110.440002,109.410004,109.760002,607400,107.684906
2015-06-10,110.269997,111.040001,109.879997,110.830002,1131100,108.734677
2015-06-11,110.900002,112.07,110.690002,111.449997,754300,109.34295
2015-06-12,111.32,111.589996,110.080002,110.330002,362700,108.244129
2015-06-15,109.389999,109.919998,108.82,109.370003,420500,107.30228
2015-06-16,109.43,111.919998,109.379997,111.239998,634500,109.136921
2015-06-17,111.599998,112.57,111.349998,111.580002,625500,109.470497
2015-06-18,112.220001,113.660004,111.459999,113.339996,552700,111.197218
2015-06-19,113.480003,114.599998,112.800003,112.82,536400,110.687052
2015-06-22,113.589996,114.089996,113.0,113.529999,355600,111.383628
2015-06-23,113.980003,114.040001,113.029999,113.209999,376300,111.069678
2015-06-24,112.639999,113.900002,112.25,112.650002,421600,110.981014
2015-06-25,112.730003,113.529999,112.5,112.620003,339300,110.95146
2015-06-26,113.0,113.400002,112.449997,112.620003,401000,110.95146
2015-06-29,111.599998,112.360001,109.230003,109.290001,325600,107.670794
2015-06-30,110.220001,110.559998,108.870003,109.290001,441300,107.670794
2015-07-01,110.279999,110.790001,109.660004,110.220001,361700,108.587016
2015-07-02,110.769997,110.870003,109.839996,110.330002,374500,108.695387
2015-07-06,109.169998,110.639999,108.910004,109.699997,278600,108.074716
2015-07-07,109.620003,110.120003,108.199997,109.660004,410400,108.035315
2015-07-08,108.669998,109.239998,108.25,108.449997,515200,106.843236
2015-07-09,109.730003,110.309998,108.809998,108.910004,333800,107.296427
2015-07-10,110.400002,111.349998,109.580002,111.150002,278000,109.503238
2015-07-13,112.150002,112.919998,111.169998,112.650002,331200,110.981014
2015-07-14,112.510002,113.330002,112.400002,113.160004,270600,111.48346
2015-07-15,112.93,113.769997,112.57,112.690002,315000,111.020423
2015-07-16,112.980003,113.550003,112.18,113.349998,374100,111.67064
2015-07-17,113.07,113.440002,112.410004,112.639999,220300,110.97116
2015-07-20,112.18,112.389999,111.419998,111.610001,403500,109.956422
2015-07-21,111.93,114.309998,111.519997,111.599998,493600,109.946568
2015-07-22,112.400002,113.989998,111.5,112.269997,339300,110.606639
2015-07-23,112.589996,113.0,111.849998,112.18,380000,110.517976
2015-07-24,112.040001,112.07,110.0,111.099998,381400,109.453976
2015-07-27,110.510002,111.419998,110.110001,111.110001,365500,109.463829
2015-07-28,111.559998,113.839996,110.970001,113.699997,439900,112.015453
2015-07-29,113.650002,114.82,112.75,114.57,350200,112.872566
2015-07-30,114.290001,116.059998,114.059998,115.510002,468100,113.798642
2015-07-31,116.379997,116.870003,115.370003,115.589996,474600,113.877451
2015-08-03,115.449997,115.75,114.68,115.300003,258400,113.591754
2015-08-04,115.510002,116.800003,115.510002,116.0,258400,114.28138
2015-08-05,117.190002,118.080002,116.610001,117.239998,384500,115.503007
2015-08-06,117.230003,118.089996,115.720001,116.419998,458900,114.695156
2015-08-07,116.529999,116.93,115.849998,116.279999,283000,114.557231
2015-08-10,116.739998,118.870003,116.330002,118.809998,390900,117.049746
2015-08-11,115.540001,117.110001,112.779999,114.050003,887800,112.360274
2015-08-12,112.989998,114.43,112.419998,113.739998,549900,112.054862
2015-08-13,113.360001,114.089996,112.43,113.220001,501800,111.542569
2015-08-14,113.230003,114.690002,113.050003,114.360001,350100,112.665679
2015-08-17,113.949997,115.199997,113.830002,114.989998,368200,113.286342
2015-08-18,114.730003,115.849998,114.730003,115.529999,324600,113.818342
2015-08-19,114.209999,115.160004,113.669998,114.110001,403300,112.419382
2015-08-20,113.610001,113.879997,111.620003,112.0,704800,110.340643
2015-08-21,113.120003,114.120003,111.919998,111.949997,1065200,110.291381
2015-08-24,106.870003,109.129997,106.199997,108.0,1178300,106.399906
2015-08-25,110.589996,110.639999,107.0,107.050003,813200,105.463984
2015-08-26,109.190002,109.639999,107.160004,108.910004,553000,107.296427
2015-08-27,110.160004,112.25,108.940002,110.699997,495400,109.0599
2015-08-28,110.440002,111.010002,109.580002,110.959999,350200,109.31605
2015-08-31,110.610001,110.610001,109.489998,109.550003,297700,107.926944
2015-09-01,107.07,107.959999,105.830002,106.230003,546300,104.656133
2015-09-02,107.93,108.540001,106.510002,108.5,549800,106.892498
2015-09-03,109.400002,110.43,108.889999,109.459999,316400,107.838274
