Date,Open_TROW,High_TROW,Low_TROW,Close_TROW,Volume_TROW,AdjClose_TROW
2015-06-05,79.639999,79.709999,78.870003,79.220001,1306900,76.970342
2015-06-08,79.059998,79.599998,78.559998,78.610001,1372300,76.377664
2015-06-09,78.93,78.93,78.07,78.099998,1754600,75.882144
2015-06-10,78.610001,79.010002,78.5,78.870003,1515900,76.630282
2015-06-11,78.980003,79.199997,78.57,78.970001,1482000,77.23667
2015-06-12,78.82,78.830002,78.150002,78.330002,1039400,76.610718
2015-06-15,77.629997,78.330002,77.410004,78.029999,1565600,76.3173
2015-06-16,77.650002,78.860001,77.650002,78.779999,1095200,77.050838
2015-06-17,78.970001,79.239998,78.620003,78.75,1204600,77.021498
2015-06-18,79.029999,79.959999,79.029999,79.650002,1373100,77.901745
2015-06-19,79.480003,79.739998,78.849998,78.849998,1852200,77.119302
2015-06-22,79.279999,79.809998,78.889999,79.07,1347500,77.334474
2015-06-23,79.239998,79.330002,78.779999,78.949997,1873100,77.217105
2015-06-24,78.830002,79.330002,78.68,78.730003,1675000,77.00194
2015-06-25,78.669998,78.959999,77.980003,78.059998,1466600,76.346641
2015-06-26,79.040001,79.779999,78.709999,79.400002,2062500,77.657233
2015-06-29,77.550003,78.970001,77.389999,77.470001,2136700,75.769594
2015-06-30,78.419998,78.860001,77.290001,77.730003,1708300,76.02389
2015-07-01,78.459999,78.800003,77.470001,77.68,1581500,75.974984
2015-07-02,77.910004,77.980003,76.919998,77.339996,1132600,75.642443
2015-07-06,76.480003,77.18,76.370003,76.93,1408000,75.241446
2015-07-07,77.120003,77.300003,75.879997,77.220001,1514200,75.525082
2015-07-08,76.480003,76.760002,75.610001,75.769997,1863800,74.106903
2015-07-09,76.739998,77.169998,76.480003,76.610001,2030700,74.92847
2015-07-10,77.480003,77.580002,76.919998,77.43,1193500,75.730471
2015-07-13,78.129997,78.379997,77.730003,78.309998,1209800,76.591153
2015-07-14,78.339996,78.459999,77.910004,78.089996,1077600,76.375981
2015-07-15,78.379997,78.529999,77.870003,78.190002,1113600,76.473792
2015-07-16,78.690002,79.519997,78.410004,79.510002,1464000,77.764819
2015-07-17,79.160004,79.5,79.019997,79.419998,1180900,77.67679
2015-07-20,79.529999,79.620003,79.050003,79.349998,792500,77.608327
2015-07-21,79.139999,79.739998,78.739998,79.07,1029800,77.334474
2015-07-22,79.07,79.220001,78.449997,78.739998,1639200,77.011715
2015-07-23,78.059998,78.980003,77.029999,77.279999,2349900,75.583762
2015-07-24,77.099998,77.559998,75.989998,76.839996,1714000,75.153417
2015-07-27,76.580002,76.900002,75.550003,76.629997,1427900,74.948028
2015-07-28,77.370003,77.379997,76.650002,77.160004,1042700,75.466401
2015-07-29,77.379997,77.769997,76.93,77.559998,1105300,75.857615
2015-07-30,77.089996,77.830002,77.019997,77.5,1175200,75.798935
2015-07-31,77.629997,77.980003,77.019997,77.129997,1431800,75.437053
2015-08-03,77.129997,77.389999,76.709999,77.239998,1100100,75.544639
2015-08-04,77.25,77.769997,76.730003,77.050003,1113600,75.358815
2015-08-05,77.339996,77.489998,76.07,76.480003,1561900,74.801326
2015-08-06,76.849998,76.870003,75.459999,75.889999,1164100,74.224272
2015-08-07,76.059998,76.269997,75.330002,75.839996,969300,74.175367
2015-08-10,76.510002,76.900002,76.25,76.889999,1181900,75.202323
2015-08-11,76.669998,76.669998,75.879997,76.18,1131000,74.507908
2015-08-12,75.739998,75.760002,74.040001,75.470001,2510300,73.813493
2015-08-13,75.379997,76.360001,75.019997,75.830002,982000,74.165592
2015-08-14,75.589996,76.150002,75.5,76.07,772200,74.400322
2015-08-17,75.5,76.279999,75.360001,76.230003,819100,74.556813
2015-08-18,77.57,77.57,76.050003,76.339996,675700,74.664392
2015-08-19,75.970001,76.239998,75.099998,75.470001,899300,73.813493
2015-08-20,75.199997,75.199997,72.0,73.93,1509600,72.307294
2015-08-21,73.370003,73.769997,72.010002,72.089996,3034700,70.507676
2015-08-24,68.330002,72.099998,67.760002,69.650002,4135400,68.121238
2015-08-25,72.199997,72.199997,68.32,68.330002,3049100,66.830211
2015-08-26,69.620003,71.120003,69.160004,70.809998,3412800,69.255773
2015-08-27,71.57,73.120003,71.57,72.900002,2214800,71.299903
2015-08-28,72.089996,72.480003,71.809998,72.400002,1408200,70.810877
2015-08-31,71.870003,72.25,71.300003,71.879997,1305800,70.302287
2015-09-01,70.150002,70.32,69.050003,69.379997,2445400,67.85716
2015-09-02,70.370003,70.540001,69.0,69.910004,1591100,68.375533
2015-09-03,69.889999,70.769997,69.739998,70.360001,1853900,68.815653
2015-09-04,69.449997,70.120003,68.989998,69.440002,1500900,67.915848
2015-09-08,70.260002,71.18,69.599998,71.150002,1839800,69.588314
2015-09-09,72.0,72.879997,70.32,70.449997,1689600,68.903674
2015-09-10,70.459999,71.5,70.419998,70.919998,1372400,69.363359
2015-09-11,70.220001,71.029999,70.0,71.0,1181200,69.954527
2015-09-14,70.959999,70.980003,70.279999,70.580002,1309400,69.540713
2015-09-15,70.580002,71.510002,70.169998,70.949997,1900100,69.90526
2015-09-16,71.040001,71.790001,70.480003,71.68,1380900,70.624514
2015-09-17,71.459999,72.440002,70.93,71.059998,1858000,70.013641
2015-09-18,70.089996,70.760002,69.279999,69.57,2956100,68.545584
