Date,Open_HIG,High_HIG,Low_HIG,Close_HIG,Volume_HIG,AdjClose_HIG
2015-06-05,41.599998,41.860001,41.299999,41.540001,2840900,40.774434
2015-06-08,41.400002,41.66,40.990002,41.0,2431600,40.244385
2015-06-09,40.919998,41.18,40.849998,41.009998,1523200,40.254199
2015-06-10,41.23,42.07,41.23,42.029999,2681100,41.255401
2015-06-11,42.049999,42.439999,41.950001,42.330002,2105000,41.549875
2015-06-12,42.16,42.34,42.02,42.200001,1296500,41.42227
2015-06-15,41.740002,41.990002,41.5,41.75,1744300,40.980563
2015-06-16,41.75,42.119999,41.669998,42.029999,1644200,41.255401
2015-06-17,42.16,42.240002,41.75,41.869999,2204400,41.09835
2015-06-18,42.0,42.450001,41.849998,42.380001,2003400,41.598953
2015-06-19,42.200001,42.34,41.990002,42.02,2425200,41.245587
2015-06-22,42.389999,44.130001,42.279999,42.689999,3346300,41.903237
2015-06-23,42.810001,42.860001,42.439999,42.549999,2664400,41.765818
2015-06-24,42.529999,42.650002,42.259998,42.27,2069600,41.49098
2015-06-25,42.32,42.459999,41.82,41.830002,2263600,41.05909
2015-06-26,42.0,42.07,41.799999,42.07,2273300,41.294665
2015-06-29,41.5,41.599998,41.240002,41.259998,4505400,40.499592
2015-06-30,41.700001,41.880001,41.259998,41.57,2901600,40.80388
2015-07-01,42.619999,44.240002,42.529999,44.189999,9824300,43.375593
2015-07-02,44.299999,44.900002,43.98,44.029999,7425000,43.218542
2015-07-06,43.57,44.139999,43.470001,44.080002,3509100,43.267623
2015-07-07,43.93,44.18,43.209999,44.130001,3439100,43.316701
2015-07-08,43.669998,43.810001,42.98,43.029999,3397800,42.236972
2015-07-09,43.619999,43.849998,43.080002,43.150002,3008700,42.354763
2015-07-10,43.799999,43.919998,43.619999,43.779999,2000100,42.973149
2015-07-13,44.189999,45.790001,44.009998,45.099998,6930400,44.268822
2015-07-14,45.0,45.799999,44.810001,45.700001,3980800,44.857766
2015-07-15,45.689999,47.349998,45.389999,46.68,8212900,45.819705
2015-07-16,46.869999,47.419998,46.790001,47.279999,4928900,46.408646
2015-07-17,47.040001,47.169998,46.439999,46.84,3961000,45.976756
2015-07-20,46.990002,47.0,46.27,46.299999,3847700,45.446707
2015-07-21,46.560001,47.23,46.450001,46.720001,4703900,45.858969
2015-07-22,46.720001,46.849998,46.220001,46.41,4606500,45.55468
2015-07-23,46.490002,46.59,46.119999,46.32,3447400,45.466339
2015-07-24,46.360001,46.689999,46.240002,46.470001,2748000,45.613576
2015-07-27,46.049999,46.169998,45.279999,45.66,5386100,44.818503
2015-07-28,46.540001,47.939999,46.110001,46.849998,6951600,45.98657
