Date,Open_UPS,High_UPS,Low_UPS,Close_UPS,Volume_UPS,AdjClose_UPS
2015-06-05,100.150002,100.699997,99.769997,100.510002,2692100,97.56638
2015-06-08,100.519997,100.580002,99.209999,99.269997,2819900,96.36269
2015-06-09,99.160004,100.190002,99.019997,99.620003,2348300,96.702446
2015-06-10,99.940002,100.82,99.599998,100.459999,2682400,97.517841
2015-06-11,100.809998,101.160004,100.459999,101.0,1899000,98.042027
2015-06-12,100.489998,100.970001,99.690002,100.059998,2420400,97.129554
2015-06-15,99.620003,100.169998,99.0,99.959999,2152500,97.032484
2015-06-16,99.93,100.470001,98.82,100.349998,3061900,97.411062
2015-06-17,99.910004,100.699997,99.5,100.419998,2846600,97.479012
2015-06-18,100.489998,101.68,100.489998,101.400002,2948900,98.430314
2015-06-19,101.080002,101.360001,100.459999,100.839996,3600600,97.886709
2015-06-22,101.160004,101.68,101.029999,101.389999,3236200,98.420605
2015-06-23,101.290001,101.68,100.589996,100.75,1493300,97.799349
2015-06-24,100.699997,100.800003,99.010002,99.389999,2565500,96.479178
2015-06-25,99.370003,99.760002,98.860001,98.940002,2227900,96.04236
2015-06-26,99.43,99.709999,99.029999,99.349998,2782500,96.440349
2015-06-29,98.709999,99.0,97.239998,97.309998,3507600,94.460093
2015-06-30,98.260002,98.260002,96.809998,96.910004,3059400,94.071814
2015-07-01,97.519997,97.940002,96.519997,96.940002,2893300,94.100934
2015-07-02,97.220001,97.360001,96.800003,97.199997,1836000,94.353314
2015-07-06,96.580002,97.419998,96.150002,96.660004,2721000,93.829136
2015-07-07,96.959999,97.529999,96.099998,97.5,3755900,94.644531
2015-07-08,96.82,96.910004,95.279999,95.489998,2782300,92.693396
2015-07-09,96.580002,96.82,95.720001,95.75,2042100,92.945783
2015-07-10,97.010002,97.32,96.629997,96.959999,1951700,94.120345
2015-07-13,97.620003,97.940002,97.059998,97.760002,2489900,94.896919
2015-07-14,97.900002,98.110001,97.269997,97.870003,2419200,95.003698
2015-07-15,97.910004,97.959999,96.989998,97.18,2092900,94.333903
2015-07-16,97.870003,97.980003,97.370003,97.480003,1548400,94.62512
2015-07-17,97.169998,98.120003,97.059998,97.599998,2653400,94.741601
2015-07-20,97.599998,97.870003,97.300003,97.589996,1777000,94.731892
2015-07-21,97.629997,98.639999,97.57,97.959999,2178900,95.091058
2015-07-22,98.43,98.629997,96.830002,97.230003,2691000,94.382442
2015-07-23,97.650002,97.650002,95.82,96.110001,1940400,93.29524
2015-07-24,96.07,96.07,94.519997,94.75,2959700,91.97507
2015-07-27,94.5,95.230003,94.150002,95.120003,3628300,92.334236
2015-07-28,97.889999,100.470001,97.830002,99.940002,7592900,97.013073
2015-07-29,100.360001,101.949997,100.209999,100.889999,5563700,97.935248
2015-07-30,100.400002,101.540001,100.269997,101.400002,2871000,98.430314
2015-07-31,101.910004,102.760002,101.57,102.360001,4222900,99.362197
2015-08-03,102.489998,103.150002,101.900002,102.75,2756900,99.740775
2015-08-04,102.919998,103.120003,102.230003,102.639999,2431500,99.633996
2015-08-05,103.050003,104.07,102.940002,102.940002,3196700,99.925213
2015-08-06,103.120003,103.220001,102.199997,102.43,2043100,99.430147
2015-08-07,102.330002,102.400002,101.5,102.139999,2982900,99.148639
2015-08-10,102.769997,103.480003,102.769997,103.43,2690800,100.40086
2015-08-11,102.629997,103.470001,102.529999,102.989998,3465200,99.973744
2015-08-12,102.559998,103.120003,101.550003,102.82,3762500,99.808725
2015-08-13,101.949997,102.389999,101.5,101.839996,1829900,99.564308
2015-08-14,101.739998,102.760002,101.379997,102.730003,2278800,100.434427
2015-08-17,102.239998,102.919998,101.540001,102.900002,2181600,100.600627
2015-08-18,102.980003,102.980003,102.339996,102.760002,2080900,100.463756
2015-08-19,102.360001,103.0,101.699997,102.309998,2119900,100.023807
2015-08-20,101.379997,101.959999,101.050003,101.050003,3779400,98.791968
2015-08-21,100.160004,100.879997,98.720001,99.139999,6566500,96.924645
2015-08-24,94.720001,97.449997,94.0,95.510002,7929500,93.375762
2015-08-25,97.550003,97.910004,94.410004,94.459999,6023000,92.349222
2015-08-26,95.610001,96.769997,93.639999,96.629997,5886900,94.47073
2015-08-27,97.489998,99.239998,97.400002,99.150002,4739800,96.934423
2015-08-28,98.629997,99.089996,97.889999,98.639999,2778400,96.435817
2015-08-31,98.279999,98.300003,97.5,97.650002,2892700,95.467942
2015-09-01,95.809998,96.760002,94.800003,95.199997,5168600,93.072684
2015-09-02,96.290001,96.730003,95.18,96.709999,3578900,94.548944
2015-09-03,97.190002,97.449997,96.419998,96.769997,3320200,94.607601
2015-09-04,95.190002,95.910004,94.650002,95.300003,3334000,93.170456
2015-09-08,96.830002,97.980003,96.339996,97.93,2857800,95.741684
2015-09-09,98.650002,98.860001,96.889999,97.050003,2773200,94.881351
2015-09-10,97.050003,97.540001,96.480003,96.82,2928200,94.656487
2015-09-11,96.470001,97.190002,96.190002,97.18,2129000,95.008443
2015-09-14,97.260002,97.389999,96.519997,97.010002,1788100,94.842244
2015-09-15,97.900002,100.800003,97.660004,100.519997,5206700,98.273805
2015-09-16,99.949997,100.309998,98.949997,100.080002,3237200,97.843642
2015-09-17,100.370003,101.790001,99.860001,100.620003,3879700,98.371576
2015-09-18,99.910004,99.949997,98.080002,98.32,5127500,96.122968
2015-09-21,98.489998,99.720001,98.239998,99.650002,3044700,97.42325
