Date,Open_MOS,High_MOS,Low_MOS,Close_MOS,Volume_MOS,AdjClose_MOS
2015-06-05,44.349998,44.619999,44.220001,44.310001,2352200,42.716618
2015-06-08,44.25,44.360001,44.02,44.029999,2283500,42.446684
2015-06-09,44.0,44.25,43.810001,43.93,2267700,42.350282
2015-06-10,44.220001,44.740002,44.09,44.610001,3157500,43.005829
2015-06-11,44.610001,44.959999,44.580002,44.849998,2979000,43.237197
2015-06-12,44.709999,45.0,44.41,44.540001,2942500,42.938347
2015-06-15,44.25,44.759998,44.029999,44.450001,3040400,42.851583
2015-06-16,44.5,44.740002,44.389999,44.599998,2480900,42.996187
2015-06-17,44.700001,44.919998,44.32,44.869999,3571100,43.256478
2015-06-18,44.939999,45.200001,44.810001,45.029999,3289800,43.410725
2015-06-19,44.860001,45.150002,44.84,44.84,4427600,43.227558
2015-06-22,44.93,45.060001,44.73,44.990002,2969300,43.372166
2015-06-23,45.0,45.34,44.93,45.27,3390100,43.642096
2015-06-24,45.389999,45.560001,45.169998,45.240002,4475200,43.613176
2015-06-25,45.43,46.43,45.259998,46.209999,7123800,44.548292
2015-06-26,46.48,47.130001,46.360001,46.549999,9312400,44.876066
2015-06-29,46.07,46.490002,45.880001,45.900002,4944800,44.249442
2015-06-30,46.130001,47.130001,46.060001,46.849998,5539300,45.165277
2015-07-01,47.049999,47.130001,46.540001,46.73,4421100,45.049593
2015-07-02,46.650002,46.900002,46.43,46.650002,2617700,44.972472
2015-07-06,46.259998,46.939999,46.189999,46.450001,2859500,44.779663
2015-07-07,46.27,46.41,45.34,45.939999,4136600,44.288001
2015-07-08,45.599998,45.73,45.009998,45.099998,3137600,43.478207
2015-07-09,45.560001,45.700001,44.639999,44.709999,4591500,43.102232
2015-07-10,45.580002,45.740002,44.970001,45.040001,4051000,43.420367
2015-07-13,45.419998,45.619999,45.209999,45.360001,2999500,43.72886
2015-07-14,45.41,45.98,45.279999,45.73,3895700,44.085553
2015-07-15,45.720001,45.799999,45.25,45.450001,3007700,43.815623
2015-07-16,45.459999,45.560001,45.16,45.27,2216200,43.642096
2015-07-17,45.0,45.869999,44.93,45.259998,4575100,43.632453
2015-07-20,45.189999,45.299999,44.869999,44.950001,3442300,43.333603
2015-07-21,45.029999,45.25,44.82,44.849998,2499000,43.237197
2015-07-22,44.549999,44.709999,44.029999,44.200001,5401700,42.610573
2015-07-23,44.209999,44.43,43.82,43.959999,3426800,42.379202
2015-07-24,43.779999,43.779999,42.540001,42.889999,6087900,41.347679
2015-07-27,42.490002,42.689999,42.139999,42.290001,5932800,40.769257
2015-07-28,42.360001,42.77,42.0,42.759998,3971400,41.222353
2015-07-29,42.849998,42.93,42.549999,42.720001,5032700,41.183794
2015-07-30,42.82,43.27,42.73,42.830002,3984000,41.289839
2015-07-31,43.040001,43.299999,42.91,42.939999,3610900,41.395881
2015-08-03,42.950001,43.049999,42.52,42.759998,4786700,41.222353
2015-08-04,42.889999,44.119999,42.279999,43.98,4848600,42.398483
2015-08-05,44.459999,44.880001,44.23,44.580002,3922800,42.976909
2015-08-06,44.77,44.849998,44.169998,44.639999,3342800,43.03475
2015-08-07,44.580002,44.950001,44.349998,44.400002,2891300,42.803382
2015-08-10,44.610001,45.360001,44.400002,45.279999,2436700,43.651735
2015-08-11,44.5,44.650002,43.810001,43.849998,3796900,42.273157
2015-08-12,43.529999,43.880001,43.150002,43.549999,3516700,41.983946
2015-08-13,43.459999,43.599998,43.049999,43.34,2370100,41.781498
2015-08-14,43.48,43.59,43.060001,43.279999,2716600,41.723654
2015-08-17,43.34,43.849998,43.23,43.82,2819300,42.244237
2015-08-18,43.57,43.790001,43.299999,43.59,2735800,42.022508
2015-08-19,43.299999,43.369999,42.41,42.57,3635900,41.039187
2015-08-20,42.259998,42.490002,41.48,41.48,3562800,39.988383
2015-08-21,41.23,41.330002,39.93,39.939999,5549400,38.50376
2015-08-24,38.0,39.650002,37.200001,38.240002,8320200,36.864895
2015-08-25,39.25,39.439999,37.5,37.57,5670200,36.218986
2015-08-26,38.32,38.990002,37.98,38.919998,5583500,37.520439
2015-08-27,39.509998,40.709999,39.5,40.549999,4932700,39.091825
2015-08-28,40.349998,41.049999,40.110001,41.040001,3580600,39.564207
2015-08-31,40.830002,40.959999,40.299999,40.830002,2815700,39.361759
2015-09-01,39.57,40.029999,38.919998,39.209999,3638900,38.05633
2015-09-02,39.639999,39.82,39.080002,39.689999,2621600,38.522207
2015-09-03,39.799999,40.630001,39.689999,40.369999,2696800,39.1822
2015-09-04,39.720001,39.919998,39.490002,39.669998,2964200,38.502795
2015-09-08,40.639999,41.349998,39.599998,40.299999,4342800,39.11426
2015-09-09,40.389999,40.810001,39.52,39.580002,3099600,38.415447
2015-09-10,39.41,39.869999,39.169998,39.450001,3096000,38.289271
2015-09-11,39.0,39.27,38.75,39.139999,3215900,37.98839
2015-09-14,39.189999,39.27,38.610001,38.68,2130900,37.541926
2015-09-15,38.810001,39.369999,38.560001,39.290001,2818000,38.133978
2015-09-16,39.25,39.669998,39.16,39.41,2504500,38.250447
2015-09-17,39.27,39.5,38.73,38.830002,3170100,37.687514
2015-09-18,38.380001,38.380001,36.919998,36.98,10296600,35.891944
2015-09-21,37.279999,37.279999,36.130001,36.439999,5172700,35.367831
2015-09-22,35.240002,35.389999,33.349998,33.880001,9122400,32.883156
2015-09-23,34.0,34.0,31.85,31.98,6815100,31.039058
2015-09-24,31.76,32.580002,31.120001,32.450001,8785900,31.49523
2015-09-25,32.650002,32.799999,31.940001,32.139999,4812200,31.19435
2015-09-28,31.950001,31.959999,30.9,30.959999,4183700,30.049069
2015-09-29,31.129999,31.51,30.799999,31.040001,3769400,30.126717
2015-09-30,31.370001,31.6,30.530001,31.110001,4274900,30.194657
2015-10-01,31.08,31.25,29.92,30.139999,5355000,29.253196
2015-10-02,29.809999,30.99,29.610001,30.99,8769600,30.078187
2015-10-05,31.48,32.169998,31.17,32.060001,5896300,31.116706
2015-10-06,32.060001,32.48,31.950001,32.080002,5879500,31.136118
2015-10-07,32.130001,33.59,32.02,33.490002,7142100,32.504631
2015-10-08,33.330002,34.07,33.279999,33.889999,4452700,32.89286
2015-10-09,34.049999,34.259998,33.689999,33.93,4566200,32.931684
2015-10-12,33.950001,33.98,32.759998,33.080002,2928700,32.106695
2015-10-13,32.790001,33.889999,32.759998,33.439999,5334100,32.4561
2015-10-14,33.439999,35.549999,33.419998,35.330002,7784900,34.290494
2015-10-15,35.32,35.470001,34.650002,34.93,5715900,33.902261
2015-10-16,35.099998,35.189999,34.720001,34.93,5217200,33.902261
2015-10-19,34.599998,34.799999,33.950001,34.16,3185800,33.154916
2015-10-20,34.040001,34.880001,34.0,34.759998,4201100,33.737261
2015-10-21,34.790001,34.900002,34.049999,34.41,3772600,33.397561
2015-10-22,34.630001,35.240002,34.470001,35.16,3592200,34.125494
2015-10-23,35.439999,35.700001,34.900002,35.619999,3719200,34.571958
2015-10-26,35.610001,36.049999,35.330002,35.389999,3432000,34.348726
2015-10-27,35.099998,35.150002,33.759998,34.27,4006100,33.26168
2015-10-28,34.299999,34.919998,34.18,34.560001,5443100,33.543149
2015-10-29,34.209999,34.919998,33.75,34.66,3931300,33.640205
2015-10-30,34.57,34.75,33.509998,33.790001,4941600,32.795804
2015-11-02,33.860001,34.68,33.73,34.48,3900000,33.465501
2015-11-03,33.540001,36.950001,33.240002,36.509998,7134600,35.435771
2015-11-04,36.52,36.529999,33.189999,33.380001,8162100,32.397867
2015-11-05,33.450001,33.889999,32.48,32.669998,6326900,31.708755
2015-11-06,32.669998,32.91,32.150002,32.5,4354400,31.543758
2015-11-09,32.5,32.799999,31.700001,32.639999,4515500,31.679639
2015-11-10,32.610001,32.740002,31.34,31.76,4424100,30.825531
2015-11-11,31.85,31.940001,31.07,31.85,3597600,30.912884
2015-11-12,31.459999,32.139999,31.26,31.66,3279600,30.728473
2015-11-13,31.690001,32.509998,31.530001,32.209999,4389300,31.26229
2015-11-16,32.259998,32.970001,32.130001,32.68,3435500,31.718463
2015-11-17,32.869999,32.959999,31.51,31.73,4526200,30.796413
2015-11-18,31.709999,32.130001,31.530001,31.950001,4567100,31.009942
2015-11-19,32.049999,32.950001,32.0,32.310001,3625200,31.35935
2015-11-20,32.450001,32.66,31.09,31.26,4043500,30.340243
2015-11-23,31.17,31.5,30.940001,30.959999,4505000,30.049069
2015-11-24,30.91,31.780001,30.67,31.530001,4340600,30.602299
2015-11-25,31.360001,31.82,31.08,31.459999,2881800,30.534357
2015-11-27,31.469999,31.52,30.82,31.049999,1899100,30.136421
2015-11-30,31.08,31.82,30.610001,31.639999,5514100,30.709061
2015-12-01,31.5,32.25,31.280001,31.82,5679100,31.154546
2015-12-02,31.809999,31.85,30.43,30.709999,4906300,30.067759
2015-12-03,30.940001,31.15,30.540001,31.030001,5467100,30.381068
2015-12-04,31.0,31.049999,30.09,30.879999,6470700,30.234204
2015-12-07,30.719999,32.259998,30.370001,32.049999,9705100,31.379736
