Date,Open_MCO,High_MCO,Low_MCO,Close_MCO,Volume_MCO,AdjClose_MCO
2015-06-05,107.860001,108.349998,106.959999,107.150002,725900,105.574673
2015-06-08,106.970001,107.5,105.550003,105.57,1190800,104.017901
2015-06-09,105.650002,106.449997,104.870003,106.010002,936300,104.451434
2015-06-10,106.349998,107.690002,106.110001,107.529999,1133200,105.949084
2015-06-11,107.82,108.769997,107.400002,108.75,882700,107.151149
2015-06-12,108.599998,108.949997,107.879997,108.709999,1366100,107.111736
2015-06-15,107.93,107.970001,107.07,107.949997,815400,106.362907
2015-06-16,107.639999,108.370003,107.5,108.029999,638200,106.441733
2015-06-17,108.400002,108.849998,107.910004,108.419998,632400,106.825999
2015-06-18,108.839996,110.290001,108.290001,110.0,1698800,108.382771
2015-06-19,109.699997,110.550003,109.099998,110.059998,2973300,108.441886
2015-06-22,110.830002,111.059998,109.959999,110.82,703400,109.190715
2015-06-23,110.75,111.059998,109.959999,110.57,552100,108.944391
2015-06-24,110.199997,111.0,109.910004,109.949997,520500,108.333503
2015-06-25,110.040001,110.309998,109.230003,109.239998,470900,107.633942
2015-06-26,109.629997,110.599998,109.269997,110.550003,735700,108.924688
2015-06-29,109.540001,109.900002,106.959999,107.169998,803700,105.594376
2015-06-30,108.0,108.440002,107.139999,107.959999,1060000,106.372762
2015-07-01,108.720001,109.360001,108.150002,108.989998,654500,107.387618
2015-07-02,109.290001,109.309998,108.120003,108.709999,566000,107.111736
2015-07-06,107.860001,109.190002,107.849998,108.449997,1024200,106.855556
2015-07-07,108.760002,109.669998,107.400002,109.459999,787300,107.850709
2015-07-08,108.379997,109.110001,107.690002,108.07,871600,106.481146
2015-07-09,109.330002,110.0,107.940002,108.379997,929800,106.786586
2015-07-10,109.440002,110.800003,108.709999,110.480003,797400,108.855717
2015-07-13,111.480003,111.699997,110.720001,111.18,633100,109.545423
2015-07-14,111.32,112.480003,110.940002,112.099998,483000,110.451895
2015-07-15,112.050003,112.400002,111.529999,112.330002,756200,110.678517
2015-07-16,112.989998,113.330002,112.699997,112.75,853000,111.09234
2015-07-17,112.720001,112.970001,112.080002,112.739998,536200,111.082485
2015-07-20,112.870003,113.540001,112.379997,112.900002,641400,111.240136
2015-07-21,113.099998,113.870003,112.040001,112.309998,880500,110.658807
2015-07-22,111.900002,112.870003,111.730003,112.370003,726700,110.71793
2015-07-23,112.459999,112.739998,111.230003,111.760002,869100,110.116897
2015-07-24,111.269997,113.440002,111.019997,111.82,994400,110.176013
2015-07-27,111.559998,111.919998,109.830002,110.32,1394200,108.698066
2015-07-28,111.059998,111.059998,109.360001,109.75,653900,108.136447
2015-07-29,109.93,110.5,109.379997,110.330002,669100,108.707921
2015-07-30,110.209999,111.760002,109.730003,111.529999,643500,109.890276
2015-07-31,111.779999,111.93,110.32,110.43,729400,108.806449
2015-08-03,110.660004,110.660004,109.339996,110.620003,837800,108.993658
2015-08-04,110.400002,111.760002,110.400002,111.190002,544700,109.555278
2015-08-05,111.800003,112.580002,111.339996,111.800003,732500,110.15631
2015-08-06,111.870003,111.870003,110.139999,110.309998,573000,108.688211
2015-08-07,110.309998,110.339996,109.279999,109.809998,509100,108.195562
2015-08-10,110.660004,111.739998,110.540001,111.669998,630000,110.028217
2015-08-11,110.830002,111.440002,110.209999,110.540001,510200,108.914833
2015-08-12,109.610001,110.050003,108.010002,109.43,881400,107.821152
2015-08-13,109.660004,110.610001,109.239998,110.18,711500,108.560125
2015-08-14,110.059998,111.5,110.059998,110.809998,804200,109.18086
2015-08-17,110.110001,111.349998,109.529999,111.279999,475500,109.643951
2015-08-18,110.970001,111.690002,110.760002,110.980003,397200,109.683485
2015-08-19,110.760002,111.480003,109.839996,110.599998,619300,109.307919
2015-08-20,109.529999,109.779999,107.540001,107.57,788900,106.313318
2015-08-21,107.0,107.559998,103.580002,103.629997,1258600,102.419345
2015-08-24,98.330002,103.0,96.0,99.470001,1831400,98.307948
2015-08-25,102.199997,104.900002,98.82,98.940002,1809600,97.784141
2015-08-26,100.839996,102.769997,98.839996,102.519997,1256800,101.322312
2015-08-27,103.550003,104.860001,102.760002,104.57,1264100,103.348366
2015-08-28,104.57,104.730003,103.449997,104.389999,871400,103.170468
2015-08-31,103.830002,104.379997,102.260002,102.309998,841000,101.114766
2015-09-01,99.910004,101.059998,98.410004,98.989998,1264200,97.833552
2015-09-02,99.949997,101.18,98.440002,100.559998,1084400,99.38521
2015-09-03,100.839996,102.339996,100.610001,100.940002,1020900,99.760776
2015-09-04,99.589996,101.059998,98.550003,99.199997,923300,98.041098
2015-09-08,101.099998,101.589996,100.010002,101.410004,1139400,100.225286
2015-09-09,102.529999,102.970001,99.93,100.169998,679900,98.999767
2015-09-10,99.860001,101.489998,99.860001,100.82,1076800,99.642175
2015-09-11,100.330002,101.830002,100.0,101.559998,693200,100.373528
2015-09-14,101.57,101.980003,100.699997,100.919998,828500,99.741005
2015-09-15,101.230003,102.730003,100.989998,102.43,795800,101.233367
2015-09-16,102.43,103.239998,102.160004,102.900002,801700,101.697877
2015-09-17,103.07,103.910004,102.0,102.309998,873100,101.114766
2015-09-18,99.839996,102.230003,99.839996,100.75,1829100,99.572993
2015-09-21,101.519997,102.639999,100.980003,101.779999,599900,100.590959
2015-09-22,100.410004,101.050003,99.889999,100.629997,632600,99.454392
2015-09-23,100.5,101.559998,99.550003,101.120003,492600,99.938673
2015-09-24,100.099998,100.379997,98.709999,99.940002,1112700,98.772458
2015-09-25,101.0,101.279999,99.68,100.419998,661500,99.246846
2015-09-28,99.610001,100.040001,96.860001,96.889999,2040900,95.758087
2015-09-29,97.279999,97.75,96.849998,97.529999,993300,96.390609
2015-09-30,98.5,99.010002,96.949997,98.199997,1375200,97.05278
2015-10-01,98.040001,98.760002,96.230003,97.489998,1458000,96.351076
2015-10-02,95.889999,99.190002,95.639999,99.050003,1401100,97.892856
2015-10-05,100.370003,101.959999,99.82,101.080002,1368100,99.89914
2015-10-06,100.610001,101.080002,99.029999,99.099998,875700,97.942268
2015-10-07,99.639999,100.129997,98.190002,99.440002,1112600,98.2783
2015-10-08,99.220001,99.599998,98.07,98.379997,1922800,97.230678
2015-10-09,98.419998,99.379997,98.400002,98.879997,896200,97.724837
2015-10-12,98.910004,99.459999,98.669998,99.040001,292500,97.882971
2015-10-13,98.760002,99.279999,97.980003,98.089996,666500,96.944065
2015-10-14,97.849998,99.139999,97.129997,97.629997,782000,96.48944
2015-10-15,98.589996,100.050003,97.650002,100.040001,699900,98.871289
2015-10-16,100.540001,101.0,100.010002,100.580002,768100,99.404981
2015-10-19,100.040001,100.589996,99.290001,99.910004,807400,98.74281
2015-10-20,99.650002,100.43,99.639999,100.150002,510600,98.980004
2015-10-21,100.449997,100.459999,97.690002,97.730003,656600,96.588277
2015-10-22,98.089996,99.57,98.07,99.019997,799600,97.8632
2015-10-23,99.739998,100.669998,99.400002,100.5,896900,99.325914
2015-10-26,100.5,101.120003,99.989998,100.970001,379700,99.790424
2015-10-27,100.25,100.980003,99.300003,99.410004,588100,98.248651
2015-10-28,99.690002,100.389999,98.779999,100.389999,1146900,99.217198
2015-10-29,100.139999,101.800003,99.610001,101.529999,960800,100.34388
2015-10-30,98.599998,100.720001,96.110001,96.160004,1724500,95.036619
2015-11-02,95.0,96.519997,94.199997,96.449997,3106900,95.323225
2015-11-03,96.120003,99.239998,95.870003,99.199997,1761100,98.041098
2015-11-04,99.199997,100.110001,99.169998,99.629997,1510100,98.466075
2015-11-05,100.110001,101.919998,99.389999,101.599998,1239300,100.413061
