Date,Open_EL,High_EL,Low_EL,Close_EL,Volume_EL,AdjClose_EL
2015-06-05,87.389999,87.790001,86.870003,87.459999,1363200,86.321032
2015-06-08,87.529999,88.029999,87.190002,87.529999,1381100,86.39012
2015-06-09,87.470001,88.309998,87.459999,87.949997,1329700,86.804649
2015-06-10,88.370003,88.949997,88.019997,88.349998,1143300,87.199441
2015-06-11,88.379997,88.650002,87.540001,87.690002,1192100,86.54804
2015-06-12,87.639999,87.82,86.779999,86.989998,1026000,85.857151
2015-06-15,86.410004,86.760002,86.160004,86.449997,1146500,85.324183
2015-06-16,86.769997,88.190002,86.440002,87.830002,1455000,86.686216
2015-06-17,87.919998,88.199997,87.050003,87.910004,1132400,86.765176
2015-06-18,88.339996,89.0,88.260002,88.339996,1363000,87.189569
2015-06-19,88.07,88.849998,87.980003,88.32,968300,87.169833
2015-06-22,88.610001,89.489998,88.190002,88.330002,758600,87.179705
2015-06-23,88.129997,88.669998,87.690002,87.709999,870800,86.567776
2015-06-24,87.730003,87.910004,87.25,87.480003,1180800,86.340776
2015-06-25,87.779999,87.800003,86.550003,86.75,1747700,85.620279
2015-06-26,87.080002,88.029999,86.839996,88.0,1995800,86.854001
2015-06-29,87.43,87.559998,85.980003,86.050003,1611100,84.929398
2015-06-30,86.620003,86.900002,85.989998,86.660004,1556300,85.531455
2015-07-01,87.110001,87.690002,86.949997,87.669998,991600,86.528296
2015-07-02,87.970001,88.349998,87.360001,87.519997,1064700,86.380248
2015-07-06,86.870003,87.629997,86.5,86.93,1379100,85.797935
2015-07-07,87.160004,88.400002,86.650002,88.239998,1643100,87.090873
2015-07-08,87.190002,87.769997,86.110001,86.199997,2287900,85.077438
2015-07-09,87.300003,87.57,86.050003,86.220001,1298800,85.097182
2015-07-10,87.209999,87.730003,87.0,87.419998,951000,86.281552
2015-07-13,88.260002,89.309998,88.0,89.18,1265500,88.018634
2015-07-14,89.279999,89.629997,88.550003,89.199997,1278900,88.03837
2015-07-15,88.879997,89.949997,88.809998,89.419998,1496900,88.255506
2015-07-16,90.029999,90.370003,89.25,89.309998,1932600,88.146938
2015-07-17,89.239998,89.269997,88.519997,88.68,1347100,87.525145
2015-07-20,88.690002,89.099998,88.260002,88.529999,1456000,87.377097
2015-07-21,88.650002,89.769997,88.010002,89.239998,1174800,88.07785
2015-07-22,89.110001,89.75,88.580002,89.32,864400,88.15681
2015-07-23,89.519997,89.660004,88.949997,89.150002,764900,87.989026
2015-07-24,89.199997,89.489998,88.160004,88.400002,902000,87.248793
2015-07-27,88.080002,88.470001,86.629997,86.870003,1694100,85.738719
2015-07-28,87.150002,88.120003,87.150002,88.019997,1356800,86.873737
2015-07-29,87.970001,89.839996,87.970001,89.620003,1195600,88.452906
2015-07-30,89.089996,89.800003,88.610001,89.529999,845200,88.364075
2015-07-31,89.839996,89.980003,88.980003,89.110001,1278000,87.949546
2015-08-03,89.199997,89.870003,88.760002,89.510002,1181200,88.344338
2015-08-04,89.5,90.760002,89.129997,90.190002,956400,89.015483
2015-08-05,90.830002,91.25,90.5,91.010002,1398000,89.824804
2015-08-06,91.18,91.449997,89.989998,90.040001,1279100,88.867435
2015-08-07,90.040001,90.720001,89.139999,90.470001,1664800,89.291836
2015-08-10,91.459999,91.68,89.760002,89.889999,1934600,88.719387
2015-08-11,89.0,90.349998,88.900002,90.279999,2447200,89.104308
2015-08-12,89.43,89.43,87.25,88.839996,2029100,87.683058
2015-08-13,88.870003,90.470001,88.459999,89.809998,2209100,88.640427
2015-08-14,89.220001,89.459999,88.209999,88.82,3324700,87.663322
2015-08-17,86.849998,88.0,82.709999,82.800003,11082200,81.721722
2015-08-18,83.18,85.220001,82.599998,83.82,6233700,82.728435
2015-08-19,83.489998,84.480003,83.040001,83.419998,2705100,82.333643
2015-08-20,83.0,83.209999,82.110001,82.18,2227500,81.109793
2015-08-21,81.5,81.970001,79.769997,79.830002,3004400,78.790398
2015-08-24,75.660004,78.260002,73.669998,76.559998,5634100,75.562978
2015-08-25,78.540001,78.830002,75.650002,75.730003,3798800,74.743793
2015-08-26,77.519997,78.620003,76.43,78.400002,2618700,77.37902
2015-08-27,79.040001,80.449997,78.610001,80.07,2418900,79.269935
2015-08-28,79.800003,80.379997,79.550003,80.349998,1909000,79.547136
2015-08-31,80.110001,80.389999,79.5,79.769997,1702100,78.97293
2015-09-01,78.300003,78.550003,76.870003,77.230003,2880600,76.458316
2015-09-02,78.080002,78.75,77.68,78.739998,1407800,77.953223
2015-09-03,78.730003,79.699997,78.730003,79.269997,2529300,78.477926
2015-09-04,78.620003,79.129997,77.080002,77.349998,2044900,76.577112
2015-09-08,78.370003,78.510002,76.989998,77.650002,2257300,76.874118
2015-09-09,78.370003,78.540001,76.309998,76.459999,2002900,75.696006
2015-09-10,76.239998,76.800003,75.699997,76.010002,2080800,75.250505
2015-09-11,75.82,76.440002,75.400002,76.419998,1857900,75.656405
2015-09-14,76.830002,76.860001,75.610001,76.379997,1257000,75.616804
2015-09-15,76.32,77.730003,76.07,77.400002,1459600,76.626616
2015-09-16,77.400002,78.419998,77.260002,78.110001,1290000,77.329521
2015-09-17,78.099998,79.860001,77.860001,78.860001,2035000,78.072027
2015-09-18,78.230003,78.989998,77.529999,77.639999,2502700,76.864216
2015-09-21,78.199997,78.900002,77.949997,78.510002,1841800,77.725525
2015-09-22,77.449997,77.860001,77.019997,77.349998,1199200,76.577112
2015-09-23,77.489998,78.419998,77.230003,78.349998,1921400,77.56712
2015-09-24,77.769997,78.709999,77.059998,78.540001,1722100,77.755224
2015-09-25,79.699997,80.879997,79.160004,79.769997,2032600,78.97293
2015-09-28,78.809998,79.57,77.120003,77.190002,2658900,76.418715
2015-09-29,77.330002,78.870003,77.050003,78.730003,2341100,77.943328
2015-09-30,79.739998,80.760002,79.370003,80.68,2865900,79.873841
2015-10-01,80.459999,81.169998,80.190002,80.949997,2790700,80.141139
2015-10-02,80.190002,81.269997,79.489998,81.230003,2399500,80.418348
2015-10-05,81.900002,83.199997,81.43,83.080002,1552800,82.249861
2015-10-06,83.07,83.389999,82.559998,83.080002,2092500,82.249861
2015-10-07,83.120003,83.809998,82.870003,82.980003,1944100,82.150862
2015-10-08,82.739998,83.970001,82.309998,83.910004,1259000,83.07157
2015-10-09,83.959999,84.68,83.870003,84.449997,1499800,83.606167
2015-10-12,84.459999,84.68,83.860001,84.529999,940800,83.68537
2015-10-13,84.059998,84.190002,82.949997,83.050003,1360700,82.220162
2015-10-14,83.160004,83.540001,82.769997,83.129997,981600,82.299357
2015-10-15,83.790001,84.959999,83.790001,84.349998,1836800,83.507168
2015-10-16,84.730003,85.120003,84.230003,84.769997,1015100,83.922969
2015-10-19,84.800003,84.989998,83.580002,83.800003,1940800,82.962668
2015-10-20,83.949997,84.389999,83.639999,83.739998,1693100,82.903263
