Date,Open_SPGI,High_SPGI,Low_SPGI,Close_SPGI,Volume_SPGI,AdjClose_SPGI
2015-06-05,101.809998,102.75,101.279999,102.040001,1105300,100.602902
2015-06-08,102.040001,102.459999,101.349998,101.419998,799800,99.991631
2015-06-09,101.419998,102.18,100.699997,101.910004,718200,100.474735
2015-06-10,102.199997,103.540001,101.550003,103.419998,1115400,101.963464
2015-06-11,103.459999,104.809998,103.440002,104.440002,867200,102.969103
2015-06-12,104.150002,104.330002,103.370003,103.699997,874600,102.239519
2015-06-15,103.150002,103.669998,102.370003,103.529999,837900,102.071915
2015-06-16,103.18,104.059998,102.919998,103.949997,753300,102.485998
2015-06-17,104.360001,104.75,103.739998,104.040001,491800,102.574734
2015-06-18,104.43,105.669998,104.059998,105.400002,697000,103.915581
2015-06-19,105.309998,105.599998,104.739998,104.739998,968200,103.264873
2015-06-22,105.190002,106.169998,104.779999,105.849998,627000,104.359241
2015-06-23,106.230003,106.349998,104.940002,105.129997,997300,103.64938
2015-06-24,105.160004,105.209999,103.949997,103.949997,875600,102.485998
2015-06-25,103.980003,104.330002,103.199997,103.32,868300,101.864874
2015-06-26,103.839996,104.300003,103.440002,103.599998,1761100,102.140929
2015-06-29,102.879997,103.209999,100.480003,100.610001,1046400,99.193041
2015-06-30,101.360001,101.989998,100.440002,100.449997,1223200,99.035291
2015-07-01,101.309998,101.889999,100.800003,101.449997,1039100,100.021207
2015-07-02,101.970001,102.230003,101.199997,102.080002,1321500,100.642339
2015-07-06,100.839996,102.379997,100.839996,101.610001,1405200,100.178958
2015-07-07,101.760002,102.120003,100.620003,101.239998,3208800,99.814166
2015-07-08,100.910004,101.330002,99.959999,100.269997,2172700,98.857826
2015-07-09,101.220001,102.110001,100.519997,100.889999,1171700,99.469097
2015-07-10,102.5,103.379997,101.889999,103.160004,2999300,101.707131
2015-07-13,104.010002,104.57,103.389999,103.75,1517200,102.288818
2015-07-14,103.900002,104.559998,103.139999,104.379997,915300,102.909942
2015-07-15,104.559998,105.129997,103.980003,104.639999,881600,103.166283
2015-07-16,105.629997,105.690002,104.970001,105.279999,732100,103.797269
2015-07-17,105.410004,105.410004,104.150002,104.779999,723400,103.30431
2015-07-20,104.830002,105.970001,104.779999,105.860001,1014700,104.369102
2015-07-21,106.0,106.040001,105.080002,105.940002,1344000,104.447977
2015-07-22,105.779999,106.440002,105.370003,106.389999,1120100,104.891636
2015-07-23,106.589996,107.5,106.300003,106.5,1118800,105.000088
2015-07-24,106.339996,106.980003,105.440002,105.580002,707900,104.093047
2015-07-27,104.339996,104.449997,98.580002,99.589996,3793300,98.187402
2015-07-28,100.480003,100.669998,97.379997,98.400002,2478700,97.014167
2015-07-29,98.519997,101.650002,98.239998,101.480003,2266000,100.050791
2015-07-30,101.510002,102.910004,101.400002,102.839996,1807900,101.39163
2015-07-31,103.419998,103.660004,101.68,101.75,1143200,100.316985
2015-08-03,101.669998,101.760002,100.089996,101.220001,1020500,99.794451
2015-08-04,101.330002,101.910004,100.839996,101.089996,872200,99.666277
2015-08-05,101.5,102.300003,101.169998,101.599998,715900,100.169096
2015-08-06,101.860001,102.349998,100.010002,100.599998,1004100,99.18318
2015-08-07,100.449997,101.07,99.970001,100.720001,561000,99.301493
2015-08-10,101.849998,103.57,101.559998,103.349998,1005700,101.89445
2015-08-11,102.349998,103.160004,101.510002,102.220001,891900,100.780367
2015-08-12,100.730003,101.900002,99.239998,101.43,1215900,100.001492
2015-08-13,106.610001,106.610001,100.110001,101.190002,712700,99.764874
2015-08-14,100.75,101.879997,100.589996,101.699997,1086700,100.267686
2015-08-17,101.300003,102.839996,100.75,102.760002,662100,101.312763
2015-08-18,102.739998,103.160004,102.400002,102.550003,901500,101.105721
2015-08-19,101.940002,103.25,100.860001,102.57,991200,101.125436
2015-08-20,101.190002,101.830002,100.199997,100.300003,1122100,98.88741
2015-08-21,99.480003,99.580002,96.449997,96.480003,1702600,95.12121
2015-08-24,91.0,96.260002,90.5,92.610001,2590900,91.619086
2015-08-25,97.5,97.529999,93.150002,93.190002,3421300,92.192882
2015-08-26,95.209999,96.580002,92.800003,96.269997,1701800,95.23992
2015-08-27,97.190002,99.169998,96.949997,99.089996,1899100,98.029746
2015-08-28,98.360001,99.599998,97.849998,99.449997,1371800,98.385895
2015-08-31,99.160004,99.160004,96.93,96.989998,1348600,95.952218
2015-09-01,94.470001,95.25,92.129997,92.769997,1610600,91.77737
2015-09-02,94.07,95.25,92.230003,93.660004,1486800,92.657854
2015-09-03,93.940002,94.860001,93.260002,93.739998,995300,92.736992
2015-09-04,93.260002,93.720001,92.360001,93.18,1497500,92.182987
2015-09-08,94.809998,96.309998,93.760002,96.160004,840400,95.131104
2015-09-09,96.910004,97.300003,92.830002,93.110001,1638900,92.113736
2015-09-10,92.690002,94.089996,92.57,93.540001,1377200,92.539135
2015-09-11,93.120003,94.639999,92.550003,94.57,1152900,93.558113
2015-09-14,94.489998,94.760002,92.209999,92.790001,1516800,91.79716
2015-09-15,93.400002,95.309998,92.970001,94.900002,1086900,93.884584
2015-09-16,94.82,95.309998,94.260002,94.660004,963100,93.647154
2015-09-17,94.82,95.489998,93.790001,94.059998,1483600,93.053568
2015-09-18,92.870003,93.540001,91.989998,92.220001,1720300,91.233259
2015-09-21,93.169998,94.32,92.449997,92.699997,1275800,91.708119
2015-09-22,92.0,92.080002,90.43,91.239998,1458000,90.263742
2015-09-23,90.980003,91.870003,90.559998,91.129997,903900,90.154918
2015-09-24,90.18,90.940002,88.68,89.199997,1501000,88.245569
2015-09-25,90.279999,90.459999,88.879997,89.139999,1242700,88.186213
2015-09-28,88.339996,88.830002,85.410004,85.529999,1527800,84.614839
2015-09-29,85.830002,86.239998,84.639999,85.400002,1625500,84.486233
2015-09-30,86.57,86.669998,85.040001,86.5,2085000,85.574461
2015-10-01,86.440002,88.459999,86.220001,88.389999,2114100,87.444238
2015-10-02,86.629997,89.370003,86.099998,89.32,1112900,88.364287
2015-10-05,90.169998,90.660004,89.620003,90.389999,831700,89.422838
2015-10-06,89.879997,90.209999,88.230003,89.160004,1321400,88.206003
2015-10-07,89.5,90.059998,88.400002,88.910004,1503700,87.958678
2015-10-08,88.699997,89.839996,88.480003,89.580002,753400,88.621508
2015-10-09,89.449997,90.269997,88.860001,89.739998,867600,88.779792
2015-10-12,89.529999,90.459999,89.349998,90.230003,625200,89.264554
2015-10-13,89.629997,91.220001,89.400002,90.230003,1226500,89.264554
2015-10-14,90.459999,91.870003,90.379997,90.919998,1360700,89.947166
2015-10-15,91.449997,93.160004,91.139999,93.099998,1257100,92.103841
2015-10-16,93.459999,93.580002,92.290001,92.650002,984900,91.658659
2015-10-19,92.5,93.129997,92.160004,93.059998,696100,92.064268
2015-10-20,93.019997,93.449997,92.760002,93.029999,679500,92.03459
2015-10-21,93.559998,93.739998,91.82,91.940002,865900,90.956257
2015-10-22,92.550003,93.669998,92.370003,93.160004,1046700,92.163204
2015-10-23,93.730003,95.43,93.199997,95.389999,1083600,94.369339
2015-10-26,95.370003,95.639999,94.32,94.870003,769200,93.854906
2015-10-27,94.25,94.919998,93.339996,93.949997,791000,92.944744
2015-10-28,94.07,96.209999,92.919998,93.980003,1874800,92.97443
2015-10-29,93.980003,94.529999,93.339996,94.260002,982400,93.251433
2015-10-30,94.18,94.769997,92.57,92.639999,1840800,91.648764
2015-11-02,93.139999,93.139999,91.449997,92.25,2906100,91.262937
2015-11-03,97.0,97.75,92.550003,97.709999,2535100,96.664515
2015-11-04,98.230003,98.230003,96.849998,97.300003,2208400,96.258906
2015-11-05,97.43,97.860001,96.540001,97.589996,1053700,96.545796
2015-11-06,97.959999,98.779999,97.480003,98.669998,1613300,97.614242
2015-11-09,98.269997,98.709999,95.940002,96.269997,900900,95.23992
2015-11-10,96.349998,96.389999,95.639999,96.18,967700,95.150887
2015-11-11,96.389999,97.5,96.029999,96.980003,1021200,95.94233
