Date,Open_FLS,High_FLS,Low_FLS,Close_FLS,Volume_FLS,AdjClose_FLS
2015-06-05,54.389999,54.669998,53.990002,54.349998,855600,53.478845
2015-06-08,54.130001,54.34,53.900002,53.950001,908900,53.085259
2015-06-09,54.119999,54.860001,53.82,53.950001,1168000,53.085259
2015-06-10,54.439999,54.740002,54.110001,54.43,789000,53.557565
2015-06-11,54.470001,54.599998,54.0,54.439999,618400,53.567403
2015-06-12,54.27,54.630001,54.080002,54.259998,709700,53.390287
2015-06-15,53.650002,53.66,52.939999,53.299999,1961700,52.445676
2015-06-16,53.139999,53.48,53.0,53.369999,898300,52.514553
2015-06-17,53.439999,53.66,53.0,53.299999,1120300,52.445676
2015-06-18,53.5,53.860001,53.290001,53.68,1360500,52.819586
2015-06-19,53.549999,53.849998,53.349998,53.52,3081800,52.662151
2015-06-22,54.009998,54.639999,53.91,54.130001,1009600,53.262374
2015-06-23,54.0,54.380001,53.900002,54.099998,708200,53.232852
2015-06-24,53.759998,54.290001,53.490002,53.68,1171200,52.995911
2015-06-25,53.599998,53.799999,52.48,52.639999,1044400,51.969164
2015-06-26,52.48,52.880001,52.310001,52.380001,2536700,51.712479
2015-06-29,51.880001,51.959999,51.139999,51.189999,1019500,50.537642
2015-06-30,52.5,53.389999,51.779999,52.66,2643200,51.98891
2015-07-01,53.009998,53.009998,51.91,52.07,1403000,51.406428
2015-07-02,52.310001,52.830002,52.150002,52.43,790600,51.761841
2015-07-06,51.700001,52.360001,51.209999,51.32,944600,50.665986
2015-07-07,51.299999,51.48,50.5,51.189999,1741800,50.537642
2015-07-08,50.740002,50.849998,49.599998,50.119999,2408700,49.481278
2015-07-09,50.82,51.299999,50.27,50.32,1249300,49.67873
2015-07-10,50.779999,50.919998,49.240002,49.25,1721400,48.622366
2015-07-13,49.610001,50.209999,49.18,50.150002,1119700,49.510898
2015-07-14,50.040001,50.549999,49.970001,50.43,705400,49.787329
2015-07-15,50.23,50.509998,49.169998,49.450001,1346000,48.819818
2015-07-16,49.959999,50.450001,49.630001,49.869999,1085600,49.234464
2015-07-17,49.639999,50.119999,48.900002,49.220001,746600,48.59275
2015-07-20,49.16,49.779999,49.130001,49.459999,1011700,48.829689
2015-07-21,49.200001,49.299999,48.080002,48.209999,1104500,47.595619
2015-07-22,48.02,48.439999,47.889999,47.950001,930100,47.338934
2015-07-23,47.959999,48.040001,47.389999,47.540001,1238900,46.934159
2015-07-24,47.490002,47.529999,46.73,46.950001,1367900,46.351678
2015-07-27,46.16,46.23,45.68,46.09,2000900,45.502637
2015-07-28,46.18,46.57,45.900002,45.990002,1884500,45.403913
2015-07-29,46.02,47.119999,45.759998,46.919998,2142700,46.322058
2015-07-30,46.599998,47.09,46.360001,47.049999,1563600,46.450402
2015-07-31,47.529999,49.650002,46.93,46.990002,2324200,46.391169
2015-08-03,46.860001,46.91,45.490002,45.599998,1280500,45.01888
2015-08-04,45.73,46.34,45.720001,45.93,1336400,45.344676
2015-08-05,46.369999,46.990002,46.119999,46.540001,1269500,45.946903
2015-08-06,46.330002,46.98,46.130001,46.77,1039200,46.173971
2015-08-07,46.709999,47.41,46.639999,46.939999,1390700,46.341803
2015-08-10,47.299999,48.860001,47.259998,48.689999,1385700,48.069502
2015-08-11,47.93,48.290001,47.110001,47.48,1146900,46.874922
2015-08-12,47.18,48.240002,46.91,48.220001,1151200,47.605494
2015-08-13,47.959999,48.220001,47.349998,47.459999,1217300,46.855177
2015-08-14,47.5,47.959999,47.369999,47.720001,725200,47.111866
2015-08-17,47.52,47.959999,46.810001,47.639999,1165600,47.032883
2015-08-18,47.52,47.57,46.98,47.25,874800,46.647854
2015-08-19,47.0,47.349998,46.27,46.84,1487500,46.243079
2015-08-20,46.549999,47.009998,45.860001,45.860001,1090600,45.275569
2015-08-21,45.610001,46.09,44.939999,44.959999,1818600,44.387036
2015-08-24,44.07,44.959999,40.869999,43.529999,2668600,42.97526
2015-08-25,44.759998,45.41,42.59,42.610001,2286100,42.066986
2015-08-26,43.98,43.98,42.259998,43.119999,1986900,42.570485
2015-08-27,43.650002,44.900002,43.5,44.25,2108600,43.686085
2015-08-28,44.07,45.029999,44.07,44.939999,1459400,44.367291
2015-08-31,44.759998,45.529999,44.130001,45.130001,1384200,44.554872
2015-09-01,45.599998,45.599998,42.580002,42.75,1809900,42.205201
2015-09-02,43.23,43.380001,42.25,43.16,1566900,42.609976
2015-09-03,42.900002,43.75,42.669998,43.360001,1050000,42.807428
2015-09-04,42.52,42.959999,42.18,42.509998,968200,41.968258
2015-09-08,43.279999,43.619999,43.02,43.490002,1363800,42.935772
2015-09-09,43.810001,44.110001,42.830002,42.889999,742000,42.343416
2015-09-10,42.759998,43.16,42.310001,42.759998,1008800,42.215072
2015-09-11,42.66,42.91,42.369999,42.700001,735300,42.155839
2015-09-14,42.540001,42.580002,42.080002,42.209999,785100,41.672082
2015-09-15,42.34,43.360001,42.27,43.259998,838000,42.7087
2015-09-16,43.470001,44.52,43.400002,44.369999,965600,43.804555
2015-09-17,44.360001,44.360001,43.060001,43.150002,1056900,42.600105
2015-09-18,42.32,42.59,41.599998,41.810001,1969100,41.277182
2015-09-21,41.849998,41.990002,41.150002,41.369999,1583400,40.842787
2015-09-22,40.799999,41.5,40.48,41.41,1964700,40.882278
2015-09-23,41.23,41.580002,40.700001,40.82,2112500,40.475736
2015-09-24,40.09,40.57,39.470001,40.349998,1470400,40.009699
2015-09-25,40.599998,40.790001,40.139999,40.779999,1224400,40.436073
2015-09-28,40.299999,40.299999,39.490002,39.849998,2845000,39.513916
2015-09-29,39.880001,40.279999,39.75,40.189999,1237200,39.851048
2015-09-30,40.5,41.200001,40.23,41.139999,1502700,40.793037
2015-10-01,41.169998,41.669998,40.200001,40.419998,1681900,40.079108
2015-10-02,39.970001,41.52,39.720001,41.52,1083100,41.169833
2015-10-05,41.91,44.66,41.759998,44.080002,2310800,43.708244
2015-10-06,44.099998,44.689999,43.830002,44.580002,2060100,44.204027
2015-10-07,45.009998,47.290001,44.75,45.759998,2649000,45.374072
2015-10-08,45.709999,48.290001,45.450001,48.02,2421800,47.615014
2015-10-09,47.919998,48.32,46.400002,46.619999,2107400,46.22682
2015-10-12,46.619999,46.77,44.98,45.41,1589800,45.027026
2015-10-13,44.91,45.509998,44.759998,44.889999,1425900,44.511411
2015-10-14,43.849998,44.450001,43.549999,43.77,1897200,43.400857
2015-10-15,43.57,43.790001,42.290001,43.0,2101200,42.637351
2015-10-16,43.0,43.290001,41.419998,41.82,2312700,41.467302
2015-10-19,41.57,41.849998,41.099998,41.650002,3914900,41.298738
2015-10-20,41.450001,42.849998,40.720001,42.009998,3037400,41.655699
2015-10-21,42.110001,42.41,41.52,41.700001,2474200,41.348315
2015-10-22,41.84,43.18,41.779999,42.98,2808700,42.617519
2015-10-23,43.240002,43.919998,43.139999,43.77,2020700,43.400857
2015-10-26,43.799999,44.240002,43.240002,43.48,1468300,43.113302
2015-10-27,42.91,43.450001,42.240002,42.970001,1762900,42.607605
2015-10-28,42.919998,44.73,42.759998,44.700001,2617900,44.323014
2015-10-29,44.369999,45.34,44.290001,45.0,2371800,44.620484
2015-10-30,45.82,47.27,45.5,46.360001,2762800,45.969014
2015-11-02,46.07,47.09,45.950001,46.709999,1413600,46.316061
2015-11-03,46.68,48.259998,46.25,48.040001,1845500,47.634846
2015-11-04,48.02,48.639999,47.810001,47.91,1422900,47.505941
2015-11-05,47.619999,48.259998,47.09,47.580002,1163200,47.178726
2015-11-06,47.23,47.689999,46.43,47.419998,1275800,47.020072
2015-11-09,47.259998,47.490002,46.040001,46.43,1174500,46.038424
2015-11-10,46.150002,46.75,45.939999,46.75,868200,46.355725
2015-11-11,46.82,47.07,46.299999,46.459999,553500,46.068169
2015-11-12,45.98,46.290001,44.970001,44.98,1253700,44.600652
2015-11-13,44.919998,45.560001,44.580002,44.810001,989300,44.432087
2015-11-16,44.759998,45.540001,44.68,45.48,778700,45.096435
2015-11-17,45.580002,45.740002,44.459999,44.709999,1161400,44.332928
2015-11-18,45.18,45.68,44.860001,45.639999,1064000,45.255085
2015-11-19,45.529999,45.889999,45.349998,45.84,670700,45.453399
2015-11-20,46.009998,46.310001,45.630001,45.740002,716800,45.354244
2015-11-23,45.849998,46.290001,45.59,45.759998,573800,45.374072
2015-11-24,45.630001,46.799999,45.48,46.630001,796300,46.236738
2015-11-25,46.57,46.889999,46.330002,46.34,773300,45.949183
2015-11-27,46.310001,46.419998,45.959999,46.169998,385200,45.780614
