Date,Open_CPB,High_CPB,Low_CPB,Close_CPB,Volume_CPB,AdjClose_CPB
2015-06-05,46.91,46.950001,46.139999,46.540001,2562300,45.456121
2015-06-08,46.59,46.610001,46.080002,46.279999,1146400,45.202174
2015-06-09,46.349998,46.73,46.18,46.57,1041900,45.485421
2015-06-10,46.610001,47.0,46.560001,46.84,1021500,45.749134
2015-06-11,46.860001,47.060001,46.799999,46.830002,694700,45.739368
2015-06-12,46.75,46.799999,46.57,46.73,612300,45.641695
2015-06-15,46.43,46.75,46.299999,46.330002,932900,45.251013
2015-06-16,46.400002,47.630001,46.34,47.549999,1597700,46.442598
2015-06-17,47.529999,47.91,47.290001,47.759998,1024700,46.647706
2015-06-18,47.91,48.43,47.790001,48.240002,1127400,47.11653
2015-06-19,48.259998,48.57,48.23,48.27,1553400,47.145831
2015-06-22,48.5,48.720001,48.290001,48.299999,834800,47.175131
2015-06-23,48.360001,48.400002,48.119999,48.290001,867300,47.165365
2015-06-24,48.279999,48.380001,47.880001,48.009998,918400,46.891884
2015-06-25,48.27,48.27,47.68,47.700001,983300,46.589106
2015-06-26,47.82,48.029999,47.68,47.849998,862600,46.73561
2015-06-29,47.5,47.669998,46.98,47.009998,1098400,45.915173
2015-06-30,47.27,49.16,47.110001,47.650002,4572900,46.540271
2015-07-01,47.779999,47.889999,47.259998,47.84,1640200,46.725845
2015-07-02,47.919998,48.119999,47.48,47.66,1062700,46.550036
2015-07-06,47.389999,47.889999,47.099998,47.27,1088300,46.16912
2015-07-07,47.279999,48.040001,47.139999,47.98,1329000,46.862584
2015-07-08,47.700001,47.98,47.509998,47.57,1266300,46.462132
2015-07-09,47.919998,47.93,47.060001,47.119999,1255200,46.326454
2015-07-10,47.48,47.799999,47.360001,47.619999,849300,46.818034
2015-07-13,47.790001,47.959999,47.560001,47.830002,796900,47.0245
2015-07-14,47.869999,48.240002,47.630001,48.130001,989700,47.319447
2015-07-15,47.950001,48.130001,47.43,47.59,720900,46.78854
2015-07-16,47.84,48.119999,47.799999,48.02,717000,47.211299
2015-07-17,47.950001,47.990002,47.419998,47.849998,699200,47.04416
2015-07-20,47.91,48.009998,47.560001,47.610001,655900,46.808204
2015-07-21,47.529999,47.700001,47.200001,47.459999,839700,46.660728
2015-07-22,48.0,48.84,47.790001,48.32,1729200,47.506246
2015-07-23,48.400002,48.700001,48.049999,48.200001,1642600,47.388268
2015-07-24,48.23,48.619999,48.07,48.279999,952600,47.466918
2015-07-27,48.080002,48.41,47.869999,48.279999,937700,47.466918
2015-07-28,48.48,49.049999,48.279999,49.0,1135000,48.174794
2015-07-29,49.130001,49.139999,48.509998,48.709999,1579500,47.889677
2015-07-30,48.599998,49.349998,48.48,49.169998,1143800,48.341929
2015-07-31,49.52,49.540001,49.220001,49.310001,1143300,48.479575
2015-08-03,49.419998,49.880001,49.279999,49.880001,1468900,49.039975
2015-08-04,49.810001,50.040001,49.599998,49.68,1035700,48.843343
2015-08-05,49.849998,50.099998,49.540001,50.0,1133800,49.157953
2015-08-06,50.23,50.540001,49.939999,50.490002,1364600,49.639703
2015-08-07,50.330002,50.5,49.919998,50.279999,1130000,49.433237
2015-08-10,50.529999,50.619999,50.200001,50.48,855800,49.629869
2015-08-11,50.09,50.389999,49.799999,50.32,687300,49.472564
2015-08-12,50.029999,50.419998,49.560001,50.400002,1031800,49.551218
2015-08-13,50.369999,50.619999,50.209999,50.259998,768200,49.413573
2015-08-14,50.290001,50.77,50.169998,50.700001,701500,49.846165
2015-08-17,50.490002,50.799999,50.209999,50.57,719000,49.718354
2015-08-18,50.529999,50.529999,50.169998,50.23,1358600,49.384079
2015-08-19,50.150002,50.439999,49.689999,50.110001,819900,49.266101
2015-08-20,49.799999,50.07,49.5,49.630001,1166300,48.794185
2015-08-21,49.5,49.5,48.610001,48.610001,1308500,47.791363
2015-08-24,46.990002,47.09,45.23,47.009998,2537100,46.218306
2015-08-25,47.75,47.900002,46.119999,46.150002,2075900,45.372792
2015-08-26,47.060001,47.5,46.099998,47.43,1956100,46.631235
2015-08-27,47.740002,47.990002,47.049999,47.720001,1891200,46.916352
2015-08-28,47.720001,48.119999,47.389999,47.799999,1847600,46.995003
2015-08-31,47.709999,48.139999,47.549999,47.990002,1876200,47.181805
2015-09-01,47.18,47.57,46.639999,46.869999,1988000,46.080664
2015-09-02,47.389999,47.77,47.009998,47.77,2547200,46.965509
2015-09-03,46.91,48.68,46.07,48.529999,2364100,47.712708
2015-09-04,48.23,48.5,47.439999,47.939999,2019300,47.132644
2015-09-08,48.5,49.41,48.5,49.380001,2458700,48.548396
2015-09-09,49.779999,49.779999,48.59,48.720001,2198900,47.899511
2015-09-10,48.77,49.509998,48.509998,49.150002,1521400,48.32227
2015-09-11,49.040001,49.400002,48.84,49.400002,1501900,48.568059
2015-09-14,49.48,49.540001,49.07,49.509998,1343700,48.676204
2015-09-15,49.700001,50.470001,49.310001,50.27,2249700,49.423407
2015-09-16,50.52,51.630001,50.470001,51.560001,2412600,50.691683
2015-09-17,51.509998,52.259998,51.290001,51.57,2118000,50.701513
2015-09-18,50.84,51.720001,50.84,51.16,2354500,50.298418
2015-09-21,51.369999,51.630001,51.040001,51.470001,1441000,50.603198
2015-09-22,51.189999,51.209999,50.549999,51.119999,1617300,50.25909
2015-09-23,51.049999,51.43,50.810001,51.360001,1552100,50.49505
2015-09-24,51.200001,51.389999,50.82,51.139999,2731800,50.278754
2015-09-25,51.439999,52.369999,51.189999,51.669998,1541700,50.799827
2015-09-28,51.41,51.759998,50.73,50.799999,1539100,49.94448
2015-09-29,50.799999,51.259998,50.029999,50.59,1847900,49.738017
2015-09-30,51.0,51.220001,50.43,50.68,1882300,49.826502
2015-10-01,50.599998,50.889999,49.52,50.02,1952600,49.177617
2015-10-02,49.52,50.619999,49.419998,50.599998,1942200,49.747847
2015-10-05,50.619999,51.369999,50.599998,51.360001,2212200,50.49505
2015-10-06,51.5,51.5,50.740002,50.77,1237700,49.914986
2015-10-07,50.919998,51.169998,50.450001,50.84,1702100,49.983807
2015-10-08,50.799999,51.619999,50.540001,51.330002,1755100,50.465557
2015-10-09,51.07,51.630001,50.959999,51.279999,1120900,50.724717
2015-10-12,51.41,51.43,50.810001,50.889999,1560900,50.33894
2015-10-13,50.740002,50.93,50.240002,50.299999,1303000,49.755329
2015-10-14,50.360001,50.470001,49.369999,49.48,1334800,48.944209
2015-10-15,49.75,49.900002,48.93,49.5,1722400,48.963992
2015-10-16,49.779999,49.939999,49.34,49.490002,1573400,48.954102
2015-10-19,49.459999,49.650002,49.169998,49.400002,2071700,48.865077
2015-10-20,49.389999,49.560001,49.099998,49.490002,2046400,48.954102
2015-10-21,49.560001,49.950001,49.439999,49.709999,2435900,49.171718
2015-10-22,49.950001,51.77,49.939999,51.43,3142800,50.873094
2015-10-23,51.669998,51.68,51.099998,51.43,1379500,50.873094
2015-10-26,51.48,51.759998,51.32,51.610001,1133400,51.051145
2015-10-27,51.41,51.630001,50.889999,51.189999,1167300,50.635691
2015-10-28,51.27,51.380001,50.330002,50.790001,1368900,50.240025
2015-10-29,50.689999,51.369999,50.380001,51.200001,1035700,50.645585
2015-10-30,51.110001,51.450001,50.779999,50.790001,1184300,50.240025
2015-11-02,50.880001,50.990002,50.360001,50.740002,1169700,50.190567
2015-11-03,50.5,50.75,49.700001,50.23,1278200,49.686087
2015-11-04,50.369999,50.549999,50.0,50.439999,1108800,49.893812
2015-11-05,50.369999,50.439999,49.810001,50.400002,1182000,49.854248
2015-11-06,49.970001,50.060001,48.279999,48.77,2110800,48.241898
2015-11-09,48.599998,48.82,48.200001,48.669998,1599300,48.142978
2015-11-10,48.599998,48.939999,48.200001,48.299999,1587600,47.776986
2015-11-11,48.299999,49.240002,48.299999,48.869999,1534500,48.340813
2015-11-12,48.52,48.849998,48.119999,48.299999,1789400,47.776986
2015-11-13,47.880001,48.470001,47.799999,47.970001,1766100,47.450561
2015-11-16,47.919998,48.700001,47.77,48.68,1102400,48.152872
2015-11-17,48.68,48.75,47.919998,48.040001,1228500,47.519803
2015-11-18,48.130001,49.07,47.970001,49.040001,1998500,48.508974
2015-11-19,49.080002,49.669998,48.98,49.470001,2019800,48.934319
2015-11-20,49.700001,49.720001,48.740002,48.82,1774000,48.291355
2015-11-23,49.18,49.93,49.07,49.790001,2109700,49.250853
2015-11-24,51.709999,52.48,50.919998,51.330002,3655100,50.774178
2015-11-25,51.459999,52.779999,51.349998,52.52,2613900,51.951291
2015-11-27,52.610001,53.310001,52.59,53.099998,1497700,52.525009
2015-11-30,53.18,53.349998,52.040001,52.240002,3007800,51.674324
2015-12-01,53.060001,53.900002,52.470001,52.810001,3757800,52.238152
2015-12-02,52.919998,52.98,52.009998,52.689999,2814900,52.119448
2015-12-03,52.720001,53.75,52.189999,52.439999,3868200,51.872155
2015-12-04,52.639999,53.48,52.540001,53.119999,3115800,52.544792
2015-12-07,53.139999,53.41,52.689999,53.119999,2430800,52.544792
2015-12-08,52.709999,53.560001,52.490002,53.490002,2327500,52.910789
2015-12-09,53.43,55.080002,52.98,53.529999,2646200,52.950353
2015-12-10,53.450001,54.66,53.049999,53.639999,2086400,53.059162
2015-12-11,53.099998,53.310001,52.68,52.990002,1561100,52.416203
2015-12-14,53.049999,53.369999,52.84,53.25,2798000,52.673386
2015-12-15,53.389999,53.709999,52.880001,53.209999,1709400,52.633818
2015-12-16,53.599998,53.939999,53.040001,53.720001,1908900,53.138298
2015-12-17,53.560001,53.799999,52.830002,53.139999,1129300,52.564576
2015-12-18,53.009998,53.029999,52.130001,52.209999,2267400,51.644646
2015-12-21,52.57,52.740002,52.240002,52.66,1025500,52.089774
2015-12-22,52.790001,53.189999,52.099998,53.150002,1046500,52.57447
2015-12-23,53.349998,53.630001,53.110001,53.57,829400,52.98992
2015-12-24,53.529999,53.529999,53.200001,53.32,308500,52.742628
2015-12-28,52.91,53.66,52.900002,53.59,1360900,53.009704
2015-12-29,53.860001,54.099998,53.619999,53.68,1083000,53.09873
2015-12-30,53.75,53.900002,53.09,53.209999,991900,52.633818
2015-12-31,53.049999,53.18,52.32,52.549999,936100,51.980965
2016-01-04,51.93,52.0,51.169998,51.66,2192800,51.100603
2016-01-05,51.84,52.18,51.34,51.849998,2777800,51.288544
2016-01-06,51.419998,52.0,51.16,51.759998,2657400,51.199519
2016-01-07,50.880001,51.299999,50.540001,50.82,2843300,50.574554
2016-01-08,51.189999,51.540001,50.91,51.110001,2579800,50.863154
2016-01-11,51.209999,51.59,51.060001,51.400002,2252100,51.151755
2016-01-12,51.869999,53.540001,51.650002,53.48,3474900,53.221707
2016-01-13,53.419998,55.0,52.639999,52.790001,3918900,52.535041
2016-01-14,52.849998,53.84,52.689999,53.490002,1850600,53.231661
2016-01-15,51.950001,53.27,51.84,52.990002,3607700,52.734076
2016-01-19,54.040001,54.52,53.73,54.330002,2701100,54.067604
2016-01-20,53.720001,54.43,52.939999,54.099998,2581000,53.838711
2016-01-21,54.110001,54.549999,53.490002,54.09,2415600,53.828761
2016-01-22,54.450001,54.73,54.049999,54.650002,1959600,54.386058
2016-01-25,54.709999,55.040001,54.389999,54.610001,1993600,54.34625
2016-01-26,54.619999,55.169998,54.509998,55.150002,1617600,54.883643
2016-01-27,55.18,55.580002,54.73,55.0,1630100,54.734366
2016-01-28,55.330002,56.169998,54.900002,55.73,1295700,55.46084
2016-01-29,56.02,56.630001,55.91,56.41,1881200,56.137556
