Date,Open_BBY,High_BBY,Low_BBY,Close_BBY,Volume_BBY,AdjClose_BBY
2015-06-05,34.57,34.790001,34.419998,34.529999,3760700,33.095004
2015-06-08,34.599998,34.77,34.220001,34.290001,3572600,32.86498
2015-06-09,34.07,34.450001,33.75,33.830002,3210000,32.643051
2015-06-10,33.959999,34.259998,33.849998,34.220001,3319300,33.019367
2015-06-11,34.209999,34.610001,34.150002,34.200001,2416100,33.000069
2015-06-12,34.0,34.470001,33.970001,34.200001,1945900,33.000069
2015-06-15,33.959999,34.209999,33.75,34.119999,2817600,32.922874
2015-06-16,34.23,34.389999,34.02,34.389999,3084700,33.183401
2015-06-17,34.5,34.59,33.810001,34.009998,2564100,32.816732
2015-06-18,34.259998,35.09,34.209999,35.009998,4563600,33.781647
2015-06-19,34.720001,35.310001,34.549999,34.950001,4367400,33.723754
2015-06-22,35.150002,35.360001,34.759998,34.919998,2466700,33.694804
2015-06-23,34.959999,35.32,34.849998,34.869999,3933700,33.646559
2015-06-24,34.98,35.240002,33.91,33.93,4977000,32.739541
2015-06-25,34.110001,34.34,33.799999,33.830002,3606900,32.643051
2015-06-26,34.049999,34.509998,33.939999,33.970001,6265100,32.778139
2015-06-29,33.689999,33.689999,32.66,32.73,4667800,31.581643
2015-06-30,33.110001,33.119999,32.560001,32.610001,3604100,31.465855
2015-07-01,32.950001,33.509998,32.779999,33.470001,3940600,32.295682
2015-07-02,33.630001,33.91,33.360001,33.5,3041600,32.324628
2015-07-06,32.970001,33.599998,32.91,33.330002,2177100,32.160594
2015-07-07,33.490002,33.990002,32.990002,33.799999,4145400,32.614101
2015-07-08,33.540001,33.740002,33.259998,33.52,2712900,32.343927
2015-07-09,33.830002,34.0,33.52,33.669998,3101800,32.488661
2015-07-10,34.02,34.110001,33.869999,33.93,3801200,32.739541
2015-07-13,34.32,34.419998,34.060001,34.360001,2800500,33.154455
2015-07-14,34.25,34.630001,34.110001,34.580002,3246100,33.366737
2015-07-15,34.48,34.509998,34.200001,34.419998,2482900,33.212347
2015-07-16,34.509998,35.34,34.349998,34.900002,3993800,33.675509
2015-07-17,33.57,33.650002,32.470001,32.880001,10217200,31.726382
2015-07-20,32.639999,33.049999,32.330002,32.869999,5849200,31.716731
2015-07-21,32.77,32.84,32.380001,32.73,4038300,31.581643
2015-07-22,32.580002,33.040001,32.580002,33.040001,2892100,31.880768
2015-07-23,33.02,33.209999,32.709999,32.860001,2797500,31.707083
2015-07-24,32.950001,33.02,32.389999,32.459999,2711300,31.321116
2015-07-27,32.099998,32.360001,31.92,32.060001,3092500,30.935153
2015-07-28,32.099998,32.299999,31.68,32.130001,3192900,31.002696
2015-07-29,32.150002,32.290001,32.009998,32.119999,4180600,30.993045
2015-07-30,32.130001,32.310001,31.940001,32.119999,3124300,30.993045
2015-07-31,32.259998,32.450001,32.110001,32.290001,3505400,31.157082
2015-08-03,32.209999,32.369999,31.799999,31.969999,2852200,30.848308
2015-08-04,31.950001,32.23,31.719999,31.959999,2820100,30.838659
2015-08-05,32.02,32.400002,31.98,32.0,2738500,30.877256
2015-08-06,31.65,31.790001,31.0,31.110001,4445900,30.018483
2015-08-07,31.219999,31.26,30.49,30.76,3400900,29.680763
2015-08-10,31.049999,31.309999,30.889999,31.290001,3070000,30.192168
2015-08-11,31.049999,31.51,31.040001,31.48,2743100,30.375501
2015-08-12,31.25,31.76,30.77,31.709999,2570900,30.59743
2015-08-13,31.690001,32.0,31.5,31.709999,2196300,30.59743
2015-08-14,31.860001,32.73,31.75,32.639999,3846600,31.494801
2015-08-17,32.52,32.779999,32.040001,32.380001,4700400,31.243925
2015-08-18,32.400002,32.759998,32.27,32.419998,2510700,31.282519
2015-08-19,32.27,32.43,31.799999,32.23,2693700,31.099186
2015-08-20,31.700001,32.049999,31.41,31.43,4228600,30.327256
2015-08-21,30.959999,30.98,29.889999,30.18,7049300,29.121113
2015-08-24,28.799999,29.440001,28.32,29.27,8601900,28.243041
2015-08-25,33.68,34.450001,32.919998,32.950001,21260800,31.793926
2015-08-26,33.93,35.279999,33.25,35.25,11551600,34.013228
2015-08-27,35.759998,36.549999,35.049999,35.799999,9544600,34.54393
2015-08-28,35.709999,36.279999,35.669998,35.970001,4669800,34.707967
2015-08-31,35.939999,36.939999,35.830002,36.740002,7271500,35.450952
2015-09-01,35.939999,36.41,35.189999,35.439999,5512200,34.19656
2015-09-02,36.029999,36.43,35.630001,36.43,5380900,35.151827
2015-09-03,36.48,37.18,36.400002,36.720001,4598900,35.431653
2015-09-04,36.349998,36.889999,36.25,36.619999,3870900,35.335159
2015-09-08,37.220001,37.75,37.07,37.700001,5388100,36.377268
2015-09-09,37.990002,38.32,37.369999,37.52,6295500,36.203584
2015-09-10,37.119999,37.709999,36.900002,37.32,4951600,36.0106
2015-09-11,37.07,38.18,37.009998,38.009998,6799100,36.903824
2015-09-14,38.049999,38.810001,37.990002,38.48,6146900,37.360147
2015-09-15,38.389999,38.919998,38.310001,38.470001,5327500,37.350439
2015-09-16,38.5,39.0,38.220001,38.959999,3243100,37.826177
2015-09-17,38.959999,39.099998,38.110001,38.23,3568700,37.117422
2015-09-18,37.880001,38.02,37.470001,37.529999,6652800,36.437793
2015-09-21,37.77,38.060001,37.310001,37.560001,4539300,36.466922
2015-09-22,37.25,37.389999,36.529999,36.970001,4064700,35.894093
2015-09-23,37.130001,37.189999,36.66,36.849998,2166600,35.777582
2015-09-24,36.66,36.779999,36.32,36.610001,3657800,35.544569
2015-09-25,36.720001,37.099998,36.330002,36.529999,4980400,35.466895
2015-09-28,36.52,36.98,35.41,35.52,3292100,34.48629
2015-09-29,35.470001,36.07,35.32,35.970001,3986100,34.923195
2015-09-30,36.450001,37.23,36.380001,37.119999,6084700,36.039725
2015-10-01,37.25,37.279999,36.580002,37.16,3612400,36.078562
2015-10-02,36.689999,37.779999,36.540001,37.779999,2430700,36.680517
2015-10-05,37.970001,38.119999,37.220001,37.68,4609300,36.583429
2015-10-06,37.720001,37.939999,36.990002,37.32,3404700,36.233905
2015-10-07,37.5,37.599998,37.099998,37.290001,3300800,36.20478
2015-10-08,37.209999,37.400002,36.599998,37.25,2520000,36.165943
2015-10-09,37.099998,37.16,36.619999,36.950001,2890500,35.874674
2015-10-12,37.009998,37.490002,36.889999,37.16,1888600,36.078562
2015-10-13,37.009998,37.389999,36.939999,37.040001,2934400,35.962055
2015-10-14,36.799999,37.0,34.740002,34.830002,6409900,33.816372
2015-10-15,34.830002,35.490002,34.75,35.48,3432500,34.447453
2015-10-16,35.509998,35.540001,34.490002,34.700001,5253900,33.690154
2015-10-19,34.68,35.169998,34.599998,35.07,2629600,34.049385
2015-10-20,35.040001,35.549999,35.029999,35.310001,2431900,34.282402
2015-10-21,35.470001,35.560001,34.759998,34.84,2054300,33.826079
2015-10-22,34.950001,35.450001,34.810001,35.16,2676000,34.136766
2015-10-23,35.529999,35.779999,35.09,35.200001,3807300,34.175603
2015-10-26,35.18,35.360001,34.700001,34.75,3315700,33.738698
2015-10-27,34.75,34.950001,34.07,34.509998,2689600,33.505681
2015-10-28,34.619999,34.93,34.349998,34.709999,3403500,33.699862
2015-10-29,34.939999,35.09,34.27,34.459999,2851000,33.457137
2015-10-30,34.599998,35.200001,34.299999,35.029999,4199900,34.010549
2015-11-02,35.139999,35.540001,34.919998,35.43,2299000,34.398909
2015-11-03,35.43,36.509998,35.360001,35.740002,3943600,34.699889
2015-11-04,35.599998,35.66,34.41,34.48,4800300,33.476555
2015-11-05,34.630001,35.040001,34.200001,35.02,3183300,34.000841
2015-11-06,34.880001,35.68,34.84,35.41,3209000,34.379491
2015-11-09,35.34,35.599998,35.009998,35.360001,4365200,34.330947
2015-11-10,35.25,35.549999,34.34,34.66,4301100,33.651317
2015-11-11,34.68,34.779999,34.209999,34.349998,5831800,33.350338
2015-11-12,34.25,34.529999,33.779999,33.990002,5624700,33.000818
2015-11-13,33.169998,33.75,31.540001,32.040001,11791300,31.107566
2015-11-16,31.0,32.029999,30.83,31.629999,10742000,30.709496
2015-11-17,31.440001,31.450001,30.309999,30.709999,8426900,29.81627
2015-11-18,30.91,31.74,30.82,31.33,9614800,30.418228
2015-11-19,29.209999,31.33,28.65,30.67,21695400,29.777435
2015-11-20,31.059999,31.1,29.799999,30.51,9011500,29.622092
2015-11-23,30.459999,30.9,30.35,30.780001,5657200,29.884235
2015-11-24,30.27,31.82,30.1,31.530001,6757300,30.612408
2015-11-25,31.530001,32.220001,31.440001,31.950001,5396300,31.020185
2015-11-27,32.09,32.16,31.450001,31.48,2834300,30.563862
2015-11-30,31.73,32.32,31.5,31.780001,5997100,30.855133
2015-12-01,31.83,31.889999,30.940001,31.370001,5506900,30.457065
2015-12-02,31.450001,31.629999,30.719999,30.9,4114600,30.000741
2015-12-03,30.9,31.49,30.190001,31.299999,9806800,30.3891
2015-12-04,31.469999,31.51,30.889999,31.02,6543000,30.11725
2015-12-07,31.0,31.15,30.360001,30.91,4475900,30.010451
2015-12-08,30.48,31.360001,30.35,30.860001,3446600,30.186523
2015-12-09,30.58,31.459999,30.290001,30.52,4258300,29.853943
2015-12-10,30.559999,30.85,30.23,30.32,3617400,29.658307
2015-12-11,29.98,30.299999,29.700001,29.790001,4482800,29.139875
2015-12-14,29.98,30.440001,29.540001,29.9,3982600,29.247473
2015-12-15,30.110001,30.42,29.799999,30.040001,3993700,29.384419
2015-12-16,30.110001,30.790001,30.040001,30.700001,4302200,30.030015
2015-12-17,30.67,30.780001,29.780001,29.799999,4969600,29.149655
2015-12-18,29.67,29.67,28.9,29.040001,8632400,28.406242
2015-12-21,29.09,29.450001,28.879999,29.15,3343000,28.51384
2015-12-22,29.360001,30.43,29.299999,30.16,4545000,29.501799
2015-12-23,30.27,30.870001,30.0,30.6,4454400,29.932197
2015-12-24,30.530001,30.85,30.459999,30.5,1751200,29.834379
2015-12-28,30.52,30.709999,30.23,30.530001,2025000,29.863725
2015-12-29,30.75,31.049999,30.59,30.75,2154400,30.078923
2015-12-30,30.82,31.129999,30.440001,30.459999,2162900,29.795251
2015-12-31,30.43,30.74,30.25,30.450001,2869100,29.785471
2016-01-04,29.84,31.08,29.76,30.65,6343700,29.981105
2016-01-05,30.719999,31.200001,30.49,31.15,4731200,30.470193
2016-01-06,30.530001,30.73,29.74,29.950001,8342600,29.296383
2016-01-07,29.559999,30.67,29.379999,30.23,5962200,29.570271
2016-01-08,29.74,29.780001,28.639999,28.950001,7062700,28.318206
2016-01-11,29.08,29.59,28.969999,29.43,5847700,28.78773
2016-01-12,29.610001,30.33,29.389999,30.129999,4754900,29.472453
2016-01-13,30.15,30.32,29.09,29.26,6172500,28.62144
2016-01-14,27.08,27.24,25.610001,26.43,20096900,25.853201
2016-01-15,25.35,27.360001,25.309999,27.110001,15113200,26.518362
2016-01-19,27.049999,27.1,25.4,25.870001,10110500,25.305423
2016-01-20,25.700001,26.9,25.42,26.530001,7797100,25.951019
2016-01-21,26.610001,27.690001,26.459999,27.280001,6318800,26.684652
2016-01-22,27.68,28.0,27.07,27.27,4389200,26.67487
2016-01-25,27.200001,27.43,26.92,27.07,5654300,26.479234
2016-01-26,27.139999,28.129999,27.02,28.040001,4160500,27.428066
2016-01-27,27.959999,28.43,27.200001,27.27,5797500,26.67487
2016-01-28,27.34,27.559999,26.9,26.969999,5499800,26.381416
2016-01-29,27.200001,28.139999,27.17,27.93,5835100,27.320466
2016-02-01,27.84,28.700001,27.66,28.57,4632600,27.946498
2016-02-02,28.43,28.639999,27.92,28.309999,4024300,27.692172
