Date,Open_TGT,High_TGT,Low_TGT,Close_TGT,Volume_TGT,AdjClose_TGT
2015-06-05,80.139999,80.260002,79.089996,79.199997,3922400,76.799773
2015-06-08,79.25,79.25,78.629997,78.889999,3196000,76.49917
2015-06-09,78.690002,79.260002,78.25,78.900002,5471500,76.508869
2015-06-10,79.669998,79.800003,79.050003,79.669998,4670000,77.25553
2015-06-11,80.0,80.440002,79.919998,80.07,3575100,77.643409
2015-06-12,79.599998,80.150002,79.410004,79.470001,2909100,77.061594
2015-06-15,80.349998,81.089996,80.019997,80.449997,6228300,78.01189
2015-06-16,80.480003,81.470001,80.050003,80.970001,4060700,78.516136
2015-06-17,81.139999,82.470001,81.089996,82.099998,5215200,79.611887
2015-06-18,82.099998,83.410004,82.099998,83.190002,6680000,80.668858
2015-06-19,83.0,84.5,82.910004,83.349998,11601500,80.824005
2015-06-22,84.230003,84.330002,83.650002,84.230003,4797900,81.67734
2015-06-23,84.580002,85.809998,84.400002,84.760002,5916800,82.191277
2015-06-24,84.720001,84.860001,83.989998,84.339996,3281300,81.784
2015-06-25,84.419998,85.209999,84.339996,84.5,5008600,81.939155
2015-06-26,84.489998,84.650002,83.849998,84.080002,6189100,81.531885
2015-06-29,83.480003,83.900002,81.970001,82.089996,5224500,79.602188
2015-06-30,82.650002,83.0,81.57,81.629997,5060000,79.15613
2015-07-01,82.099998,83.129997,81.839996,82.989998,4087900,80.474914
2015-07-02,83.059998,83.43,82.150002,82.269997,3422000,79.776733
2015-07-06,81.849998,83.209999,81.75,82.93,3539100,80.416735
2015-07-07,83.089996,84.480003,82.75,84.449997,5709100,81.890667
2015-07-08,83.68,84.239998,83.389999,83.480003,4087600,80.95007
2015-07-09,84.199997,84.330002,83.019997,83.040001,3864000,80.523402
2015-07-10,84.089996,84.190002,83.610001,83.910004,3271100,81.367039
2015-07-13,84.669998,84.739998,84.099998,84.099998,3450800,81.551275
2015-07-14,84.110001,84.370003,83.32,84.099998,4095400,81.551275
2015-07-15,84.099998,84.550003,83.440002,84.459999,2853900,81.900366
2015-07-16,84.75,85.309998,84.5,85.010002,2971600,82.433701
2015-07-17,84.699997,85.010002,84.440002,84.690002,2924600,82.123399
2015-07-20,84.650002,84.980003,84.169998,84.230003,3261400,81.67734
2015-07-21,84.18,84.25,82.150002,82.279999,6085900,79.786432
2015-07-22,82.550003,83.349998,82.440002,82.82,4350900,80.310068
2015-07-23,82.889999,82.949997,81.620003,81.650002,3489600,79.175528
2015-07-24,81.870003,81.870003,80.099998,80.209999,5294300,77.779166
2015-07-27,79.870003,79.879997,79.129997,79.489998,4637300,77.080985
2015-07-28,80.489998,80.599998,79.489998,80.529999,5457200,78.089468
2015-07-29,80.690002,82.019997,80.599998,81.839996,5323500,79.359765
2015-07-30,81.580002,82.279999,81.540001,81.93,2991300,79.447041
2015-07-31,82.279999,82.360001,81.709999,81.849998,2832200,79.369464
2015-08-03,81.18,81.629997,80.050003,80.389999,3595800,77.953711
2015-08-04,80.309998,80.779999,79.709999,80.050003,4355600,77.624019
2015-08-05,80.629997,81.07,79.75,80.040001,4303400,77.61432
2015-08-06,80.0,80.339996,78.620003,79.540001,4508200,77.129473
2015-08-07,79.639999,79.739998,78.599998,78.980003,3153400,76.586446
2015-08-10,79.449997,79.690002,78.82,78.970001,2998400,76.576747
2015-08-11,78.650002,79.260002,78.269997,78.870003,4188100,76.479779
2015-08-12,78.550003,79.239998,77.080002,79.0,5077100,76.605837
2015-08-13,78.730003,79.809998,78.290001,78.989998,3322900,76.596138
2015-08-14,78.980003,79.610001,78.730003,79.349998,3597900,76.945228
2015-08-17,78.43,79.199997,78.190002,78.980003,2908900,77.130788
2015-08-18,78.599998,80.730003,78.599998,80.300003,7326700,78.419881
2015-08-19,80.300003,84.620003,79.120003,80.870003,21173800,78.976535
2015-08-20,80.349998,81.669998,79.809998,80.660004,7497600,78.771453
2015-08-21,80.07,80.870003,78.360001,78.400002,7982000,76.564366
2015-08-24,73.900002,77.580002,71.910004,75.279999,10419100,73.517414
2015-08-25,76.760002,77.160004,73.870003,73.940002,7554700,72.208792
2015-08-26,75.760002,77.139999,74.360001,76.839996,8160000,75.040886
2015-08-27,77.190002,77.919998,76.559998,77.849998,6929900,76.027241
2015-08-28,77.790001,78.800003,77.559998,78.029999,4424900,76.203026
2015-08-31,77.43,78.199997,76.949997,77.709999,4477100,75.890519
2015-09-01,76.419998,76.839996,74.989998,75.389999,6690000,73.624839
2015-09-02,76.290001,77.230003,76.07,77.050003,7527600,75.245976
2015-09-03,77.529999,78.470001,77.160004,77.449997,4559200,75.636605
2015-09-04,76.849998,77.169998,76.150002,76.419998,4112900,74.630722
2015-09-08,77.690002,78.440002,76.980003,78.379997,4929100,76.54483
2015-09-09,79.050003,79.089996,77.0,77.160004,3349100,75.353401
2015-09-10,76.709999,77.75,76.599998,77.07,4479000,75.265504
2015-09-11,76.839996,78.010002,76.839996,77.879997,3346100,76.056537
2015-09-14,77.650002,77.860001,76.580002,77.150002,2715300,75.343633
2015-09-15,77.389999,78.25,77.160004,77.82,3423600,75.997944
2015-09-16,77.779999,78.610001,77.639999,78.5,3468900,76.662023
2015-09-17,78.779999,79.120003,77.879997,78.010002,5668900,76.183498
2015-09-18,77.339996,77.900002,76.489998,76.620003,6651600,74.826044
2015-09-21,77.160004,78.620003,76.949997,78.260002,4180400,76.427645
2015-09-22,77.599998,78.120003,77.279999,78.050003,3146400,76.222562
2015-09-23,78.0,78.879997,77.830002,78.760002,3940200,76.915938
2015-09-24,78.459999,79.18,77.93,79.059998,3934200,77.208909
2015-09-25,79.610001,79.980003,78.75,79.050003,3055600,77.199149
2015-09-28,78.989998,79.169998,77.389999,77.669998,4332800,75.851455
2015-09-29,77.660004,78.559998,77.160004,77.980003,4816600,76.154202
2015-09-30,78.82,78.940002,78.18,78.660004,4579600,76.818281
2015-10-01,78.349998,79.589996,78.18,79.510002,6393600,77.648377
2015-10-02,78.07,79.57,77.400002,79.529999,4631100,77.667906
2015-10-05,79.970001,80.169998,79.290001,79.510002,4708700,77.648377
2015-10-06,79.330002,79.459999,77.370003,78.099998,4892800,76.271387
2015-10-07,78.589996,78.769997,77.989998,78.559998,3291100,76.720616
2015-10-08,78.540001,79.660004,78.389999,78.690002,3580600,76.847577
2015-10-09,78.690002,78.959999,78.190002,78.879997,2857600,77.033123
2015-10-12,78.879997,79.379997,78.860001,79.209999,1556800,77.355399
2015-10-13,79.110001,79.839996,78.910004,78.959999,2910200,77.111252
2015-10-14,79.260002,80.110001,74.559998,76.199997,18449200,74.415872
2015-10-15,76.120003,76.209999,73.379997,75.129997,10162100,73.370925
2015-10-16,75.370003,75.389999,74.699997,75.050003,4753600,73.292803
2015-10-19,75.019997,75.300003,74.629997,74.699997,4639400,72.950992
2015-10-20,74.830002,75.300003,74.379997,74.400002,5021800,72.658021
2015-10-21,74.849998,76.599998,74.610001,76.400002,5847400,74.611193
2015-10-22,76.57,77.169998,75.959999,77.110001,4943800,75.304569
2015-10-23,77.489998,77.599998,72.75,72.940002,9443200,71.232206
2015-10-26,73.25,74.760002,73.18,74.019997,6706700,72.286913
2015-10-27,74.040001,74.739998,73.919998,74.730003,4083700,72.980296
2015-10-28,75.089996,76.279999,74.699997,76.230003,4327800,74.445176
2015-10-29,76.209999,76.5,74.970001,76.279999,3815800,74.494
