Date,Open_PVH,High_PVH,Low_PVH,Close_PVH,Volume_PVH,AdjClose_PVH
2015-06-05,115.720001,115.809998,113.830002,114.43,810600,114.232661
2015-06-08,114.279999,116.379997,114.110001,115.690002,958100,115.49049
2015-06-09,116.040001,116.360001,114.290001,115.519997,665000,115.320778
2015-06-10,116.32,116.32,113.970001,113.989998,898400,113.793417
2015-06-11,114.269997,114.860001,111.5,112.510002,1473300,112.315974
2015-06-12,112.400002,113.010002,111.650002,112.75,692800,112.555558
2015-06-15,112.080002,112.410004,110.650002,111.169998,909400,110.978281
2015-06-16,111.510002,113.470001,110.589996,112.93,1176500,112.735248
2015-06-17,112.900002,113.370003,111.050003,112.919998,743800,112.725263
2015-06-18,113.169998,114.199997,113.169998,113.190002,763700,112.994802
2015-06-19,113.389999,115.099998,112.839996,114.599998,1178600,114.402366
2015-06-22,115.32,115.32,113.809998,114.639999,687400,114.442298
2015-06-23,114.480003,115.169998,114.190002,114.860001,448000,114.66192
2015-06-24,114.800003,115.019997,113.629997,113.690002,385800,113.493939
2015-06-25,114.379997,117.110001,114.370003,116.25,1043000,116.049522
2015-06-26,116.5,117.5,115.300003,115.5,1862400,115.300815
2015-06-29,114.589996,115.550003,112.830002,112.980003,746600,112.785165
2015-06-30,113.93,115.82,113.400002,115.199997,1283200,115.00133
2015-07-01,116.139999,117.57,113.709999,117.239998,972900,117.037813
2015-07-02,117.5,118.269997,116.790001,117.809998,923600,117.606829
2015-07-06,116.790001,117.910004,115.050003,115.910004,944200,115.710112
2015-07-07,115.910004,116.18,112.75,115.739998,975300,115.540399
2015-07-08,115.300003,115.529999,112.540001,112.879997,728900,112.685331
2015-07-09,114.0,115.559998,112.809998,112.860001,740900,112.665369
2015-07-10,114.0,114.080002,112.57,113.599998,1008900,113.404091
2015-07-13,114.5,116.720001,114.440002,116.529999,760300,116.329038
2015-07-14,116.470001,116.910004,115.650002,115.760002,503900,115.560369
2015-07-15,115.669998,116.25,114.550003,114.800003,576700,114.602026
2015-07-16,115.190002,115.910004,113.599998,115.419998,660200,115.220952
2015-07-17,115.099998,115.540001,113.75,114.089996,440400,113.893243
2015-07-20,114.5,114.900002,113.330002,114.43,560000,114.232661
2015-07-21,114.519997,115.629997,113.440002,114.279999,391900,114.082918
2015-07-22,114.050003,115.260002,114.050003,115.099998,531800,114.901504
2015-07-23,115.660004,116.480003,114.5,114.650002,544800,114.452283
2015-07-24,115.0,115.459999,111.760002,113.050003,566900,112.855044
2015-07-27,112.730003,112.760002,111.07,111.5,570200,111.307714
2015-07-28,112.230003,113.860001,111.620003,113.410004,432300,113.214423
2015-07-29,113.459999,116.0,113.459999,115.699997,578000,115.500468
