Date,Open_SLB,High_SLB,Low_SLB,Close_SLB,Volume_SLB,AdjClose_SLB
2015-06-05,89.690002,91.720001,89.540001,90.169998,7120000,87.784321
2015-06-08,89.830002,90.669998,89.139999,89.370003,7115200,87.005492
2015-06-09,90.160004,90.629997,89.790001,89.860001,5077800,87.482525
2015-06-10,90.980003,91.830002,90.730003,91.629997,6045600,89.205692
2015-06-11,91.629997,91.68,90.550003,90.669998,5134600,88.271092
2015-06-12,90.239998,90.599998,89.82,90.150002,3997800,87.764854
2015-06-15,89.410004,89.800003,88.699997,89.43,5330500,87.063902
2015-06-16,89.599998,89.779999,89.099998,89.690002,3731700,87.317025
2015-06-17,90.029999,90.620003,89.199997,89.669998,4656400,87.29755
2015-06-18,90.089996,90.550003,88.599998,88.629997,7862800,86.285065
2015-06-19,87.57,87.769997,86.230003,86.620003,13888600,84.32825
2015-06-22,86.910004,87.239998,85.800003,86.970001,7415400,84.668988
2015-06-23,86.68,88.089996,86.489998,88.0,5931000,85.671736
2015-06-24,87.260002,88.120003,87.029999,87.510002,6565600,85.194702
2015-06-25,87.360001,87.720001,86.669998,86.669998,5865800,84.376923
2015-06-26,86.389999,87.32,86.07,86.669998,25487300,84.376923
2015-06-29,85.599998,86.610001,85.550003,85.660004,7008400,83.39365
2015-06-30,86.379997,86.489998,85.010002,86.190002,8043500,83.909626
2015-07-01,86.419998,86.690002,83.919998,84.300003,10109000,82.069632
2015-07-02,84.599998,84.889999,83.940002,84.010002,7607200,81.787303
2015-07-06,82.870003,84.230003,82.400002,83.489998,7612700,81.281057
2015-07-07,83.629997,84.639999,82.220001,84.199997,9442300,81.972271
2015-07-08,83.940002,84.459999,82.580002,82.919998,6747000,80.726138
2015-07-09,84.279999,84.339996,83.330002,83.550003,7410500,81.339475
2015-07-10,84.279999,84.550003,83.239998,83.959999,6512200,81.738623
2015-07-13,84.019997,84.480003,83.470001,84.290001,5613700,82.059894
2015-07-14,84.400002,86.110001,84.18,85.290001,6151600,83.033437
2015-07-15,84.760002,84.980003,83.519997,83.629997,8792900,81.417353
2015-07-16,84.580002,84.760002,83.669998,83.889999,6623500,81.670476
2015-07-17,84.209999,84.949997,83.169998,83.709999,9097800,81.495238
2015-07-20,84.239998,84.529999,83.449997,83.519997,7110800,81.310262
2015-07-21,83.379997,85.290001,83.120003,84.300003,7809200,82.069632
2015-07-22,83.980003,85.860001,83.550003,85.260002,10589000,83.004232
2015-07-23,85.230003,86.610001,84.919998,86.019997,6419300,83.744118
2015-07-24,85.75,85.809998,82.660004,82.900002,8745800,80.706671
2015-07-27,82.0,82.5,81.25,81.760002,7186200,79.596833
2015-07-28,82.540001,83.059998,81.150002,82.5,8330600,80.317252
2015-07-29,82.0,84.269997,81.919998,83.889999,8491100,81.670476
2015-07-30,84.059998,84.419998,83.080002,83.519997,4653500,81.310262
2015-07-31,83.099998,83.510002,82.629997,82.82,5568600,80.628786
2015-08-03,82.040001,83.150002,81.660004,82.080002,6808800,79.908366
2015-08-04,82.339996,83.0,81.870003,82.269997,4707300,80.093334
2015-08-05,82.940002,83.949997,82.129997,82.5,5812500,80.317252
2015-08-06,82.129997,84.190002,81.75,83.589996,8265700,81.37841
2015-08-07,83.220001,83.849998,81.949997,82.25,6275900,80.073867
2015-08-10,82.199997,84.480003,82.160004,84.440002,6776600,82.205927
2015-08-11,82.970001,84.449997,82.559998,84.360001,6088400,82.128042
2015-08-12,83.989998,85.040001,82.870003,84.830002,6682100,82.585608
2015-08-13,84.389999,84.690002,83.440002,84.089996,5908500,81.865181
2015-08-14,84.019997,85.120003,83.519997,83.860001,4201500,81.641271
2015-08-17,83.059998,83.849998,83.059998,83.5,4845400,81.290795
2015-08-18,83.550003,83.779999,82.620003,83.150002,5106500,80.950056
2015-08-19,82.370003,82.940002,80.400002,80.669998,9410300,78.535668
2015-08-20,80.470001,81.830002,79.440002,79.440002,8483800,77.338215
2015-08-21,78.800003,79.900002,77.5,77.5,11130500,75.44954
2015-08-24,73.919998,76.300003,73.019997,73.870003,17350900,71.915584
2015-08-25,76.599998,76.610001,72.5,72.519997,12085200,70.601295
2015-08-26,72.519997,72.519997,68.010002,70.089996,58004300,68.235587
2015-08-27,72.300003,73.989998,70.900002,73.849998,28622100,71.896109
2015-08-28,74.099998,76.860001,73.279999,76.059998,15702900,74.047637
2015-08-31,75.129997,77.709999,74.610001,77.370003,17008400,75.821414
2015-09-01,75.300003,76.57,74.839996,75.419998,14970000,73.91044
2015-09-02,76.660004,76.900002,73.860001,75.410004,12993100,73.900645
2015-09-03,76.160004,77.519997,75.019997,76.260002,11091000,74.733631
2015-09-04,75.129997,75.389999,74.419998,75.0,9072100,73.498848
2015-09-08,75.300003,75.860001,74.739998,75.540001,7189500,74.028041
2015-09-09,75.660004,77.239998,74.239998,74.400002,10927200,72.910859
2015-09-10,74.550003,74.839996,72.889999,74.07,8261000,72.587462
2015-09-11,73.470001,73.720001,72.269997,73.699997,8359800,72.224865
2015-09-14,73.400002,73.400002,72.349998,72.839996,5997600,71.382078
2015-09-15,73.279999,73.82,72.699997,73.589996,8408800,72.117066
2015-09-16,74.220001,76.5,73.989998,76.160004,7685200,74.635634
2015-09-17,76.160004,76.82,75.080002,75.300003,8500100,73.792846
2015-09-18,73.980003,74.099998,72.199997,72.540001,12646500,71.088087
2015-09-21,73.260002,73.480003,72.279999,72.870003,5935900,71.411483
2015-09-22,71.519997,73.120003,71.5,72.57,5894900,71.117485
2015-09-23,73.209999,73.379997,71.900002,71.940002,5726700,70.500097
2015-09-24,71.389999,73.419998,71.110001,72.690002,7655300,71.235086
2015-09-25,73.25,73.309998,72.230003,72.900002,5655600,71.440882
2015-09-28,71.650002,71.720001,69.32,69.370003,9189100,67.981537
2015-09-29,69.610001,69.889999,68.029999,69.099998,11467000,67.716937
2015-09-30,69.279999,69.800003,67.75,68.970001,11785800,67.589542
2015-10-01,70.110001,70.989998,67.410004,67.650002,12055400,66.295962
2015-10-02,66.93,70.449997,66.57,70.32,12738800,68.91252
2015-10-05,71.25,72.730003,71.050003,72.089996,8800800,70.647089
2015-10-06,72.300003,74.410004,71.879997,73.940002,11672500,72.460067
2015-10-07,75.43,76.900002,74.550003,75.349998,12631100,73.841841
2015-10-08,75.279999,76.93,74.410004,76.639999,8446600,75.106022
2015-10-09,77.150002,77.370003,75.860001,76.360001,6842500,74.831628
2015-10-12,76.650002,76.650002,74.269997,74.940002,7575700,73.440051
