Date,Open_MU,High_MU,Low_MU,Close_MU,Volume_MU,AdjClose_MU
2015-06-05,27.0,27.0,26.5,26.59,16585400,26.59
2015-06-08,26.51,26.629999,25.799999,25.92,23252600,25.92
2015-06-09,25.91,25.950001,24.940001,25.190001,39816700,25.190001
2015-06-10,25.52,25.59,25.030001,25.190001,23802900,25.190001
2015-06-11,25.200001,25.389999,24.969999,25.02,25793500,25.02
2015-06-12,24.889999,25.379999,24.709999,25.129999,21123900,25.129999
2015-06-15,24.219999,24.25,23.700001,24.24,44190200,24.24
2015-06-16,24.049999,24.32,23.879999,24.24,19173100,24.24
2015-06-17,24.299999,24.68,24.23,24.48,17951700,24.48
2015-06-18,24.639999,24.82,24.43,24.469999,21570800,24.469999
2015-06-19,24.799999,24.969999,24.459999,24.469999,25589300,24.469999
2015-06-22,24.139999,24.709999,24.0,24.629999,26231200,24.629999
2015-06-23,24.629999,24.860001,24.379999,24.49,16168900,24.49
2015-06-24,24.440001,24.49,24.0,24.059999,21243700,24.059999
2015-06-25,24.129999,24.24,23.66,24.02,38347800,24.02
2015-06-26,20.27,20.6,19.43,19.66,149010300,19.66
2015-06-29,19.34,19.6,18.6,18.73,49126100,18.73
2015-06-30,18.889999,19.1,18.549999,18.84,34683900,18.84
2015-07-01,19.049999,19.1,18.629999,18.780001,25027100,18.780001
2015-07-02,18.83,19.379999,18.809999,19.07,26178100,19.07
2015-07-06,18.84,18.98,18.23,18.32,37875800,18.32
2015-07-07,18.129999,18.360001,17.370001,18.200001,46293200,18.200001
2015-07-08,17.959999,17.98,17.49,17.629999,30898900,17.629999
2015-07-09,17.870001,18.01,17.139999,17.15,47087100,17.15
2015-07-10,17.33,17.65,17.299999,17.57,24282900,17.57
2015-07-13,17.83,17.85,17.389999,17.610001,35788100,17.610001
2015-07-14,19.76,19.84,19.0,19.610001,103878600,19.610001
2015-07-15,19.49,19.65,18.77,18.889999,41983200,18.889999
2015-07-16,19.25,19.74,19.09,19.610001,34717200,19.610001
2015-07-17,19.530001,20.24,19.370001,20.120001,34081300,20.120001
2015-07-20,20.08,20.08,18.77,18.889999,41989300,18.889999
2015-07-21,18.84,19.110001,18.51,18.879999,29340300,18.879999
2015-07-22,18.530001,18.629999,17.85,18.0,43635100,18.0
2015-07-23,18.33,18.93,18.299999,18.700001,32805200,18.700001
2015-07-24,18.6,18.700001,18.07,18.34,21567400,18.34
2015-07-27,18.1,18.67,17.57,18.120001,27584100,18.120001
2015-07-28,18.35,20.08,18.200001,19.75,51809500,19.75
2015-07-29,19.98,20.57,19.67,19.870001,41557900,19.870001
2015-07-30,19.75,20.1,19.459999,19.9,31248700,19.9
2015-07-31,20.02,20.030001,18.469999,18.51,55074900,18.51
2015-08-03,18.610001,19.389999,18.59,19.0,32958300,19.0
2015-08-04,19.17,19.190001,18.6,19.01,19934500,19.01
2015-08-05,19.18,19.469999,18.879999,18.91,23370800,18.91
2015-08-06,18.93,18.959999,18.450001,18.719999,29928600,18.719999
2015-08-07,18.450001,18.530001,18.0,18.440001,23718300,18.440001
2015-08-10,18.58,18.959999,18.32,18.82,25232400,18.82
2015-08-11,18.629999,18.629999,17.68,17.879999,22959200,17.879999
2015-08-12,17.65,18.33,17.52,18.190001,20428400,18.190001
2015-08-13,18.23,18.379999,17.67,17.700001,15468600,17.700001
2015-08-14,17.76,17.99,16.82,16.950001,37248200,16.950001
2015-08-17,16.469999,17.26,16.120001,17.219999,33001000,17.219999
2015-08-18,17.0,17.0,16.27,16.379999,32424300,16.379999
2015-08-19,16.24,16.35,15.88,15.9,36874000,15.9
2015-08-20,15.35,15.37,14.66,14.74,54864200,14.74
2015-08-21,14.39,15.25,14.24,14.53,43715800,14.53
2015-08-24,13.81,14.44,13.5,14.44,54532000,14.44
2015-08-25,15.18,15.34,14.26,14.27,38655100,14.27
2015-08-26,14.61,14.75,14.11,14.42,43819700,14.42
2015-08-27,14.63,15.93,14.63,15.67,42971800,15.67
2015-08-28,16.25,16.540001,15.61,15.96,34099400,15.96
2015-08-31,15.91,16.68,15.46,16.41,32916900,16.41
2015-09-01,15.8,16.209999,15.68,15.82,27914200,15.82
2015-09-02,16.09,16.309999,15.74,16.290001,23478500,16.290001
2015-09-03,16.389999,17.209999,16.26,16.59,26377200,16.59
2015-09-04,16.299999,17.299999,16.26,16.82,32420800,16.82
2015-09-08,17.549999,17.75,17.049999,17.530001,26817000,17.530001
2015-09-09,17.9,17.969999,16.84,16.959999,32951100,16.959999
2015-09-10,16.809999,17.42,16.709999,17.200001,20814300,17.200001
2015-09-11,17.02,17.17,16.709999,16.799999,22107600,16.799999
2015-09-14,16.9,16.92,16.360001,16.700001,15178700,16.700001
2015-09-15,16.860001,16.860001,16.459999,16.52,21319400,16.52
2015-09-16,16.459999,16.700001,16.309999,16.68,22363200,16.68
2015-09-17,16.68,16.809999,16.309999,16.41,22827600,16.41
2015-09-18,16.08,16.190001,15.36,15.5,36698200,15.5
2015-09-21,15.62,15.98,15.46,15.75,19024500,15.75
2015-09-22,15.35,15.82,15.17,15.41,22763900,15.41
2015-09-23,15.43,15.43,14.8,14.81,22567900,14.81
2015-09-24,14.8,15.52,14.6,15.34,32800800,15.34
2015-09-25,15.34,15.59,14.65,14.91,28917300,14.91
2015-09-28,14.67,14.73,13.92,14.06,30448600,14.06
2015-09-29,14.26,14.69,14.15,14.38,25529200,14.38
2015-09-30,14.73,15.33,14.7,14.98,28066300,14.98
2015-10-01,14.99,15.04,14.5,14.77,37460500,14.77
2015-10-02,15.22,15.95,15.15,15.91,49688200,15.91
2015-10-05,16.32,17.84,16.200001,17.57,63718700,17.57
2015-10-06,17.629999,18.299999,17.34,18.219999,52110000,18.219999
2015-10-07,18.389999,18.92,18.219999,18.620001,41913500,18.620001
2015-10-08,18.59,19.1,18.450001,18.719999,33619600,18.719999
2015-10-09,18.629999,18.85,17.9,18.16,23392500,18.16
