Date,Open_CINF,High_CINF,Low_CINF,Close_CINF,Volume_CINF,AdjClose_CINF
2015-06-05,50.66,51.0,50.439999,50.529999,389000,48.531392
2015-06-08,50.389999,50.59,50.110001,50.119999,406200,48.137609
2015-06-09,50.0,50.459999,49.900002,50.18,421800,48.195237
2015-06-10,50.41,51.259998,50.290001,51.18,410600,49.155685
2015-06-11,51.23,51.68,51.099998,51.650002,547700,49.607096
2015-06-12,51.599998,51.599998,51.130001,51.220001,435900,49.194103
2015-06-15,50.330002,50.700001,50.169998,50.360001,595000,48.806443
2015-06-16,50.18,50.919998,50.18,50.860001,554300,49.291018
2015-06-17,51.029999,51.130001,50.68,50.91,635800,49.339475
2015-06-18,51.209999,51.779999,51.119999,51.650002,806300,50.056649
2015-06-19,51.610001,51.689999,51.169998,51.169998,1101300,49.591453
2015-06-22,51.43,51.700001,51.32,51.389999,519600,49.804667
2015-06-23,51.389999,51.57,51.279999,51.560001,348000,49.969425
2015-06-24,51.439999,51.5,50.950001,50.959999,486500,49.387932
2015-06-25,51.16,51.18,50.470001,50.470001,437000,48.91305
2015-06-26,50.549999,51.049999,50.43,50.91,551100,49.339475
2015-06-29,50.310001,50.59,49.740002,49.75,718400,48.21526
2015-06-30,50.02,50.459999,49.869999,50.18,733500,48.631995
2015-07-01,51.18,52.57,50.73,52.540001,1493300,50.919192
2015-07-02,52.700001,52.84,52.209999,52.400002,577700,50.783512
2015-07-06,52.02,52.52,51.84,52.34,469100,50.725361
2015-07-07,52.23,52.82,51.91,52.810001,566700,51.180864
2015-07-08,52.490002,52.990002,52.400002,52.669998,889100,51.045179
2015-07-09,53.27,53.27,52.700001,52.970001,606100,51.335928
2015-07-10,53.610001,53.77,53.23,53.66,406500,52.00464
2015-07-13,53.959999,54.189999,53.709999,54.110001,467000,52.440759
2015-07-14,53.990002,54.290001,53.959999,54.169998,375000,52.498906
2015-07-15,53.509998,53.700001,53.080002,53.57,988200,51.917417
2015-07-16,53.84,53.98,53.619999,53.880001,462300,52.217855
2015-07-17,53.77,53.84,53.450001,53.560001,486800,51.907727
2015-07-20,53.860001,53.970001,53.400002,53.580002,412400,51.92711
2015-07-21,53.580002,53.889999,53.310001,53.549999,479800,51.898033
2015-07-22,53.529999,53.900002,53.5,53.720001,303700,52.062791
2015-07-23,53.669998,53.779999,53.220001,53.32,422400,51.675129
