Date,Open_PSA,High_PSA,Low_PSA,Close_PSA,Volume_PSA,AdjClose_PSA
2016-02-26,254.759995,256.0,253.309998,254.039993,907000,252.358403
2016-02-29,254.0,254.940002,249.289993,249.490005,953700,247.838533
2016-03-01,249.729996,255.0,249.729996,254.899994,741400,253.21271
2016-03-02,254.899994,256.779999,254.460007,256.170013,556400,254.474323
2016-03-03,256.0,256.959991,250.020004,253.210007,587900,251.53391
2016-03-04,252.830002,253.350006,248.350006,249.949997,824400,248.295479
2016-03-07,249.570007,250.649994,247.669998,250.570007,561200,248.911386
2016-03-08,250.410004,253.020004,248.399994,248.919998,751800,247.272299
2016-03-09,249.639999,251.529999,248.850006,249.889999,511900,248.235879
2016-03-10,250.910004,253.320007,247.889999,250.0,736600,248.345152
2016-03-11,252.190002,257.119995,251.619995,256.820007,679700,255.120015
2016-03-14,255.320007,260.220001,254.990005,259.709991,932500,259.709991
2016-03-15,258.920013,264.329987,258.25,263.51001,739700,263.51001
2016-03-16,262.420013,268.630005,260.850006,268.029999,807500,268.029999
2016-03-17,267.279999,270.679993,266.720001,269.75,594500,269.75
2016-03-18,270.100006,271.809998,267.589996,269.450012,1077000,269.450012
2016-03-21,268.049988,271.0,263.829987,264.26001,750800,264.26001
2016-03-22,263.119995,265.660004,262.140015,263.899994,573600,263.899994
2016-03-23,264.350006,267.170013,263.179993,265.200012,588900,265.200012
2016-03-24,263.790009,267.119995,263.429993,266.679993,564700,266.679993
2016-03-28,267.279999,271.399994,267.279999,269.859985,468000,269.859985
2016-03-29,270.01001,274.640015,268.809998,274.51001,672800,274.51001
2016-03-30,275.0,275.100006,272.660004,273.209991,541700,273.209991
2016-03-31,273.920013,276.829987,273.399994,275.829987,616400,275.829987
2016-04-01,275.609985,276.769989,273.359985,275.519989,709600,275.519989
2016-04-04,275.399994,277.059998,273.779999,276.269989,575800,276.269989
2016-04-05,275.130005,276.799988,272.910004,273.850006,521600,273.850006
2016-04-06,273.850006,274.079987,270.359985,273.730011,545600,273.730011
2016-04-07,273.519989,274.640015,271.570007,273.829987,675600,273.829987
2016-04-08,274.25,275.790009,273.140015,274.049988,448500,274.049988
2016-04-11,274.839996,275.059998,271.769989,272.25,380300,272.25
2016-04-12,273.0,276.839996,272.070007,276.160004,595300,276.160004
2016-04-13,277.540009,277.600006,270.220001,271.910004,622600,271.910004
2016-04-14,271.01001,272.130005,265.98999,267.149994,618700,267.149994
2016-04-15,267.559998,268.76001,266.269989,267.940002,981900,267.940002
2016-04-18,267.940002,272.73999,267.130005,272.600006,573000,272.600006
2016-04-19,272.910004,272.910004,262.959991,263.480011,920100,263.480011
2016-04-20,263.910004,264.850006,261.179993,262.790009,911300,262.790009
2016-04-21,263.190002,263.920013,254.860001,255.089996,964600,255.089996
2016-04-22,255.800003,257.160004,253.550003,256.940002,774800,256.940002
2016-04-25,254.529999,258.690002,253.119995,258.48999,733500,258.48999
2016-04-26,259.0,259.339996,255.009995,256.809998,915500,256.809998
2016-04-27,254.160004,254.380005,246.0,248.210007,1238300,248.210007
2016-04-28,247.619995,251.619995,247.449997,249.009995,791600,249.009995
2016-04-29,247.619995,248.320007,241.770004,244.809998,878700,244.809998
2016-05-02,245.240005,253.660004,245.0,252.570007,997900,252.570007
2016-05-03,251.809998,255.869995,251.070007,253.25,909700,253.25
2016-05-04,252.300003,259.959991,251.839996,257.480011,1078300,257.480011
2016-05-05,256.519989,260.75,255.149994,260.059998,784500,260.059998
2016-05-06,260.290009,264.100006,259.329987,263.309998,740900,263.309998
2016-05-09,263.75,265.450012,262.559998,264.779999,728500,264.779999
2016-05-10,266.149994,267.339996,263.100006,264.940002,630700,264.940002
2016-05-11,265.26001,265.279999,257.109985,259.279999,561500,259.279999
2016-05-12,260.339996,265.73999,257.410004,264.690002,830200,264.690002
2016-05-13,265.059998,265.059998,261.720001,261.890015,494600,261.890015
2016-05-16,261.899994,265.820007,261.450012,264.970001,423300,264.970001
2016-05-17,264.98999,265.630005,257.540009,258.23999,821900,258.23999
2016-05-18,257.369995,258.089996,250.860001,253.820007,1074300,253.820007
2016-05-19,251.25,252.940002,248.559998,249.800003,1182500,249.800003
2016-05-20,251.330002,253.350006,249.979996,252.380005,783200,252.380005
2016-05-23,252.679993,253.559998,251.089996,251.869995,508400,251.869995
2016-05-24,252.440002,255.949997,252.440002,254.389999,678500,254.389999
2016-05-25,254.380005,254.919998,251.449997,253.339996,624700,253.339996
2016-05-26,253.039993,255.369995,252.0,254.139999,474900,254.139999
2016-05-27,254.110001,256.450012,254.110001,255.229996,367700,255.229996
2016-05-31,255.550003,256.160004,251.910004,253.710007,1112000,253.710007
2016-06-01,253.029999,257.130005,252.300003,256.790009,691600,256.790009
2016-06-02,255.559998,258.029999,254.259995,257.980011,602900,257.980011
2016-06-03,258.279999,261.5,258.279999,260.26001,757200,260.26001
