Date,Open_PPG,High_PPG,Low_PPG,Close_PPG,Volume_PPG,AdjClose_PPG
2015-06-05,227.919998,229.160004,226.470001,228.630005,1045800,112.678323
2015-06-08,228.410004,228.570007,227.210007,228.100006,1051000,112.417118
2015-06-09,228.479996,230.289993,227.600006,229.25,1070600,112.983882
2015-06-10,230.429993,232.990005,230.009995,231.880005,1979400,114.280058
2015-06-11,232.809998,234.949997,230.960007,233.990005,1806200,115.319953
2015-06-12,233.649994,233.940002,232.190002,233.25,1160800,114.955248
2015-06-15,115.639999,116.139999,114.949997,115.43,990500,113.777357
2015-06-16,115.220001,116.190002,115.0,116.0,1286900,114.339196
2015-06-17,116.269997,116.830002,115.139999,116.669998,2525400,114.999602
2015-06-18,117.120003,118.239998,116.790001,117.809998,1668900,116.12328
2015-06-19,117.160004,118.019997,116.82,117.300003,2210000,115.620587
2015-06-22,118.0,118.639999,117.760002,118.169998,901000,116.478126
2015-06-23,118.480003,118.690002,117.760002,118.290001,1174900,116.596411
2015-06-24,118.279999,118.489998,117.900002,117.970001,1918300,116.280992
2015-06-25,118.099998,118.559998,117.699997,117.739998,1207800,116.054282
2015-06-26,118.139999,118.230003,117.599998,118.010002,751300,116.320421
2015-06-29,117.139999,117.309998,114.879997,114.980003,996800,113.333803
2015-06-30,115.690002,116.0,114.400002,114.720001,1114600,113.077524
2015-07-01,115.779999,116.559998,115.230003,116.5,1256400,114.832038
2015-07-02,117.150002,117.32,115.239998,115.910004,943200,114.250488
2015-07-06,114.809998,115.980003,114.209999,115.099998,1425900,113.45208
2015-07-07,115.330002,115.330002,113.360001,115.059998,1640800,113.412652
2015-07-08,113.910004,114.489998,113.019997,113.099998,1537000,111.480715
2015-07-09,114.660004,114.849998,112.629997,112.639999,1718900,111.027302
2015-07-10,114.120003,115.029999,113.540001,114.900002,1364100,113.254947
2015-07-13,116.190002,116.610001,115.959999,116.529999,1474700,114.861607
2015-07-14,116.5,117.889999,116.459999,117.610001,1185100,115.926146
2015-07-15,117.32,117.989998,116.790001,116.980003,1509800,115.305169
2015-07-16,117.089996,118.269997,111.540001,111.82,5355400,110.219042
2015-07-17,112.459999,113.540001,111.660004,111.800003,3351900,110.199332
2015-07-20,111.949997,112.0,110.620003,110.849998,2146900,109.262929
2015-07-21,111.120003,111.550003,107.860001,108.209999,3796700,106.660727
2015-07-22,108.120003,108.809998,107.290001,108.089996,2440900,106.542442
2015-07-23,108.099998,108.190002,105.099998,105.629997,3033200,104.117664
2015-07-24,105.540001,105.599998,102.190002,103.25,3111900,101.771741
2015-07-27,102.690002,103.209999,101.610001,102.389999,2766000,100.924054
2015-07-28,103.010002,107.190002,102.639999,106.919998,3080800,105.389195
2015-07-29,107.080002,108.989998,106.839996,108.57,2653500,107.015573
2015-07-30,108.5,108.760002,107.57,108.519997,1233500,106.966286
2015-07-31,109.0,109.370003,108.18,108.379997,1362400,106.828291
2015-08-03,107.309998,108.709999,107.07,107.870003,1535400,106.325598
2015-08-04,108.0,108.459999,106.199997,106.540001,1598100,105.014639
2015-08-05,107.690002,108.089996,106.260002,106.589996,1207700,105.063918
2015-08-06,106.239998,106.540001,104.910004,105.209999,1507300,104.055118
2015-08-07,104.860001,105.150002,103.739998,103.919998,1589300,102.779278
2015-08-10,104.720001,106.610001,104.400002,106.610001,1196600,105.439752
2015-08-11,105.360001,105.410004,103.800003,104.410004,1476900,103.263904
2015-08-12,103.639999,104.209999,102.25,104.029999,3558600,102.888071
2015-08-13,104.260002,104.400002,103.459999,103.519997,1230500,102.383667
2015-08-14,103.639999,104.800003,103.389999,104.699997,1344700,103.550714
2015-08-17,104.209999,105.089996,103.849998,104.260002,1578000,103.115549
2015-08-18,104.419998,105.709999,104.360001,104.57,2426300,103.422144
2015-08-19,103.779999,104.089996,102.150002,102.5,2175200,101.374867
2015-08-20,101.910004,102.400002,99.870003,99.870003,2302400,98.773739
2015-08-21,98.559998,99.309998,97.120003,97.209999,2543000,96.142934
2015-08-24,92.029999,95.949997,91.0,92.260002,3951100,91.247272
2015-08-25,94.870003,94.870003,91.019997,91.050003,2960900,90.050555
2015-08-26,92.68,93.220001,91.0,93.099998,3991700,92.078048
2015-08-27,94.669998,95.849998,93.269997,95.190002,4585900,94.14511
2015-08-28,94.849998,96.379997,94.849998,96.110001,1709800,95.05501
2015-08-31,95.559998,96.660004,94.760002,95.290001,1714100,94.244011
2015-09-01,93.269997,93.629997,90.809998,91.349998,2433800,90.347258
2015-09-02,92.849998,93.529999,91.620003,93.529999,2497700,92.503328
2015-09-03,94.059998,94.889999,93.559998,93.980003,1471700,92.948393
2015-09-04,92.669998,93.839996,92.290001,93.309998,2149400,92.285742
2015-09-08,94.940002,96.410004,94.519997,96.400002,1709600,95.341827
2015-09-09,97.360001,97.879997,95.970001,96.099998,2925400,95.045117
2015-09-10,96.089996,97.389999,95.57,96.639999,2114900,95.579191
2015-09-11,96.300003,96.779999,95.419998,96.720001,1472600,95.658314
2015-09-14,96.309998,96.769997,93.739998,94.160004,2396200,93.126418
2015-09-15,94.160004,95.330002,93.669998,94.279999,2385600,93.245096
2015-09-16,94.419998,95.360001,94.32,95.07,1827500,94.026425
2015-09-17,95.07,96.040001,94.110001,94.459999,2171400,93.42312
2015-09-18,93.110001,93.989998,92.730003,93.190002,2220800,92.167064
2015-09-21,93.550003,94.330002,93.019997,93.449997,1186600,92.424205
2015-09-22,92.230003,92.57,90.540001,91.620003,1904700,90.614298
2015-09-23,91.75,92.169998,89.800003,89.940002,1698800,88.952739
2015-09-24,89.050003,89.459999,87.190002,88.110001,3718200,87.142825
2015-09-25,88.660004,89.230003,87.629997,88.339996,1507100,87.370296
2015-09-28,87.5,87.830002,84.400002,84.510002,2321800,83.582343
2015-09-29,84.690002,86.32,84.5,85.949997,2483700,85.006532
2015-09-30,87.089996,88.220001,86.949997,87.690002,2928400,86.727437
2015-10-01,82.93,90.18,82.93,90.129997,3581500,89.140648
2015-10-02,89.050003,92.720001,88.349998,92.660004,2322000,91.642883
2015-10-05,93.440002,94.849998,93.199997,94.589996,1973100,93.55169
2015-10-06,94.610001,95.199997,93.25,93.400002,2351700,92.374758
2015-10-07,92.900002,94.339996,92.480003,94.309998,2207500,93.274765
2015-10-08,94.169998,95.989998,93.790001,95.769997,1293600,94.718738
2015-10-09,95.699997,96.459999,95.010002,95.970001,1695300,94.916547
2015-10-12,96.660004,97.709999,96.010002,97.339996,1818700,96.271504
2015-10-13,96.540001,98.050003,95.870003,97.18,2226700,96.113264
2015-10-14,96.849998,98.230003,96.760002,97.32,2241800,96.251727
2015-10-15,97.809998,99.379997,96.309998,99.260002,3253600,98.170434
2015-10-16,100.199997,103.260002,99.989998,100.739998,3795600,99.634184
2015-10-19,100.029999,101.279999,99.400002,101.18,1295800,100.069356
2015-10-20,101.169998,102.400002,100.75,101.379997,1435700,100.267158
2015-10-21,101.720001,101.849998,100.0,100.639999,1977600,99.535283
2015-10-22,101.599998,104.0,101.339996,103.620003,2496900,102.482575
2015-10-23,104.5,104.879997,103.730003,103.989998,1546600,102.848509
2015-10-26,104.099998,104.480003,103.419998,103.93,1279200,102.78917
2015-10-27,103.470001,104.190002,102.629997,102.93,1315200,101.800147
2015-10-28,103.470001,104.349998,102.709999,104.330002,1040500,103.184781
2015-10-29,104.400002,104.669998,103.580002,104.279999,1099800,103.135327
2015-10-30,104.580002,104.779999,103.68,104.260002,1519900,103.115549
2015-11-02,104.220001,104.690002,103.360001,104.0,1457200,102.858401
2015-11-03,104.050003,104.790001,103.660004,104.190002,1012600,103.046318
2015-11-04,104.650002,104.720001,103.790001,103.860001,730400,102.719939
2015-11-05,103.720001,104.010002,102.440002,103.209999,910000,102.077072
2015-11-06,102.489998,103.260002,101.830002,103.0,1012100,102.225947
2015-11-09,102.709999,102.769997,100.75,101.730003,893100,100.965495
2015-11-10,101.389999,101.849998,100.379997,101.120003,1316200,100.360079
2015-11-11,101.510002,101.970001,100.849998,101.610001,1010800,100.846394
2015-11-12,100.610001,101.120003,99.209999,99.209999,1903900,98.464429
2015-11-13,99.339996,101.480003,98.860001,100.830002,1938300,100.072257
2015-11-16,100.910004,102.120003,100.230003,101.949997,1766600,101.183835
2015-11-17,101.900002,103.059998,101.449997,101.709999,1381100,100.945641
2015-11-18,101.809998,104.519997,101.550003,104.230003,2128300,103.446707
2015-11-19,104.230003,104.57,102.879997,103.370003,1252200,102.59317
2015-11-20,103.5,105.080002,103.309998,104.620003,1761000,103.833776
2015-11-23,105.0,106.029999,104.290001,105.470001,1999700,104.677386
2015-11-24,104.529999,106.040001,104.529999,105.489998,1159600,104.697233
2015-11-25,105.910004,106.760002,105.379997,106.459999,1152300,105.659944
2015-11-27,106.279999,106.68,105.540001,106.209999,491600,105.411823
2015-11-30,106.360001,106.489998,105.120003,105.739998,1560400,104.945354
2015-12-01,106.389999,106.870003,105.82,106.760002,1008300,105.957693
2015-12-02,106.199997,106.739998,105.080002,105.339996,996000,104.548359
2015-12-03,105.400002,105.989998,103.919998,104.300003,1131600,103.516181
2015-12-04,104.510002,106.370003,104.370003,105.959999,1079800,105.163702
2015-12-07,105.269997,105.860001,104.279999,104.989998,1000700,104.20099
2015-12-08,103.919998,104.529999,102.660004,102.75,1568200,101.977826
2015-12-09,102.75,103.580002,100.589996,101.550003,2035900,100.786847
2015-12-10,101.330002,101.739998,100.510002,100.879997,1651600,100.121877
2015-12-11,100.879997,100.879997,98.410004,98.730003,1783100,97.98804
2015-12-14,98.559998,98.959999,96.879997,97.730003,2216300,96.995555
2015-12-15,98.720001,99.419998,98.470001,98.550003,1258100,97.809393
2015-12-16,99.18,100.330002,98.529999,100.220001,1585800,99.466841
2015-12-17,100.529999,100.660004,98.169998,98.239998,1583900,97.501717
2015-12-18,97.989998,98.199997,96.25,96.290001,1808000,95.566375
2015-12-21,96.919998,97.370003,96.489998,97.230003,1202200,96.499313
2015-12-22,97.900002,99.160004,97.559998,98.760002,887300,98.017814
2015-12-23,99.379997,100.519997,99.239998,100.239998,828000,99.486687
2015-12-24,99.940002,100.790001,99.940002,100.389999,371800,99.635561
2015-12-28,100.199997,100.330002,99.419998,99.900002,680700,99.149246
2015-12-29,100.82,100.940002,99.949997,100.580002,676300,99.824136
2015-12-30,100.330002,100.709999,99.709999,99.769997,730400,99.020218
2015-12-31,99.379997,100.0,98.790001,98.82,895400,98.07736
2016-01-04,97.269997,97.989998,96.059998,97.959999,1636400,97.223823
2016-01-05,98.629997,99.32,97.470001,98.309998,1401500,97.571191
2016-01-06,96.440002,97.199997,95.93,96.470001,1809300,95.745022
2016-01-07,95.07,97.139999,94.68,95.25,2597600,94.534189
2016-01-08,95.68,96.639999,94.169998,94.489998,1979300,93.779899
2016-01-11,94.839996,95.720001,93.730003,94.449997,2187200,93.740198
2016-01-12,95.330002,95.559998,93.790001,95.120003,1320700,94.405169
2016-01-13,95.980003,96.239998,93.010002,93.050003,2119900,92.350726
2016-01-14,93.290001,94.120003,91.599998,93.57,2300200,92.866814
2016-01-15,91.639999,92.349998,90.339996,91.900002,2052800,91.209366
2016-01-19,92.800003,93.25,89.900002,91.599998,3318000,90.911618
2016-01-20,90.449997,94.690002,90.019997,93.519997,4935200,92.817187
2016-01-21,93.0,94.669998,90.610001,91.919998,4310700,91.229213
2016-01-22,92.790001,94.809998,92.330002,93.160004,1860700,92.459899
2016-01-25,92.809998,93.32,90.93,91.110001,1623200,90.425302
2016-01-26,91.480003,93.290001,91.110001,92.580002,1236800,91.884256
2016-01-27,92.43,94.239998,91.900002,92.800003,1887400,92.102604
2016-01-28,93.290001,94.040001,91.980003,92.089996,2347300,91.397933
2016-01-29,92.720001,95.139999,92.279999,95.120003,2365400,94.405169
2016-02-01,93.709999,95.900002,93.25,95.589996,1748400,94.871631
2016-02-02,94.970001,94.970001,92.660004,93.040001,1636000,92.340799
2016-02-03,94.290001,95.150002,91.870003,95.110001,1831600,94.395242
2016-02-04,95.330002,96.32,94.599998,95.699997,1457500,94.980805
2016-02-05,95.309998,95.830002,92.709999,92.870003,1544400,92.172078
2016-02-08,92.209999,92.279999,88.860001,89.650002,1926800,88.976275
2016-02-09,88.620003,91.68,88.370003,90.989998,1567200,90.306201
2016-02-10,91.669998,93.209999,91.040001,91.339996,1240200,90.65357
2016-02-11,89.349998,90.730003,88.470001,89.269997,1796500,88.599126
2016-02-12,90.059998,92.139999,89.620003,91.779999,1438700,91.090265
2016-02-16,93.059998,93.769997,91.779999,93.620003,1198900,92.916442
2016-02-17,94.309998,95.449997,93.010002,95.0,1850200,94.650027
2016-02-18,95.199997,95.580002,94.139999,94.690002,1506400,94.341172
2016-02-19,94.660004,95.739998,93.68,95.629997,1592300,95.277704
2016-02-22,96.870003,98.0,95.860001,96.720001,1291100,96.363692
2016-02-23,96.540001,96.660004,94.699997,94.870003,1260300,94.520509
2016-02-24,93.610001,95.809998,92.949997,95.68,815200,95.327522
2016-02-25,96.110001,97.059998,94.559998,97.010002,1036800,96.652625
2016-02-26,97.730003,98.449997,97.360001,98.160004,1079000,97.79839
2016-02-29,97.970001,98.839996,96.489998,96.529999,1430900,96.17439
2016-03-01,97.550003,100.489998,96.919998,99.580002,1503400,99.213157
2016-03-02,99.220001,99.739998,98.43,99.330002,945100,98.964078
2016-03-03,98.959999,100.75,98.230003,100.300003,1921700,99.930505
2016-03-04,100.669998,102.93,100.32,102.489998,2072600,102.112432
2016-03-07,101.839996,103.449997,101.639999,103.370003,1649000,102.989195
2016-03-08,102.379997,102.650002,101.349998,101.510002,1280000,101.136047
2016-03-09,102.199997,102.709999,101.379997,102.279999,1147500,101.903207
2016-03-10,102.599998,104.220001,101.839996,102.910004,901500,102.530891
2016-03-11,104.150002,105.230003,103.779999,105.010002,1479600,104.623153
2016-03-14,104.339996,105.099998,104.0,104.739998,878700,104.354144
2016-03-15,103.949997,104.949997,103.620003,104.760002,819300,104.374074
2016-03-16,104.220001,106.669998,104.129997,106.610001,1122600,106.217257
2016-03-17,106.900002,109.709999,106.900002,109.400002,1789700,108.99698
2016-03-18,109.620003,110.580002,108.050003,108.900002,2628400,108.498822
2016-03-21,109.620003,110.529999,108.279999,108.889999,2170300,108.488857
2016-03-22,108.800003,110.199997,108.559998,109.839996,1663300,109.435354
2016-03-23,108.910004,109.68,108.129997,109.139999,1222300,108.737936
2016-03-24,108.199997,109.059998,107.379997,108.949997,1386000,108.548633
2016-03-28,109.389999,109.610001,108.739998,109.400002,1043300,108.99698
2016-03-29,108.800003,110.589996,108.610001,110.57,1026300,110.162668
2016-03-30,111.0,112.099998,110.730003,111.900002,1636800,111.48777
2016-03-31,111.900002,112.080002,111.129997,111.489998,1438900,111.079277
2016-04-01,110.440002,113.290001,110.220001,113.110001,1453000,112.693312
2016-04-04,113.150002,113.230003,111.629997,112.190002,1390500,111.776703
2016-04-05,111.489998,112.040001,110.910004,111.43,1319200,111.019501
2016-04-06,111.370003,112.199997,110.639999,112.080002,812100,111.667108
2016-04-07,111.349998,111.830002,110.080002,110.610001,921200,110.202522
2016-04-08,111.029999,112.139999,111.029999,111.830002,712000,111.418029
2016-04-11,112.07,112.839996,111.589996,111.68,887100,111.26858
2016-04-12,112.089996,113.169998,111.360001,112.940002,871300,112.52394
2016-04-13,113.419998,114.290001,112.739998,114.230003,1062900,113.809189
2016-04-14,113.739998,114.589996,113.739998,114.510002,1070100,114.088156
2016-04-15,114.690002,115.400002,114.389999,115.349998,1284900,114.925058
2016-04-18,115.0,115.93,114.639999,115.75,1543200,115.323586
2016-04-19,116.239998,116.800003,115.769997,116.550003,1466600,116.120642
2016-04-20,116.849998,117.0,115.550003,116.07,1593700,115.642407
2016-04-21,111.699997,113.0,110.099998,110.260002,3641300,109.853813
2016-04-22,111.349998,113.389999,110.779999,113.190002,2145500,112.773019
2016-04-25,113.0,113.300003,111.970001,112.599998,951000,112.185189
2016-04-26,113.370003,113.910004,113.010002,113.550003,1525900,113.131693
2016-04-27,113.889999,114.650002,112.589996,112.989998,1246900,112.573751
2016-04-28,111.889999,113.400002,111.529999,112.769997,1617400,112.35456
2016-04-29,112.400002,112.730003,109.75,110.389999,2308500,109.983331
2016-05-02,110.18,111.25,109.040001,111.239998,1390100,110.830198
2016-05-03,110.089996,110.220001,109.019997,109.5,1303300,109.09661
2016-05-04,108.510002,109.360001,108.0,108.589996,1062100,108.189959
2016-05-05,109.040001,109.529999,108.230003,108.580002,810200,108.180001
2016-05-06,107.699997,108.309998,107.18,108.309998,1166300,108.309998
2016-05-09,108.139999,108.230003,107.290001,107.440002,1037700,107.440002
2016-05-10,107.800003,108.830002,107.260002,108.730003,805700,108.730003
2016-05-11,108.739998,109.199997,107.379997,107.419998,1601300,107.419998
2016-05-12,108.230003,108.550003,106.360001,107.489998,1123300,107.489998
2016-05-13,107.57,108.07,106.470001,106.699997,1534800,106.699997
2016-05-16,107.190002,108.639999,107.089996,108.160004,1483800,108.160004
2016-05-17,107.82,108.269997,106.690002,107.010002,1225000,107.010002
2016-05-18,106.93,107.790001,106.07,106.389999,1755100,106.389999
2016-05-19,106.0,106.650002,104.959999,105.639999,978300,105.639999
2016-05-20,106.379997,107.029999,105.93,106.209999,869400,106.209999
2016-05-23,106.190002,106.830002,105.800003,106.43,1485400,106.43
2016-05-24,106.57,108.150002,106.459999,107.760002,1084700,107.760002
2016-05-25,108.260002,108.730003,107.699997,108.32,800600,108.32
2016-05-26,108.349998,109.0,107.589996,107.699997,561900,107.699997
2016-05-27,107.959999,108.709999,107.300003,108.599998,732400,108.599998
2016-05-31,108.650002,108.870003,107.199997,107.68,1657700,107.68
2016-06-01,107.68,108.209999,106.489998,107.980003,998400,107.980003
2016-06-02,107.360001,108.199997,106.889999,108.199997,759900,108.199997
2016-06-03,108.07,108.169998,106.860001,107.669998,1326200,107.669998
