Date,Open_VIAB,High_VIAB,Low_VIAB,Close_VIAB,Volume_VIAB,AdjClose_VIAB
2015-06-05,68.18,68.629997,67.660004,68.059998,2706000,65.758632
2015-06-08,67.690002,67.870003,66.900002,67.120003,2829300,64.850422
2015-06-09,67.050003,67.57,66.199997,66.739998,2988800,64.483267
2015-06-10,67.029999,67.830002,66.860001,67.150002,2597200,64.879407
2015-06-11,67.120003,67.519997,66.809998,67.43,2905700,65.540349
2015-06-12,67.07,67.169998,66.18,66.400002,3446500,64.539215
2015-06-15,65.93,66.160004,65.300003,66.050003,2956700,64.199024
2015-06-16,65.470001,67.010002,65.470001,66.82,2797300,64.947443
2015-06-17,66.93,67.129997,66.260002,66.879997,2995500,65.005759
2015-06-18,67.139999,68.0,66.879997,67.440002,3318800,65.550071
2015-06-19,67.480003,67.910004,66.910004,67.610001,4598700,65.715305
2015-06-22,67.690002,68.470001,67.529999,68.239998,2174500,66.327647
2015-06-23,68.199997,68.379997,67.230003,67.519997,1868500,65.627823
2015-06-24,67.32,67.540001,66.519997,66.739998,1690600,64.869683
2015-06-25,66.910004,66.910004,66.360001,66.459999,1742700,64.597531
2015-06-26,66.730003,67.389999,66.339996,66.43,5858900,64.568373
2015-06-29,66.050003,66.330002,64.260002,64.389999,2099100,62.585541
2015-06-30,64.919998,64.980003,64.129997,64.639999,2353900,62.828535
2015-07-01,64.919998,65.470001,64.309998,64.610001,1828300,62.799377
2015-07-02,64.650002,64.889999,64.0,64.199997,1505400,62.400863
2015-07-06,63.549999,64.400002,62.759998,63.240002,2371100,61.46777
2015-07-07,63.459999,63.599998,61.48,63.049999,3643300,61.283092
2015-07-08,62.459999,62.740002,61.07,61.169998,2795800,59.455776
2015-07-09,62.27,62.560001,61.060001,61.360001,3264400,59.640454
2015-07-10,62.07,62.23,61.34,61.799999,2443700,60.068122
2015-07-13,62.240002,62.630001,62.02,62.5,2195000,60.748506
2015-07-14,62.27,62.32,61.299999,61.709999,2649700,59.980644
2015-07-15,61.669998,61.799999,60.970001,61.25,1782700,59.533536
2015-07-16,61.82,62.23,61.369999,61.790001,2031700,60.058404
2015-07-17,61.57,61.619999,60.400002,60.779999,2352000,59.076706
2015-07-20,61.009998,61.009998,59.490002,60.049999,2131500,58.367164
2015-07-21,60.189999,60.279999,59.400002,59.73,1981100,58.056132
2015-07-22,59.669998,59.889999,57.470001,58.41,5809600,56.773124
2015-07-23,58.619999,58.720001,57.939999,58.23,3389600,56.598168
2015-07-24,58.130001,58.209999,56.029999,56.41,4163000,54.829172
2015-07-27,56.18,56.610001,55.549999,56.389999,5664600,54.809732
2015-07-28,56.540001,56.919998,55.810001,56.689999,2362100,55.101324
2015-07-29,56.290001,57.25,56.290001,56.599998,2109300,55.013846
2015-07-30,56.25,56.91,56.099998,56.360001,2735400,54.780574
2015-07-31,56.799999,57.189999,56.34,57.0,3141300,55.402638
2015-08-03,57.139999,57.150002,55.84,56.139999,2453700,54.566738
