Date,Open_NI,High_NI,Low_NI,Close_NI,Volume_NI,AdjClose_NI
2015-06-05,45.189998,45.42,44.770003,45.290005,3693000,17.246823
2015-06-08,45.319999,45.540001,44.980001,45.01,4399000,17.140195
2015-06-09,45.029999,45.330003,44.960001,45.060003,2690300,17.159236
2015-06-10,45.370002,45.810001,45.210003,45.640002,3629700,17.380105
2015-06-11,45.890003,46.370002,45.71,46.350002,5998600,17.650479
2015-06-12,46.070002,46.330003,45.830001,45.960001,4679000,17.501963
2015-06-15,46.0,46.490002,45.7,46.350002,6674000,17.650479
2015-06-16,46.180003,46.680001,45.99,46.670001,5796700,17.772338
2015-06-17,46.69,49.160003,46.69,48.4,16656800,18.431136
2015-06-18,48.41,48.96,48.25,48.720003,8946700,18.552996
2015-06-19,48.450003,48.720003,48.020003,48.050002,6882700,18.297854
2015-06-22,48.27,48.910002,48.060002,48.310003,6191000,18.396864
2015-06-23,46.83,48.090001,46.83,47.360002,5500800,18.035096
2015-06-24,47.230001,47.340002,46.820001,46.999999,4831700,17.898004
2015-06-25,47.100001,47.220002,46.43,46.540001,5423400,17.722832
2015-06-26,46.530001,46.530001,46.110001,46.250001,7501100,17.612398
2015-06-29,46.299999,46.810001,45.920002,45.950001,5545600,17.498155
2015-06-30,45.610003,46.019999,45.44,45.589999,7406200,17.361064
2015-07-01,45.610003,45.71,45.01,45.449999,9519800,17.30775
2015-07-02,17.610001,17.940001,16.91,16.99,16010300,16.465992
2015-07-06,16.950001,17.09,16.65,16.84,11163000,16.320619
2015-07-07,16.959999,17.139999,16.700001,17.120001,10865400,16.591984
2015-07-08,17.09,17.32,16.950001,17.139999,7037800,16.611365
2015-07-09,17.469999,17.469999,16.75,16.75,6645500,16.233394
2015-07-10,16.76,16.959999,16.690001,16.91,4268700,16.38846
2015-07-13,17.0,17.120001,16.690001,16.91,4825600,16.38846
2015-07-14,16.9,16.93,16.700001,16.780001,3821500,16.26247
2015-07-15,16.83,16.98,16.610001,16.98,4408600,16.4563
2015-07-16,17.0,17.34,16.85,17.32,5929600,16.785814
2015-07-17,17.23,17.27,16.889999,16.9,6035200,16.378768
2015-07-20,16.9,16.940001,16.77,16.91,4777300,16.38846
2015-07-21,16.91,16.99,16.780001,16.84,3341500,16.320619
2015-07-22,16.82,17.040001,16.82,16.959999,3500400,16.436917
2015-07-23,16.92,17.0,16.49,16.540001,3763000,16.029872
2015-07-24,16.549999,17.08,16.530001,17.030001,4693700,16.504759
