Date,Open_AVB,High_AVB,Low_AVB,Close_AVB,Volume_AVB,AdjClose_AVB
2015-06-05,159.679993,162.470001,158.720001,161.050003,864000,156.41683
2015-06-08,161.199997,161.990005,160.070007,160.949997,989500,156.319701
2015-06-09,160.779999,161.880005,159.820007,160.649994,677300,156.028328
2015-06-10,160.389999,162.729996,159.389999,161.339996,503600,156.69848
2015-06-11,162.289993,163.479996,162.259995,162.960007,729600,158.271885
2015-06-12,162.929993,163.460007,162.070007,162.539993,413000,157.863955
2015-06-15,162.350006,162.869995,161.199997,162.759995,1099200,158.077627
2015-06-16,163.139999,165.339996,161.369995,164.509995,605800,159.777282
2015-06-17,164.559998,166.880005,163.300003,166.619995,700400,161.826581
2015-06-18,167.100006,169.809998,166.949997,168.289993,748800,163.448536
2015-06-19,167.740005,168.020004,165.860001,165.860001,881900,161.088451
2015-06-22,166.410004,166.830002,164.869995,164.910004,1048600,160.165784
2015-06-23,164.550003,164.789993,162.699997,162.699997,691300,158.019356
2015-06-24,162.979996,164.0,162.139999,162.320007,467700,157.650298
2015-06-25,162.600006,163.830002,161.309998,161.5,535300,156.853881
2015-06-26,160.889999,162.130005,159.770004,161.919998,738400,158.488481
2015-06-29,169.119995,169.119995,159.080002,159.080002,721100,155.708672
2015-06-30,160.580002,161.059998,159.0,159.869995,628900,156.481923
2015-07-01,160.610001,162.949997,158.970001,162.949997,775400,159.496651
2015-07-02,164.350006,165.919998,162.960007,163.979996,561400,160.504822
2015-07-06,163.229996,165.210007,163.139999,164.949997,526900,161.454266
2015-07-07,165.690002,168.369995,164.75,167.429993,640300,163.881704
2015-07-08,166.679993,167.779999,165.679993,166.649994,566900,163.118236
2015-07-09,167.75,170.710007,166.0,166.679993,532000,163.147599
2015-07-10,167.009995,168.660004,166.259995,167.300003,635400,163.754469
2015-07-13,168.789993,169.550003,166.320007,167.360001,708600,163.813195
2015-07-14,167.779999,168.770004,165.479996,168.190002,667800,164.625607
2015-07-15,168.190002,169.330002,167.199997,168.619995,421800,165.046487
2015-07-16,169.009995,170.350006,168.720001,169.839996,401500,166.240633
2015-07-17,169.350006,170.0,168.529999,169.210007,455600,165.623995
2015-07-20,168.410004,169.940002,168.070007,169.399994,535900,165.809956
2015-07-21,170.020004,171.5,168.350006,168.610001,587200,165.036705
2015-07-22,168.839996,170.839996,168.679993,170.029999,459900,166.426609
2015-07-23,169.649994,170.039993,167.300003,168.570007,455700,164.997559
