Date,Open_QRVO,High_QRVO,Low_QRVO,Close_QRVO,Volume_QRVO,AdjClose_QRVO
2015-06-05,81.059998,83.849998,80.120003,83.699997,1801100,83.699997
2015-06-08,83.419998,83.768997,79.75,80.239998,2180100,80.239998
2015-06-09,80.510002,81.0,77.599998,80.050003,2807700,80.050003
2015-06-10,81.375,82.739998,80.290001,82.5,6108700,82.5
2015-06-11,82.489998,83.0,81.651001,82.0,28866300,82.0
2015-06-12,81.989998,83.699997,81.75,83.510002,2641000,83.510002
2015-06-15,82.510002,82.989998,82.050003,82.18,2640800,82.18
2015-06-16,82.220001,84.989998,82.110001,84.75,2476500,84.75
2015-06-17,84.809998,85.07,83.089996,84.559998,1893600,84.559998
2015-06-18,84.629997,85.459999,83.623001,84.650002,2013000,84.650002
2015-06-19,84.889999,86.279999,84.330002,85.25,2833100,85.25
2015-06-22,86.269997,88.349998,85.860001,87.809998,2663900,87.809998
2015-06-23,87.900002,87.959999,84.849998,85.309998,2469400,85.309998
2015-06-24,85.129997,85.879997,84.559998,84.589996,1488600,84.589996
2015-06-25,84.75,85.860001,84.75,84.980003,1391300,84.980003
2015-06-26,84.849998,85.0,79.660004,80.410004,20596300,80.410004
2015-06-29,78.75,81.690002,77.830002,79.059998,2892500,79.059998
2015-06-30,80.0,81.0,78.577003,80.269997,1957800,80.269997
2015-07-01,81.25,82.25,80.010002,80.360001,1639100,80.360001
2015-07-02,80.720001,81.550003,80.199997,81.360001,1151400,81.360001
2015-07-06,80.330002,81.934998,78.589996,79.989998,2121600,79.989998
2015-07-07,80.290001,80.43,74.360001,79.949997,3085800,79.949997
2015-07-08,77.43,77.449997,74.481003,74.68,3271800,74.68
2015-07-09,76.300003,77.269997,74.330002,74.629997,2010600,74.629997
2015-07-10,75.220001,76.5,73.709999,76.160004,2365800,76.160004
2015-07-13,77.169998,78.209999,75.239998,76.610001,1397400,76.610001
2015-07-14,77.139999,78.519997,76.93,77.959999,1047500,77.959999
2015-07-15,78.599998,79.099998,77.427002,77.879997,1050700,77.879997
2015-07-16,78.07,80.519997,77.699997,80.239998,1501000,80.239998
2015-07-17,80.139999,80.790001,78.099998,78.860001,1327600,78.860001
2015-07-20,78.5,79.580002,76.5,76.699997,2117600,76.699997
2015-07-21,76.220001,77.949997,75.410004,77.449997,1692300,77.449997
2015-07-22,72.550003,74.879997,71.010002,74.169998,3345600,74.169998
2015-07-23,74.709999,77.220001,74.440002,75.239998,1777400,75.239998
2015-07-24,76.510002,77.169998,72.199997,72.279999,1951500,72.279999
2015-07-27,71.449997,71.449997,69.010002,69.940002,1926400,69.940002
2015-07-28,70.5,71.084,68.5,70.75,1371700,70.75
2015-07-29,70.330002,70.849998,68.940002,70.470001,2562700,70.470001
2015-07-30,60.650002,62.348,57.099998,60.485001,10331400,60.485001
