Date,Open_EOG,High_EOG,Low_EOG,Close_EOG,Volume_EOG,AdjClose_EOG
2015-06-05,87.0,90.639999,86.82,89.68,4429900,88.895304
2015-06-08,89.370003,89.959999,88.629997,89.110001,2755700,88.330292
2015-06-09,90.019997,91.480003,89.089996,89.089996,2661000,88.310462
2015-06-10,90.389999,90.709999,89.660004,90.410004,2914800,89.61892
2015-06-11,91.0,91.050003,90.230003,90.650002,2300900,89.856817
2015-06-12,90.160004,90.43,89.120003,89.529999,2464100,88.746615
2015-06-15,88.510002,89.860001,88.5,89.220001,2795300,88.43933
2015-06-16,89.07,90.360001,89.029999,90.080002,2286400,89.291805
2015-06-17,90.68,91.150002,88.419998,89.019997,4998100,88.241075
2015-06-18,89.760002,90.129997,88.540001,88.809998,3602500,88.032913
2015-06-19,88.290001,89.120003,88.239998,88.269997,4298600,87.497638
2015-06-22,88.599998,88.669998,87.449997,88.080002,2845600,87.309305
2015-06-23,88.279999,88.82,87.660004,88.790001,3613300,88.013092
2015-06-24,88.540001,89.07,88.099998,88.339996,3785900,87.567025
2015-06-25,88.169998,88.269997,87.300003,87.650002,3797800,86.883067
2015-06-26,87.599998,88.699997,87.080002,88.059998,11406600,87.289476
2015-06-29,86.989998,87.940002,86.150002,86.25,4022300,85.495316
2015-06-30,86.989998,87.900002,86.339996,87.550003,3941400,86.783944
2015-07-01,87.849998,87.849998,84.839996,85.769997,4644500,85.019512
2015-07-02,85.949997,86.699997,85.589996,85.669998,2699900,84.920389
2015-07-06,84.489998,86.18,84.050003,85.089996,3513300,84.345462
2015-07-07,85.779999,87.099998,83.830002,86.720001,5118300,85.961205
2015-07-08,86.099998,86.919998,84.0,84.489998,4681200,83.750714
2015-07-09,85.989998,87.349998,85.18,85.300003,3784000,84.553631
2015-07-10,85.980003,86.760002,84.449997,84.540001,2903800,83.800279
2015-07-13,84.529999,84.790001,83.470001,84.209999,3830200,83.473165
2015-07-14,84.199997,85.639999,84.099998,85.230003,3276100,84.484244
2015-07-15,84.620003,85.230003,83.050003,83.25,3917300,82.68455
2015-07-16,83.739998,83.800003,82.339996,82.400002,4019300,81.840325
2015-07-17,81.970001,82.150002,80.260002,80.5,6069300,79.953229
2015-07-20,80.239998,80.25,77.919998,77.93,7054000,77.400685
2015-07-21,78.089996,78.379997,76.940002,77.330002,6823700,76.804762
2015-07-22,77.18,77.489998,75.760002,76.089996,7205200,75.573179
2015-07-23,76.199997,76.82,75.470001,76.32,6335400,75.80162
2015-07-24,76.099998,76.580002,74.620003,75.160004,5850200,74.649503
2015-07-27,74.099998,74.730003,72.860001,73.190002,5621300,72.692882
2015-07-28,73.400002,77.559998,73.400002,76.849998,7887200,76.328019
2015-07-29,76.5,79.010002,76.5,77.739998,6360600,77.211973
2015-07-30,77.650002,78.720001,76.800003,78.540001,4539800,78.006542
2015-07-31,78.0,78.309998,77.0,77.190002,4190200,76.665713
2015-08-03,76.199997,77.629997,75.449997,76.440002,5136500,75.920808
2015-08-04,77.080002,77.769997,76.349998,76.739998,3981900,76.218765
2015-08-05,78.059998,78.949997,75.959999,76.089996,4896800,75.573179
2015-08-06,75.650002,78.339996,75.300003,77.68,6709500,77.152383
2015-08-07,75.25,78.699997,73.029999,73.760002,8476100,73.25901
2015-08-10,73.669998,76.480003,73.620003,76.269997,6935200,75.751957
2015-08-11,75.129997,77.43,74.18,77.300003,5976000,76.774967
2015-08-12,77.32,80.260002,76.5,79.93,8234000,79.387101
2015-08-13,79.300003,80.5,78.339996,79.68,5889700,79.138799
2015-08-14,79.5,80.879997,78.800003,79.93,3908100,79.387101
2015-08-17,79.5,80.160004,78.889999,80.010002,3747200,79.466559
2015-08-18,79.709999,80.540001,79.279999,80.410004,3536700,79.863844
2015-08-19,79.870003,79.879997,76.07,77.07,6122900,76.546526
2015-08-20,77.019997,78.440002,76.610001,76.730003,6793500,76.208839
2015-08-21,76.389999,77.43,74.120003,74.860001,7769100,74.351537
2015-08-24,70.0,73.279999,68.150002,69.260002,9518800,68.789575
2015-08-25,72.099998,72.110001,68.290001,68.360001,6720600,67.895687
2015-08-26,70.209999,71.040001,68.400002,70.989998,6763700,70.50782
2015-08-27,72.989998,76.099998,72.860001,75.790001,7160700,75.275221
2015-08-28,75.5,79.339996,75.410004,77.309998,6962200,76.784894
2015-08-31,76.199997,79.160004,74.57,78.309998,6864000,77.778101
2015-09-01,76.019997,77.32,75.18,76.019997,6376900,75.503655
2015-09-02,77.059998,77.709999,74.870003,77.709999,5356500,77.182178
2015-09-03,78.25,80.160004,76.790001,77.449997,6228100,76.923942
2015-09-04,76.220001,77.440002,75.949997,76.889999,4700700,76.367748
2015-09-08,77.580002,78.18,75.449997,77.660004,5137600,77.132522
2015-09-09,78.739998,79.349998,76.669998,76.93,6445400,76.407477
2015-09-10,77.57,78.239998,76.129997,78.059998,4814700,77.529799
2015-09-11,76.75,77.410004,75.839996,77.150002,4571800,76.625984
2015-09-14,77.150002,77.150002,76.040001,76.43,3705000,75.910873
2015-09-15,77.040001,77.800003,76.559998,77.25,3650500,76.725304
2015-09-16,77.68,80.169998,77.459999,79.940002,3996000,79.397035
2015-09-17,80.019997,81.18,79.120003,79.660004,5499100,79.118938
2015-09-18,78.860001,79.190002,75.93,76.260002,6047600,75.74203
2015-09-21,77.050003,77.330002,75.870003,76.519997,3258700,76.000258
2015-09-22,75.43,76.660004,74.690002,75.220001,3433900,74.709093
2015-09-23,75.239998,75.93,72.870003,73.040001,3891400,72.5439
2015-09-24,72.290001,73.720001,71.480003,73.260002,4443600,72.762406
2015-09-25,74.059998,74.209999,72.190002,72.790001,3894300,72.295598
2015-09-28,71.739998,72.190002,69.099998,69.43,4581900,68.958419
2015-09-29,69.860001,70.669998,69.139999,70.129997,3773600,69.653661
2015-09-30,70.849998,72.940002,70.669998,72.800003,4809200,72.305532
2015-10-01,73.800003,75.68,73.0,73.589996,5683400,73.090159
2015-10-02,72.669998,77.449997,71.589996,77.059998,6032600,76.536592
2015-10-05,78.160004,81.699997,78.0,80.650002,7429300,80.102212
2015-10-06,80.720001,83.730003,80.550003,82.839996,6777000,82.277332
2015-10-07,84.370003,85.400002,82.18,83.769997,6893100,83.201015
2015-10-08,83.309998,87.269997,83.07,87.040001,6795000,86.448809
2015-10-09,87.349998,88.300003,86.099998,87.300003,5802200,86.707045
2015-10-12,87.120003,88.0,84.93,86.029999,4804200,85.445667
2015-10-13,85.129997,86.290001,84.75,85.279999,5605900,84.700761
2015-10-14,84.989998,86.139999,84.760002,85.779999,3325400,85.365533
2015-10-15,85.300003,87.160004,84.93,87.139999,3609900,86.718962
2015-10-16,87.75,88.0,86.559998,87.5,4104500,87.077224
2015-10-19,86.269997,86.470001,84.110001,84.809998,4256500,84.400218
2015-10-20,84.57,85.650002,83.949997,84.870003,3553400,84.459934
2015-10-21,84.440002,84.699997,83.410004,83.779999,3005600,83.375196
2015-10-22,84.629997,86.169998,84.370003,85.800003,2901100,85.38544
2015-10-23,85.089996,86.089996,84.32,85.43,2674900,85.017225
2015-10-26,85.099998,85.290001,83.25,83.389999,3496500,82.987081
2015-10-27,81.839996,82.949997,80.050003,82.699997,5147700,82.300413
2015-10-28,82.980003,86.169998,82.349998,84.790001,3830000,84.380318
2015-10-29,84.32,85.900002,84.129997,85.519997,2984100,85.106787
2015-10-30,85.779999,86.68,84.370003,85.849998,3161600,85.435194
2015-11-02,85.139999,86.5,84.709999,86.07,3597500,85.654133
2015-11-03,86.900002,89.519997,86.279999,88.449997,5513900,88.02263
2015-11-04,88.480003,88.959999,85.75,86.470001,3908700,86.052201
2015-11-05,86.279999,88.220001,85.449997,86.470001,4033800,86.052201
2015-11-06,85.410004,88.489998,84.230003,85.269997,5272300,84.857995
2015-11-09,85.940002,87.18,84.489998,85.370003,3849900,84.957518
2015-11-10,85.220001,86.879997,84.720001,86.580002,3909700,86.161671
2015-11-11,86.349998,87.900002,83.190002,83.32,3545500,82.91742
2015-11-12,82.339996,82.75,80.93,81.690002,3436700,81.295298
2015-11-13,81.650002,82.949997,80.5,82.25,3111800,81.85259
2015-11-16,82.440002,84.860001,82.0,84.790001,3052700,84.380318
2015-11-17,84.290001,84.309998,81.93,82.980003,3290100,82.579066
2015-11-18,83.839996,85.260002,82.949997,85.150002,3200900,84.73858
2015-11-19,84.260002,84.639999,81.739998,82.650002,2797900,82.250659
2015-11-20,83.0,83.269997,81.980003,82.629997,2980700,82.230751
2015-11-23,82.360001,83.379997,82.059998,82.57,2718700,82.171044
2015-11-24,83.300003,85.650002,83.160004,85.139999,4420900,84.728626
2015-11-25,84.239998,84.629997,83.199997,83.529999,3037000,83.126404
2015-11-27,82.879997,83.269997,81.900002,82.019997,1446600,81.623698
2015-11-30,82.410004,84.639999,82.199997,83.43,3833500,83.026889
2015-12-01,83.449997,84.129997,83.019997,84.050003,2584200,83.643896
2015-12-02,83.330002,84.059998,80.410004,80.860001,4543300,80.469307
2015-12-03,81.639999,82.480003,80.25,80.989998,4675000,80.598676
