Date,Open_DGX,High_DGX,Low_DGX,Close_DGX,Volume_DGX,AdjClose_DGX
2015-06-05,74.68,74.839996,73.870003,73.959999,1097500,72.306313
2015-06-08,74.059998,74.5,73.779999,73.839996,941500,72.188994
2015-06-09,73.75,74.010002,73.559998,73.709999,1507900,72.061903
2015-06-10,73.779999,74.370003,73.57,73.690002,1504000,72.042354
2015-06-11,74.080002,74.290001,73.709999,74.160004,863800,72.501846
2015-06-12,73.629997,74.150002,72.959999,73.040001,988000,71.406885
2015-06-15,72.650002,73.059998,72.300003,72.669998,932200,71.045156
2015-06-16,72.449997,72.779999,72.269997,72.57,1220500,70.947393
2015-06-17,72.949997,73.279999,72.120003,72.830002,771300,71.201582
2015-06-18,72.980003,73.129997,72.709999,72.860001,1120300,71.23091
2015-06-19,72.769997,73.620003,72.610001,73.339996,1345000,71.700173
2015-06-22,73.760002,73.760002,72.190002,72.269997,1111100,70.654098
2015-06-23,71.660004,72.480003,71.410004,72.099998,1504500,70.487901
2015-06-24,72.110001,72.349998,71.629997,71.699997,1272900,70.096843
2015-06-25,71.970001,73.82,71.400002,72.830002,1317700,71.201582
2015-06-26,72.919998,73.690002,72.709999,72.75,1400500,71.123369
2015-06-29,72.190002,72.849998,71.129997,71.190002,1067000,69.598251
2015-06-30,71.889999,72.660004,71.639999,72.519997,1105500,70.898508
2015-07-01,73.0,73.360001,72.480003,72.900002,1103700,71.270016
2015-07-02,72.910004,72.910004,71.699997,71.830002,939500,70.223941
2015-07-06,70.82,71.260002,70.419998,71.07,1514600,69.85046
2015-07-07,71.32,71.559998,70.360001,71.379997,660200,70.155138
2015-07-08,71.0,71.32,69.599998,69.690002,831500,68.494143
2015-07-09,70.510002,71.029999,70.309998,70.839996,1342700,69.624403
2015-07-10,71.760002,71.989998,71.150002,71.580002,745000,70.35171
2015-07-13,72.419998,73.220001,72.419998,73.18,1493500,71.924253
2015-07-14,73.400002,74.150002,73.0,74.080002,1400400,72.808811
2015-07-15,74.099998,74.220001,72.849998,73.239998,927700,71.983221
2015-07-16,73.849998,73.919998,72.900002,73.870003,737200,72.602416
2015-07-17,73.720001,73.860001,72.93,73.260002,663100,72.002882
2015-07-20,73.389999,73.389999,72.559998,73.089996,776100,71.835794
2015-07-21,73.360001,73.43,72.059998,72.089996,939700,70.852954
2015-07-22,71.809998,72.540001,71.559998,72.470001,915700,71.226438
2015-07-23,71.949997,75.25,71.239998,74.400002,1900100,73.12332
2015-07-24,74.169998,74.839996,73.260002,73.370003,1057000,72.110995
2015-07-27,73.129997,73.330002,71.959999,71.989998,1622800,70.754671
2015-07-28,72.260002,72.389999,70.419998,72.120003,1416700,70.882445
2015-07-29,72.370003,73.849998,71.839996,73.660004,971000,72.39602
2015-07-30,73.480003,73.650002,72.959999,73.489998,427100,72.228932
2015-07-31,73.739998,74.489998,73.650002,73.809998,1099100,72.54344
2015-08-03,74.040001,74.480003,73.720001,74.199997,643300,72.926747
2015-08-04,74.400002,75.080002,74.029999,74.580002,591000,73.300231
2015-08-05,74.879997,75.239998,73.980003,74.480003,949300,73.201949
2015-08-06,74.349998,74.519997,73.459999,73.889999,700300,72.622069
2015-08-07,73.699997,73.800003,71.260002,72.43,1144000,71.187123
2015-08-10,72.900002,73.910004,72.870003,73.639999,721900,72.376359
2015-08-11,73.010002,73.43,71.809998,72.550003,947000,71.305067
2015-08-12,72.059998,72.459999,71.360001,72.389999,637500,71.147809
2015-08-13,72.25,72.690002,71.910004,72.199997,541400,70.961067
2015-08-14,72.089996,72.849998,71.730003,72.720001,707700,71.472148
2015-08-17,72.379997,73.629997,71.849998,73.57,614500,72.307561
2015-08-18,73.489998,73.989998,73.18,73.5,699600,72.238762
2015-08-19,73.139999,73.989998,72.57,73.440002,699200,72.179794
2015-08-20,72.660004,72.870003,70.879997,70.980003,956800,69.762008
2015-08-21,70.510002,71.309998,70.150002,70.18,1595300,68.975733
2015-08-24,67.290001,70.029999,66.339996,67.309998,1845200,66.154978
2015-08-25,68.470001,68.489998,65.050003,65.309998,3299900,64.189298
2015-08-26,66.400002,67.870003,65.730003,67.709999,1165700,66.548116
2015-08-27,68.169998,69.599998,67.839996,69.080002,1038400,67.89461
2015-08-28,68.620003,69.32,68.300003,68.889999,739400,67.707868
2015-08-31,68.879997,69.370003,67.669998,67.800003,750300,66.636575
2015-09-01,66.220001,66.989998,65.360001,65.699997,848500,64.572605
2015-09-02,66.480003,66.940002,65.629997,66.559998,826800,65.417848
2015-09-03,67.110001,68.349998,66.769997,66.93,1021600,65.781502
2015-09-04,65.940002,66.199997,64.510002,65.169998,1144100,64.051701
2015-09-08,66.190002,66.709999,65.639999,66.300003,1315400,65.162315
2015-09-09,66.919998,67.0,65.480003,65.599998,1099500,64.474322
2015-09-10,65.440002,66.010002,65.260002,65.459999,829200,64.336725
2015-09-11,65.160004,65.639999,64.709999,65.620003,1334100,64.493983
2015-09-14,65.800003,66.190002,65.540001,66.080002,810900,64.946089
2015-09-15,66.300003,67.010002,65.849998,66.699997,917600,65.555445
2015-09-16,67.0,68.059998,66.75,67.919998,1113400,66.754511
2015-09-17,67.989998,68.980003,67.849998,68.160004,578800,66.990398
2015-09-18,67.440002,67.830002,66.730003,66.900002,912800,65.752018
2015-09-21,67.550003,67.970001,66.849998,67.300003,614900,66.145155
2015-09-22,66.519997,66.620003,65.68,66.110001,727500,64.975573
2015-09-23,66.290001,66.660004,65.830002,66.059998,493600,64.926428
2015-09-24,65.43,65.790001,64.620003,65.519997,778300,64.395693
2015-09-25,65.889999,66.080002,63.98,64.410004,1054000,63.304747
2015-09-28,63.779999,64.150002,60.07,60.509998,1601900,59.471665
2015-09-29,60.490002,62.040001,60.23,60.700001,1231800,59.658407
2015-09-30,61.27,61.73,60.700001,61.470001,1285800,60.415194
2015-10-01,61.5,62.049999,60.689999,61.580002,1446800,60.523307
2015-10-02,60.48,62.84,60.150002,62.810001,1223300,62.115502
2015-10-05,63.290001,63.91,62.869999,63.66,1637300,62.956102
2015-10-06,63.459999,63.529999,61.41,61.580002,1191100,60.899103
2015-10-07,61.799999,62.740002,61.560001,62.68,1528600,61.986939
2015-10-08,62.619999,63.16,62.080002,63.0,1405900,62.3034
2015-10-09,63.080002,63.830002,62.869999,63.259998,1091000,62.560524
2015-10-12,63.259998,63.5,62.700001,63.360001,700300,62.65942
2015-10-13,63.220001,63.599998,62.709999,63.0,985400,62.3034
2015-10-14,62.990002,63.209999,61.810001,61.900002,1107400,61.215565
2015-10-15,62.040001,64.169998,62.040001,64.07,1488500,63.361569
2015-10-16,64.610001,65.790001,64.349998,65.360001,1470500,64.637306
2015-10-19,65.209999,66.209999,65.010002,65.660004,1042000,64.933992
2015-10-20,65.760002,66.470001,65.199997,65.32,808400,64.597747
2015-10-21,65.669998,65.980003,64.290001,65.040001,1275600,64.320845
2015-10-22,65.0,66.650002,61.0,62.290001,2987100,61.601252
2015-10-23,62.57,65.440002,62.34,64.839996,3066600,64.123052
2015-10-26,64.559998,65.18,64.209999,64.449997,1848800,63.737364
2015-10-27,64.269997,65.080002,64.269997,64.889999,1505400,64.172502
2015-10-28,65.169998,66.389999,64.230003,66.290001,1270800,65.557023
2015-10-29,66.279999,67.230003,66.010002,66.82,1285200,66.081162
2015-10-30,67.059998,68.199997,66.849998,67.949997,1873900,67.198664
2015-11-02,68.150002,69.589996,67.949997,69.260002,1296100,68.494185
2015-11-03,68.910004,69.410004,68.459999,69.010002,889300,68.246949
2015-11-04,69.120003,69.489998,68.559998,69.120003,976700,68.355733
2015-11-05,69.110001,69.25,68.459999,68.650002,1188800,67.890929
2015-11-06,68.32,68.699997,68.010002,68.199997,1093600,67.4459
2015-11-09,67.970001,68.07,67.169998,67.739998,1133300,66.990987
2015-11-10,67.739998,68.480003,67.370003,68.43,1009100,67.67336
2015-11-11,68.639999,68.849998,67.129997,67.199997,611600,66.456957
2015-11-12,66.629997,66.879997,66.029999,66.370003,844000,65.63614
2015-11-13,66.389999,67.669998,65.949997,67.199997,1233600,66.456957
2015-11-16,67.059998,67.919998,66.980003,67.510002,943400,66.763535
2015-11-17,67.32,68.510002,66.980003,68.040001,643800,67.287673
2015-11-18,68.510002,69.360001,68.290001,69.089996,852800,68.326059
2015-11-19,68.940002,69.059998,67.610001,67.849998,1126400,67.099772
2015-11-20,67.949997,68.489998,67.709999,67.949997,994400,67.198664
2015-11-23,67.900002,68.910004,67.730003,68.580002,710300,67.821703
2015-11-24,68.019997,68.449997,67.769997,68.25,707500,67.49535
2015-11-25,68.440002,68.959999,68.080002,68.529999,652600,67.772253
2015-11-27,68.68,69.239998,68.400002,68.760002,622400,67.999713
2015-11-30,68.809998,69.059998,68.040001,68.32,1760500,67.564576
2015-12-01,68.779999,69.239998,68.209999,69.110001,614600,68.345842
2015-12-02,68.970001,69.489998,68.440002,68.690002,541000,67.930488
2015-12-03,68.709999,68.730003,65.470001,66.209999,1086700,65.477906
2015-12-04,66.879997,68.82,66.800003,68.57,1053200,67.811812
2015-12-07,68.480003,68.93,67.82,68.830002,874100,68.068939
2015-12-08,68.639999,68.940002,67.980003,68.419998,2674300,67.663469
2015-12-09,68.040001,69.040001,67.75,68.040001,1355300,67.287673
2015-12-10,68.129997,68.720001,68.080002,68.190002,967900,67.436016
2015-12-11,67.339996,67.709999,67.150002,67.480003,1053500,66.733868
2015-12-14,67.57,68.059998,66.290001,67.459999,1394300,66.714085
2015-12-15,67.910004,68.919998,67.889999,68.580002,527800,67.821703
2015-12-16,68.949997,69.269997,67.550003,68.760002,1038900,67.999713
2015-12-17,68.739998,69.709999,68.639999,68.849998,1761000,68.088715
2015-12-18,68.580002,69.669998,68.410004,69.480003,1803500,68.711753
2015-12-21,69.989998,71.099998,69.589996,71.07,1295200,70.284169
2015-12-22,71.400002,71.5,70.419998,71.370003,1012700,70.580855
2015-12-23,71.68,71.980003,71.330002,71.730003,950200,70.936875
2015-12-24,71.699997,71.779999,71.190002,71.410004,300900,70.620413
2015-12-28,71.18,71.690002,70.870003,71.599998,507300,70.808307
2015-12-29,71.769997,72.43,71.519997,72.110001,482800,71.31267
2015-12-30,71.870003,72.260002,71.580002,71.739998,510100,70.946759
2015-12-31,71.410004,71.769997,70.989998,71.139999,726000,70.353395
2016-01-04,70.199997,70.949997,69.790001,70.760002,1229900,69.977599
2016-01-05,70.790001,71.75,70.370003,70.779999,1061800,69.997375
2016-01-06,70.0,70.510002,69.080002,69.68,1292100,68.909539
2016-01-07,68.720001,69.25,67.82,68.150002,1177700,67.396458
