Date,Open_FTR,High_FTR,Low_FTR,Close_FTR,Volume_FTR,AdjClose_FTR
2015-06-05,5.07,5.13,4.96,4.97,223165600,4.681738
2015-06-08,5.05,5.1,4.99,5.03,63628100,4.738259
2015-06-09,5.03,5.06,4.93,4.96,52552400,4.672318
2015-06-10,5.05,5.05,4.94,4.98,30980300,4.691158
2015-06-11,5.01,5.02,4.96,5.01,25697800,4.719419
2015-06-12,4.99,5.03,4.95,4.96,21226900,4.672318
2015-06-15,4.95,4.96,4.86,4.88,27438000,4.596959
2015-06-16,4.97,5.02,4.93,4.97,27955600,4.681738
2015-06-17,5.02,5.03,4.95,4.98,19070200,4.691158
2015-06-18,5.0,5.02,4.98,5.0,16583800,4.709998
2015-06-19,4.98,5.05,4.97,5.03,40784200,4.738259
2015-06-22,5.03,5.06,4.97,5.02,17741500,4.728838
2015-06-23,5.04,5.13,5.03,5.09,21570400,4.794778
2015-06-24,5.1,5.12,5.0,5.07,19929800,4.775939
2015-06-25,5.12,5.12,5.03,5.08,16998200,4.785358
2015-06-26,5.08,5.08,5.01,5.01,23194400,4.719419
2015-06-29,4.99,5.04,4.91,4.93,28163700,4.644058
2015-06-30,5.02,5.02,4.93,4.95,27002700,4.662898
2015-07-01,5.0,5.0,4.91,4.95,21374700,4.662898
2015-07-02,4.98,4.98,4.84,4.85,18450500,4.568698
2015-07-06,4.82,4.95,4.81,4.92,36948500,4.634638
2015-07-07,4.92,4.93,4.8,4.88,24315500,4.596959
2015-07-08,4.85,4.88,4.8,4.83,16293500,4.549858
2015-07-09,4.86,4.88,4.79,4.81,24995300,4.531018
2015-07-10,4.85,4.9,4.83,4.9,13331400,4.615798
2015-07-13,4.93,5.0,4.9,4.98,16262000,4.691158
2015-07-14,4.98,5.0,4.9,4.93,18880500,4.644058
2015-07-15,4.92,4.93,4.85,4.88,17538500,4.596959
2015-07-16,4.97,5.04,4.89,5.03,25962900,4.738259
2015-07-17,5.03,5.31,5.02,5.14,41797800,4.841878
2015-07-20,5.17,5.17,4.96,5.01,27376100,4.719419
2015-07-21,5.01,5.02,4.86,4.87,24297600,4.587538
2015-07-22,4.87,4.9,4.78,4.79,17031400,4.512178
2015-07-23,4.78,4.82,4.75,4.77,10214900,4.493338
2015-07-24,4.78,4.8,4.52,4.54,26144700,4.276678
2015-07-27,4.52,4.63,4.19,4.59,25024200,4.323779
2015-07-28,4.57,4.65,4.44,4.61,20123100,4.342619
2015-07-29,4.61,4.69,4.53,4.68,12442800,4.408558
2015-07-30,4.67,4.7,4.6,4.63,10248900,4.361459
2015-07-31,4.61,4.8,4.61,4.72,32936800,4.446238
2015-08-03,5.07,5.19,4.94,5.15,57120800,4.851298
2015-08-04,5.21,5.26,5.13,5.25,34015300,4.945498
2015-08-05,5.28,5.29,5.1,5.11,24617500,4.813618
2015-08-06,5.1,5.15,5.0,5.13,20696100,4.832458
2015-08-07,5.09,5.24,5.09,5.17,26358400,4.870138
2015-08-10,5.22,5.38,5.19,5.33,24596300,5.020858
2015-08-11,5.31,5.39,5.3,5.34,12710400,5.030278
2015-08-12,5.28,5.44,5.21,5.42,22775000,5.105638
2015-08-13,5.43,5.46,5.34,5.35,12451800,5.039698
2015-08-14,5.38,5.51,5.37,5.49,15453700,5.171578
2015-08-17,5.45,5.64,5.4,5.61,18083100,5.284618
2015-08-18,5.61,5.61,5.41,5.42,17277700,5.105638
2015-08-19,5.4,5.45,5.28,5.36,22027400,5.049118
2015-08-20,5.29,5.33,5.21,5.26,21592100,4.954919
2015-08-21,5.22,5.27,5.09,5.15,29566200,4.851298
2015-08-24,4.96,4.98,4.57,4.91,22473600,4.625218
2015-08-25,5.06,5.1,4.92,4.92,20320500,4.634638
2015-08-26,4.99,5.03,4.73,4.84,31202000,4.559279
2015-08-27,4.92,4.99,4.82,4.93,26198900,4.644058
2015-08-28,4.9,5.11,4.87,5.08,17162400,4.785358
2015-08-31,5.02,5.11,5.0,5.07,16846200,4.775939
2015-09-01,4.98,5.07,4.92,5.04,19133900,4.747678
2015-09-02,5.12,5.28,5.07,5.21,23985900,4.907818
2015-09-03,5.28,5.58,5.26,5.52,35321300,5.199838
2015-09-04,5.46,5.49,5.35,5.39,15239900,5.077378
2015-09-08,5.49,5.49,5.32,5.44,17850600,5.124478
2015-09-09,5.49,5.56,5.43,5.45,20366600,5.133898
2015-09-10,5.45,5.57,5.39,5.51,28076000,5.190418
2015-09-11,5.4,5.46,5.12,5.32,37666600,5.108793
2015-09-14,5.31,5.32,5.11,5.22,25536000,5.012763
2015-09-15,5.22,5.36,5.19,5.32,17648000,5.108793
2015-09-16,5.25,5.36,5.13,5.18,26762000,4.974351
2015-09-17,5.15,5.24,5.01,5.2,22053100,4.993557
2015-09-18,5.16,5.2,4.98,4.99,28623500,4.791894
2015-09-21,5.01,5.09,4.9,4.94,18362000,4.743879
2015-09-22,4.84,4.91,4.78,4.8,22052300,4.609437
2015-09-23,4.88,4.93,4.85,4.85,12177000,4.657452
2015-09-24,4.81,4.88,4.77,4.83,11394600,4.638246
2015-09-25,4.85,5.11,4.85,5.0,28553200,4.801497
2015-09-28,4.99,5.0,4.72,4.73,22501500,4.542216
2015-09-29,4.73,4.82,4.64,4.68,18488800,4.494201
2015-09-30,4.81,4.82,4.7,4.75,18204500,4.561422
2015-10-01,4.78,4.81,4.67,4.72,16495800,4.532613
2015-10-02,4.66,4.9,4.63,4.88,21700500,4.686261
2015-10-05,4.9,5.13,4.9,5.13,19660000,4.926336
2015-10-06,5.13,5.2,5.1,5.12,15797100,4.916733
2015-10-07,5.17,5.38,5.14,5.38,20287500,5.166411
2015-10-08,5.32,5.42,5.27,5.41,12914500,5.195219
2015-10-09,5.42,5.46,5.14,5.18,16746200,4.974351
2015-10-12,5.2,5.21,5.05,5.11,12827300,4.90713
2015-10-13,5.13,5.25,5.1,5.15,11651300,4.945542
2015-10-14,5.13,5.23,5.07,5.1,11489200,4.897527
2015-10-15,5.13,5.33,5.1,5.32,9574500,5.108793
2015-10-16,5.35,5.37,5.09,5.22,19771400,5.012763
2015-10-19,5.18,5.27,5.18,5.25,8755300,5.041572
2015-10-20,5.26,5.39,5.22,5.32,11435800,5.108793
2015-10-21,5.35,5.37,5.28,5.29,7523700,5.079984
2015-10-22,5.34,5.44,5.3,5.42,12068000,5.204823
2015-10-23,5.43,5.47,5.37,5.4,8915700,5.185617
2015-10-26,5.39,5.47,5.34,5.38,16761700,5.166411
2015-10-27,5.34,5.4,5.21,5.24,12966400,5.031968
2015-10-28,5.22,5.35,5.21,5.28,13263900,5.070381
2015-10-29,5.25,5.28,5.15,5.15,16872500,4.945542
2015-10-30,5.17,5.19,5.07,5.14,10568800,4.935939
2015-11-02,5.11,5.21,5.02,5.16,22999100,4.955145
2015-11-03,5.01,5.04,4.8,4.81,53482300,4.61904
2015-11-04,4.9,4.9,4.76,4.78,25263700,4.590231
2015-11-05,4.81,4.81,4.61,4.71,25925200,4.52301
