Date,Open_AAL,High_AAL,Low_AAL,Close_AAL,Volume_AAL,AdjClose_AAL
2015-06-05,42.130001,42.580002,41.709999,41.720001,9951100,41.300902
2015-06-08,41.07,41.240002,39.27,39.860001,25757800,39.459586
2015-06-09,38.799999,40.720001,38.450001,40.330002,27024800,39.924866
2015-06-10,40.209999,41.209999,39.700001,40.43,15731900,40.02386
2015-06-11,40.790001,41.259998,39.939999,40.02,10116700,39.617978
2015-06-12,39.84,41.0,39.759998,40.709999,10333800,40.301046
2015-06-15,40.349998,41.0,40.009998,40.07,8830300,39.667475
2015-06-16,40.130001,40.32,39.32,39.48,9212100,39.083402
2015-06-17,39.27,40.09,38.91,39.880001,9567400,39.479385
2015-06-18,39.799999,40.220001,39.610001,39.98,10647000,39.578379
2015-06-19,40.299999,41.889999,40.299999,41.560001,20198300,41.142509
2015-06-22,42.919998,43.25,42.240002,43.029999,15120200,42.59774
2015-06-23,42.98,43.419998,42.349998,42.73,10702000,42.300754
2015-06-24,42.700001,42.919998,42.07,42.240002,6895900,41.815679
2015-06-25,42.650002,43.419998,42.200001,42.240002,8174200,41.815679
2015-06-26,42.439999,42.580002,41.330002,41.439999,9819900,41.023712
2015-06-29,40.77,41.32,39.59,39.75,17651700,39.35069
2015-06-30,40.200001,40.599998,39.93,39.939999,11184500,39.53878
2015-07-01,40.650002,40.900002,37.799999,38.799999,24907100,38.410233
2015-07-02,39.02,39.810001,38.400002,39.029999,11080000,38.637922
2015-07-06,39.09,40.0,39.080002,39.73,9157700,39.330891
2015-07-07,39.93,40.740002,39.259998,40.669998,10375900,40.261447
2015-07-08,40.299999,40.310001,39.139999,39.310001,11193000,38.915112
2015-07-09,39.84,40.279999,39.66,39.669998,8490900,39.271492
2015-07-10,40.509998,41.639999,40.5,41.209999,16451700,40.796023
2015-07-13,41.959999,42.720001,41.959999,42.419998,12077000,41.993867
2015-07-14,42.040001,42.459999,41.290001,42.060001,12701500,41.637486
2015-07-15,41.389999,42.220001,40.389999,41.540001,17922800,41.12271
2015-07-16,41.810001,42.220001,41.299999,41.389999,12111300,40.974215
2015-07-17,41.450001,41.84,41.240002,41.400002,9736000,40.984117
2015-07-20,41.549999,41.709999,40.439999,40.549999,7645900,40.142653
2015-07-21,40.5,41.299999,40.490002,40.900002,7300000,40.489139
2015-07-22,40.959999,41.610001,40.959999,41.43,8302900,41.013814
2015-07-23,42.779999,43.810001,42.0,42.610001,16579900,42.181961
2015-07-24,43.0,43.110001,39.619999,39.630001,20152600,39.231897
2015-07-27,39.630001,40.810001,38.900002,40.139999,12071400,39.736772
2015-07-28,40.18,41.380001,40.18,41.169998,8186000,40.756424
2015-07-29,41.09,41.330002,40.439999,40.73,6801400,40.320845
2015-07-30,40.580002,40.93,39.919998,40.27,5855800,39.865467
2015-07-31,40.529999,40.540001,39.880001,40.099998,6955900,39.697173
2015-08-03,40.240002,41.849998,40.209999,41.709999,9261900,41.291
2015-08-04,42.150002,42.77,41.880001,42.740002,13354300,42.310656
2015-08-05,42.849998,43.299999,42.59,42.959999,7581000,42.528443
2015-08-06,43.25,43.450001,41.759998,42.18,7395500,41.853705
2015-08-07,42.209999,42.48,41.400002,41.490002,5588600,41.169044
2015-08-10,41.75,42.43,41.450001,41.68,6860600,41.357573
2015-08-11,41.740002,43.419998,41.650002,42.700001,10378600,42.369683
2015-08-12,42.369999,42.68,40.68,42.52,10391900,42.191075
2015-08-13,42.759998,43.279999,42.27,42.669998,6605800,42.339912
2015-08-14,42.349998,43.169998,42.349998,42.880001,4857400,42.54829
2015-08-17,42.959999,44.02,42.82,43.950001,8385400,43.610013
2015-08-18,44.060001,44.450001,43.240002,43.630001,6317200,43.292489
2015-08-19,43.529999,44.27,43.209999,43.529999,8374000,43.19326
2015-08-20,42.84,43.52,41.779999,41.98,8905700,41.655251
2015-08-21,41.400002,41.599998,39.75,39.75,16241600,39.442502
2015-08-24,36.0,39.900002,34.099998,37.619999,19612700,37.328979
2015-08-25,39.389999,39.490002,37.490002,37.5,12820300,37.209908
2015-08-26,38.77,39.009998,36.970001,38.849998,15679800,38.549463
2015-08-27,39.169998,39.450001,37.970001,39.029999,13793600,38.728071
2015-08-28,38.93,39.580002,38.349998,38.619999,11825000,38.321243
2015-08-31,38.630001,39.759998,38.619999,38.98,12409600,38.678458
2015-09-01,38.630001,39.810001,38.5,39.200001,16042600,38.896758
2015-09-02,39.970001,41.509998,39.799999,41.509998,19316800,41.188886
