Date,Open_CAH,High_CAH,Low_CAH,Close_CAH,Volume_CAH,AdjClose_CAH
2015-06-05,87.089996,88.169998,86.169998,88.040001,2805900,86.421969
2015-06-08,88.269997,88.75,87.910004,87.989998,2639600,86.372885
2015-06-09,88.599998,88.989998,87.510002,87.660004,2223300,86.048955
2015-06-10,88.110001,88.980003,87.699997,88.769997,1902900,87.138548
2015-06-11,89.230003,90.110001,88.75,89.669998,2654300,88.022009
2015-06-12,89.209999,89.370003,88.68,88.879997,1654900,87.246527
2015-06-15,88.529999,88.919998,88.080002,88.269997,2268200,86.647737
2015-06-16,88.43,89.449997,88.150002,89.120003,2310200,87.482122
2015-06-17,89.419998,90.290001,89.269997,89.989998,2236700,88.336128
2015-06-18,90.040001,90.660004,89.839996,89.849998,2603200,88.198701
2015-06-19,89.839996,90.57,89.699997,89.870003,2513000,88.218338
2015-06-22,90.559998,90.739998,89.779999,89.860001,2252900,88.20852
2015-06-23,90.260002,90.309998,89.150002,89.230003,2355400,87.590101
2015-06-24,89.230003,89.370003,87.010002,87.029999,3406800,85.430529
2015-06-25,87.440002,87.440002,85.849998,86.669998,3811100,85.077144
2015-06-26,87.019997,87.019997,85.639999,86.029999,9080900,84.448907
2015-06-29,85.129997,85.610001,83.629997,83.739998,3795600,82.57244
2015-06-30,84.629997,84.870003,83.57,83.650002,4071800,82.483698
2015-07-01,84.290001,85.129997,84.18,84.949997,3395000,83.765568
2015-07-02,85.25,85.459999,84.139999,84.5,1556800,83.321845
2015-07-06,83.690002,84.879997,83.629997,84.540001,2679300,83.361289
2015-07-07,84.760002,85.349998,83.800003,85.0,2312300,83.814874
2015-07-08,84.5,85.190002,83.290001,83.400002,2597100,82.237184
2015-07-09,84.650002,84.900002,83.82,84.160004,2459700,82.986589
2015-07-10,85.029999,85.690002,84.860001,85.480003,1457300,84.288185
2015-07-13,86.129997,86.349998,85.440002,86.120003,1376200,84.919261
2015-07-14,85.760002,86.57,85.360001,86.169998,3056800,84.968559
2015-07-15,86.110001,86.980003,85.779999,86.599998,2223900,85.392564
2015-07-16,87.220001,87.239998,86.489998,87.019997,1488300,85.806707
2015-07-17,87.139999,87.370003,86.470001,86.760002,1916700,85.550337
2015-07-20,86.720001,87.040001,86.470001,86.580002,1177200,85.372846
2015-07-21,86.559998,86.93,85.730003,86.190002,1526200,84.988285
2015-07-22,86.089996,86.889999,86.080002,86.82,1756900,85.609498
2015-07-23,86.910004,87.089996,84.040001,84.269997,3063600,83.095049
2015-07-24,84.029999,84.129997,83.040001,83.290001,2232800,82.128717
2015-07-27,82.989998,83.160004,82.129997,82.290001,2744100,81.14266
2015-07-28,82.389999,83.779999,82.089996,83.68,2187400,82.513279
2015-07-29,83.849998,84.43,83.419998,84.349998,3110600,83.173935
2015-07-30,84.519997,86.470001,80.050003,83.339996,7631800,82.178015
2015-07-31,83.32,85.199997,83.160004,84.980003,4519600,83.795156
2015-08-03,84.559998,86.129997,84.559998,85.82,2602900,84.623441
2015-08-04,86.160004,86.639999,85.550003,85.75,2373100,84.554417
2015-08-05,86.5,86.550003,85.669998,86.269997,1780600,85.067164
2015-08-06,86.410004,86.589996,84.620003,84.779999,2038200,83.59794
2015-08-07,85.0,85.129997,84.010002,85.080002,2125700,83.89376
2015-08-10,85.660004,86.410004,85.620003,85.730003,1638700,84.534699
2015-08-11,85.260002,86.07,85.010002,85.889999,1939700,84.692464
2015-08-12,85.010002,85.199997,83.989998,85.050003,2202900,83.86418
2015-08-13,85.099998,85.239998,84.169998,84.199997,1572000,83.026025
2015-08-14,83.970001,84.470001,83.779999,84.269997,1955600,83.095049
2015-08-17,83.720001,84.449997,82.910004,84.339996,1817400,83.164073
2015-08-18,84.199997,84.93,84.040001,84.800003,1563300,83.617666
2015-08-19,84.019997,85.900002,83.760002,85.269997,2473100,84.081106
2015-08-20,84.480003,85.040001,82.190002,82.260002,2544200,81.113079
2015-08-21,81.730003,82.419998,80.559998,80.599998,3033600,79.47622
2015-08-24,76.650002,80.400002,74.760002,78.980003,6632800,77.878812
2015-08-25,80.800003,81.82,79.339996,79.419998,5448800,78.312672
2015-08-26,81.230003,83.669998,79.790001,83.550003,4654600,82.385094
2015-08-27,84.150002,85.269997,82.290001,83.690002,4646800,82.523141
2015-08-28,83.550003,83.57,82.889999,83.389999,2596800,82.227321
2015-08-31,83.209999,84.190002,82.080002,82.269997,1902600,81.122934
2015-09-01,80.459999,81.419998,79.68,80.230003,3119400,79.111384
2015-09-02,81.230003,81.75,80.550003,81.650002,2093900,80.511583
2015-09-03,82.050003,82.559998,80.849998,81.150002,1614800,80.018555
2015-09-04,79.980003,80.919998,79.720001,80.550003,2087100,79.426922
2015-09-08,81.870003,82.32,81.059998,82.25,2014200,81.103216
2015-09-09,83.07,83.260002,81.019997,81.239998,2378600,80.107296
2015-09-10,81.169998,83.330002,80.830002,83.010002,2617700,81.852622
2015-09-11,82.790001,85.040001,82.519997,85.010002,3073500,83.824737
2015-09-14,85.089996,85.220001,84.010002,84.309998,1953800,83.134492
2015-09-15,84.480003,85.379997,84.169998,85.080002,1895600,83.89376
2015-09-16,85.120003,85.559998,84.629997,85.360001,2220900,84.169855
2015-09-17,85.510002,85.779999,84.510002,84.769997,2101800,83.588077
2015-09-18,83.949997,84.43,83.339996,83.629997,2708300,82.463973
2015-09-21,84.25,84.889999,82.809998,83.0,2066000,81.842759
2015-09-22,82.18,82.18,80.440002,81.5,2445000,80.363673
2015-09-23,81.93,82.620003,81.5,82.040001,1754500,80.896145
2015-09-24,81.529999,81.669998,80.269997,81.43,2125600,80.29465
2015-09-25,82.150002,82.150002,79.0,79.510002,1893500,78.401421
2015-09-28,79.360001,79.669998,76.279999,77.120003,2622700,76.044745
2015-09-29,76.949997,78.360001,76.25,76.720001,2796200,76.031862
2015-09-30,77.629997,78.160004,76.110001,76.82,2106800,76.130964
2015-10-01,77.029999,77.230003,75.82,77.120003,2212700,76.428276
2015-10-02,76.120003,78.650002,75.519997,78.620003,2742100,77.914822
2015-10-05,79.440002,79.690002,78.339996,79.550003,3372000,78.83648
2015-10-06,79.489998,79.769997,77.379997,78.110001,2085500,77.409394
2015-10-07,78.419998,78.629997,77.269997,77.550003,3044600,76.854419
2015-10-08,77.529999,78.220001,76.940002,77.699997,2467200,77.003068
2015-10-09,77.790001,78.809998,77.5,78.669998,2615200,77.964369
2015-10-12,78.589996,80.089996,78.589996,80.080002,1779600,79.361725
2015-10-13,79.910004,81.040001,79.610001,80.080002,2887600,79.361725
2015-10-14,79.949997,80.510002,78.519997,78.610001,1780700,77.904909
2015-10-15,78.790001,79.260002,78.169998,79.139999,2928600,78.430154
2015-10-16,79.220001,80.300003,79.169998,80.129997,2679700,79.411272
2015-10-19,80.040001,80.360001,79.550003,80.199997,1566900,79.480644
2015-10-20,80.120003,80.410004,78.629997,78.730003,1748800,78.023836
2015-10-21,79.25,79.480003,77.279999,78.029999,3416100,77.33011
2015-10-22,78.349998,78.900002,76.709999,77.75,3137400,77.052622
2015-10-23,78.25,80.540001,78.25,80.139999,2323500,79.421185
2015-10-26,79.989998,81.110001,79.339996,80.809998,2147000,80.085173
2015-10-27,80.699997,82.129997,80.349998,82.089996,3167500,81.353691
2015-10-28,82.050003,82.849998,81.290001,82.830002,2028600,82.087059
2015-10-29,82.800003,83.32,81.800003,83.010002,2369500,82.265445
2015-10-30,82.970001,83.540001,82.169998,82.199997,2599900,81.462705
2015-11-02,86.260002,86.739998,84.959999,86.150002,4097300,85.37728
2015-11-03,85.790001,86.410004,84.800003,86.370003,2422600,85.595308
2015-11-04,86.68,86.800003,85.580002,86.580002,2362300,85.803424
2015-11-05,86.75,88.32,86.419998,88.199997,2396600,87.408888
2015-11-06,88.040001,88.519997,87.199997,88.5,2128700,87.706201
2015-11-09,88.089996,88.349998,86.730003,87.669998,2044700,86.883643
2015-11-10,87.669998,88.169998,87.25,88.029999,1564900,87.240415
2015-11-11,88.139999,88.139999,86.860001,87.220001,1955400,86.437683
2015-11-12,86.959999,86.959999,85.410004,85.489998,1610600,84.723197
2015-11-13,85.360001,86.0,85.0,85.5,2321300,84.733109
2015-11-16,85.400002,86.239998,85.18,86.190002,2168300,85.416922
2015-11-17,86.290001,87.019997,86.190002,86.720001,1554900,85.942167
2015-11-18,87.010002,88.690002,86.730003,88.599998,1834100,87.805302
2015-11-19,88.589996,88.620003,87.07,87.360001,1630000,86.576426
2015-11-20,87.82,88.07,87.230003,87.589996,2400100,86.804359
2015-11-23,87.739998,88.209999,87.059998,87.330002,1129200,86.546697
2015-11-24,86.910004,87.349998,86.599998,86.760002,1481600,85.98181
