Date,Open_CLX,High_CLX,Low_CLX,Close_CLX,Volume_CLX,AdjClose_CLX
2015-06-05,106.230003,106.519997,105.669998,105.970001,1054600,103.309498
2015-06-08,106.0,106.339996,104.910004,105.339996,958300,102.69531
2015-06-09,105.239998,106.040001,104.879997,105.529999,860900,102.880542
2015-06-10,106.019997,107.010002,105.879997,106.610001,620200,103.93343
2015-06-11,106.639999,106.739998,105.489998,105.769997,733100,103.114515
2015-06-12,105.589996,105.739998,104.809998,104.959999,544600,102.324853
2015-06-15,104.709999,104.709999,103.769997,104.230003,618600,101.613185
2015-06-16,104.510002,105.449997,104.349998,105.279999,481700,102.636819
2015-06-17,105.379997,106.110001,105.339996,105.900002,398600,103.241256
2015-06-18,106.190002,107.300003,105.730003,106.849998,634200,104.167402
2015-06-19,106.57,107.260002,106.32,106.75,901300,104.069914
2015-06-22,106.959999,107.599998,106.5,107.0,539900,104.313637
2015-06-23,106.900002,107.370003,106.580002,106.709999,442800,104.030917
2015-06-24,106.790001,107.059998,105.940002,105.940002,407000,103.280252
2015-06-25,106.010002,106.279999,105.68,106.220001,598200,103.553222
2015-06-26,106.400002,107.169998,106.360001,107.120003,715200,104.430627
2015-06-29,106.449997,106.879997,104.489998,104.540001,543300,101.9154
2015-06-30,105.379997,105.400002,103.889999,104.019997,723000,101.408451
2015-07-01,104.300003,106.949997,104.260002,106.860001,1156000,104.177153
2015-07-02,106.949997,107.120003,105.860001,106.120003,580900,103.455734
2015-07-06,106.080002,106.580002,105.449997,105.940002,1793100,103.280252
2015-07-07,106.379997,108.25,106.050003,108.120003,806200,105.405521
2015-07-08,108.120003,108.540001,107.300003,107.400002,669500,104.703597
2015-07-09,109.519997,109.519997,106.739998,106.809998,508800,104.128405
2015-07-10,107.489998,108.129997,107.440002,107.669998,449500,104.966815
2015-07-13,108.309998,108.849998,107.900002,108.669998,707600,105.941708
2015-07-14,108.860001,109.400002,108.260002,108.620003,867100,105.892968
2015-07-15,108.720001,109.879997,108.639999,109.760002,622900,107.004346
2015-07-16,110.0,111.339996,109.639999,111.07,794400,108.281455
2015-07-17,110.720001,110.800003,110.120003,110.440002,495100,107.667275
2015-07-20,109.699997,110.690002,109.400002,110.610001,462500,108.590104
2015-07-21,110.830002,110.849998,110.110001,110.360001,598500,108.344669
2015-07-22,110.400002,111.07,110.330002,110.959999,777500,108.933711
2015-07-23,110.830002,111.220001,110.199997,110.610001,433400,108.590104
2015-07-24,110.440002,111.099998,110.199997,110.360001,457100,108.344669
2015-07-27,110.0,110.879997,109.760002,110.839996,628100,108.815899
2015-07-28,110.889999,111.620003,110.629997,111.5,582500,109.46385
2015-07-29,111.330002,112.400002,111.120003,112.0,687300,109.95472
2015-07-30,111.370003,112.389999,110.93,112.029999,635400,109.984171
2015-07-31,112.480003,112.589996,111.760002,111.940002,979700,109.895818
2015-08-03,111.489998,115.0,110.82,115.0,1496400,112.899935
2015-08-04,114.989998,117.139999,114.610001,116.849998,1937100,114.71615
2015-08-05,117.349998,119.050003,116.860001,118.940002,1268600,116.767988
2015-08-06,119.300003,119.75,118.5,119.389999,959100,117.209767
2015-08-07,119.389999,119.75,117.879997,118.209999,1282800,116.051315
2015-08-10,118.379997,118.589996,116.82,117.050003,1220600,114.912502
2015-08-11,116.5,117.720001,116.190002,117.669998,733100,115.521175
2015-08-12,116.879997,117.300003,115.129997,116.830002,770500,114.696519
2015-08-13,116.559998,117.089996,116.110001,116.480003,1073300,114.352912
2015-08-14,116.699997,117.910004,116.269997,117.620003,611200,115.472093
2015-08-17,117.480003,117.830002,116.510002,117.510002,449000,115.364101
2015-08-18,117.029999,117.709999,116.809998,116.989998,468000,114.853593
2015-08-19,116.639999,117.0,115.709999,116.150002,812800,114.028936
2015-08-20,115.739998,116.669998,115.300003,115.720001,638100,113.606788
2015-08-21,115.059998,115.720001,113.889999,113.970001,1325600,111.888746
2015-08-24,108.980003,111.779999,106.0,109.559998,1744600,107.559275
2015-08-25,111.029999,111.800003,107.32,107.489998,1272600,105.527077
2015-08-26,108.910004,110.339996,107.339996,110.07,1015500,108.059964
2015-08-27,110.919998,111.980003,109.639999,111.43,782000,109.395129
2015-08-28,111.059998,111.709999,110.540001,111.690002,548000,109.650383
2015-08-31,111.309998,111.57,110.739998,111.169998,783600,109.139875
2015-09-01,109.400002,110.120003,108.279999,108.82,885100,106.832791
2015-09-02,109.690002,110.519997,109.360001,110.419998,741600,108.403571
2015-09-03,111.0,111.830002,110.870003,111.339996,703100,109.306768
2015-09-04,109.900002,110.209999,108.970001,109.599998,722200,107.598545
2015-09-08,110.769997,111.639999,110.339996,111.610001,614200,109.571842
2015-09-09,112.0,112.370003,109.160004,109.400002,625600,107.402201
2015-09-10,109.370003,110.400002,108.769997,109.419998,575000,107.421832
2015-09-11,108.959999,109.900002,108.5,109.839996,741300,107.834161
2015-09-14,109.800003,110.059998,109.139999,109.910004,988800,107.90289
2015-09-15,110.139999,111.989998,109.93,111.599998,852800,109.562023
2015-09-16,111.699997,114.029999,111.650002,113.580002,1028000,111.505868
2015-09-17,113.709999,115.5,113.550003,114.080002,744100,111.996738
2015-09-18,113.290001,114.260002,113.059998,113.459999,1424200,111.388057
2015-09-21,114.010002,114.870003,113.940002,114.470001,657800,112.379615
2015-09-22,113.650002,113.980003,112.75,113.790001,659600,111.712032
2015-09-23,113.720001,114.480003,113.529999,114.349998,432700,112.261804
2015-09-24,113.68,114.529999,113.379997,113.910004,1212800,111.829844
2015-09-25,114.900002,116.919998,114.5,116.239998,1090100,114.117289
2015-09-28,115.769997,116.239998,114.150002,114.209999,851100,112.124361
2015-09-29,113.949997,114.809998,113.370003,114.559998,1221500,112.467968
2015-09-30,115.510002,116.190002,115.25,115.529999,1274700,113.420255
2015-10-01,115.529999,115.940002,114.620003,115.379997,1233200,113.272993
2015-10-02,114.059998,116.980003,114.059998,116.93,1278400,114.794691
2015-10-05,117.540001,118.650002,117.080002,118.379997,2111200,116.218209
2015-10-06,118.220001,119.080002,117.519997,118.349998,1220400,116.188758
2015-10-07,118.68,119.68,118.330002,119.0,925200,116.82689
2015-10-08,119.050003,120.300003,118.470001,120.18,833700,117.985341
2015-10-09,120.389999,121.0,120.139999,120.519997,743800,118.319129
2015-10-12,120.709999,121.5,120.5,120.75,729900,118.544932
2015-10-13,120.489998,121.239998,119.800003,120.550003,703000,118.348587
2015-10-14,120.739998,121.160004,119.790001,120.25,649100,118.054063
2015-10-15,120.879997,121.220001,119.940002,120.18,1020900,117.985341
2015-10-16,120.809998,121.980003,120.419998,121.919998,813000,119.693564
2015-10-19,121.910004,122.139999,120.870003,121.720001,824100,119.49722
2015-10-20,121.739998,122.279999,121.5,122.080002,487500,119.850646
2015-10-21,122.43,123.43,121.949997,122.059998,796400,119.831007
2015-10-22,122.879997,123.879997,122.730003,123.599998,1067900,121.342885
2015-10-23,124.0,124.610001,122.879997,123.25,880200,120.999278
2015-10-26,122.550003,122.870003,121.830002,122.040001,818800,120.564599
2015-10-27,121.879997,122.360001,121.620003,121.889999,732200,120.416411
2015-10-28,122.309998,123.029999,121.489998,122.629997,836900,121.147463
2015-10-29,122.360001,122.830002,121.5,122.720001,724300,121.236379
2015-10-30,122.720001,123.150002,121.730003,121.940002,1904900,120.46581
2015-11-02,124.959999,127.25,123.410004,125.699997,1945300,124.180348
2015-11-03,125.25,125.669998,124.339996,124.629997,1005600,123.123284
2015-11-04,124.550003,124.779999,123.699997,124.199997,1076000,122.698482
2015-11-05,123.919998,124.440002,123.059998,124.220001,1223300,122.718245
2015-11-06,123.620003,123.730003,121.370003,122.279999,844600,120.801696
2015-11-09,121.949997,122.089996,120.660004,121.879997,973800,120.40653
2015-11-10,121.57,122.629997,121.379997,122.279999,900800,120.801696
2015-11-11,122.709999,124.400002,122.709999,123.419998,743300,121.927913
2015-11-12,122.959999,123.519997,121.800003,121.830002,830300,120.357139
2015-11-13,121.760002,122.43,120.160004,120.739998,952800,119.280313
2015-11-16,121.080002,121.889999,120.5,121.870003,726100,120.396656
2015-11-17,121.93,122.540001,121.339996,121.779999,519700,120.307741
2015-11-18,121.980003,123.669998,121.650002,123.589996,660400,122.095856
2015-11-19,123.82,124.839996,123.779999,124.32,710000,122.817034
2015-11-20,124.980003,125.129997,123.75,123.849998,629100,122.352715
2015-11-23,123.93,125.5,123.900002,125.360001,528500,123.844462
2015-11-24,125.0,125.300003,124.529999,124.790001,658500,123.281353
2015-11-25,124.989998,125.760002,124.800003,125.309998,477500,123.795063
2015-11-27,125.019997,125.970001,125.0,125.510002,275100,123.99265
2015-11-30,125.510002,125.75,124.260002,124.300003,972500,122.797279
2015-12-01,125.089996,126.879997,124.940002,126.639999,987400,125.108986
2015-12-02,126.629997,127.510002,125.970001,126.349998,771500,124.822491
2015-12-03,126.529999,127.639999,125.239998,126.050003,1053700,124.526123
2015-12-04,126.360001,128.820007,126.120003,128.779999,883000,127.223114
2015-12-07,128.699997,129.520004,128.369995,129.330002,770300,127.766468
2015-12-08,128.929993,129.970001,128.490005,129.720001,1049800,128.151752
2015-12-09,129.809998,130.309998,127.32,127.730003,1273100,126.185813
2015-12-10,127.720001,127.900002,126.419998,126.870003,1003500,125.336209
2015-12-11,126.129997,126.849998,125.300003,125.919998,939600,124.397689
2015-12-14,126.239998,127.5,124.959999,126.470001,2020800,124.941043
2015-12-15,127.5,130.130005,127.150002,129.139999,1411700,127.578763
2015-12-16,129.720001,131.589996,129.080002,131.119995,1193800,129.534821
2015-12-17,131.380005,131.779999,130.449997,131.339996,2009400,129.752163
2015-12-18,130.860001,130.860001,126.989998,127.050003,2491000,125.514033
2015-12-21,128.330002,128.619995,127.010002,127.650002,1235400,126.106778
