Date,Open_CTSH,High_CTSH,Low_CTSH,Close_CTSH,Volume_CTSH,AdjClose_CTSH
2015-06-05,64.230003,64.82,63.639999,64.599998,2144400,64.599998
2015-06-08,64.589996,64.589996,63.560001,63.59,1790300,63.59
2015-06-09,63.619999,63.880001,62.630001,63.709999,2150500,63.709999
2015-06-10,63.869999,65.370003,63.810001,64.849998,2838900,64.849998
2015-06-11,65.160004,65.160004,64.25,64.510002,3881700,64.510002
2015-06-12,64.120003,64.379997,63.599998,63.610001,2451500,63.610001
2015-06-15,63.16,63.189999,62.549999,62.98,3760600,62.98
2015-06-16,61.68,62.970001,61.619999,62.720001,4012800,62.720001
2015-06-17,63.09,63.130001,61.610001,62.080002,5065500,62.080002
2015-06-18,62.369999,63.610001,62.369999,63.25,3041000,63.25
2015-06-19,63.189999,63.48,62.470001,62.490002,3822100,62.490002
2015-06-22,62.950001,63.299999,62.540001,63.200001,2439100,63.200001
2015-06-23,63.209999,63.470001,62.889999,63.290001,1904800,63.290001
2015-06-24,63.23,63.720001,62.990002,63.02,3025900,63.02
2015-06-25,63.349998,63.950001,63.060001,63.700001,2455500,63.700001
2015-06-26,63.639999,64.260002,63.450001,63.830002,2810400,63.830002
2015-06-29,63.099998,63.130001,61.060001,61.18,2680700,61.18
2015-06-30,61.779999,61.790001,60.779999,61.09,2900000,61.09
2015-07-01,61.790001,62.330002,61.529999,62.119999,2438400,62.119999
2015-07-02,61.889999,62.23,57.689999,60.529999,11140100,60.529999
2015-07-06,59.419998,61.240002,59.419998,59.959999,4723900,59.959999
2015-07-07,59.950001,60.470001,59.080002,60.299999,4170200,60.299999
2015-07-08,60.099998,60.189999,58.900002,59.029999,2527000,59.029999
2015-07-09,59.900002,60.110001,59.41,59.490002,3065400,59.490002
2015-07-10,60.459999,60.459999,59.68,59.709999,2356200,59.709999
2015-07-13,60.400002,60.529999,59.98,60.23,2705800,60.23
2015-07-14,60.310001,60.950001,60.110001,60.610001,2395300,60.610001
2015-07-15,60.529999,61.360001,60.009998,60.849998,3288300,60.849998
2015-07-16,61.669998,61.98,60.950001,61.169998,2045400,61.169998
2015-07-17,61.459999,61.459999,60.23,60.59,2673300,60.59
2015-07-20,60.860001,60.860001,60.310001,60.490002,1499700,60.490002
2015-07-21,61.709999,61.990002,61.32,61.560001,3431500,61.560001
2015-07-22,61.369999,62.419998,61.369999,62.189999,2257700,62.189999
2015-07-23,62.240002,62.689999,61.950001,62.259998,1752500,62.259998
2015-07-24,62.689999,62.689999,61.349998,61.599998,2075500,61.599998
2015-07-27,61.259998,61.34,60.580002,60.75,1712800,60.75
2015-07-28,60.5,61.5,60.389999,61.169998,1930700,61.169998
2015-07-29,61.220001,62.330002,60.93,62.259998,2889400,62.259998
2015-07-30,61.830002,63.279999,61.32,63.119999,2929100,63.119999
2015-07-31,63.66,63.669998,62.759998,63.099998,3302400,63.099998
2015-08-03,63.310001,63.380001,62.5,62.880001,2529400,62.880001
2015-08-04,63.060001,63.82,62.93,63.290001,4976400,63.290001
2015-08-05,67.360001,69.349998,67.230003,67.339996,8296400,67.339996
2015-08-06,67.879997,68.260002,66.379997,67.080002,4299300,67.080002
2015-08-07,67.550003,68.059998,66.339996,67.620003,4592700,67.620003
2015-08-10,68.0,68.489998,67.849998,68.440002,3113600,68.440002
2015-08-11,68.059998,68.150002,67.019997,67.779999,3256000,67.779999
2015-08-12,67.599998,67.919998,66.629997,67.470001,3298900,67.470001
2015-08-13,67.410004,68.269997,66.860001,67.940002,2812100,67.940002
2015-08-14,67.620003,68.040001,67.019997,67.169998,3050300,67.169998
2015-08-17,66.790001,67.709999,66.690002,67.650002,2679800,67.650002
2015-08-18,67.639999,67.980003,67.379997,67.839996,2009100,67.839996
2015-08-19,67.330002,67.720001,66.82,67.029999,3091700,67.029999
2015-08-20,66.370003,66.75,65.220001,65.699997,4240100,65.699997
2015-08-21,65.010002,65.599998,62.849998,62.849998,4935600,62.849998
2015-08-24,59.139999,62.23,57.5,59.830002,6781500,59.830002
2015-08-25,61.310001,62.240002,58.830002,58.98,6288300,58.98
2015-08-26,60.57,62.240002,59.77,62.16,5730100,62.16
2015-08-27,62.73,63.91,62.259998,63.799999,4866200,63.799999
2015-08-28,62.869999,64.120003,62.610001,63.720001,4176600,63.720001
2015-08-31,63.130001,63.389999,62.549999,62.939999,4385900,62.939999
2015-09-01,61.540001,62.400002,60.830002,61.23,5097100,61.23
2015-09-02,62.139999,62.549999,60.610001,62.540001,3699500,62.540001
2015-09-03,62.84,63.400002,62.540001,62.860001,2974800,62.860001
2015-09-04,61.759998,62.439999,61.23,61.75,3489500,61.75
2015-09-08,63.009998,63.490002,62.470001,63.169998,3825300,63.169998
2015-09-09,63.75,63.869999,61.939999,62.130001,2699400,62.130001
2015-09-10,61.799999,63.220001,61.689999,62.630001,2834800,62.630001
2015-09-11,62.259998,62.970001,61.950001,62.790001,2367500,62.790001
2015-09-14,62.869999,63.119999,61.950001,62.080002,2394700,62.080002
2015-09-15,62.450001,62.84,62.040001,62.77,4727900,62.77
2015-09-16,62.919998,64.0,62.73,63.619999,2791200,63.619999
2015-09-17,63.470001,63.779999,62.75,62.889999,2819100,62.889999
2015-09-18,62.099998,62.619999,61.509998,61.830002,4411600,61.830002
2015-09-21,62.150002,63.099998,62.0,62.82,2992900,62.82
2015-09-22,62.099998,62.43,61.32,61.860001,2218400,61.860001
2015-09-23,61.880001,62.52,61.610001,62.25,2300500,62.25
2015-09-24,61.619999,61.849998,60.560001,61.119999,5025700,61.119999
2015-09-25,61.93,62.080002,60.84,61.290001,2559600,61.290001
2015-09-28,61.150002,61.490002,59.91,60.040001,2990800,60.040001
2015-09-29,60.220001,60.73,59.939999,60.580002,2838000,60.580002
