Date,Open_MUR,High_MUR,Low_MUR,Close_MUR,Volume_MUR,AdjClose_MUR
2015-06-05,42.18,43.380001,42.150002,42.299999,1612900,40.03111
2015-06-08,42.09,42.380001,41.779999,42.16,2471800,39.89862
2015-06-09,42.599998,43.360001,42.48,43.259998,2583900,40.939617
2015-06-10,43.959999,44.060001,43.619999,43.939999,1891000,41.583143
2015-06-11,44.029999,44.369999,43.650002,43.689999,1566200,41.346553
2015-06-12,43.450001,43.630001,43.200001,43.389999,1361400,41.062645
2015-06-15,42.900002,43.639999,42.84,43.049999,1305900,40.740882
2015-06-16,43.07,43.759998,42.860001,43.619999,1187400,41.280308
2015-06-17,43.919998,44.049999,42.650002,43.09,2220800,40.778737
2015-06-18,43.279999,43.470001,42.73,42.799999,1645700,40.504291
2015-06-19,42.57,42.810001,42.369999,42.52,1777200,40.239311
2015-06-22,42.700001,43.009998,42.32,42.810001,1376000,40.513757
2015-06-23,42.869999,43.279999,42.66,43.07,955300,40.759809
2015-06-24,43.02,43.389999,42.84,43.200001,1171200,40.882837
2015-06-25,42.830002,43.040001,42.02,42.18,2640000,39.917548
2015-06-26,42.16,42.27,41.73,42.220001,1370700,39.955403
2015-06-29,41.549999,41.93,41.23,41.419998,2398900,39.198311
2015-06-30,41.919998,41.98,41.209999,41.57,1855200,39.340266
2015-07-01,41.599998,41.68,40.77,40.950001,2222200,38.753523
2015-07-02,41.07,41.509998,41.0,41.419998,1825400,39.198311
2015-07-06,40.630001,41.209999,40.490002,40.779999,1902300,38.59264
2015-07-07,40.650002,41.310001,40.110001,41.0,2793900,38.80084
2015-07-08,40.560001,41.259998,40.029999,40.310001,2873600,38.147852
2015-07-09,41.290001,41.330002,40.650002,40.669998,2319200,38.488539
2015-07-10,41.130001,41.169998,39.849998,40.060001,1552200,37.911261
2015-07-13,39.700001,40.57,39.619999,40.450001,2081700,38.280342
2015-07-14,40.41,40.889999,40.130001,40.810001,1784300,38.621033
2015-07-15,40.669998,40.869999,39.470001,39.669998,1412800,37.542177
2015-07-16,39.779999,39.779999,38.639999,38.73,1768400,36.652598
2015-07-17,38.57,38.880001,37.450001,37.490002,2188200,35.479111
2015-07-20,37.299999,37.459999,36.209999,36.279999,2118500,34.334011
2015-07-21,36.439999,36.799999,35.290001,35.459999,3413000,33.557994
2015-07-22,35.580002,35.66,34.509998,34.639999,4026100,32.781978
2015-07-23,34.639999,35.049999,34.150002,34.509998,3569400,32.65895
2015-07-24,34.669998,34.669998,32.880001,33.330002,3399100,31.542246
2015-07-27,32.799999,33.380001,32.5,33.07,3285700,31.29619
2015-07-28,33.209999,34.639999,32.73,34.119999,3447700,32.289869
2015-07-29,33.939999,34.77,33.700001,34.23,3279100,32.393969
2015-07-30,34.380001,35.0,33.700001,34.970001,4391200,33.094279
2015-07-31,34.439999,34.490002,32.66,32.790001,3740100,31.03121
2015-08-03,32.419998,32.860001,31.889999,32.139999,3689800,30.416073
2015-08-04,32.540001,33.169998,32.009998,32.299999,2394800,30.567491
2015-08-05,32.650002,33.07,31.610001,31.65,2504200,29.952356
2015-08-06,31.52,33.130001,30.92,33.0,3299100,31.229945
2015-08-07,32.810001,33.490002,32.139999,32.299999,2702400,30.567491
2015-08-10,32.400002,33.849998,32.240002,33.810001,2184900,31.996499
2015-08-11,33.060001,33.439999,32.580002,33.16,2471500,31.381362
2015-08-12,33.09,34.389999,32.75,34.099998,2588600,32.270941
2015-08-13,33.330002,33.740002,32.759998,32.950001,2179200,31.506003
2015-08-14,32.880001,33.459999,32.43,32.560001,2260900,31.133095
2015-08-17,32.259998,32.66,32.0,32.290001,1407100,30.874927
2015-08-18,32.23,32.34,31.5,31.700001,1732900,30.310783
2015-08-19,31.440001,31.690001,30.450001,30.629999,2604600,29.287673
2015-08-20,30.549999,30.870001,30.01,30.049999,3501100,28.733091
2015-08-21,29.959999,30.35,29.190001,29.27,3103700,27.987275
2015-08-24,27.360001,30.629999,27.35,27.629999,3343300,26.419145
2015-08-25,29.190001,29.190001,26.860001,26.9,2549700,25.721137
2015-08-26,27.57,27.700001,27.01,27.65,2368500,26.438269
2015-08-27,28.84,29.809999,28.24,29.48,3160800,28.188071
2015-08-28,29.379999,31.309999,29.360001,30.040001,3858300,28.723531
2015-08-31,29.68,31.200001,29.0,31.0,3612000,29.641459
2015-09-01,29.809999,30.280001,28.25,28.559999,3465500,27.308389
2015-09-02,29.059999,29.27,28.08,29.09,3001500,27.815163
2015-09-03,29.18,30.299999,28.889999,29.049999,2254200,27.776915
2015-09-04,28.57,28.83,28.280001,28.639999,2348500,27.384883
2015-09-08,28.879999,29.02,28.15,28.84,2194200,27.576119
2015-09-09,29.07,29.48,27.950001,28.030001,2251600,26.801617
2015-09-10,27.889999,28.42,27.5,28.18,2668100,26.945043
2015-09-11,27.620001,27.73,25.77,26.780001,4288100,25.606397
2015-09-14,26.639999,27.67,26.280001,26.67,4478600,25.501217
2015-09-15,26.790001,27.610001,26.73,27.02,2994000,25.835879
2015-09-16,27.4,28.129999,27.389999,27.98,3523100,26.753807
2015-09-17,28.0,28.719999,27.610001,27.68,2726700,26.466955
2015-09-18,27.120001,27.540001,26.76,27.219999,6167100,26.027113
2015-09-21,27.43,27.940001,27.09,27.559999,3947200,26.352213
2015-09-22,27.09,27.629999,26.190001,26.200001,5062700,25.051815
2015-09-23,26.290001,26.450001,25.120001,25.27,4089400,24.162571
2015-09-24,25.030001,25.6,24.559999,24.68,8023800,23.598426
2015-09-25,24.98,25.15,24.52,24.75,3559500,23.665359
2015-09-28,24.450001,24.629999,23.709999,23.76,2873600,22.718744
2015-09-29,23.91,24.15,23.200001,23.98,7485100,22.929102
2015-09-30,24.450001,24.469999,23.9,24.200001,4085600,23.139462
2015-10-01,24.559999,25.0,23.639999,23.65,6383700,22.613564
2015-10-02,23.32,26.0,23.27,25.91,7297400,24.774523
2015-10-05,26.440001,27.67,26.440001,27.23,5674100,26.036675
2015-10-06,27.299999,28.540001,27.08,28.15,6543800,26.916357
2015-10-07,28.629999,29.32,27.940001,28.940001,4520100,27.671737
2015-10-08,28.940001,30.24,28.83,29.959999,5025500,28.647035
2015-10-09,30.030001,30.540001,29.370001,30.42,4615300,29.086877
2015-10-12,30.379999,30.379999,28.700001,29.459999,3593200,28.168947
2015-10-13,29.110001,29.82,28.719999,28.790001,3927400,27.528311
2015-10-14,28.809999,29.059999,28.34,28.82,5168400,27.556995
2015-10-15,28.780001,29.35,28.35,29.209999,5173600,27.929903
2015-10-16,29.35,29.48,28.4,28.950001,3890300,27.681299
2015-10-19,28.549999,28.67,27.459999,27.58,3534200,26.371337
2015-10-20,27.549999,28.620001,27.389999,27.889999,2802800,26.667751
2015-10-21,27.790001,27.790001,27.110001,27.26,2312500,26.065361
2015-10-22,27.59,28.4,27.5,28.049999,3034800,26.820739
2015-10-23,27.85,28.52,27.440001,28.35,2878000,27.107593
2015-10-26,28.290001,28.389999,27.67,27.809999,3521200,26.591257
2015-10-27,27.280001,27.280001,26.07,26.190001,4119600,25.042253
2015-10-28,26.42,27.59,26.1,27.120001,3932600,25.931497
2015-10-29,27.049999,29.790001,26.780001,28.26,6834600,27.021537
2015-10-30,28.389999,29.24,27.809999,28.43,4646700,27.184087
2015-11-02,28.309999,30.0,28.23,29.92,3797100,28.608789
2015-11-03,30.129999,31.58,30.08,30.52,3797700,29.182495
2015-11-04,30.65,30.940001,29.540001,30.42,2676800,29.086877
2015-11-05,30.209999,32.049999,30.200001,31.0,3591700,29.641459
2015-11-06,30.610001,31.299999,30.34,30.82,2728600,29.469347
2015-11-09,30.99,31.91,30.629999,31.030001,2663400,29.670145
2015-11-10,30.91,31.42,30.49,30.780001,1821500,29.431101
2015-11-11,30.73,30.889999,28.91,29.049999,3886000,27.776915
2015-11-12,28.09,28.99,27.459999,28.639999,3599100,27.718845
2015-11-13,28.59,29.219999,28.15,28.77,3142100,27.844665
2015-11-16,28.879999,30.15,28.65,30.1,3004100,29.131888
2015-11-17,29.870001,30.57,29.360001,30.1,2766800,29.131888
2015-11-18,30.43,31.620001,30.129999,30.93,2424900,29.935192
2015-11-19,30.5,30.93,29.67,30.18,2125900,29.209315
2015-11-20,30.209999,30.43,28.58,28.66,3373300,27.738202
2015-11-23,28.51,28.93,28.1,28.49,2972800,27.57367
2015-11-24,28.83,30.09,28.83,29.57,3575000,28.618934
2015-11-25,29.26,29.889999,28.74,29.379999,2196900,28.435044
2015-11-27,29.0,29.1,27.940001,28.4,1213400,27.486565
2015-11-30,28.58,29.07,28.23,28.58,2613200,27.660776
2015-12-01,28.68,29.18,28.469999,29.110001,1799000,28.17373
2015-12-02,28.83,28.879999,26.9,27.139999,2893900,26.26709
2015-12-03,27.33,27.48,25.700001,26.309999,3852900,25.463786
2015-12-04,25.82,25.82,24.559999,25.459999,3212200,24.641124
2015-12-07,24.629999,24.639999,23.24,23.68,3731300,22.918376
2015-12-08,23.299999,23.879999,22.75,23.540001,3176800,22.782879
2015-12-09,23.6,23.82,22.24,22.85,4667000,22.115071
2015-12-10,22.690001,23.540001,22.620001,23.299999,7334800,22.550597
2015-12-11,22.940001,22.940001,22.219999,22.58,3328900,21.853755
2015-12-14,22.35,22.76,21.84,22.26,3557300,21.544047
2015-12-15,22.66,22.82,22.08,22.58,3593200,21.853755
2015-12-16,22.49,22.969999,21.91,22.309999,5611000,21.592438
2015-12-17,22.18,22.290001,21.32,21.799999,5909600,21.098841
2015-12-18,21.879999,22.370001,21.540001,21.709999,5741900,21.011736
2015-12-21,21.73,22.08,21.26,21.75,4764600,21.05045
2015-12-22,21.82,22.450001,21.66,22.309999,3603500,21.592438
2015-12-23,22.940001,23.73,22.940001,23.620001,4824000,22.860306
2015-12-24,23.6,23.700001,23.030001,23.35,1266700,22.59899
2015-12-28,22.790001,22.870001,22.26,22.370001,2397700,21.65051
2015-12-29,22.969999,23.040001,22.120001,22.68,2495200,21.950539
2015-12-30,22.209999,22.809999,21.9,21.950001,2325600,21.244018
2015-12-31,21.780001,22.690001,21.700001,22.450001,3045800,21.727937
2016-01-04,22.34,23.200001,22.08,22.950001,4640200,22.211855
2016-01-05,22.91,23.030001,21.9,22.59,3197300,21.863433
2016-01-06,21.719999,21.9,19.780001,20.120001,5395400,19.472877
2016-01-07,19.6,20.48,19.370001,19.43,3980600,18.805069
2016-01-08,19.59,19.84,19.18,19.309999,4898200,18.688928
2016-01-11,19.26,19.5,17.870001,18.32,5162600,17.73077
2016-01-12,19.129999,19.129999,17.48,18.24,5040100,17.653343
2016-01-13,18.51,19.0,17.0,17.299999,4937100,16.743576
2016-01-14,17.969999,18.66,17.01,18.42,5410200,17.827554
2016-01-15,17.450001,17.52,16.620001,17.16,4735500,16.608079
2016-01-19,17.32,17.450001,16.049999,16.379999,5214700,15.853166
2016-01-20,15.96,16.09,14.3,15.87,6701900,15.35957
2016-01-21,15.84,18.1,15.8,17.24,5490800,16.685506
2016-01-22,18.49,19.09,17.110001,17.59,6333100,17.024249
2016-01-25,16.84,18.33,16.75,16.809999,5682200,16.269336
2016-01-26,17.08,17.799999,16.77,17.709999,8103500,17.140389
2016-01-27,17.41,18.91,17.120001,18.139999,10056000,17.556559
