Date,Open_MMC,High_MMC,Low_MMC,Close_MMC,Volume_MMC,AdjClose_MMC
2015-06-05,58.139999,58.389999,57.689999,57.849998,2131100,56.565836
2015-06-08,57.799999,58.130001,57.669998,57.709999,1711700,56.428944
2015-06-09,57.689999,58.060001,57.669998,57.939999,1626500,56.653838
2015-06-10,58.16,58.950001,58.119999,58.869999,2005900,57.563194
2015-06-11,58.93,59.450001,58.84,59.349998,2174500,58.032539
2015-06-12,59.189999,59.279999,58.91,59.119999,1772400,57.807645
2015-06-15,58.610001,59.060001,58.450001,58.82,1753400,57.514305
2015-06-16,58.650002,59.16,58.630001,59.029999,1522000,57.719643
2015-06-17,59.279999,59.490002,59.009998,59.209999,2114700,57.895647
2015-06-18,59.43,59.990002,59.380001,59.84,2483500,58.511663
2015-06-19,59.77,59.860001,59.400002,59.43,2057200,58.110765
2015-06-22,59.290001,59.720001,58.939999,59.130001,2448800,57.817425
2015-06-23,59.209999,59.310001,59.02,59.16,1815300,57.846758
2015-06-24,59.09,59.110001,58.57,58.57,1585400,57.269855
2015-06-25,58.57,58.709999,58.130001,58.23,1543300,56.937402
2015-06-26,58.52,58.560001,58.119999,58.310001,2604200,57.015628
2015-06-29,57.84,57.880001,56.77,56.799999,2690700,55.539145
2015-06-30,57.330002,57.400002,56.5,56.700001,2909000,55.441366
2015-07-01,57.389999,57.650002,56.98,57.220001,2119500,55.949824
2015-07-02,57.240002,57.43,57.0,57.189999,1366100,55.920487
2015-07-06,56.639999,57.330002,56.619999,57.080002,2048500,55.812932
2015-07-07,57.16,57.5,56.41,57.490002,2320100,56.213831
2015-07-08,56.619999,56.959999,56.189999,56.279999,1901500,55.329034
2015-07-09,56.91,57.139999,56.529999,56.599998,2641500,55.643627
2015-07-10,57.310001,57.48,56.990002,57.169998,2336500,56.203995
2015-07-13,57.630001,57.91,57.439999,57.66,1450300,56.685718
2015-07-14,57.529999,57.939999,57.48,57.790001,1007800,56.813522
2015-07-15,57.91,57.950001,57.57,57.689999,1539900,56.715209
2015-07-16,58.07,58.580002,58.0,58.549999,1638000,57.560679
