Date,Open_PKI,High_PKI,Low_PKI,Close_PKI,Volume_PKI,AdjClose_PKI
2015-06-05,52.290001,52.43,51.939999,52.380001,337700,52.085397
2015-06-08,52.310001,52.509998,52.0,52.049999,333200,51.757252
2015-06-09,51.959999,52.150002,51.700001,51.740002,590900,51.448998
2015-06-10,51.830002,52.759998,51.830002,52.599998,471800,52.304157
2015-06-11,52.82,52.860001,52.52,52.740002,336300,52.443373
2015-06-12,52.48,52.68,52.02,52.060001,454800,51.767198
2015-06-15,51.84,52.049999,51.5,52.040001,471100,51.74731
2015-06-16,52.060001,52.540001,51.91,52.470001,287600,52.174891
2015-06-17,52.549999,53.130001,52.459999,53.07,489500,52.771515
2015-06-18,53.25,54.369999,53.240002,53.880001,729500,53.576961
2015-06-19,53.830002,54.209999,53.759998,53.900002,840200,53.596849
2015-06-22,54.09,54.139999,53.900002,53.970001,251400,53.666455
2015-06-23,53.91,54.16,53.540001,53.759998,842000,53.457633
2015-06-24,53.66,54.0,53.400002,53.52,459400,53.218985
2015-06-25,53.599998,54.09,53.189999,54.009998,648600,53.706227
2015-06-26,54.139999,54.450001,53.91,54.290001,512300,53.984655
2015-06-29,53.91,54.130001,52.75,52.830002,441600,52.532867
2015-06-30,53.630001,53.93,52.630001,52.639999,836400,52.343933
2015-07-01,53.040001,53.119999,52.419998,52.490002,1039000,52.194779
2015-07-02,52.66,52.84,52.080002,52.240002,786500,51.946185
2015-07-06,51.93,52.360001,51.75,52.209999,1242400,51.916352
2015-07-07,52.490002,52.490002,51.529999,52.18,1044000,51.886522
2015-07-08,51.869999,51.93,50.900002,50.990002,620000,50.703216
2015-07-09,51.560001,51.77,51.0,51.02,628400,50.733046
2015-07-10,51.59,51.709999,51.290001,51.529999,633100,51.240176
2015-07-13,51.880001,52.220001,51.68,52.029999,735100,51.737364
2015-07-14,52.139999,53.349998,51.869999,53.0,1442500,52.701909
2015-07-15,53.139999,53.43,52.459999,52.529999,535300,52.303631
2015-07-16,52.830002,52.830002,52.09,52.349998,904100,52.124407
2015-07-17,52.299999,52.73,52.209999,52.279999,1007100,52.054709
2015-07-20,52.349998,52.650002,52.18,52.25,1110800,52.024839
2015-07-21,52.240002,52.360001,51.639999,51.889999,630600,51.66639
2015-07-22,51.849998,52.119999,51.43,51.900002,710600,51.676349
2015-07-23,51.91,52.07,51.540001,51.630001,637400,51.407512
2015-07-24,51.450001,51.669998,50.849998,50.889999,734700,50.670699
2015-07-27,50.790001,50.860001,50.169998,50.43,589400,50.212682
2015-07-28,50.759998,50.91,50.330002,50.700001,1528200,50.481519
2015-07-29,50.75,51.080002,50.59,50.75,955800,50.531303
2015-07-30,50.560001,51.540001,50.200001,51.419998,1085900,51.198414
2015-07-31,51.700001,53.220001,51.310001,52.919998,913900,52.69195
2015-08-03,52.959999,53.169998,52.290001,52.5,963600,52.273762
2015-08-04,52.540001,53.139999,52.459999,52.919998,732300,52.69195
2015-08-05,53.23,53.720001,52.830002,52.849998,641200,52.622252
2015-08-06,52.990002,52.990002,51.509998,51.619999,398500,51.397553
2015-08-07,51.560001,51.560001,50.619999,51.200001,531900,50.979365
2015-08-10,51.490002,51.869999,51.290001,51.59,451000,51.367684
2015-08-11,51.220001,51.419998,50.419998,50.700001,613500,50.481519
2015-08-12,50.34,50.34,49.049999,50.080002,1034900,49.864192
2015-08-13,50.349998,50.650002,49.98,50.330002,788400,50.113115
2015-08-14,50.529999,50.639999,50.139999,50.52,593200,50.302295
2015-08-17,50.380001,50.490002,50.119999,50.330002,866100,50.113115
