Date,Open_BBBY,High_BBBY,Low_BBBY,Close_BBBY,Volume_BBBY,AdjClose_BBBY
2015-06-05,70.18,70.209999,69.510002,69.809998,1522000,69.809998
2015-06-08,69.760002,69.989998,69.419998,69.43,1450400,69.43
2015-06-09,69.760002,69.940002,68.849998,68.849998,1302200,68.849998
2015-06-10,68.970001,69.800003,68.919998,69.769997,1869800,69.769997
2015-06-11,70.099998,70.970001,69.639999,69.790001,1866100,69.790001
2015-06-12,69.529999,70.489998,69.339996,69.959999,1520100,69.959999
2015-06-15,69.620003,69.739998,69.150002,69.300003,1784400,69.300003
2015-06-16,69.360001,69.720001,69.25,69.68,1226600,69.68
2015-06-17,69.720001,70.239998,69.610001,70.07,1298500,70.07
2015-06-18,70.300003,71.400002,70.099998,71.099998,1615400,71.099998
2015-06-19,71.029999,71.68,70.739998,70.739998,3182800,70.739998
2015-06-22,71.059998,71.379997,70.360001,70.510002,2107000,70.510002
2015-06-23,70.739998,71.059998,70.349998,70.75,2118800,70.75
2015-06-24,70.949997,71.150002,70.260002,70.339996,2580600,70.339996
2015-06-25,68.290001,70.019997,67.5,69.230003,5979900,69.230003
2015-06-26,69.040001,71.199997,69.040001,71.110001,5160000,71.110001
2015-06-29,70.309998,70.830002,68.760002,68.769997,2694300,68.769997
2015-06-30,69.459999,69.639999,68.730003,68.980003,1620900,68.980003
2015-07-01,69.370003,69.540001,68.809998,69.449997,1332300,69.449997
2015-07-02,69.610001,69.919998,69.010002,69.050003,1230300,69.050003
2015-07-06,68.550003,69.330002,68.379997,68.720001,1543000,68.720001
2015-07-07,69.089996,69.290001,67.980003,69.139999,1750100,69.139999
2015-07-08,68.720001,69.330002,67.900002,68.089996,1729800,68.089996
2015-07-09,68.980003,69.019997,67.209999,67.370003,2213000,67.370003
2015-07-10,68.18,68.540001,67.769997,67.919998,1318000,67.919998
2015-07-13,68.169998,69.169998,67.970001,69.099998,1207000,69.099998
2015-07-14,69.129997,69.129997,68.470001,68.800003,1398200,68.800003
2015-07-15,68.669998,69.029999,68.239998,69.029999,1018000,69.029999
2015-07-16,69.410004,69.690002,68.82,69.459999,918700,69.459999
2015-07-17,69.220001,69.32,68.099998,68.25,1250400,68.25
2015-07-20,68.589996,68.589996,67.809998,67.93,743000,67.93
2015-07-21,67.93,68.110001,66.940002,67.410004,1593400,67.410004
2015-07-22,67.540001,68.190002,67.529999,67.629997,934500,67.629997
2015-07-23,67.459999,67.809998,67.139999,67.269997,780300,67.269997
2015-07-24,67.510002,67.510002,65.510002,65.800003,2330800,65.800003
2015-07-27,65.68,65.769997,65.029999,65.089996,2151500,65.089996
2015-07-28,65.199997,65.32,64.589996,65.300003,1801900,65.300003
2015-07-29,65.129997,65.779999,64.75,64.940002,2191700,64.940002
2015-07-30,64.769997,65.400002,64.459999,65.230003,1350900,65.230003
2015-07-31,65.550003,65.559998,65.029999,65.230003,766000,65.230003
2015-08-03,65.519997,65.519997,64.18,64.370003,1722100,64.370003
2015-08-04,64.580002,65.019997,64.239998,64.440002,1201600,64.440002
2015-08-05,64.660004,64.720001,63.720001,64.059998,3248600,64.059998
2015-08-06,64.019997,64.300003,61.939999,63.189999,3263500,63.189999
2015-08-07,63.18,63.470001,62.939999,63.299999,1276600,63.299999
2015-08-10,63.810001,64.620003,63.59,64.0,1163900,64.0
2015-08-11,63.5,64.059998,63.41,63.84,997400,63.84
2015-08-12,63.490002,64.040001,62.790001,63.91,1383700,63.91
2015-08-13,63.75,64.309998,62.98,63.669998,1385500,63.669998
2015-08-14,63.580002,64.18,63.049999,63.310001,2164000,63.310001
2015-08-17,62.98,63.459999,62.73,63.27,1599200,63.27
2015-08-18,63.57,63.98,63.349998,63.509998,1486500,63.509998
2015-08-19,63.130001,64.129997,63.080002,63.529999,1734500,63.529999
2015-08-20,62.919998,63.5,62.77,62.779999,2429000,62.779999
2015-08-21,62.23,62.779999,61.82,61.869999,3784300,61.869999
2015-08-24,59.779999,61.389999,58.810001,59.93,5573200,59.93
2015-08-25,60.790001,61.439999,59.509998,60.07,4095300,60.07
2015-08-26,61.259998,61.439999,59.799999,61.209999,3316800,61.209999
2015-08-27,61.549999,62.5,61.029999,62.5,3429800,62.5
2015-08-28,62.419998,63.169998,62.049999,62.32,2190800,62.32
2015-08-31,62.139999,62.389999,61.630001,62.110001,1922500,62.110001
2015-09-01,60.98,61.290001,60.650002,60.860001,2007700,60.860001
2015-09-02,61.77,62.220001,61.389999,62.0,1784900,62.0
2015-09-03,62.130001,62.849998,62.080002,62.299999,1626300,62.299999
2015-09-04,61.490002,62.360001,61.009998,62.09,1377100,62.09
2015-09-08,62.669998,63.439999,62.220001,63.330002,1768700,63.330002
2015-09-09,63.950001,64.169998,62.470001,62.619999,1843500,62.619999
2015-09-10,62.450001,62.75,61.98,62.16,1414900,62.16
2015-09-11,62.0,62.970001,61.0,61.5,1715200,61.5
2015-09-14,61.529999,61.959999,61.07,61.139999,1622500,61.139999
2015-09-15,61.360001,62.080002,61.080002,61.84,1788200,61.84
2015-09-16,61.59,62.400002,61.189999,62.139999,2414000,62.139999
2015-09-17,62.259998,62.779999,61.77,61.880001,2299500,61.880001
2015-09-18,61.380001,61.560001,59.860001,59.970001,5092400,59.970001
2015-09-21,59.950001,60.740002,59.939999,60.490002,2622900,60.490002
2015-09-22,60.18,60.310001,59.57,60.07,2202900,60.07
2015-09-23,59.98,60.400002,59.560001,59.84,1895800,59.84
2015-09-24,59.59,59.919998,59.209999,59.330002,3309600,59.330002
2015-09-25,59.310001,61.900002,59.0,59.790001,7197700,59.790001
2015-09-28,59.740002,59.84,57.02,57.150002,3509900,57.150002
2015-09-29,57.119999,57.759998,56.27,56.52,2489800,56.52
2015-09-30,56.830002,57.209999,56.400002,57.02,2958100,57.02
2015-10-01,56.98,57.639999,56.310001,57.610001,2524600,57.610001
2015-10-02,56.900002,57.41,56.009998,57.389999,2469100,57.389999
2015-10-05,58.139999,59.43,57.830002,59.400002,4121900,59.400002
2015-10-06,59.110001,60.529999,59.099998,59.700001,3487700,59.700001
2015-10-07,59.77,59.900002,58.490002,58.939999,3164400,58.939999
2015-10-08,58.77,59.330002,58.77,59.220001,1936200,59.220001
2015-10-09,59.220001,59.48,58.439999,58.98,2832500,58.98
2015-10-12,58.959999,59.060001,58.240002,58.91,1550100,58.91
2015-10-13,58.82,59.040001,57.93,58.080002,1364900,58.080002
2015-10-14,57.98,58.439999,57.169998,57.349998,2290800,57.349998
2015-10-15,57.73,57.919998,56.84,57.91,1406900,57.91
2015-10-16,58.0,58.380001,57.82,58.290001,1502600,58.290001
2015-10-19,58.290001,59.169998,58.029999,58.650002,1842300,58.650002
2015-10-20,58.459999,59.130001,58.310001,58.459999,1285100,58.459999
